year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Alexandria 33_5kV,01MAY2008,MW,2.63211,2.60639,2.64068,2.54637,2.53780,2.55495,2.52923,2.55495,2.59782,2.63211,2.55495,2.64926,2.42634,2.45206,2.56352,2.55495,2.49493,2.62354,2.57210,2.57210,2.73499,2.64926,2.84645,2.87217,3.16368,3.04365,3.36087,3.23227,3.64380,3.84100,4.07248,4.11535,4.25253,4.25253,4.43258,4.53546,4.81839,4.64692,4.56118,4.66407,4.71551,4.75838,4.86983,4.83554,4.73266,4.70693,4.68121,4.77552,4.85269,4.64692,4.69836,4.63835,4.49259,4.40686,4.48402,4.41543,4.50117,4.18394,4.28683,4.38971,4.21824,4.36399,4.25253,4.09821,3.89244,3.81527,3.81527,3.76383,3.60093,3.42946,3.30086,3.23227,3.12938,3.16368,3.39517,3.42089,3.19797,3.27513,3.05222,3.22369,3.09509,2.99220,3.01793,2.93219,2.94934,3.07794,2.94076,2.82930,2.75214,2.68355,2.67498,2.74357,2.68355,2.61496,2.72642,2.68355
2009,Alexandria 33_5kV,02MAY2008,MW,2.60639,2.64926,2.62354,2.58924,2.65783,2.52923,2.45206,2.52065,2.61496,2.55495,2.49493,2.59782,2.41777,2.51208,2.50351,2.66641,2.46921,2.51208,2.58067,2.58924,2.53780,2.70927,2.68355,2.87217,3.07794,3.22369,3.33515,3.58379,3.64380,3.85814,4.04676,4.19252,4.35541,4.52689,4.64692,4.57833,4.56976,4.68121,4.52689,4.68121,4.51831,4.69836,4.59548,4.68121,4.73266,4.79267,4.71551,4.80124,4.79267,4.73266,4.67264,4.78410,4.47545,4.33827,4.28683,4.24396,4.48402,4.26968,4.39828,4.27825,4.13250,4.28683,4.25253,4.03819,4.07248,3.84957,3.69524,3.51520,3.48090,3.40374,3.55807,3.42089,3.40374,3.42946,3.36087,3.30086,3.35230,3.09509,3.02650,2.98363,3.05222,2.90647,3.02650,3.01793,2.82930,2.85503,2.81216,2.66641,2.67498,2.76072,2.66641,2.58067,2.67498,2.67498,2.70927,2.73499
2009,Alexandria 33_5kV,03MAY2008,MW,2.88932,2.72642,2.46064,2.51208,2.45206,2.52923,2.61496,2.58924,2.41777,2.43492,2.50351,2.41777,2.46921,2.50351,2.43492,2.43492,2.45206,2.42634,2.45206,2.59782,2.56352,2.48636,2.65783,2.56352,2.77786,2.89789,2.90647,2.76929,2.88932,2.82073,2.92362,2.92362,3.04365,2.87217,2.99220,3.12081,3.24941,3.23227,3.03507,3.13796,3.20655,3.25799,3.24084,3.12938,3.13796,3.10366,3.09509,3.05222,3.06937,3.10366,3.12938,3.11224,2.70070,2.71785,2.70070,2.67498,2.65783,2.61496,2.63211,2.65783,2.53780,2.56352,2.56352,2.60639,2.49493,2.53780,2.48636,2.58067,2.51208,2.54637,2.57210,2.60639,2.52923,2.55495,2.91504,2.86360,2.98363,2.82930,2.86360,2.88075,2.79501,2.82073,3.07794,2.88075,2.83788,2.65783,2.69213,2.75214,2.67498,2.76929,2.58067,2.58924,2.61496,2.67498,2.70927,2.75214
2009,Alexandria 33_5kV,04MAY2008,MW,2.60639,2.63211,2.69213,2.58067,2.46921,2.69213,2.65783,2.59782,2.51208,2.58067,2.62354,2.57210,2.64926,2.55495,2.52065,2.45206,2.52065,2.44349,2.64068,2.49493,2.54637,2.55495,2.62354,2.59782,2.69213,2.58924,2.55495,2.58924,2.57210,2.60639,2.73499,2.71785,2.62354,2.69213,2.62354,2.70070,2.59782,2.77786,2.76929,2.79501,2.78644,2.84645,2.79501,2.94076,2.82930,2.84645,2.82073,2.72642,2.76929,2.70927,2.71785,2.70070,2.39205,2.34061,2.42634,2.42634,2.58924,2.50351,2.42634,2.41777,2.36633,2.41777,2.43492,2.33203,2.35775,2.42634,2.32346,2.43492,2.79501,2.82930,2.82073,2.80358,2.80358,2.72642,2.83788,2.86360,2.88075,2.76929,2.71785,2.88932,2.93219,2.83788,2.76072,2.78644,2.65783,2.72642,2.78644,2.66641,2.69213,2.63211,2.68355,2.64926,2.57210,2.76929,2.71785,2.65783
2009,Alexandria 33_5kV,05MAY2008,MW,2.62354,2.57210,2.62354,2.73499,2.61496,2.55495,2.45206,2.61496,2.52065,2.70070,2.62354,2.44349,2.60639,2.48636,2.45206,2.60639,2.73499,2.53780,2.47779,2.58924,2.61496,2.63211,2.90647,2.74357,3.16368,3.29228,3.24941,3.60951,3.90959,4.00390,4.01247,4.11535,4.28683,4.26110,4.44973,4.70693,4.62977,4.74123,4.76695,4.62977,4.73266,4.76695,4.88698,4.69836,4.76695,4.84411,4.87841,4.88698,4.90413,4.76695,4.86126,4.78410,4.31255,4.39828,4.56118,4.34684,4.39828,4.38971,4.31255,4.43258,4.32112,4.20966,4.13250,4.01247,4.13250,3.97817,3.79813,3.75526,3.44661,3.49805,3.71239,3.51520,3.49805,3.48090,3.29228,3.25799,3.13796,3.11224,3.01793,3.03507,2.89789,2.91504,2.88075,2.86360,2.94076,2.95791,2.77786,2.76072,2.65783,2.60639,2.64926,2.76072,2.58067,2.70070,2.75214,2.62354
2009,Alexandria 33_5kV,06MAY2008,MW,3.04365,3.06079,2.93219,2.86360,2.81216,2.93219,2.96648,2.98363,3.03507,2.86360,2.93219,2.89789,2.96648,2.82073,2.94076,2.81216,2.82073,2.85503,2.77786,2.81216,2.81216,2.87217,2.81216,2.94934,3.25799,3.21512,3.63523,3.60951,3.74669,3.83242,4.01247,4.02962,4.26110,4.47545,4.71551,4.78410,4.76695,4.78410,4.65549,4.75838,5.08418,5.09275,4.97272,4.95557,5.08418,5.16134,5.22135,5.28137,5.16134,5.12704,5.13562,5.21278,5.24707,5.24707,5.16134,5.13562,4.71551,4.72408,4.72408,4.87841,4.60405,4.50117,4.42400,4.41543,4.46687,4.30397,4.20966,4.01247,3.90959,3.80670,3.72954,3.61808,3.73811,3.46376,3.41231,3.35230,3.26656,3.18082,3.30086,3.12081,3.15510,3.01793,3.10366,3.03507,3.06079,2.98363,2.98363,2.79501,3.12938,3.10366,3.13796,3.19797,3.01793,3.01793,2.96648,3.09509
2009,Alexandria 33_5kV,07MAY2008,MW,3.16368,3.10366,2.94076,2.95791,2.96648,2.89789,3.01793,2.94076,2.85503,2.90647,2.88075,2.74357,2.83788,2.94934,2.80358,2.46064,2.40062,2.51208,2.48636,2.64926,2.76929,2.65783,2.83788,2.92362,3.07794,3.31800,3.42089,3.38659,3.59236,3.78955,3.78955,4.08963,4.40686,4.28683,4.41543,4.57833,4.60405,4.68121,4.53546,4.68121,4.76695,4.81839,4.77552,4.95557,4.95557,5.08418,5.11847,5.06703,4.89556,5.01559,5.06703,5.12704,5.01559,4.96414,5.10990,5.05845,4.67264,4.70693,4.86126,4.67264,4.65549,4.70693,4.59548,4.40686,4.50117,4.07248,4.02962,3.82385,3.90959,3.77241,3.84100,3.69524,3.60093,3.51520,3.38659,3.36945,3.37802,3.30086,3.03507,3.08651,3.35230,3.44661,3.31800,3.38659,3.28371,3.41231,3.26656,3.06079,3.09509,3.19797,3.01793,3.02650,2.92362,2.90647,3.02650,3.04365
2009,Alexandria 33_5kV,08MAY2008,MW,3.09509,2.94934,2.90647,2.83788,2.97506,2.63211,2.74357,2.65783,2.59782,2.52923,2.58067,2.55495,2.62354,2.71785,2.52923,2.52065,2.55495,2.65783,2.64926,2.73499,2.65783,2.82073,2.85503,2.90647,3.16368,3.18940,3.45518,3.55807,3.74669,4.07248,3.98675,4.17537,4.38971,4.38971,4.57833,4.43258,4.62120,4.75838,4.88698,4.78410,4.86983,4.71551,4.80982,4.81839,4.95557,4.82697,4.73266,5.05845,4.86983,4.78410,4.80124,4.92985,4.72408,4.80124,4.73266,4.80982,4.68979,4.88698,4.72408,4.78410,4.62120,4.74980,4.51831,4.55261,4.44973,4.16679,4.09821,3.89244,3.96960,3.96960,3.74669,3.62665,3.56664,3.42946,3.18082,3.41231,3.36945,3.24941,3.04365,3.00935,2.96648,3.10366,3.08651,2.98363,2.92362,2.88075,2.85503,2.72642,2.80358,2.34061,2.66641,2.75214,2.73499,2.69213,2.69213,2.73499
2009,Alexandria 33_5kV,09MAY2008,MW,2.94934,2.90647,2.96648,2.95791,2.88932,3.09509,3.06079,2.96648,2.89789,2.82073,2.94934,2.85503,2.96648,2.82930,2.89789,2.92362,2.91504,2.89789,2.97506,2.96648,3.00935,3.07794,3.20655,3.19797,3.43803,3.60951,3.70382,4.02104,4.11535,4.26110,4.42400,4.73266,4.75838,4.74980,4.75838,4.82697,4.82697,5.10990,5.06703,5.05845,4.98987,4.96414,5.13562,5.16134,5.14419,5.04988,5.04131,5.07560,5.03273,4.92128,5.00701,4.99844,4.95557,5.01559,5.14419,5.03273,4.70693,4.98129,4.64692,4.62120,4.42400,4.48402,4.38971,4.42400,4.08106,3.98675,3.91816,3.83242,3.80670,3.70382,3.69524,3.51520,3.34372,3.35230,3.28371,3.30943,3.19797,3.03507,2.95791,2.98363,2.94934,2.90647,3.01793,2.85503,2.86360,2.78644,2.83788,2.70070,3.04365,3.00078,3.01793,2.98363,2.85503,2.94076,2.94934,3.04365
2009,Alexandria 33_5kV,10MAY2008,MW,2.88932,2.91504,2.85503,2.80358,2.75214,2.87217,2.74357,2.82073,2.76929,2.81216,2.76929,2.91504,2.52065,2.47779,2.45206,2.42634,2.54637,2.58067,2.51208,2.41777,2.46064,2.46064,2.56352,2.68355,2.58067,2.70070,2.76072,2.83788,2.80358,3.04365,3.01793,2.95791,2.88932,2.88932,3.03507,3.12081,3.13796,3.16368,3.12081,3.05222,3.17225,3.23227,3.31800,3.14653,3.02650,3.07794,3.05222,3.15510,3.21512,3.00078,3.10366,2.94934,2.93219,3.05222,2.96648,2.87217,2.93219,2.80358,2.79501,2.74357,2.81216,2.70927,2.70070,2.70927,2.74357,2.66641,2.83788,2.74357,2.64068,2.74357,2.75214,2.80358,2.88075,2.89789,2.82930,2.74357,2.70070,2.64068,2.82073,2.87217,2.81216,2.75214,2.70927,2.69213,2.62354,2.78644,2.55495,2.70927,2.94934,2.82930,2.91504,2.90647,3.07794,3.04365,2.88932,2.92362
