year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Bass Hill 33_11kV,01MAY2008,MW,14.57967,13.97059,12.90472,14.88420,14.44643,13.70412,12.31468,12.04821,11.62947,10.71586,10.56360,9.84032,9.34545,8.98381,8.81251,8.66025,8.81251,9.09802,8.54604,9.09802,9.53579,10.14486,10.35423,10.96330,12.12434,12.84762,13.55186,12.96182,14.88420,15.26487,16.08331,15.13164,16.34978,14.71290,15.15067,14.37030,14.99840,13.95156,14.29416,13.51379,14.04673,13.32345,14.23706,13.43766,14.33223,13.51379,14.00866,13.51379,13.55186,13.64702,13.01892,13.20925,12.98085,13.34249,13.43766,13.17119,13.26635,13.05699,13.39959,13.39959,13.05699,13.49476,14.14190,13.83736,15.16970,14.86517,15.20777,15.72168,15.85491,16.54012,17.43469,17.45373,17.16822,17.43469,17.39662,16.97789,16.93982,16.63528,16.02621,15.77878,15.47424,14.84613,15.28391,15.11260,14.27513,14.17996,13.72316,14.25610,15.26487,14.78903,17.77729,16.74949,15.62651,14.82710,16.52108,15.53134
2009,Bass Hill 33_11kV,02MAY2008,MW,14.38933,14.19900,13.24732,15.43617,14.19900,13.55186,13.20925,11.61044,11.34397,10.54456,10.33519,10.25906,9.95452,9.21222,8.64121,8.83155,8.75541,8.98381,8.94575,9.28835,9.51675,10.25906,10.69683,11.09653,12.04821,12.54308,13.68509,13.57089,15.11260,14.94130,15.75974,15.43617,15.53134,15.79781,14.19900,15.13164,14.17996,14.27513,13.91349,13.81833,14.02769,13.89446,13.45669,13.81833,12.94278,13.57089,12.73342,12.65728,12.92375,12.29565,12.80955,12.20048,12.84762,13.26635,12.31468,12.58115,12.37178,11.93401,12.40985,11.95304,12.12434,12.65728,12.27661,12.42888,12.39081,12.65728,13.19022,13.26635,13.03795,14.69387,15.70264,15.77878,15.77878,15.85491,15.91201,15.43617,15.34101,14.57967,15.07454,14.75097,14.75097,14.19900,14.38933,13.79929,13.49476,13.89446,13.26635,13.51379,14.63677,14.25610,17.22532,16.59722,15.37907,15.03647,16.80659,15.39811
2009,Bass Hill 33_11kV,03MAY2008,MW,14.46546,13.66606,12.88568,14.14190,14.35126,13.26635,12.29565,12.35275,11.55334,10.75393,10.48746,9.57385,9.68805,8.92671,8.69831,8.45088,8.27958,8.56508,8.48894,8.62218,8.48894,8.60314,8.88865,9.11705,10.12583,9.55482,10.10679,9.30738,10.43036,10.39229,10.71586,10.94427,10.86813,11.62947,11.34397,11.09653,11.21074,11.11557,11.57237,11.09653,11.30590,10.65876,10.52553,10.65876,10.22099,10.54456,10.08776,10.27809,10.43036,9.87839,10.06872,10.22099,9.93549,9.44062,9.68805,9.36449,9.15512,9.15512,8.71735,9.26932,8.90768,8.52701,8.86961,9.17415,9.34545,10.06872,9.78322,10.43036,11.21074,12.37178,12.94278,13.55186,13.79929,13.32345,13.15215,13.43766,13.26635,13.17119,13.07602,12.46695,12.86665,12.52405,12.29565,12.20048,11.91497,11.57237,11.80077,11.53430,12.82858,12.69535,15.79781,15.09357,14.29416,13.11409,15.37907,14.46546
2009,Bass Hill 33_11kV,04MAY2008,MW,13.97059,12.54308,12.21951,14.31320,13.05699,12.75245,12.12434,10.81103,10.65876,9.97356,9.11705,8.88865,8.43184,7.78470,7.55630,7.51823,7.17563,6.94723,7.44210,6.77593,7.11853,7.09950,7.09950,6.94723,7.44210,7.61340,7.99407,7.46113,8.16537,8.58411,9.21222,9.32642,10.18293,10.08776,10.50650,10.52553,10.75393,10.35423,10.41133,10.33519,9.95452,10.06872,9.93549,9.64999,9.34545,9.34545,9.34545,9.17415,9.26932,8.92671,9.04092,8.85058,8.12731,8.45088,8.48894,8.18441,8.48894,8.01311,8.69831,8.37474,7.84180,8.56508,8.58411,8.27958,9.07898,9.36449,9.87839,10.20196,10.84910,12.37178,13.53282,13.81833,14.31320,14.46546,13.83736,13.60896,14.12286,13.81833,13.20925,13.57089,13.36152,13.43766,13.28539,13.07602,12.37178,12.23854,12.02918,11.89594,12.98085,13.19022,15.34101,14.59870,13.79929,13.26635,14.82710,14.08479
2009,Bass Hill 33_11kV,05MAY2008,MW,12.90472,12.46695,11.61044,13.85639,13.11409,11.62947,11.19170,10.69683,9.80226,9.55482,8.83155,8.48894,7.91794,7.70857,7.61340,7.32790,7.86084,7.74664,7.28983,7.27080,7.68954,8.24151,9.00285,9.78322,10.65876,12.06724,12.88568,12.82858,14.16093,15.43617,15.18874,15.41714,15.09357,14.48450,14.90324,13.76123,13.91349,13.49476,13.51379,13.64702,13.51379,13.41862,12.77148,13.24732,12.88568,12.88568,12.86665,12.63825,12.35275,11.85787,12.48598,12.18144,12.40985,12.10531,11.83884,12.61921,11.91497,11.91497,12.23854,11.45817,12.08628,11.91497,12.35275,12.77148,12.29565,12.94278,13.72316,13.15215,14.35126,15.37907,16.31171,15.96911,16.63528,16.76852,16.46398,16.36882,15.51231,15.91201,15.85491,15.68361,15.49327,14.86517,15.28391,14.77000,14.44643,13.79929,13.32345,13.43766,14.06576,14.52257,16.82562,15.15067,14.82710,13.83736,14.94130,14.84613
2009,Bass Hill 33_11kV,06MAY2008,MW,13.68509,12.48598,11.93401,13.55186,13.49476,12.33371,11.49624,10.94427,10.37326,9.38352,9.38352,8.60314,8.73638,7.95601,8.50798,7.67050,7.99407,7.72760,7.91794,8.46991,8.79348,9.26932,9.97356,10.44939,11.34397,11.89594,13.17119,12.99988,14.73193,15.28391,16.19751,15.41714,16.23558,15.68361,16.10235,15.01744,14.99840,15.55037,14.99840,15.55037,14.86517,15.09357,14.06576,14.56063,13.83736,14.40836,14.02769,13.83736,13.79929,13.51379,13.51379,13.05699,13.79929,13.32345,13.45669,13.72316,13.36152,13.70412,14.06576,13.78026,14.31320,14.19900,14.25610,14.44643,15.30294,15.18874,15.72168,15.45521,16.19751,17.72019,18.04376,17.49179,18.23410,17.70116,17.32049,17.66309,16.80659,16.88272,16.48302,16.57818,16.17848,15.85491,16.19751,15.49327,15.75974,14.94130,14.59870,14.25610,15.09357,15.74071,18.31023,16.55915,16.10235,15.22681,16.36882,15.85491
2009,Bass Hill 33_11kV,07MAY2008,MW,15.16970,13.83736,13.07602,15.49327,14.71290,13.60896,13.47572,12.54308,11.51527,11.32494,10.58263,10.01162,9.68805,9.15512,9.45965,9.19318,9.63095,8.94575,9.72612,9.34545,9.57385,10.48746,10.98233,11.45817,12.77148,13.01892,13.98963,13.83736,14.88420,15.89298,16.42592,16.31171,16.44495,15.20777,15.32197,14.40836,14.59870,14.54160,14.77000,13.81833,13.79929,13.58992,13.95156,13.49476,13.57089,13.32345,13.70412,13.76123,13.03795,13.41862,12.92375,13.36152,13.47572,13.19022,13.49476,12.99988,13.36152,12.98085,13.11409,13.13312,12.94278,13.72316,13.13312,13.28539,13.11409,13.01892,14.00866,14.16093,14.78903,16.00718,16.48302,15.89298,16.99692,17.03499,16.93982,16.36882,16.76852,16.52108,16.29268,15.56941,15.37907,15.66458,15.13164,14.99840,14.84613,14.42740,14.35126,13.89446,15.01744,14.90324,17.32049,16.44495,15.32197,14.94130,16.38785,15.37907
2009,Bass Hill 33_11kV,08MAY2008,MW,14.73193,14.00866,12.71438,14.96034,14.42740,13.20925,12.92375,12.29565,11.26784,11.11557,9.95452,10.46843,9.72612,9.32642,9.32642,8.64121,9.51675,8.96478,9.57385,9.05995,9.63095,9.99259,10.88717,11.28687,12.23854,13.09505,14.06576,13.70412,15.22681,15.83588,15.58844,15.60748,15.75974,15.34101,15.53134,14.80807,15.07454,13.95156,14.75097,14.08479,13.83736,13.55186,14.04673,13.97059,13.55186,13.51379,13.05699,13.39959,13.53282,13.09505,13.09505,12.98085,12.61921,13.36152,13.49476,13.15215,13.38055,12.52405,13.62799,12.69535,12.80955,12.98085,12.86665,13.74219,13.43766,13.47572,13.83736,13.68509,14.23706,15.74071,16.38785,15.85491,16.54012,16.15945,16.59722,15.91201,15.85491,15.96911,15.68361,16.08331,15.05550,15.56941,14.92227,15.34101,14.48450,14.29416,14.59870,14.17996,14.63677,15.13164,17.77729,16.46398,16.29268,15.49327,16.82562,15.60748
2009,Bass Hill 33_11kV,09MAY2008,MW,14.86517,14.17996,13.03795,15.32197,14.57967,13.07602,13.24732,11.85787,11.43914,10.69683,10.84910,10.29713,9.49772,9.66902,8.88865,9.00285,8.98381,8.69831,9.26932,9.11705,9.68805,9.91646,10.63973,11.15363,12.29565,12.44791,13.49476,13.81833,14.69387,15.34101,15.79781,15.49327,15.75974,15.22681,15.49327,14.86517,14.37030,14.06576,13.79929,13.85639,13.17119,14.10383,13.15215,13.91349,13.03795,13.39959,13.20925,13.05699,13.66606,12.94278,12.94278,12.88568,12.31468,13.28539,12.92375,12.35275,13.24732,13.09505,12.50501,12.56211,12.69535,12.02918,12.71438,12.92375,12.75245,13.43766,13.47572,12.98085,14.38933,15.11260,16.17848,15.83588,16.31171,16.48302,16.00718,15.36004,15.66458,14.88420,15.05550,14.44643,14.48450,14.35126,14.02769,14.25610,14.21803,13.38055,13.43766,12.94278,14.27513,14.46546,16.65432,16.42592,14.97937,14.04673,16.27365,15.36004
2009,Bass Hill 33_11kV,10MAY2008,MW,14.48450,13.05699,12.16241,14.86517,13.43766,13.11409,12.54308,11.51527,11.32494,10.03066,10.12583,9.05995,9.17415,8.52701,8.54604,8.26054,8.48894,8.56508,8.27958,8.27958,8.31764,8.67928,8.60314,8.58411,8.69831,8.83155,9.13608,8.66025,8.66025,9.02188,9.15512,9.57385,9.74516,9.80226,9.99259,10.14486,10.06872,9.87839,9.76419,10.10679,10.01162,10.04969,9.87839,9.55482,9.80226,9.36449,9.51675,9.74516,9.66902,10.03066,9.26932,9.63095,9.61192,8.62218,9.09802,8.86961,8.46991,9.05995,8.39378,9.04092,8.48894,8.31764,9.04092,8.85058,8.98381,9.17415,10.16389,10.24003,11.15363,12.20048,12.54308,12.61921,12.99988,12.37178,12.14338,11.74367,12.01014,11.85787,11.11557,11.42010,11.26784,10.88717,10.83007,10.77296,10.65876,10.04969,9.66902,10.18293,11.57237,11.76271,14.92227,13.51379,13.74219,12.88568,14.40836,14.10383
