year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Charmhaven 132_11kV,01MAY2008,MW,16.27184,19.52983,18.40763,16.83294,15.72884,19.04113,18.29903,16.83294,15.51164,15.04104,13.41205,12.92335,12.59755,11.98215,11.62016,11.67446,12.14505,12.00025,12.16315,12.57945,13.23105,13.77405,14.31705,16.00034,17.41213,18.33523,19.81942,19.42123,20.30812,21.15882,22.15432,21.53892,20.83302,21.10452,20.77872,20.45292,20.39862,19.74702,19.33073,18.93253,19.09543,19.00493,18.49813,18.24473,18.87823,18.78773,18.62483,18.35333,18.40763,17.86463,18.19043,18.22663,17.73793,18.22663,17.75603,17.97323,18.08183,17.70173,18.22663,18.11803,18.44383,18.40763,19.36693,19.65652,20.56152,21.33982,22.58871,22.51631,23.33081,25.23130,26.20870,26.71550,26.53450,26.20870,25.72000,25.28560,25.30370,25.06840,24.70641,23.94621,24.65211,23.62041,23.87381,22.57061,22.53441,20.94162,19.81942,19.05923,17.62933,19.09543,18.44383,16.50714,18.73343,17.30353,18.93253,17.05013
2009,Charmhaven 132_11kV,02MAY2008,MW,15.78314,19.54793,18.44383,16.94154,15.31254,18.73343,17.91893,16.61574,15.31254,13.77405,13.28535,12.32605,12.21745,11.67446,11.62016,11.51156,11.83735,11.71066,11.87355,11.98215,12.27175,13.08625,13.84645,14.86004,16.38044,17.15873,18.98683,18.06373,18.87823,19.65652,19.63843,19.74702,19.05923,18.76963,18.73343,18.57053,17.91893,18.08183,17.68363,17.84653,17.75603,17.35783,17.84653,17.48453,17.62933,17.46643,17.62933,17.75603,17.48453,17.37593,17.26733,17.24923,16.45284,16.65194,16.50714,16.94154,16.48904,16.65194,16.38044,16.88724,16.86914,16.81484,16.86914,16.59764,17.46643,18.13613,18.95063,18.82393,19.05923,21.12262,22.42581,21.91902,22.48011,22.02762,21.97332,21.82852,21.10452,20.56152,20.83302,20.56152,21.33982,20.52532,21.32172,20.12712,20.12712,19.04113,18.87823,18.08183,17.30353,19.31263,18.19043,16.88724,19.09543,17.79223,18.93253,17.46643
2009,Charmhaven 132_11kV,03MAY2008,MW,16.48904,20.03662,18.55243,16.81484,15.85554,19.16783,17.73793,16.72434,15.07724,14.09985,13.46635,12.95955,11.98215,11.56586,11.34866,11.34866,11.38486,11.13146,11.13146,11.29436,11.45726,11.83735,12.65185,12.68805,13.84645,14.26275,15.47544,15.14964,16.05464,16.86914,16.92344,18.02753,18.24473,18.00943,18.17233,17.75603,18.66103,18.57053,18.17233,17.70173,17.91893,17.10443,17.57503,17.32163,16.88724,16.59764,16.54334,16.45284,16.83294,16.81484,16.10894,16.00034,16.00034,15.89174,16.05464,15.90984,15.67454,15.02294,15.63834,15.78314,15.80124,15.72884,15.72884,16.56144,16.70624,17.05013,17.91893,18.13613,19.60223,21.01402,22.53441,22.95071,22.64301,22.24482,22.46201,21.97332,21.66562,21.06832,20.94162,20.95972,21.59322,21.44842,21.61132,20.79682,21.23122,20.19952,18.95063,18.71533,18.19043,19.58413,18.66103,17.64743,19.43933,18.11803,19.87372,18.06373
2009,Charmhaven 132_11kV,04MAY2008,MW,17.08633,20.56152,19.22213,17.75603,16.39854,19.85562,18.38953,17.19493,15.85554,14.38945,13.79215,13.17675,12.63375,12.30795,11.76496,11.72876,11.24006,11.40296,11.43916,10.95046,11.29436,11.92785,11.72876,12.19935,13.01385,13.46635,14.31705,13.77405,14.93244,15.47544,16.10894,16.77864,17.43023,17.46643,17.64743,17.48453,17.86463,17.81033,17.37593,17.21303,17.08633,16.83294,17.21303,17.15873,16.99584,16.86914,16.72434,17.03204,16.59764,16.61574,16.21754,15.90984,16.18134,15.89174,15.67454,15.29444,15.83744,15.72884,15.31254,15.80124,15.96414,16.28994,16.07274,16.43474,16.94154,17.37593,18.33523,18.93253,21.01402,22.91451,24.57971,25.24940,25.50280,25.23130,24.59781,23.94621,23.87381,23.72901,23.49371,23.18601,24.05481,23.34891,23.11361,22.62491,22.51631,21.39412,20.19952,18.73343,18.51623,19.60223,18.71533,17.10443,19.31263,17.68363,19.27643,18.19043
2009,Charmhaven 132_11kV,05MAY2008,MW,16.65194,20.25382,19.27643,17.86463,16.56144,19.52983,18.71533,17.32163,16.34424,15.20394,14.76954,13.79215,13.28535,12.59755,12.36225,12.57945,12.59755,12.32605,12.48895,12.74235,13.46635,14.28085,14.76954,15.74694,17.62933,18.66103,19.96422,19.49363,20.56152,21.97332,22.35341,22.46201,21.33982,20.79682,20.56152,19.96422,19.80132,19.90992,19.22213,18.13613,18.57053,18.06373,17.81033,17.41213,17.95513,17.73793,17.81033,18.06373,17.57503,17.48453,17.19493,16.77864,17.21303,17.41213,17.41213,17.52073,17.30353,17.10443,16.97774,16.77864,17.14063,17.14063,17.15873,17.35783,18.33523,18.51623,19.49363,19.52983,21.32172,23.71091,24.85121,24.32631,24.54351,24.57971,24.19961,23.83761,23.43941,23.00501,23.11361,22.89641,23.43941,22.37151,23.29461,21.88282,22.35341,20.77872,19.58413,18.67913,17.64743,19.27643,18.11803,16.83294,18.49813,17.05013,18.95063,17.48453
2009,Charmhaven 132_11kV,06MAY2008,MW,16.34424,19.71082,18.49813,17.19493,15.90984,19.04113,18.22663,17.03204,15.89174,15.04104,14.09985,13.28535,12.48895,12.19935,12.09075,11.92785,11.76496,11.78306,12.47085,12.76045,13.61115,14.38945,15.02294,16.43474,17.48453,19.14973,20.61582,18.98683,20.47102,21.75612,22.13622,21.59322,21.10452,20.63392,20.14522,19.38503,19.47553,19.54793,19.05923,18.84203,19.76512,18.93253,19.14973,19.04113,18.98683,18.82393,18.51623,18.17233,17.68363,17.91893,18.02753,17.75603,17.32163,17.57503,17.24923,17.32163,17.62933,17.37593,17.26733,17.10443,17.30353,17.52073,17.53883,18.24473,18.67913,19.00493,20.25382,20.74252,22.46201,23.18601,23.33081,23.83761,23.45751,23.67471,23.38511,22.73351,22.57061,21.77422,21.59322,21.71992,22.46201,21.17692,21.81042,21.06832,21.10452,19.85562,18.71533,17.70173,16.83294,18.66103,17.84653,16.38044,18.13613,17.05013,18.55243,17.21303
2009,Charmhaven 132_11kV,07MAY2008,MW,16.23564,19.69272,18.22663,16.28994,15.24014,18.78773,17.59313,16.81484,15.31254,14.49804,13.44825,12.65185,12.16315,12.16315,11.45726,11.51156,11.51156,11.67446,11.98215,12.32605,12.65185,13.28535,14.28085,15.40304,16.92344,17.30353,19.36693,18.35333,19.63843,20.25382,20.57962,19.11353,19.52983,18.73343,18.78773,18.60673,18.40763,18.35333,18.13613,17.59313,17.59313,17.03204,17.37593,17.15873,17.41213,17.95513,17.08633,17.26733,17.32163,16.94154,17.64743,16.97774,17.08633,17.26733,17.15873,16.99584,17.32163,16.76054,16.76054,16.77864,16.92344,17.24923,17.30353,17.62933,17.97323,18.38953,18.87823,19.43933,21.21312,22.31721,23.49371,23.87381,23.92811,23.43941,23.29461,22.84211,22.58871,21.93712,21.82852,21.32172,22.95071,22.24482,22.37151,21.15882,21.39412,19.74702,19.71082,18.66103,16.97774,18.73343,17.62933,16.50714,18.35333,17.19493,18.87823,17.57503
2009,Charmhaven 132_11kV,08MAY2008,MW,16.32614,19.60223,18.33523,16.70624,15.56594,19.25833,18.28093,17.14063,15.85554,14.49804,13.79215,13.01385,12.36225,11.92785,11.76496,11.89165,11.94595,12.27175,12.59755,12.68805,13.06815,13.93695,14.26275,15.42114,17.43023,18.44383,19.87372,19.14973,20.36242,20.41672,20.61582,19.87372,19.81942,19.65652,19.04113,18.60673,18.62483,18.33523,18.46193,18.17233,17.32163,17.19493,17.75603,17.15873,17.52073,16.77864,17.15873,16.72434,16.99584,16.88724,16.76054,17.19493,16.97774,16.45284,16.34424,16.83294,17.14063,16.59764,16.32614,16.83294,16.99584,16.48904,17.05013,17.26733,17.30353,17.48453,18.76963,19.20403,20.95972,22.86021,24.65211,25.06840,25.08650,24.59781,24.00051,23.67471,23.51181,23.07741,22.84211,22.73351,23.40321,23.27651,23.00501,22.48011,22.53441,21.33982,19.76512,18.84203,18.22663,19.65652,18.87823,17.43023,18.93253,17.46643,19.11353,18.17233
2009,Charmhaven 132_11kV,09MAY2008,MW,16.21754,19.80132,18.51623,16.77864,15.78314,18.84203,18.19043,16.88724,15.78314,14.49804,13.68355,13.03195,12.38035,11.87355,11.56586,11.38486,11.92785,12.05455,12.36225,12.63375,12.90525,13.39395,14.17225,15.04104,16.67004,17.90083,19.20403,18.40763,19.80132,20.50722,20.63392,20.07282,20.30812,19.71082,19.20403,19.05923,18.60673,17.86463,17.46643,17.05013,17.19493,17.62933,17.30353,17.05013,17.53883,16.94154,17.41213,17.43023,16.97774,16.45284,17.05013,16.77864,17.03204,17.14063,17.05013,16.50714,17.21303,16.54334,16.54334,16.77864,16.86914,16.32614,16.45284,16.92344,17.24923,18.22663,18.89633,18.87823,20.14522,21.55702,22.53441,22.91451,23.33081,22.96881,22.53441,21.61132,21.66562,20.79682,21.23122,21.01402,22.08192,21.48462,21.99142,20.85112,21.59322,20.18142,19.36693,18.40763,17.97323,19.96422,18.38953,17.05013,18.87823,17.73793,19.63843,17.81033
2009,Charmhaven 132_11kV,10MAY2008,MW,16.81484,20.03662,18.29903,16.86914,15.24014,19.27643,17.64743,16.61574,15.04104,14.31705,13.41205,12.92335,12.27175,11.94595,11.60206,11.49346,11.49346,11.49346,11.22196,11.56586,11.60206,12.32605,12.10885,13.19485,13.39395,14.33515,15.29444,15.04104,16.50714,16.67004,16.99584,17.35783,18.11803,18.40763,18.24473,18.60673,18.84203,18.33523,18.28093,17.53883,17.37593,16.83294,16.88724,17.15873,17.08633,16.88724,16.59764,17.10443,16.67004,16.61574,16.56144,16.50714,16.34424,16.12704,16.23564,15.89174,15.63834,15.72884,15.90984,15.63834,16.12704,16.23564,15.80124,16.43474,16.86914,17.62933,17.86463,18.46193,20.09092,21.06832,21.64752,21.21312,21.43032,21.26742,21.06832,20.07282,19.60223,19.52983,19.14973,18.82393,19.58413,18.82393,19.63843,18.13613,18.78773,17.53883,17.24923,15.85554,15.20394,17.41213,16.92344,15.78314,17.75603,16.65194,18.28093,16.97774
2009,Charmhaven 132_11kV,11MAY2008,MW,15.80124,18.87823,17.62933,16.34424,15.04104,18.46193,17.48453,16.18134,14.96864,13.50255,12.68805,11.60206,11.29436,11.00476,10.75136,10.58846,10.26266,10.64276,10.40746,10.40746,10.08166,10.75136,10.42556,10.89616,12.00025,12.10885,12.92335,12.27175,12.81475,13.66545,13.88265,14.76954,15.07724,15.24014,15.36684,16.05464,16.28994,16.21754,16.38044,16.86914,16.83294,16.56144,16.67004,16.50714,16.38044,16.10894,16.67004,16.67004,16.54334,16.61574,16.45284,16.07274,15.90984,15.89174,15.42114,15.24014,15.20394,15.56594,15.42114,16.00034,15.89174,16.21754,16.23564,16.38044,16.28994,17.19493,17.37593,17.86463,19.38503,20.77872,21.43032,21.99142,21.71992,21.70182,21.12262,20.74252,20.77872,19.74702,19.96422,20.07282,20.95972,20.07282,20.25382,19.22213,19.27643,18.00943,17.19493,15.80124,15.52974,17.73793,16.72434,15.40304,17.35783,16.34424,17.79223,16.65194
2009,Charmhaven 132_11kV,12MAY2008,MW,15.51164,18.51623,17.30353,16.32614,15.34874,18.35333,17.21303,16.10894,14.76954,13.52065,13.03195,12.05455,12.03645,11.56586,11.27626,11.27626,11.11336,11.24006,11.43916,11.60206,12.10885,12.95955,13.33965,14.04555,15.78314,16.81484,18.11803,20.41672,21.26742,22.53441,22.96881,22.95071,22.04572,19.69272,18.67913,19.00493,19.22213,18.95063,18.95063,18.44383,18.19043,18.19043,17.73793,17.75603,17.48453,17.64743,18.11803,17.97323,17.79223,17.10443,16.72434,17.10443,17.26733,17.59313,16.97774,17.08633,17.30353,17.26733,16.86914,16.97774,16.94154,17.70173,17.62933,17.73793,18.78773,18.35333,20.19952,21.53892,22.73351,24.27201,24.85121,24.92360,24.65211,24.03671,23.54801,23.51181,22.73351,22.37151,22.26292,22.20862,23.07741,21.64752,22.69731,20.83302,21.26742,19.96422,18.44383,17.05013,16.81484,18.06373,17.19493,15.40304,17.41213,16.21754,17.70173,16.21754
