year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Denman 66_11kV,01MAY2008,MW,3.06884,2.82764,2.72110,2.57244,2.38056,2.27423,2.11896,2.01103,1.97593,1.97311,1.94676,2.05749,1.96493,1.93497,1.94054,1.81186,1.80752,1.81131,1.85089,1.95987,2.08717,2.23818,2.55400,2.58936,2.64003,2.80401,3.00616,2.97503,2.87675,2.93743,3.02577,3.06001,2.96047,2.95725,3.10595,3.00197,3.06234,3.06426,3.00459,3.01310,2.94116,3.01285,2.87101,2.84378,2.92349,2.92040,2.82066,2.77575,2.86043,2.79261,2.65510,2.68775,2.78189,2.66623,2.81667,2.76389,2.65828,2.58759,2.61539,2.62711,2.71877,2.76762,2.75343,2.77142,2.80451,2.83540,2.94912,2.89796,2.95571,3.06680,3.24481,3.45034,3.49438,3.48206,3.50059,3.48350,3.50653,3.47826,3.44405,3.45474,3.39648,3.30602,3.21773,3.08412,2.86672,2.79251,2.76745,2.68938,3.07969,3.06067,2.89163,2.74095,3.68492,3.60604,3.38081,3.11078
2009,Denman 66_11kV,02MAY2008,MW,2.89219,2.73906,2.64417,2.52862,2.35315,2.22632,2.08926,2.03249,1.92649,1.86689,1.84205,1.82974,1.80126,1.78404,1.94733,1.93351,1.86617,1.94377,1.94519,1.94391,2.02985,2.14564,2.21490,2.26563,2.41584,2.68791,2.78773,2.95881,2.91824,2.97945,2.98752,2.94893,2.84651,2.68381,2.65080,2.74814,2.68750,2.76470,2.78001,2.53252,2.65790,2.72764,2.57444,2.48903,2.52131,2.65757,2.73276,2.68528,2.61352,2.63516,2.69929,2.70706,2.82388,2.65070,2.65882,2.70163,2.73298,2.69882,2.64786,2.57227,2.63683,2.72286,2.72092,2.68091,2.76221,2.81119,2.79330,2.86602,2.90474,3.06010,3.17593,3.27939,3.32280,3.26284,3.17271,3.13478,3.13657,3.13243,3.10561,3.11671,3.10736,3.09945,3.09052,3.00917,2.90874,2.77948,2.73338,2.84352,3.16808,3.08308,2.94367,2.83169,3.81392,3.72369,3.46893,3.21318
2009,Denman 66_11kV,03MAY2008,MW,3.02155,2.80259,2.67950,2.53031,2.36806,2.34128,2.15063,2.01572,1.94464,1.90414,1.87785,1.82680,1.77789,1.78471,1.72516,1.74867,1.74326,1.76974,1.89647,2.03159,1.98994,2.01905,2.04994,2.09578,2.17623,2.21990,2.36316,2.48875,2.68970,2.79820,2.90602,3.09274,3.35882,3.32733,3.32698,3.34750,3.32372,3.35366,3.35594,3.24660,3.07922,3.04699,2.95913,2.90654,2.82953,2.85185,2.77459,2.79777,2.81695,2.73876,2.59949,2.49265,2.45446,2.49928,2.68338,2.63259,2.50342,2.58724,2.58459,2.63013,2.72912,2.63308,2.57020,2.66708,2.71499,2.86437,2.93404,2.82100,2.97650,3.08855,3.38912,3.59535,3.59222,3.53260,3.56667,3.51324,3.46727,3.46529,3.37638,3.48931,3.53719,3.48250,3.40313,3.33264,3.10717,3.01234,2.91989,2.86323,2.77075,2.75906,2.56895,2.60582,2.62219,2.46338,2.29373,2.18968
2009,Denman 66_11kV,04MAY2008,MW,2.06907,1.97810,2.04007,2.01369,1.94054,1.88835,1.83369,1.85023,1.88313,1.96927,1.95470,1.86393,1.77387,1.80956,1.77176,1.78829,1.76070,1.83261,1.83346,1.83806,1.90990,2.04694,2.07483,2.17556,2.29333,2.24453,2.31791,2.51977,2.63845,2.79480,3.02005,3.07350,3.14759,3.13258,3.20350,3.21516,3.29348,3.25701,3.24991,3.20617,3.04500,3.12146,3.00276,3.00140,3.03804,3.04094,3.05936,3.02821,2.90866,2.93048,2.89171,2.79953,2.78057,2.70587,2.75911,2.77487,2.77578,2.73477,2.66380,2.77758,2.72795,2.92459,2.91651,2.94978,3.03499,3.04433,3.06679,3.30612,3.50080,3.71776,3.89249,4.03850,4.02711,4.04841,4.14364,4.01386,3.92359,3.86730,3.80496,3.90491,3.86113,3.62981,3.50351,3.31295,3.18814,3.07932,2.97715,2.86735,2.65634,2.53067,2.40445,2.36003,2.48680,2.35509,2.22193,2.10706
2009,Denman 66_11kV,05MAY2008,MW,2.00107,1.93262,1.91124,1.93202,1.87360,1.81661,1.83152,1.82216,1.79294,1.88290,2.05852,1.96839,1.95294,1.88144,1.86429,1.84852,1.83745,1.93777,1.95613,2.04093,2.18873,2.31923,2.38416,2.60313,2.95433,2.98638,3.10331,3.38661,3.23891,3.29831,3.37250,3.42672,3.43525,3.41913,3.33950,3.37694,3.49706,3.45635,3.35613,3.29108,3.24336,3.15563,3.20811,3.21620,3.19521,3.40409,3.15696,3.14856,3.16448,3.29354,3.33874,3.11667,3.04840,3.11496,3.10080,3.17657,3.07584,3.04945,3.03373,2.99074,3.05987,3.08358,3.02556,3.10880,3.14265,3.34920,3.29695,3.37653,3.53836,3.60359,3.79963,3.92718,4.06469,4.06654,4.01037,4.02422,4.06425,3.94971,3.83982,3.77050,3.64876,3.57938,3.55642,3.45205,3.36385,3.16199,3.02610,2.90729,3.27224,3.16398,2.96711,2.94679,3.89016,3.76029,3.55195,3.38189
2009,Denman 66_11kV,06MAY2008,MW,3.13890,2.97965,2.76363,2.59875,2.41505,2.23674,2.30616,2.28166,2.15023,2.14827,2.06377,2.02277,1.95969,1.90432,1.91866,1.99395,2.01018,2.17446,2.27036,2.27380,2.40779,2.46290,2.54850,2.73540,3.00164,3.09109,3.15925,3.37270,3.26874,3.43235,3.64755,3.50175,3.46914,3.42347,3.17811,3.12960,3.06786,3.03088,3.10410,3.23337,3.07418,3.04482,2.94372,2.99145,2.95460,2.90875,2.86119,2.86565,2.85909,2.76338,2.75353,2.71897,2.82129,2.84229,2.72849,2.72270,2.79658,2.94247,2.89605,2.78938,2.82968,2.84206,2.86741,2.94090,2.88545,2.87600,2.93289,2.92743,3.01694,3.15924,3.30842,3.45176,3.62220,3.64827,3.71309,3.66722,3.60486,3.53855,3.47461,3.47658,3.46330,3.40918,3.29174,3.16979,2.96587,2.83553,2.78866,2.80680,3.13880,3.07082,2.91940,2.74825,3.61286,3.60698,3.41138,3.20808
2009,Denman 66_11kV,07MAY2008,MW,2.99824,2.81673,2.70448,2.53693,2.44505,2.28829,2.13718,2.05509,1.98967,1.93366,1.94108,1.89459,1.94318,2.11101,2.07344,2.02745,2.00162,2.04972,2.12351,2.16111,2.16769,2.30901,2.36311,2.45272,2.69501,2.79396,2.98216,3.28808,3.21753,3.17167,3.15361,3.10682,3.03685,3.01669,2.98893,2.90763,3.01175,3.06417,2.91195,2.87735,2.76467,2.70477,2.84522,2.93103,2.80672,2.86723,2.97136,3.11272,3.13601,3.07908,2.98550,3.00123,3.03514,3.02993,2.97792,3.02944,3.03151,3.01957,3.02700,3.07966,3.07335,3.08755,2.97777,3.05686,3.16335,3.17715,3.23576,3.33594,3.35882,3.39572,3.55607,3.74842,3.83420,3.86430,3.74196,3.60743,3.64820,3.58388,3.53889,3.54700,3.52504,3.51630,3.42836,3.25307,3.13594,3.07053,3.00987,3.07970,3.39409,3.33298,3.27633,3.09950,3.98470,3.92290,3.70561,3.43192
2009,Denman 66_11kV,08MAY2008,MW,3.21820,3.13475,2.99609,2.98384,2.73872,2.60953,2.46398,2.34001,2.34953,2.24394,2.24825,2.21874,2.18588,2.24651,2.24300,2.21549,2.21433,2.17569,2.23505,2.28146,2.33836,2.49523,2.64045,2.70822,2.86072,3.02763,3.13101,3.31367,3.17460,3.18395,3.41543,3.40670,3.40246,3.23270,3.20261,3.18545,3.22318,3.18126,3.17182,3.19481,3.07500,3.05523,3.05781,3.08760,2.98163,2.98859,2.87953,2.93690,2.88563,2.84967,2.97788,2.83351,2.86342,2.89194,2.96707,3.09067,2.88960,2.73610,2.76901,2.89899,3.08976,3.22510,3.15332,3.12047,2.97782,2.99765,3.03416,3.09071,3.15230,3.17061,3.33140,3.46026,3.46476,3.49142,3.48065,3.50413,3.63472,3.61427,3.56872,3.50830,3.41490,3.35114,3.24503,3.11076,3.04655,2.93454,2.81100,2.86489,3.27481,3.16108,2.98901,2.83694,3.66714,3.66632,3.54616,3.18289
2009,Denman 66_11kV,09MAY2008,MW,3.05557,2.95177,2.75139,2.54513,2.39085,2.26808,2.15074,2.09020,2.00410,2.02403,1.96525,1.91485,1.87671,1.73784,1.75315,1.81152,1.83275,2.01589,2.06212,2.09432,2.15919,2.28772,2.41169,2.40297,2.60963,2.71918,2.84049,3.06444,3.08303,3.37679,3.32096,3.42594,3.39071,3.32996,3.18896,3.05303,3.02561,2.96070,3.17363,3.10245,2.93331,2.85986,2.86230,3.16133,3.11741,3.06981,2.99372,3.06951,3.17638,3.08781,3.03367,3.04746,3.17456,3.15616,2.98793,2.94737,3.01969,3.26791,3.16529,3.17633,3.16443,3.03830,3.11659,3.13670,3.09226,3.02531,3.03147,3.05267,3.05913,3.26425,3.43628,3.45205,3.40826,3.39904,3.44535,3.47886,3.55677,3.60257,3.57610,3.50272,3.35708,3.31746,3.17083,3.10448,2.99984,2.94848,3.01918,3.08989,3.37043,3.20025,3.08434,2.96677,3.82234,3.77685,3.47332,3.22199
2009,Denman 66_11kV,10MAY2008,MW,3.08198,2.90738,2.73469,2.54516,2.43001,2.47732,2.38064,2.23978,2.16185,2.21716,2.13239,2.04822,1.97783,1.93639,1.96505,1.86936,1.88399,2.03603,2.15488,2.09269,2.18425,2.27716,2.18663,2.17844,2.23261,2.31396,2.34203,2.43706,2.52467,2.92193,3.20330,3.16168,3.20679,3.30051,3.29037,3.36693,3.41705,3.36055,3.51136,3.68138,3.31947,3.21888,3.27449,3.19846,3.25748,3.26394,3.15869,3.06166,3.08030,2.90476,2.87227,2.84820,2.85466,2.82590,2.74653,2.75940,2.81951,2.71465,2.63509,2.68373,2.72109,2.71093,2.91715,2.91357,2.94420,2.96157,3.10848,3.24308,3.23956,3.46205,3.69026,3.82290,3.85097,3.66847,3.54678,3.55066,3.49474,3.42161,3.43956,3.44059,3.38666,3.33215,3.17624,3.00856,2.97208,2.86046,2.74502,2.66955,2.68999,2.59369,2.49844,2.37052,2.31085,2.26202,2.14245,2.06646
