year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Drummoyne 132_11kV,01MAY2008,MW,24.69059,23.43389,22.39895,23.04578,22.14022,21.19769,20.19971,19.23870,18.70275,18.51794,17.94503,17.64934,17.33516,16.83617,16.72529,16.66985,16.68833,16.85466,17.00250,17.57541,18.18529,18.85060,19.92250,21.51186,23.63718,26.05818,28.90426,30.67843,32.61893,33.76475,33.74627,33.54298,32.15691,31.17742,30.32729,29.36628,28.44223,28.66400,27.94324,27.49970,26.87135,26.83439,26.63110,26.27996,26.29844,26.46477,26.52021,26.74198,26.72350,26.61261,26.46477,26.76046,26.55717,26.66806,26.48325,26.31692,26.61261,26.70502,26.48325,26.64958,26.92679,27.13008,27.75844,28.79337,29.56957,30.60451,32.28628,32.97007,35.59437,37.64576,39.73411,41.13867,42.43233,43.15309,43.63360,43.81841,43.39335,42.94980,42.32145,42.02575,41.37892,40.76905,40.27006,39.58626,38.73614,37.75665,36.61083,35.79766,34.26374,33.30273,31.89818,29.71742,28.23894,27.40730,26.00274,24.65363
2009,Drummoyne 132_11kV,02MAY2008,MW,24.67211,23.17515,21.93693,22.58376,21.99237,20.92047,20.16275,19.62680,19.14630,18.20377,17.87111,17.50149,17.20579,16.76225,16.78073,16.68833,16.79921,16.91010,17.05795,17.44605,17.79719,18.66579,19.55288,21.01288,23.82199,26.40932,29.16299,30.82628,31.97210,33.54298,33.39513,32.58197,31.73185,31.26982,30.12400,29.55109,28.68248,28.46071,27.81388,27.42578,27.13008,26.83439,26.72350,26.48325,25.96578,25.65160,25.78097,25.37439,25.70705,25.11565,25.30046,25.11565,25.04173,25.02325,25.28198,24.76452,24.65363,24.93084,25.11565,24.89388,25.31895,25.52224,25.94730,26.63110,26.74198,27.00071,28.03565,28.95970,31.58400,34.02349,36.13032,37.57184,38.75462,39.51234,39.77107,39.99285,39.80804,39.23513,39.21664,38.49589,37.84905,37.35006,36.75867,36.22272,35.09539,34.43007,33.48754,32.41564,32.47109,32.21235,31.02957,29.64350,28.44223,27.96173,27.24097,25.44831
2009,Drummoyne 132_11kV,03MAY2008,MW,26.29844,24.45034,23.28604,23.41540,22.50984,21.62275,20.71718,19.99642,19.33111,18.48098,17.85263,17.68630,17.09491,17.03947,16.65136,16.41111,16.61440,16.78073,17.00250,16.91010,17.22428,17.46453,17.61238,18.49946,19.31263,19.94098,20.84655,21.34553,23.08275,24.72755,26.33540,27.35185,28.33135,29.07058,29.90223,30.30881,30.19792,30.49362,30.41970,30.32729,29.97615,29.49565,29.18147,29.14451,28.71945,28.12805,27.90628,27.70299,27.00071,27.27793,26.87135,26.83439,26.33540,26.27996,26.20603,25.92882,26.18755,25.78097,25.63312,25.78097,26.22451,26.50173,26.31692,27.03768,27.81388,28.83033,30.27185,31.93514,34.43007,37.88601,40.38095,41.60069,42.06272,41.85942,41.63765,41.39740,40.21462,39.78955,38.62525,37.64576,36.53690,36.74019,35.87159,35.24323,34.17134,33.37665,32.84071,32.30476,31.52856,31.60248,31.51007,30.54906,29.32932,29.73590,28.33135,27.05616
2009,Drummoyne 132_11kV,04MAY2008,MW,27.33337,26.18755,24.37642,24.33945,23.48933,22.54680,21.60427,20.62478,19.83009,19.31263,18.48098,18.07440,17.64934,17.26124,17.16883,17.24276,17.09491,16.78073,16.98402,16.83617,16.96554,17.46453,17.61238,17.90807,18.57339,18.64731,19.38655,19.86706,21.06832,22.12174,23.50781,24.54274,25.92882,26.76046,28.01717,28.83033,29.44020,29.66198,29.64350,29.84679,30.12400,29.95767,29.62501,29.44020,28.79337,28.47919,28.16502,27.98021,27.75844,27.07464,26.48325,26.33540,26.15059,25.63312,25.78097,25.44831,25.35591,25.13414,25.18958,25.65160,25.37439,25.98426,26.03970,26.70502,27.61059,28.38679,30.17944,32.06450,35.42804,39.08728,42.39537,43.59664,44.46524,45.00119,44.40980,44.81638,44.33588,43.57816,43.24550,42.19208,41.34196,41.52677,40.43639,38.86551,37.90449,36.00095,35.18779,33.74627,33.13640,32.13843,30.75235,28.86729,27.24097,26.77894,25.20806,24.06224
2009,Drummoyne 132_11kV,05MAY2008,MW,24.63515,22.78705,21.62275,22.38047,21.54883,20.93895,19.97794,19.29415,18.81364,18.29617,17.64934,17.46453,17.00250,16.70681,16.79921,16.55896,16.65136,16.37415,16.72529,17.13187,17.55693,18.38858,19.16478,20.60630,23.69262,25.87337,29.51413,31.30678,33.13640,34.44855,34.07893,32.84071,32.13843,31.49159,30.25337,29.55109,29.14451,28.60856,28.51616,27.96173,27.49970,27.31489,27.01920,26.53869,26.52021,26.53869,26.05818,25.85489,25.57768,25.65160,25.37439,25.59616,25.35591,25.41135,25.61464,25.50376,25.48527,25.11565,24.81996,25.11565,25.04173,24.87540,25.48527,26.16907,26.70502,27.99869,28.86729,30.29033,33.24729,36.86956,38.86551,40.06677,42.17360,43.78145,44.00322,44.42828,44.28043,43.91081,43.98474,43.39335,42.56170,42.02575,41.41588,40.45487,39.12424,37.79361,36.40753,34.98450,33.46906,32.74830,31.10349,28.83033,27.11160,26.59413,25.26350,23.87743
2009,Drummoyne 132_11kV,06MAY2008,MW,24.11768,22.63920,21.49338,22.43591,21.47490,20.71718,20.08883,19.22022,18.61035,18.29617,17.48301,17.27972,16.96554,16.79921,16.54048,16.28175,16.48504,16.52200,16.66985,17.51997,18.07440,18.40706,19.62680,21.32705,23.61870,26.22451,28.51616,31.06653,33.35817,34.59640,34.91058,33.65387,33.08096,32.13843,31.84273,30.88172,30.19792,30.17944,29.47717,29.36628,28.94122,28.68248,28.18350,28.09109,27.40730,26.83439,26.37236,26.31692,26.15059,25.96578,26.07667,25.92882,25.85489,25.61464,25.28198,25.59616,25.61464,25.92882,25.68857,25.94730,26.50173,27.07464,27.31489,27.96173,28.81185,29.71742,30.78932,31.93514,34.46703,37.20222,38.73614,39.78955,41.63765,42.21056,42.41385,43.09765,43.07917,42.82044,42.54322,42.26601,41.56373,40.87993,40.27006,39.21664,38.42196,37.51639,36.33361,34.94754,33.93108,32.84071,31.47311,29.66198,27.61059,26.83439,25.46679,24.17312
2009,Drummoyne 132_11kV,07MAY2008,MW,24.57971,22.97186,21.77060,22.34351,21.77060,21.06832,20.27364,19.40503,18.62883,18.09288,17.42757,17.02098,16.96554,16.66985,16.20782,16.76225,16.50352,16.48504,16.79921,17.22428,17.64934,18.49946,19.34959,21.12376,23.63718,25.74401,28.66400,30.40122,32.30476,33.21032,32.97007,32.72982,31.30678,30.27185,29.25539,28.64552,27.66603,27.62907,27.40730,27.38882,26.57565,26.37236,25.67008,25.17110,25.41135,26.07667,25.52224,25.41135,25.50376,25.22654,25.44831,25.06021,25.20806,25.13414,24.80148,24.69059,24.83844,24.78300,24.67211,24.72755,24.98629,24.94933,25.68857,25.65160,26.48325,26.83439,27.99869,29.14451,32.10147,34.54096,37.23918,38.34804,39.56778,40.62120,41.08322,41.23107,41.82246,41.60069,41.39740,40.84297,40.75057,39.82652,38.84702,38.31108,37.22070,35.89007,34.98450,33.70931,33.11792,32.54501,30.97413,29.08907,27.09312,26.52021,25.30046,23.87743
2009,Drummoyne 132_11kV,08MAY2008,MW,24.45034,22.91642,21.80756,22.12174,21.64123,20.60630,19.86706,19.22022,18.46250,17.74174,17.51997,17.27972,17.11339,16.83617,16.55896,16.57744,16.28175,16.54048,16.74377,17.07643,17.70478,18.51794,18.96149,20.40300,23.19363,25.67008,28.75641,30.53058,32.06450,33.15488,33.33969,32.82222,31.25134,30.75235,29.93919,29.05210,28.36831,27.61059,27.29641,26.74198,26.83439,26.09515,25.98426,25.68857,25.46679,25.39287,25.44831,25.18958,25.48527,25.37439,25.15262,25.22654,25.02325,24.81996,24.78300,25.09717,25.04173,24.94933,24.80148,25.20806,25.28198,25.31895,25.44831,26.00274,26.70502,27.53666,28.53464,30.27185,32.63741,35.55741,37.70120,38.38500,40.32550,40.52879,41.24955,41.91487,41.76702,40.76905,41.13867,40.86145,39.97436,39.38297,39.10576,37.94146,37.25766,36.22272,35.37260,34.15285,33.45058,32.65590,31.62096,29.49565,27.48122,27.40730,26.13211,24.32097
2009,Drummoyne 132_11kV,09MAY2008,MW,24.46882,23.04578,22.12174,22.58376,21.78908,20.64326,20.07035,19.31263,18.72123,18.20377,17.44605,17.13187,16.92858,16.79921,16.46656,16.50352,16.31871,16.52200,16.66985,17.24276,17.85263,18.59187,19.18326,20.82807,23.41540,25.52224,28.64552,29.90223,31.63944,32.84071,32.61893,32.26779,31.54704,30.77084,29.86527,28.88578,28.23894,27.25945,27.14856,27.25945,26.85287,25.98426,26.15059,25.55920,25.74401,25.46679,25.42983,25.44831,25.31895,25.42983,25.57768,25.15262,25.06021,24.87540,24.87540,24.76452,24.59819,24.91236,24.91236,24.87540,25.15262,25.06021,25.44831,25.72553,26.68654,27.31489,28.16502,29.86527,32.67438,34.78121,36.59234,37.88601,38.29259,39.47538,39.23513,39.16120,38.58829,38.32956,38.16323,37.47943,36.74019,36.01943,35.96399,35.59437,34.48551,33.61691,33.04400,32.19387,32.17539,31.23286,30.56754,28.97818,27.92476,27.73995,26.55717,25.17110
2009,Drummoyne 132_11kV,10MAY2008,MW,25.61464,23.98831,22.89794,23.56325,22.43591,21.60427,20.49541,19.88554,19.03541,18.25921,18.00048,17.35364,16.96554,16.79921,16.66985,16.55896,16.57744,16.39263,16.65136,16.61440,16.92858,17.64934,17.77870,18.25921,19.07237,19.31263,20.51389,20.75414,21.95541,23.24908,24.59819,25.61464,26.96375,27.79540,28.36831,28.75641,29.32932,29.56957,29.42172,29.53261,29.47717,29.25539,28.81185,28.79337,28.33135,27.96173,27.79540,27.66603,27.05616,26.53869,26.53869,26.42780,26.48325,26.11363,26.02122,25.81793,25.30046,25.85489,25.67008,25.20806,25.18958,26.03970,26.09515,26.59413,27.61059,28.51616,29.58805,31.75033,34.06045,36.48146,39.34601,39.95588,40.19614,40.12221,39.77107,39.05032,38.05234,37.22070,36.48146,35.92703,34.74425,33.89412,33.83868,32.97007,31.93514,31.39919,30.75235,29.79134,30.12400,29.80982,29.27388,28.31286,27.61059,27.66603,26.77894,25.35591
