year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Dudley 33_11kV,01MAY2008,MW,4.46200,4.88880,4.67540,5.04400,5.05370,4.75300,4.57840,5.06340,4.74330,4.39410,3.80240,3.41440,3.18160,3.19130,2.92940,2.73540,2.73540,2.67720,2.60930,2.65780,2.74510,2.94880,2.96820,3.07490,3.75390,3.91880,4.27770,4.80150,4.67540,5.50960,5.67450,5.73270,5.60660,5.30590,5.04400,4.88880,4.54930,4.48140,4.29710,4.07400,3.98670,4.10310,4.10310,4.14190,3.80240,3.86060,3.99640,3.86060,3.86060,3.79270,3.80240,3.76360,3.65690,3.73450,3.68600,3.72480,3.95760,4.03520,3.96730,3.92850,3.88970,3.99640,4.12250,4.10310,4.47170,4.89850,5.18950,5.59690,5.94610,6.47960,7.12950,7.37200,7.34290,7.29440,7.26530,7.05190,6.91610,7.42050,6.97430,6.87730,6.75120,6.38260,6.10130,6.10130,5.77150,5.51930,5.42230,5.52900,5.11190,6.51840,5.68420,5.92670,5.17010,4.61720,4.14190,4.54930
2009,Dudley 33_11kV,02MAY2008,MW,4.54930,4.83060,4.57840,5.11190,5.04400,4.89850,4.45230,5.01490,4.81120,4.36500,3.85090,3.63750,3.28830,3.12340,2.88090,2.78390,2.68690,2.69660,2.76450,2.50260,2.59960,2.79360,2.84210,2.97790,3.49200,3.85090,4.05460,4.72390,4.71420,4.85970,5.31560,5.25740,5.04400,5.02460,4.59780,4.56870,4.25830,4.12250,3.97700,3.79270,3.54050,3.77330,3.69570,3.57930,3.60840,3.57930,3.49200,3.60840,3.55020,3.52110,3.39500,3.32710,3.52110,3.31740,3.29800,3.31740,3.20100,3.32710,3.30770,3.32710,3.32710,3.44350,3.52110,3.58900,3.86060,3.88000,4.18070,4.34560,4.71420,5.28650,5.82970,5.91700,5.92670,5.98490,6.04310,5.92670,5.88790,6.35350,6.05280,5.84910,5.69390,5.50960,5.39320,5.26710,5.05370,4.75300,4.71420,4.77240,4.61720,6.46020,5.33500,5.30590,4.94700,4.56870,4.13220,4.45230
2009,Dudley 33_11kV,03MAY2008,MW,4.45230,5.00520,4.73360,5.16040,5.10220,4.91790,4.55900,4.13220,3.62780,4.58810,4.11280,3.67630,3.23980,3.12340,2.99730,2.67720,2.88090,2.74510,2.68690,2.53170,2.58990,2.52200,2.60930,2.76450,2.81300,3.20100,3.32710,3.47260,4.08370,4.80150,5.07310,5.25740,5.58720,5.65510,5.51930,5.70360,5.51930,5.77150,5.49020,5.19920,5.15070,5.04400,4.95670,4.97610,4.60750,4.30680,4.48140,4.31650,4.25830,4.18070,4.23890,4.13220,3.98670,4.03520,3.88000,3.94790,4.13220,4.04490,3.86060,4.02550,3.87030,4.09340,4.24860,4.24860,4.52990,4.72390,5.02460,4.75300,5.17980,5.64540,6.17890,6.33410,6.31470,6.19830,6.18860,5.93640,5.79090,6.23710,6.12070,5.77150,5.58720,5.53870,5.32530,5.27680,5.01490,5.09250,4.93730,6.44080,5.39320,5.06340,4.55900,4.72390,4.32620,4.72390,4.06430,3.78300
2009,Dudley 33_11kV,04MAY2008,MW,3.78300,4.18070,3.80240,4.89850,4.52990,3.64720,3.22040,3.00700,2.80330,3.12340,2.76450,2.59960,2.44440,2.59960,2.40560,2.46380,2.46380,2.35710,2.52200,2.51230,2.43470,2.71600,2.54140,2.66750,2.72570,2.92940,3.02640,3.16220,3.58900,4.08370,4.40380,4.90820,5.05370,5.26710,5.48050,5.62600,5.73270,5.76180,5.73270,5.59690,5.45140,5.18950,5.08280,5.04400,4.74330,4.65600,4.42320,4.48140,4.31650,4.39410,4.23890,4.20010,4.18070,4.20010,4.14190,4.00610,3.92850,4.01580,3.74420,3.89940,4.27770,4.17100,4.20980,4.35530,4.82090,4.87910,5.15070,4.99550,5.46110,6.01400,6.55720,6.93550,7.02280,7.11980,6.90640,6.89670,6.80940,7.03250,6.72210,6.36320,6.27590,6.03340,5.89760,5.81030,5.63570,5.62600,5.00520,6.69300,5.58720,4.91790,4.49110,4.57840,4.23890,4.61720,3.88970,3.65690
2009,Dudley 33_11kV,05MAY2008,MW,3.65690,3.95760,3.53080,4.58810,4.28740,3.70540,3.21070,3.28830,3.02640,2.83240,2.66750,2.64810,2.44440,2.60930,2.47350,2.37650,2.44440,2.47350,2.34740,2.52200,2.63840,2.83240,2.82270,3.28830,3.48230,3.90910,4.44260,4.80150,5.09250,5.50960,5.68420,5.71330,5.69390,5.46110,5.12160,5.09250,4.69480,4.52990,4.36500,4.05460,3.96730,3.86060,3.79270,3.79270,3.65690,3.52110,3.56960,3.41440,3.38530,3.49200,3.48230,3.36590,3.46290,3.39500,3.42410,3.26890,3.23010,3.24950,3.28830,3.32710,3.32710,3.33680,3.45320,3.62780,3.69570,4.15160,4.36500,4.59780,5.06340,5.77150,6.54750,6.80940,6.99370,6.77060,6.82880,6.63480,6.50870,6.92580,6.61540,6.45050,6.21770,6.06250,5.87820,5.56780,5.30590,4.95670,5.00520,4.98580,4.67540,6.54750,5.49020,5.43200,4.87910,4.34560,3.91880,4.32620
2009,Dudley 33_11kV,06MAY2008,MW,4.32620,4.85970,4.68510,5.12160,5.03430,4.78210,4.58810,5.01490,4.80150,4.45230,3.85090,3.70540,3.35620,3.10400,2.85180,2.76450,2.63840,2.65780,2.65780,2.53170,2.80330,2.82270,2.99730,3.13310,3.41440,3.90910,4.40380,4.94700,4.85000,5.40290,5.73270,5.82970,5.52900,5.29620,4.99550,4.68510,4.53960,4.20010,4.08370,4.02550,3.82180,3.69570,3.57930,3.59870,3.57930,3.52110,3.42410,3.52110,3.60840,3.50170,3.35620,3.35620,3.29800,3.38530,3.12340,3.36590,3.39500,3.35620,3.41440,3.32710,3.31740,3.60840,3.45320,3.55990,3.69570,3.96730,4.26800,4.56870,4.94700,5.46110,6.29530,6.39230,6.38260,6.62510,6.45050,6.44080,6.05280,6.50870,6.05280,5.81030,5.63570,5.36410,5.23814,5.10220,4.91790,4.61720,4.51050,4.68510,4.52020,6.27590,5.09250,5.09250,4.47170,4.22920,3.71510,4.20980
2009,Dudley 33_11kV,07MAY2008,MW,4.20980,4.79180,4.61720,5.07310,4.92760,4.65600,4.26800,4.85970,4.54930,4.22920,3.71510,3.44350,3.04580,2.91000,2.74510,2.70630,2.54140,2.54140,2.55110,2.56080,2.59960,2.72570,2.84210,3.03610,3.23010,3.83150,4.15160,4.59780,4.51050,4.90820,5.03430,5.02460,4.90820,4.76270,4.62690,4.14190,3.97700,3.88000,3.85090,3.56960,3.47260,3.49200,3.44350,3.48230,3.29800,3.35620,3.42410,3.23980,4.38440,4.12250,3.89940,3.65690,5.18950,4.50080,4.20010,3.93820,3.76360,3.53080,3.49200,3.46290,3.54050,3.32710,3.50170,3.49200,3.63750,3.78300,4.04490,4.28740,4.69480,5.30590,6.39230,6.68330,6.95490,6.84820,6.77060,6.58630,6.38260,6.05280,6.01400,5.67450,5.68420,5.63570,5.35440,5.07310,5.02460,4.58810,4.65600,4.78210,4.44260,5.60660,4.85000,4.69480,4.43290,4.11280,3.77330,4.09340
2009,Dudley 33_11kV,08MAY2008,MW,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.09340,4.56870,6.89670,6.64450,6.06250,5.95580,5.74240,5.82970,5.77150,5.61630,5.47080,5.16040,4.95670,5.02460,5.02460,4.76270,5.89760,5.01490,5.02460,4.59780,4.26800,3.92850,4.21950
2009,Dudley 33_11kV,09MAY2008,MW,4.21950,4.81120,4.48140,4.95670,5.07310,4.77240,4.34560,4.79180,4.52990,4.15160,3.85090,3.55020,3.15250,3.00700,2.82270,2.65780,2.53170,2.48320,2.49290,2.61900,2.53170,2.76450,2.91000,3.15250,3.41440,3.77330,4.15160,4.85000,4.46200,4.75300,5.18950,5.26710,5.13130,4.92760,4.73360,4.49110,4.02550,3.88970,3.93820,3.71510,3.69570,3.54050,3.61810,3.45320,3.50170,3.57930,3.46290,3.27860,3.29800,3.35620,3.29800,3.23010,3.18160,3.32710,3.35620,3.27860,3.32710,3.28830,3.28830,3.22040,3.29800,3.26890,3.48230,3.55990,3.78300,3.96730,4.07400,4.29710,4.91790,5.22830,5.71330,6.30500,6.68330,6.83850,6.56690,6.76090,6.48930,5.89760,5.82970,5.62600,5.59690,5.34470,5.32530,5.19920,5.01490,4.84030,4.92760,4.97610,4.65600,6.00430,5.03430,4.87910,4.62690,4.20980,3.87030,4.34560
2009,Dudley 33_11kV,10MAY2008,MW,4.34560,4.79180,4.66570,5.10220,5.17010,4.93730,4.53960,4.15160,3.86060,4.56870,4.01580,3.80240,3.33680,3.05550,2.87120,2.88090,2.82270,2.58990,2.64810,2.58020,2.51230,2.60930,2.60930,2.71600,2.71600,2.99730,3.17190,3.55020,3.90910,4.39410,4.97610,5.15070,5.42230,5.61630,5.41260,5.22830,5.52900,5.10220,4.89850,4.94700,5.01490,4.94700,4.85970,4.72390,4.72390,4.69480,4.21950,4.16130,4.15160,4.25830,4.26800,4.08370,4.25830,4.17100,4.07400,4.03520,3.88000,3.96730,3.92850,3.97700,3.97700,3.86060,4.10310,4.44260,4.52990,4.67540,4.98580,4.92760,5.25740,5.90730,6.09160,6.54750,6.74150,6.59600,6.56690,6.36320,5.92670,5.55810,5.39320,5.16040,4.96640,4.85970,5.01490,4.84030,4.46200,4.61720,4.31650,5.38350,4.49110,4.25830,3.95760,4.34560,3.97700,4.36500,3.77330,3.50170
