year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Jewells 33_11kV,01MAY2008,MW,8.10947,7.79113,7.94135,8.29582,8.25498,7.79742,7.55550,8.28678,7.63076,6.88899,6.27891,5.82151,5.32481,4.98401,4.66386,4.50614,4.43044,4.40589,4.47686,4.61727,4.72757,5.01506,5.31347,5.59995,6.22082,6.83441,7.53248,7.47615,7.76668,8.24911,8.44863,8.70899,8.70200,8.54558,8.34867,8.27362,7.91161,7.64957,7.44851,7.46581,7.31025,7.24117,7.11832,6.98495,6.96350,6.94825,6.93753,6.94050,6.89632,6.72370,6.68705,6.75711,6.83367,6.78508,6.69053,6.68361,6.73780,6.63974,6.62099,6.52042,6.55383,6.63329,6.72444,7.01753,7.43447,7.76817,8.23955,8.71556,9.27650,10.00838,10.65986,10.49456,10.51356,10.56136,10.37691,10.26620,10.07867,10.34699,9.99063,9.70056,9.39198,9.01125,8.76083,8.40858,8.11416,7.91805,8.14591,7.89553,9.36206,9.08244,8.58541,7.98658,7.59307,6.91915,7.07507,7.74945
2009,Jewells 33_11kV,02MAY2008,MW,8.10870,7.81752,7.84343,8.23057,8.20535,7.71686,7.40825,8.05176,7.26084,6.52722,5.98864,5.62818,5.22803,4.84774,4.59007,4.31507,4.32007,4.26293,4.21286,4.31002,4.64570,4.84727,5.07778,5.43084,6.11455,6.71886,7.26057,7.00516,7.23297,7.81464,7.95503,7.76703,7.65998,7.56147,7.45077,7.31326,7.10519,6.96006,6.79801,6.63943,6.66705,6.65173,6.46600,6.43177,6.35030,6.25107,6.26559,6.20786,6.33306,6.23315,6.24934,6.18049,6.15395,6.09644,6.03986,6.10693,6.06091,6.06588,6.06036,6.13843,6.13897,6.04205,6.11733,6.34136,6.37066,6.58608,6.81770,7.21392,7.68741,8.31890,8.91944,8.86831,8.98205,8.92285,8.81668,8.66693,8.49389,8.59882,8.30435,8.13552,7.87926,7.69623,7.55307,7.37036,7.13467,6.97026,7.26997,7.23669,8.87467,8.84709,8.34796,7.76255,7.50037,6.84220,7.04951,7.89343
2009,Jewells 33_11kV,03MAY2008,MW,8.19672,7.87143,8.01612,8.32159,8.22921,7.72746,7.00136,6.51351,7.27560,6.89984,6.30733,5.72927,5.24272,4.85933,4.66001,4.52043,4.34408,4.28923,4.23288,4.34322,4.43044,4.44136,4.57073,4.71513,4.92084,5.25633,5.47393,6.16340,6.85232,7.33246,7.81399,8.11308,8.43727,8.69813,8.84341,8.88507,8.79384,8.84362,8.55921,8.32951,8.15141,8.02158,7.79996,7.76304,7.57961,7.13031,7.10796,6.89066,6.88696,6.67728,6.61095,6.52630,6.57414,6.39760,6.21734,6.19915,6.14100,6.28758,6.32439,6.33538,6.41617,6.58890,6.54906,6.78046,7.00107,7.24521,7.41542,7.19996,7.83756,8.51425,9.13233,8.98893,8.93425,8.81966,8.70548,8.49258,8.33109,8.61336,8.33821,8.13293,7.98661,7.88420,7.93723,7.64992,7.65661,7.43576,9.10639,8.71246,7.86570,7.15239,7.45892,7.00725,7.33735,7.02078,6.21058,6.43709
2009,Jewells 33_11kV,04MAY2008,MW,6.67565,6.15105,6.20092,7.29896,6.55559,5.80883,5.20167,4.75576,5.14331,4.89192,4.56877,4.37590,4.15393,4.04759,4.06664,3.95371,4.00808,3.99308,4.05987,4.11167,4.25206,4.38413,4.46037,4.54892,4.77944,4.85144,5.09833,5.51993,5.98487,6.29701,6.62415,7.08195,7.66080,8.06586,8.44676,8.52304,8.74884,8.71811,8.47524,8.28155,8.09877,7.97224,7.74984,7.59629,7.44317,7.33503,6.98699,6.94592,6.80965,6.77653,6.60743,6.53005,6.50459,6.38375,6.19586,6.05911,6.10314,6.21356,6.11072,6.27224,6.34218,6.34592,6.39003,6.57408,7.06119,7.39191,7.64749,7.54663,8.35692,9.09713,10.03085,9.94945,10.07465,10.03779,9.79497,9.55236,9.52315,9.66602,9.33531,8.97824,8.63599,8.28940,8.24892,7.99865,7.83666,7.45056,9.00738,8.54611,7.67395,6.58702,6.99350,6.45533,6.90433,6.61296,5.83144,6.07097
2009,Jewells 33_11kV,05MAY2008,MW,6.37039,5.80883,5.89188,7.03635,6.36907,5.52575,5.22038,5.37275,4.79280,4.46882,4.18383,4.15520,4.08577,3.98382,3.96418,4.01173,4.04418,4.14595,4.23702,4.44429,4.54625,4.82021,5.13956,5.58829,6.14720,6.79762,7.49074,7.78528,8.05476,8.57302,8.75336,8.94089,8.73110,8.44863,8.15965,7.81726,7.68016,7.57178,7.34940,7.19116,7.03071,6.90842,6.77569,6.70708,6.61374,6.55357,6.51801,6.54516,6.56175,6.42833,6.27810,6.34073,6.29160,6.26412,6.21704,6.33110,6.14894,6.24755,6.34115,6.24252,6.32819,6.30704,6.37536,6.54878,6.81835,6.97594,7.34045,7.70550,8.35305,9.22442,10.04883,10.15607,10.19633,10.15267,9.96532,9.69736,9.49848,9.73228,9.50454,9.30742,9.00910,8.71398,8.49316,8.15877,7.69623,7.50270,7.73725,7.52006,9.07482,8.91962,8.34900,7.84578,7.45572,6.67533,6.82775,7.49020
2009,Jewells 33_11kV,06MAY2008,MW,7.80249,7.52345,7.67622,8.06747,8.01103,7.57142,7.31030,8.12012,7.59668,6.91947,6.32455,5.72558,5.25798,4.96553,4.75991,4.57359,4.41002,4.40091,4.38352,4.62776,4.80952,5.02175,5.28468,5.55924,6.23935,6.96127,7.51344,7.92931,7.99865,8.58016,8.97402,8.97773,8.78321,8.51457,8.03137,7.69349,7.42907,7.32345,7.14875,7.00316,6.79988,6.76320,6.63641,6.43052,6.37736,6.26749,6.31117,6.35724,6.30791,6.30137,6.14455,6.14395,6.14345,6.11704,6.10149,6.19512,6.20054,6.27905,6.16882,6.14306,6.23202,6.20221,6.28768,6.47662,6.61506,7.07908,7.41176,7.77374,8.34920,9.15074,9.58142,9.44193,9.58195,9.55278,9.39841,9.01694,8.83606,9.02950,8.77221,8.38600,8.07735,7.88320,7.67037,7.52720,7.13342,7.05181,7.25220,7.13794,8.53878,8.49080,8.24079,7.51314,7.08143,6.54252,6.66574,7.38810
2009,Jewells 33_11kV,07MAY2008,MW,7.82944,7.53230,7.62016,8.11188,7.94388,7.50423,7.25542,7.95158,7.19613,6.51351,5.90308,5.34046,4.96624,4.67843,4.44351,4.37590,4.23966,4.15680,4.15018,4.38161,4.55459,4.71926,4.99036,5.41291,6.09973,6.74804,7.20798,7.20351,7.42199,7.79982,8.03576,7.92506,7.86266,7.69623,7.61836,7.32963,7.16332,7.10312,6.90994,6.80908,6.63265,6.61619,6.47294,6.47859,6.35832,6.26908,6.34714,6.41529,6.31761,6.24934,6.26480,6.25358,6.11295,6.05038,5.98917,6.13843,6.15017,6.15898,6.17957,6.21103,6.23315,6.18547,6.25424,6.51029,6.59602,6.70377,6.82396,7.30500,8.01756,8.56676,9.14748,9.21504,9.26513,9.19529,8.97873,8.85733,8.65597,8.91515,8.65080,8.52609,8.30683,8.10097,7.76583,7.46054,7.18236,7.05843,7.30062,7.11982,8.61228,8.56541,8.25200,7.62189,7.21915,6.51778,6.69307,7.43330
2009,Jewells 33_11kV,08MAY2008,MW,7.82157,7.64883,7.66368,8.12730,8.12573,7.72154,7.35140,8.00322,7.37754,6.55267,6.02459,5.51216,4.94360,4.63058,4.52425,4.32007,4.28328,4.16348,4.22370,4.31656,4.56545,4.75467,4.91274,5.38706,6.02575,6.68629,7.32126,7.27370,7.55149,8.01459,8.01963,8.06081,8.12762,7.99599,7.74796,7.42359,7.01421,6.81958,6.83277,6.86582,6.58443,6.49910,6.39981,6.28517,6.14333,6.19425,6.22134,6.24934,6.11145,6.10670,5.96605,5.97081,6.00159,5.89280,5.84079,5.91776,5.86574,5.77619,5.81195,5.93317,5.85514,5.95437,6.07596,6.28485,6.49154,6.70065,6.84552,7.17021,7.74302,8.59648,9.38031,9.26053,9.33413,9.25263,9.17998,9.15923,8.96321,9.21439,8.93159,8.82992,8.55565,8.28317,8.05324,7.72421,7.51628,7.39902,7.56068,7.42436,9.10032,8.95940,8.52755,7.84090,7.39653,6.73854,6.80529,7.58580
2009,Jewells 33_11kV,09MAY2008,MW,7.91494,7.70815,7.59922,8.18014,8.11188,7.57291,7.28962,8.08666,7.41761,6.78113,6.07944,5.52110,5.06907,4.74101,4.55697,4.39573,4.32697,4.15933,4.22877,4.42505,4.60069,4.85008,5.04721,5.51934,6.19533,6.92800,7.38406,7.19252,7.56443,8.17191,8.54806,8.52224,8.36470,8.11191,7.80638,7.57484,7.39016,7.21522,7.01265,6.93135,6.84434,6.65980,6.50738,6.52510,6.44476,6.25990,6.30563,6.28026,6.34851,6.32739,6.30067,6.25855,6.22152,6.20651,6.05596,6.08138,6.16947,6.20600,5.98844,6.11295,5.94377,6.02282,6.01924,6.31538,6.48978,6.77645,6.89372,7.37899,7.99755,8.75935,9.47037,9.16050,9.15236,9.22317,8.90749,8.70766,8.54951,8.77941,8.38217,8.11027,7.87926,7.64053,7.49443,7.37036,7.24096,7.05008,7.38431,7.33252,8.93693,8.83396,8.41219,7.90364,7.55686,6.75867,6.98906,7.72427
2009,Jewells 33_11kV,10MAY2008,MW,8.14003,7.94207,8.01005,8.40860,8.33400,7.78632,7.21591,6.55624,7.30957,7.00136,6.38469,5.73997,5.29139,5.00971,4.75278,4.61439,4.41174,4.23222,4.17852,4.28216,4.42259,4.53288,4.56965,4.74782,5.02592,5.37134,5.59884,5.96316,6.62304,7.22030,7.78670,8.14948,8.40548,8.59485,8.75763,8.86596,8.59931,8.40135,8.30901,8.20561,7.89250,7.86239,7.79614,7.50538,7.32256,7.31549,7.22885,7.13634,6.89899,6.58043,6.63513,6.57556,6.36661,6.35405,6.28432,6.20756,6.25532,6.18565,6.19357,6.11601,6.23735,6.27724,6.33284,6.47529,6.74552,7.24043,7.49805,7.37316,7.85872,8.35570,8.81946,8.66233,8.55904,8.49389,8.34465,7.99859,7.91302,8.14269,7.78685,7.58297,7.32001,7.10349,7.13060,6.87719,6.75347,6.49993,8.20713,7.94944,7.07169,6.46733,6.87028,6.49343,6.82896,6.65382,6.01458,6.12660
