year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Killarney 33_11kV,01MAY2008,MW,7.20530,6.65830,6.33764,8.16726,8.01636,7.73343,7.58254,7.01668,6.67716,6.14902,5.94154,5.88495,5.50771,5.16820,5.09275,5.07389,4.90413,4.90413,5.18706,5.50771,5.75292,6.03585,6.58285,7.12985,7.92205,8.86516,10.14777,9.92143,10.60046,10.54388,10.67591,10.37412,10.61932,10.37412,9.63850,9.39329,9.05378,,8.73312,8.58223,8.46905,8.39360,8.26157,7.99750,7.95978,7.95978,7.63912,7.80888,7.82774,7.84661,7.80888,7.82774,7.97864,7.80888,7.84661,7.88433,7.80888,7.77116,7.84661,7.73343,7.82774,8.11067,8.48791,8.82743,9.20467,9.67622,10.16664,10.29867,11.46812,12.05284,12.69415,13.20342,13.39204,13.63725,13.41091,13.35432,12.93935,12.78846,12.71301,12.26032,12.07170,13.69384,12.67529,12.12829,11.12860,10.93998,10.82681,10.35526,12.29805,11.92081,11.09088,11.37381,10.22322,9.05378,8.35588,7.75230
2009,Killarney 33_11kV,02MAY2008,MW,7.35619,6.80919,6.60171,8.39360,8.11067,7.65799,7.35619,6.94123,6.56399,6.35651,5.96040,5.80951,5.50771,5.35682,5.39454,5.03616,4.88527,4.94185,4.90413,5.28137,5.39454,5.69633,6.07357,6.75261,8.12954,8.82743,9.92143,9.77053,10.37412,10.65705,10.86453,10.97770,10.65705,9.99688,9.67622,9.46874,9.46874,9.12922,8.99719,8.77085,8.45019,8.37474,8.22385,7.99750,8.11067,7.73343,7.80888,7.80888,7.58254,7.62026,7.50709,7.39392,7.41278,7.45050,7.50709,7.43164,7.52595,7.35619,7.46937,7.33733,7.52595,7.67685,7.62026,7.69571,8.11067,8.26157,8.99719,8.86516,9.60077,10.67591,11.39267,11.78877,12.12829,12.01512,11.82649,11.76991,11.41153,11.48698,11.58129,11.07201,11.03429,12.39236,11.69446,11.31722,10.71363,10.44957,10.24208,9.65736,11.80763,11.58129,10.78908,11.29836,10.16664,9.24240,8.46905,7.88433
2009,Killarney 33_11kV,03MAY2008,MW,7.39392,7.12985,6.75261,8.29929,8.01636,7.80888,7.46937,6.79033,6.52626,6.18675,5.92268,5.56430,5.43227,5.22478,5.24365,4.79096,4.92299,4.77209,4.82868,5.01730,5.09275,5.30023,5.46999,5.80951,6.18675,6.48854,7.31847,7.75230,8.33702,8.92174,9.58191,10.14777,10.41184,10.26095,10.69477,10.60046,10.61932,10.43070,10.37412,10.03460,9.82712,9.77053,9.24240,9.20467,9.01605,8.67654,8.67654,8.41247,8.14840,8.22385,7.95978,8.03523,8.14840,7.69571,8.05409,7.77116,7.80888,7.84661,7.84661,7.84661,7.97864,7.90319,8.03523,8.22385,8.52564,8.69540,9.37443,9.28012,10.29867,11.31722,12.10943,12.46780,12.48667,12.48667,12.26032,12.07170,11.73218,11.50584,11.27950,11.09088,10.86453,12.67529,11.61901,11.31722,10.71363,10.46843,10.12891,9.80826,11.71332,10.78908,9.84598,10.61932,9.44988,8.67654,8.18612,7.54481
2009,Killarney 33_11kV,04MAY2008,MW,7.35619,6.97895,6.69602,8.31816,8.22385,7.92205,7.63912,7.20530,6.97895,6.52626,6.45082,6.22447,5.77178,5.62089,5.54544,5.63975,5.54544,5.37568,5.22478,5.43227,5.58316,5.54544,5.62089,5.84723,6.24333,6.41309,6.80919,7.16757,8.12954,8.88402,9.28012,9.50646,10.14777,10.41184,10.52501,10.50615,10.90226,10.52501,10.29867,10.22322,9.92143,9.77053,9.44988,9.39329,8.90288,8.58223,8.73312,8.18612,8.14840,8.05409,8.03523,7.77116,7.82774,7.65799,7.77116,8.03523,7.69571,7.77116,7.86547,8.03523,7.75230,7.62026,8.05409,8.11067,8.80857,8.78971,9.31784,9.60077,10.44957,11.84536,12.76960,13.35432,13.48635,13.59953,13.35432,13.07139,12.76960,12.80732,12.50553,12.35463,12.07170,13.52408,12.59984,12.26032,11.58129,11.31722,10.93998,10.27981,11.97739,11.18519,9.94029,10.37412,8.99719,8.18612,7.58254,6.94123
2009,Killarney 33_11kV,05MAY2008,MW,6.82806,6.62057,6.22447,8.03523,7.92205,7.63912,7.31847,7.11099,6.60171,6.37537,6.09244,5.92268,5.73406,5.50771,5.54544,5.46999,5.37568,5.39454,5.50771,5.60202,5.77178,6.13016,6.37537,6.77147,7.94092,8.94060,10.11005,10.11005,10.84567,11.20405,11.43039,11.50584,11.52470,10.97770,10.29867,9.99688,9.99688,9.65736,9.33671,8.95947,8.77085,8.41247,8.26157,8.22385,7.99750,8.03523,7.88433,7.73343,7.67685,7.50709,7.65799,7.39392,7.50709,7.41278,7.43164,7.39392,7.41278,7.35619,7.33733,7.35619,7.37506,7.41278,7.77116,7.75230,8.18612,8.50678,9.31784,9.37443,10.46843,11.67560,12.27918,12.80732,13.20342,13.20342,13.18456,13.01480,12.71301,12.52439,12.43008,12.27918,11.88308,13.33546,12.44894,12.07170,11.31722,11.18519,10.60046,9.86484,11.76991,11.52470,10.67591,11.52470,10.18550,9.26126,8.45019,7.80888
2009,Killarney 33_11kV,06MAY2008,MW,7.39392,6.92237,6.45082,8.03523,7.95978,7.62026,7.45050,7.05440,6.63944,6.18675,5.80951,5.73406,5.46999,5.31909,5.30023,5.18706,4.88527,4.97958,4.86640,4.97958,5.39454,5.46999,6.22447,6.67716,7.84661,8.67654,9.90257,9.84598,10.44957,11.12860,11.20405,10.92112,11.01543,10.63819,10.26095,10.18550,9.67622,9.48760,9.58191,9.14809,8.94060,8.71426,8.60109,8.52564,8.14840,7.80888,7.86547,7.86547,7.95978,7.58254,7.60140,7.46937,7.50709,7.63912,7.58254,7.67685,7.65799,7.58254,7.65799,7.90319,7.84661,7.94092,8.12954,8.45019,8.97833,9.35557,9.99688,10.07233,10.80795,11.48698,12.03398,12.50553,12.76960,12.71301,12.75073,12.65642,12.29805,11.88308,11.95853,11.63787,11.39267,12.82618,11.95853,11.58129,10.90226,10.71363,10.11005,9.65736,11.69446,11.39267,10.60046,11.05315,10.07233,8.75198,8.18612,7.56368
2009,Killarney 33_11kV,07MAY2008,MW,6.69602,6.22447,6.07357,7.77116,7.43164,7.24302,6.90350,6.37537,6.11130,5.63975,5.31909,5.13047,4.96071,5.09275,4.86640,4.84754,4.80982,4.90413,4.92299,4.96071,5.14934,5.28137,6.03585,6.63944,7.82774,8.71426,9.69509,9.73281,10.26095,10.60046,10.56274,10.37412,10.24208,9.80826,9.54419,9.05378,8.97833,8.67654,8.28043,8.18612,8.14840,8.11067,7.97864,7.73343,7.56368,7.58254,7.24302,7.35619,7.26188,7.26188,7.07326,7.24302,7.05440,7.11099,7.20530,7.24302,7.16757,7.09212,7.20530,7.22416,7.16757,7.54481,7.56368,7.58254,7.94092,8.26157,8.45019,8.75198,9.84598,10.97770,11.76991,12.18487,12.41122,12.29805,12.48667,12.37349,12.18487,11.86422,11.69446,11.73218,11.46812,12.93935,11.46812,11.27950,10.90226,10.61932,10.22322,9.77053,11.39267,11.09088,10.29867,10.90226,10.03460,9.03491,8.52564,7.62026
2009,Killarney 33_11kV,08MAY2008,MW,7.46937,6.75261,6.41309,8.18612,7.95978,7.88433,7.22416,6.79033,6.58285,6.01699,5.88495,5.56430,5.31909,5.35682,5.24365,5.09275,5.05502,5.26251,5.39454,5.43227,5.58316,5.79064,6.28106,7.03554,7.97864,9.16695,10.31753,10.29867,10.78908,11.03429,11.16632,11.20405,10.82681,10.78908,9.95915,9.54419,9.35557,9.14809,9.05378,8.73312,8.50678,8.52564,8.03523,8.22385,8.05409,7.99750,7.92205,7.79002,7.77116,7.67685,7.58254,7.62026,7.46937,7.62026,7.24302,7.37506,7.54481,7.50709,7.52595,7.39392,7.46937,7.39392,7.56368,7.80888,8.01636,8.41247,8.82743,8.94060,9.95915,10.97770,11.63787,12.24146,12.71301,12.75073,12.41122,12.37349,12.24146,12.12829,11.80763,11.56243,11.46812,12.93935,11.80763,11.63787,11.03429,10.61932,10.41184,9.73281,11.69446,11.63787,10.93998,11.33608,10.11005,8.99719,8.24271,7.73343
2009,Killarney 33_11kV,09MAY2008,MW,7.16757,6.56399,6.33764,7.92205,7.65799,7.31847,7.09212,6.69602,6.28106,5.88495,5.58316,5.45113,5.24365,5.13047,5.09275,4.97958,5.05502,4.90413,5.30023,5.43227,5.77178,5.79064,6.33764,6.92237,7.71457,8.48791,9.54419,9.50646,10.39298,10.73250,10.88339,10.52501,10.61932,10.03460,9.80826,9.54419,9.43102,8.78971,8.54450,8.48791,8.37474,8.11067,7.97864,7.80888,7.62026,7.67685,7.56368,7.50709,7.39392,7.37506,7.31847,7.33733,7.14871,7.35619,7.28074,7.37506,7.35619,7.26188,7.35619,7.37506,7.35619,7.46937,7.50709,7.63912,8.14840,8.37474,8.99719,9.24240,10.26095,11.05315,11.84536,11.99625,12.07170,12.24146,12.03398,12.14715,11.78877,11.44925,11.12860,10.86453,10.69477,12.24146,11.27950,11.05315,10.50615,10.50615,10.18550,9.69509,11.63787,11.54356,10.80795,11.50584,10.07233,9.39329,8.60109,7.95978
2009,Killarney 33_11kV,10MAY2008,MW,7.45050,6.97895,6.56399,8.18612,8.07295,7.79002,7.43164,6.88464,6.69602,6.22447,5.92268,5.31909,5.30023,5.09275,4.96071,4.77209,4.79096,4.84754,4.75323,4.97958,5.14934,5.13047,5.41340,5.54544,6.20561,6.48854,7.01668,7.39392,8.11067,8.78971,9.01605,9.29898,10.03460,10.24208,10.14777,9.97802,9.88371,10.07233,9.95915,9.54419,9.56305,9.12922,9.14809,8.78971,8.75198,8.45019,8.56336,8.29929,8.24271,8.09181,7.77116,7.92205,7.75230,7.88433,7.95978,7.75230,7.67685,7.62026,7.80888,7.82774,7.80888,8.07295,7.95978,8.22385,8.48791,8.61995,9.05378,9.16695,10.20436,11.09088,11.95853,12.12829,12.14715,12.10943,11.75105,11.61901,11.31722,11.09088,10.67591,10.37412,10.05346,11.73218,10.75136,10.56274,9.92143,9.61964,9.39329,8.95947,11.05315,10.18550,9.24240,10.26095,9.26126,8.14840,7.84661,7.28074
