year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Lemington 66_11kV,01MAY2008,MW,1.05792,1.02737,1.01317,1.00225,0.95414,0.84818,0.82079,0.78470,0.76183,0.75957,0.73118,0.73661,0.72895,0.73988,0.62862,0.63067,0.66016,0.66345,0.65809,0.68531,0.73118,0.73879,0.77050,0.80218,0.78366,0.86557,0.89085,0.88965,0.80803,0.76718,0.73111,0.70081,0.71353,0.72870,0.80572,0.80042,0.77828,0.77726,0.74449,0.72573,0.79563,0.82186,0.79459,0.79788,0.77267,0.77267,0.76070,0.79125,0.79459,0.81422,0.80765,0.82627,0.80441,0.79780,0.77489,0.85835,0.94085,1.01834,1.00253,0.98535,1.10576,1.16441,1.20889,1.23207,1.22620,1.22046,1.12958,1.19240,1.30610,1.37182,1.41723,1.42284,1.44269,1.43694,1.43050,1.42281,1.39007,1.40293,1.41063,1.37146,1.34321,1.33488,1.33745,1.35733,1.29575,1.25478,1.24510,1.20466,1.18730,1.08809,1.08531,1.17285,1.19242,1.17285,1.16283,1.19565
2009,Lemington 66_11kV,02MAY2008,MW,1.22634,1.27498,1.24869,1.21148,1.18557,1.12575,1.07945,1.06153,1.06285,1.05781,1.03920,1.04239,1.03149,1.02785,1.01877,1.02923,1.02606,1.03694,1.04328,1.06465,1.14719,1.16262,1.11951,1.06605,1.07375,1.08908,1.13147,1.19983,1.21534,1.13809,1.09455,1.09275,1.06370,1.03468,1.07695,1.08866,1.09773,0.97646,0.93806,0.91861,0.92953,0.94045,0.93277,0.91740,0.88507,0.89142,0.90233,0.90683,0.91904,0.90874,0.92036,0.94275,0.93698,0.88953,0.83174,0.81119,0.90043,0.93578,0.94164,0.94752,1.02429,1.03102,1.04191,1.10047,1.04011,1.09518,1.10324,1.13451,1.09956,1.12135,1.14237,1.15261,1.15582,1.17317,1.19326,1.20418,1.13826,1.10791,1.14686,1.11475,1.07624,1.06150,1.08011,1.07242,1.07495,1.05941,1.04289,1.03025,1.01811,1.01409,1.01087,1.08967,1.09407,1.05476,1.09071,1.12239
2009,Lemington 66_11kV,03MAY2008,MW,1.10491,1.05027,1.12252,1.10064,1.09424,1.01289,0.97342,0.98747,0.96393,0.95561,0.94674,0.91586,0.80171,0.77664,0.76948,0.78879,0.79900,0.78937,0.79837,0.85483,0.86511,0.87731,0.90627,0.90627,0.91667,0.94987,0.89676,0.86041,0.90853,0.95106,0.94899,0.97175,0.95522,1.06015,1.05358,0.94316,0.90601,0.92786,0.91693,0.90178,0.86797,0.88743,0.84159,0.86450,0.86232,0.86120,0.88196,0.85793,0.83296,0.82645,0.82320,0.82203,0.83296,0.83393,0.81111,0.81762,0.82300,0.82088,0.80049,0.83531,0.83531,0.83856,0.83650,0.84216,0.87093,0.93157,0.96641,0.98619,1.02055,1.07838,1.11682,1.12734,1.06885,1.06450,1.06898,1.08307,1.04589,1.05136,1.02513,1.01971,1.03168,1.02186,1.12630,1.10064,1.09424,1.09294,1.09424,1.06285,1.06605,1.07244,1.06871,1.01399,0.91270,0.88644,0.89201,0.84700
2009,Lemington 66_11kV,04MAY2008,MW,0.84152,0.83824,0.82842,0.84589,0.83387,0.80881,0.79675,0.79022,0.78798,0.76209,0.72465,0.74754,0.71586,0.71698,0.73115,0.72579,0.72254,0.74324,0.73256,0.76005,0.80785,0.81142,0.83002,0.82529,0.86770,0.89276,0.90972,0.93601,0.92575,0.93116,0.94100,0.97487,1.00000,0.98037,0.95300,0.97602,1.00930,0.99605,0.93560,0.93665,0.89952,0.89415,0.88652,0.88351,0.91809,0.88307,0.89518,0.87108,0.84480,0.85807,0.87868,0.82855,0.81436,0.81228,0.80018,0.82645,0.85273,0.85692,0.82529,0.83296,0.90529,0.79136,0.77377,0.78043,0.80903,0.83296,0.85687,0.86559,0.89297,0.93443,1.09945,1.14686,1.15281,1.11054,1.13338,1.13146,1.08869,1.10614,1.09195,1.05381,0.92953,0.94344,0.98844,0.97190,0.96404,0.96961,0.91397,0.88781,0.87824,0.87789,0.83088,0.80117,0.78718,0.78618,0.76864,0.73788
2009,Lemington 66_11kV,05MAY2008,MW,0.72365,0.74779,0.74581,0.73489,0.71832,0.72300,0.71402,0.70078,0.71686,0.71020,0.71071,0.67438,0.67696,0.67005,0.67463,0.67005,0.68307,0.70382,0.68852,0.76839,0.77833,0.77929,0.84046,0.86785,0.92350,0.93782,1.02403,1.04057,1.06474,1.02964,0.96611,0.95737,0.93443,0.92590,0.89443,0.92572,0.93332,0.93223,0.88745,0.89526,1.00372,1.06370,1.06189,1.00153,1.00746,1.09634,1.16714,1.16566,1.25542,1.25689,1.21680,1.13677,1.13379,1.12292,1.11237,1.12435,1.12292,1.11770,1.08684,1.07508,1.12009,1.15904,1.23590,1.23133,1.31485,1.31659,1.30152,1.43697,1.51451,1.46083,1.62575,1.66819,1.69955,1.72323,1.60705,1.54220,1.57172,1.56983,1.52040,1.49277,1.47221,1.55692,1.52359,1.48396,1.48482,1.53794,1.55181,1.53713,1.54749,1.52974,1.51704,1.54538,1.48653,1.46717,1.49300,1.54559
2009,Lemington 66_11kV,06MAY2008,MW,1.50191,1.44122,1.43568,1.38492,1.44186,1.43414,1.41666,1.35461,1.33875,1.31694,1.32316,1.32035,1.30325,1.28603,1.17870,1.07459,1.08504,1.07508,1.08866,1.13176,1.18305,1.20668,1.24842,1.26610,1.29069,1.32152,1.34332,1.35930,1.28866,1.11868,1.07303,1.00194,1.04524,1.02546,1.00804,1.00719,1.00599,0.98058,0.93688,0.89643,0.90648,0.99281,0.98898,1.01529,1.03071,0.98204,0.94216,0.90746,0.95496,1.03711,1.01341,1.00570,0.99428,0.98657,0.97885,0.97204,0.96343,0.99029,0.98709,0.86381,0.81323,0.91031,0.97838,0.96931,0.98071,1.03149,1.10384,1.12630,1.10069,1.13849,1.20074,1.22452,1.25354,1.28679,1.23777,1.20944,1.25083,1.31063,1.28564,1.25161,1.25161,1.24842,1.25977,1.30693,1.28515,1.28882,1.24635,1.14635,1.15483,1.13744,1.12451,1.18935,1.18935,1.14475,1.19029,1.19569
2009,Lemington 66_11kV,07MAY2008,MW,1.19999,1.16730,1.15099,1.10961,1.11612,1.08485,1.05454,1.03520,0.98903,0.93806,0.91013,0.91861,0.92874,0.89880,0.85955,0.83650,0.85753,0.85067,0.86199,0.89849,0.88383,0.92105,0.96398,0.93363,0.95548,0.94693,0.94899,0.99918,0.93665,0.88961,0.85793,0.86450,0.90930,0.96966,0.95461,0.95666,0.94693,0.87371,0.88261,0.86522,0.89912,0.91585,0.96115,1.01574,1.00029,1.00637,1.02019,1.01548,1.01708,1.05102,1.10058,1.09738,1.07921,1.00079,1.00079,1.04685,1.06430,1.05517,1.24624,1.24770,1.27843,1.25565,1.31117,1.30683,1.30971,1.32399,1.38051,1.33944,1.34520,1.41666,1.43871,1.47171,1.53978,1.56334,1.57877,1.59646,1.55153,1.51346,1.49301,1.47811,1.42995,1.38455,1.35422,1.36141,1.34961,1.39226,1.38589,1.36411,1.37954,1.40132,1.36645,1.43890,1.45681,1.39842,1.34460,1.35829
2009,Lemington 66_11kV,08MAY2008,MW,1.33890,1.31507,1.29324,1.27005,1.22902,1.14748,1.12958,1.07827,1.06418,1.02563,1.00517,1.01607,1.07517,1.13015,1.12538,1.11618,1.15458,1.03415,1.05290,1.08987,1.10845,1.15869,1.16586,1.11796,1.12437,1.17188,1.20331,1.27455,1.19632,1.14181,1.18941,1.17533,1.17319,1.13466,1.13630,1.13359,1.12541,1.15449,1.15133,1.12956,1.06149,1.07061,1.06465,1.06052,1.02606,0.95482,1.08548,1.06689,1.07003,1.10262,1.06230,1.07462,1.06670,1.04977,1.00394,1.00851,1.05170,1.11378,1.08325,1.20405,1.21020,1.32919,1.42201,1.45596,1.45443,1.47921,1.55794,1.56877,1.54559,1.61529,1.78982,1.91344,1.91497,1.89031,1.88405,1.89644,1.89491,1.89797,1.88715,1.86705,1.74380,1.70244,1.66966,1.61001,1.61603,1.54117,1.45986,1.44263,1.39592,1.39098,1.38119,1.47440,1.48211,1.45445,1.48957,1.51908
2009,Lemington 66_11kV,09MAY2008,MW,1.46195,1.41776,1.37500,1.34233,1.33556,1.27976,1.20484,1.13862,1.13359,1.11682,1.13694,1.11205,1.08573,1.07344,1.07487,1.07945,1.09975,1.07630,1.02254,1.02648,1.06370,1.09730,1.12045,1.25799,1.24071,1.21173,1.25161,1.26556,1.25658,1.24183,1.19561,1.15582,1.08284,1.07690,1.12886,1.16159,1.15582,1.23418,1.24428,1.21960,1.24117,1.22413,1.18391,1.15764,1.16846,1.20401,1.23492,1.08781,1.09138,1.09730,0.97300,0.98523,0.96570,0.94536,0.94668,1.00394,0.98393,0.94030,0.85767,0.93622,0.98569,1.20448,1.24478,1.25879,1.24220,1.28824,1.31245,1.33916,1.32516,1.42896,1.47873,1.46854,1.47983,1.44400,1.42176,1.39410,1.34332,1.34465,1.41494,1.42186,1.40467,1.38749,1.33975,1.34328,1.33835,1.36729,1.39997,1.40087,1.39908,1.38227,1.44400,1.57623,1.55951,1.48769,1.47040,1.48208
2009,Lemington 66_11kV,10MAY2008,MW,1.47040,1.45107,1.41445,1.32848,1.30727,1.29576,1.26437,1.23434,1.20575,1.18398,1.17588,1.18220,1.17272,1.15238,1.14752,1.17555,1.19414,1.17555,1.10998,1.12859,1.19260,1.22298,1.21168,1.21308,1.18992,1.18577,1.20619,1.20854,1.20852,1.11806,1.09133,1.07359,1.08754,1.09636,1.28108,1.31583,1.37531,1.29839,1.29604,1.28698,1.21892,1.26066,1.23662,1.22118,1.22851,1.10835,1.10646,1.12566,1.16738,1.19983,1.17764,1.17533,1.17488,1.16399,1.14539,1.12696,1.21663,1.27976,1.30199,1.30369,1.32975,1.34834,1.32955,1.35147,1.35147,1.35204,1.31097,1.36030,1.25247,1.24576,1.31947,1.35158,1.37273,1.36123,1.31690,1.32781,1.24888,1.21871,1.20652,1.16480,1.04524,1.03314,1.02904,0.99476,0.98153,0.97617,0.97273,0.94664,0.96199,0.95991,0.95873,0.92509,0.95106,0.91503,0.92389,0.88261
