year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Mitchell Line 66_11kV,01MAY2008,MW,2.57166,2.42560,2.27469,2.14636,2.01412,1.92086,1.79479,1.63299,1.61105,1.57836,1.54984,1.53438,1.44697,1.48602,1.46668,1.50557,1.63895,1.60257,1.53035,1.59153,1.59839,1.72691,1.87688,1.96848,2.24060,2.43299,2.53807,2.82594,2.85135,2.92908,3.05617,3.05591,3.12935,3.14950,3.12800,3.17334,2.98096,2.97939,3.06103,3.16089,3.07377,2.98204,3.01303,2.97694,2.95477,3.07231,3.04096,2.97898,2.94580,2.90338,2.81749,2.83127,2.79850,2.73141,2.64468,2.55267,2.52245,2.50807,2.49425,2.43008,2.40945,2.37497,2.25230,2.33426,2.30483,2.45751,2.57251,2.60392,2.57253,2.60573,2.68607,2.64830,2.57399,2.64958,2.64718,2.58375,2.53435,2.48210,2.44502,2.44124,2.37421,2.31247,2.33186,2.29065,2.14623,1.90624,2.00536,2.11393,2.29643,2.60090,2.60858,2.47889,2.56883,2.76130,2.64251,2.63888
2009,Mitchell Line 66_11kV,02MAY2008,MW,2.45620,2.31622,2.15532,2.03663,1.96352,1.78619,1.68410,1.65110,1.61582,1.54558,1.44702,1.38046,1.38081,1.44169,1.41734,1.40120,1.42461,1.45428,1.43828,1.51754,1.54892,1.58697,1.65772,1.84125,1.99173,2.27140,2.48672,2.54232,2.49257,2.63634,2.71282,2.67652,2.59205,2.68321,2.78648,2.83480,2.89994,2.78999,2.68381,2.66168,2.60902,2.50640,2.57381,2.60027,2.54725,2.45364,2.49528,2.54477,2.61779,2.62927,2.60731,2.59141,2.54397,2.49642,2.59127,2.48316,2.22026,2.19436,2.24931,2.23829,2.28174,2.23402,2.04634,1.99513,1.99629,2.04255,2.02243,1.96420,1.98463,2.03418,2.11402,2.12539,2.12225,2.18119,2.18041,2.17443,2.12059,2.08620,2.09362,2.01100,1.84676,1.76409,1.70098,1.70545,1.73796,1.68696,1.74647,1.83741,2.01661,2.48707,2.45546,2.24317,2.37444,2.59449,2.45126,2.44358
2009,Mitchell Line 66_11kV,03MAY2008,MW,2.30906,2.19653,2.06518,1.92347,1.75784,1.60111,1.48707,1.48566,1.44984,1.42035,1.34245,1.32402,1.27881,1.28168,1.28924,1.30252,1.28217,1.25570,1.26387,1.29349,1.36605,1.37009,1.41857,1.46031,1.59348,1.68485,1.75677,1.79421,1.87931,1.97459,2.03360,2.16844,2.20644,2.09754,2.01447,2.07262,2.04105,2.01727,2.05109,2.05480,2.08921,2.00812,2.02449,1.88094,1.89528,1.83706,1.83836,1.82191,1.73312,1.67436,1.68298,1.66506,1.59294,1.58388,1.55116,1.56030,1.49558,1.50277,1.42627,1.45854,1.45681,1.44190,1.53456,1.55728,1.55167,1.60657,1.63744,1.71627,1.86239,1.98221,2.16547,2.30082,2.38085,2.39255,2.35431,2.31380,2.24529,2.20655,2.20500,2.19923,2.12632,2.02065,1.99752,1.99092,1.85776,1.76519,1.78367,1.72158,1.71507,1.74193,1.69465,1.60493,1.60587,1.54614,1.45902,1.41921
2009,Mitchell Line 66_11kV,04MAY2008,MW,1.39935,1.38752,1.32343,1.31199,1.29441,1.34286,1.31335,1.27940,1.27732,1.24030,1.26432,1.26472,1.21599,1.18464,1.21620,1.23932,1.25995,1.23177,1.19403,1.23102,1.27983,1.31686,1.37392,1.37615,1.40229,1.42177,1.47730,1.57837,1.58649,1.59822,1.63539,1.72491,1.78330,1.84327,1.78782,1.92031,2.02303,1.96789,1.94775,1.94684,1.96319,1.96584,1.83662,1.82207,1.75056,1.69587,1.65621,1.62681,1.68460,1.60809,1.64884,1.67139,1.57921,1.51813,1.46446,1.40432,1.41154,1.37016,1.41970,1.45741,1.46074,1.41566,1.46009,1.48625,1.48608,1.60012,1.67277,1.78649,1.96829,2.13665,2.38320,2.53037,2.51845,2.53758,2.53836,2.50984,2.45362,2.40868,2.38071,2.33501,2.23454,2.23258,2.19404,2.20340,2.12493,2.02672,2.02031,1.99050,1.91033,1.81161,1.79031,1.68660,1.65880,1.62289,1.59298,1.50991
2009,Mitchell Line 66_11kV,05MAY2008,MW,1.49717,1.47159,1.48518,1.45564,1.40650,1.39601,1.37357,1.36498,1.38192,1.38473,1.32417,1.32635,1.35571,1.35282,1.38083,1.36876,1.41548,1.44364,1.50981,1.60414,1.72131,1.73815,1.83681,2.01354,2.26758,2.43929,2.62366,2.83873,2.93187,3.27459,3.51790,3.46562,3.53350,3.32453,3.33398,3.27275,3.12764,3.15382,3.15265,3.14572,3.11397,3.11119,2.97027,3.00704,2.88390,2.81359,2.94564,2.88755,2.86039,2.77629,2.73920,2.73370,2.57408,2.66688,2.61909,2.60941,2.64371,2.59697,2.55691,2.47226,2.52549,2.56173,2.47997,2.62185,2.68305,2.64849,2.53817,2.52053,2.59854,2.78831,2.79427,2.73620,2.72814,2.78485,2.76885,2.66132,2.71181,2.65529,2.64061,2.57986,2.53033,2.40169,2.39050,2.37002,2.28378,2.17611,2.23693,2.35220,2.58468,2.84077,2.80160,2.61920,2.78549,2.95039,2.82508,2.84239
2009,Mitchell Line 66_11kV,06MAY2008,MW,2.69065,2.52791,2.40752,2.28006,2.14147,2.03242,1.85374,1.77148,1.70305,1.69740,1.67304,1.53375,1.51371,1.51283,1.46550,1.46095,1.51501,1.46871,1.51829,1.62419,1.65896,1.70162,1.82948,1.99666,2.16602,2.36340,2.46620,2.78035,2.90126,3.10093,3.27464,3.36554,3.30911,3.23089,3.17301,3.15436,3.06552,3.05201,3.16679,3.03769,2.92243,2.86783,2.91331,2.91370,2.83768,2.89038,2.94870,3.02061,2.95391,2.96566,3.05703,2.97397,2.98944,2.94947,2.94607,2.98862,3.01323,2.90662,2.87789,2.80624,2.75034,2.65101,2.48487,2.40541,2.41834,2.47666,2.52720,2.65448,2.59986,2.61878,2.74401,2.70304,2.70538,2.60885,2.61315,2.55439,2.64325,2.52090,2.41418,2.43372,2.47303,2.47686,2.35812,2.33033,2.18856,2.15691,2.26455,2.43625,2.50706,2.84479,2.82104,2.62512,2.82359,2.97923,2.85436,2.82151
2009,Mitchell Line 66_11kV,07MAY2008,MW,2.66785,2.56647,2.40195,2.22084,2.09312,2.02556,1.96472,1.76970,1.70349,1.71767,1.66843,1.60285,1.54980,1.52729,1.59075,1.58483,1.58463,1.61244,1.62338,1.69309,1.77221,1.83068,1.86365,1.94592,2.23666,2.43161,2.74321,2.85958,2.91993,2.97598,3.08855,3.40388,3.43151,3.30354,3.25616,3.32734,3.24344,3.05174,3.17567,3.03125,3.05969,3.19934,3.20254,3.13396,3.10973,3.03002,3.04873,3.11610,2.94916,2.96101,3.03488,3.10555,3.07207,3.00022,2.98278,3.00927,2.91483,2.97048,3.09064,3.01392,2.94629,2.78245,2.81184,2.74131,2.65778,2.75659,2.72511,2.73402,2.73172,2.83798,2.89941,2.64974,2.62349,2.66888,2.74491,2.64995,2.63433,2.55323,2.53039,2.47284,2.46139,2.46411,2.44796,2.43117,2.34904,2.22413,2.28438,2.35778,2.47057,2.83835,2.88799,2.74545,2.94245,3.04231,2.86561,2.88213
2009,Mitchell Line 66_11kV,08MAY2008,MW,2.76475,2.61026,2.47204,2.24942,2.10760,2.01742,1.95077,1.87105,1.78643,1.77305,1.73797,1.71464,1.61399,1.61452,1.62856,1.63192,1.67080,1.75341,1.70520,1.69377,1.77081,1.85507,1.89876,1.99682,2.25987,2.57820,2.80092,2.97690,3.20975,3.37057,3.40665,3.43111,3.53098,3.53159,3.54013,3.50260,3.53885,3.50841,3.37832,3.34781,3.30695,3.40201,3.32350,3.45011,3.46658,3.46830,3.54057,3.33537,3.25852,3.21724,3.20188,3.15722,3.18340,3.07989,2.99680,3.15718,3.18495,3.04380,2.96047,2.94063,2.87681,3.06917,2.94697,2.80733,2.75419,2.90779,3.03299,2.94645,2.96193,3.01484,3.12310,3.22223,3.21999,3.14208,3.18195,3.16055,3.20839,3.12435,3.11584,3.07390,3.07130,3.08903,3.05066,2.95788,2.85916,2.87018,2.92738,3.07288,3.17342,3.45940,3.49203,3.40592,3.56971,3.69379,3.61414,3.63936
2009,Mitchell Line 66_11kV,09MAY2008,MW,3.46307,3.19588,2.92799,2.75256,2.60132,2.51837,2.43576,2.37844,2.33767,2.17759,2.20136,2.20462,2.10153,2.07105,2.00906,1.89204,1.88789,1.90903,1.98607,1.92487,1.86534,1.93495,2.09881,2.23143,2.45446,2.66235,2.80586,3.06410,3.10711,3.21438,3.50719,3.62051,3.66474,3.53941,3.50611,3.44115,3.24851,3.16576,3.16185,3.16130,2.99165,2.91355,3.00680,2.93950,2.94255,3.12238,3.20599,3.20798,3.18244,3.16020,3.11932,2.95967,3.03768,3.06166,3.07702,2.92994,2.84675,2.85216,2.94654,2.92169,2.82517,2.41546,2.43812,2.56679,2.64889,2.70327,2.75799,2.86645,3.01743,2.96144,2.96914,2.99828,3.09834,3.13214,2.98197,2.99558,3.11392,3.08605,3.02978,2.94820,2.93156,2.92381,2.84310,2.81346,2.80717,2.69143,2.77017,2.93411,3.00807,3.27287,3.27982,3.22471,3.39954,3.46779,3.21998,3.17099
2009,Mitchell Line 66_11kV,10MAY2008,MW,2.95497,2.78562,2.70674,2.56601,2.33518,2.14529,2.03071,1.98102,1.80715,1.71152,1.65883,1.68145,1.70200,1.64113,1.65871,1.58153,1.54088,1.58079,1.62852,1.61290,1.62380,1.65464,1.78969,1.81715,1.84858,1.97026,2.11418,2.21757,2.27581,2.27302,2.29480,2.35742,2.44666,2.63565,2.62458,2.60313,2.58157,2.62091,2.60630,2.44338,2.42222,2.38263,2.38422,2.26964,2.19653,2.17417,2.18913,2.17533,1.98672,1.91252,1.97836,1.99120,1.93157,1.88733,1.74307,1.71708,1.72420,1.74986,1.76453,1.72766,1.71750,1.83516,1.94655,1.89406,1.87116,1.88012,1.93092,2.10473,2.17474,2.24840,2.45665,2.53411,2.48303,2.45137,2.39630,2.36612,2.38992,2.37814,2.35747,2.26192,2.22405,2.16757,2.19581,2.17910,2.15164,2.01366,2.01701,1.96168,1.91054,1.87794,1.85235,1.81471,1.79077,1.74948,1.68931,1.69323
