year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Raymond Terrace 33_11kV,01MAY2008,MW,17.49375,16.97239,16.85363,18.22642,17.85478,17.06118,16.43174,17.69813,16.93982,15.74024,14.93618,14.00344,13.48647,12.86745,12.15671,11.88921,11.66929,11.83567,11.89915,12.14306,12.76555,13.29353,13.75178,14.71818,16.18135,17.41122,18.92365,18.62327,19.45716,20.39002,20.90475,21.34616,21.68478,21.53744,21.21061,20.45801,19.61056,19.56890,19.59988,19.82723,19.99909,20.02140,19.75433,19.40245,19.56912,19.55682,19.29738,19.35397,19.15513,18.82501,18.56953,18.64923,18.87409,19.01311,18.96010,19.00696,19.07205,19.03581,18.92862,18.54189,18.16823,17.70456,17.50996,17.47812,17.73181,18.14876,18.65234,19.07263,19.60789,20.41894,20.92509,20.86946,20.88161,20.89378,20.56842,20.51063,20.04289,19.99242,19.61377,19.24920,18.72721,18.33919,17.67827,17.25732,16.77552,16.35033,16.32843,15.68238,17.57791,17.08592,16.55506,15.79459,15.45393,14.77644,15.10754,16.43992
2009,Raymond Terrace 33_11kV,02MAY2008,MW,17.15353,17.04154,16.91442,18.20496,17.78912,16.91801,16.56645,17.64981,16.69208,15.71414,14.74343,13.88594,13.24723,12.56245,12.12207,11.62765,11.43696,11.35929,11.26493,11.55405,12.04771,12.51335,13.42431,14.04027,15.27534,16.95804,18.09272,17.95574,18.73244,19.44416,19.37464,19.33417,19.47571,19.68193,19.19852,19.24760,18.58915,18.09932,18.03546,18.23024,17.76484,17.83271,18.08360,18.61065,18.50945,18.43704,18.47235,18.48702,17.91217,17.76451,17.58436,17.69096,17.45405,17.12329,16.75522,16.27097,16.04855,15.89414,15.71350,15.16980,14.76651,14.45490,14.44236,14.33276,14.19309,14.61316,14.83247,14.96761,15.20664,15.79640,16.31689,16.05716,15.69700,15.59427,15.36926,15.16372,14.71706,14.85065,14.54477,14.12943,13.96917,13.75744,13.44450,12.98782,12.77804,12.37910,12.52139,12.21921,14.28353,13.82763,13.54575,12.97376,13.06824,12.34200,12.79522,14.35122
2009,Raymond Terrace 33_11kV,03MAY2008,MW,14.81220,14.38052,14.48604,15.77775,15.30835,14.44602,13.60076,12.68488,13.87300,13.61946,12.77506,11.95238,11.20310,10.48663,9.97354,9.53704,9.22406,9.01594,8.79375,9.02446,9.23725,9.56002,10.03530,10.29805,10.75779,11.30444,12.06288,13.02019,13.84175,14.96621,15.87927,15.91295,15.97010,16.25965,16.58509,16.66237,16.69678,16.55998,16.26092,15.96599,15.53121,15.39058,15.19336,15.02671,14.93353,14.75886,14.50099,14.16663,13.70941,13.18144,12.95569,12.79993,12.74577,12.33508,11.99366,11.91614,11.96122,11.76345,11.50021,11.48482,11.66783,11.83078,12.01635,12.16459,12.23102,12.43488,12.68906,12.14786,12.86317,13.67939,14.38305,14.44394,14.60523,14.59368,14.43203,14.17727,13.89399,13.92919,13.74443,13.61042,13.33103,13.12015,13.07855,12.76101,12.61469,12.21620,14.08321,13.74116,12.62743,11.74814,12.31092,12.10725,13.04788,13.01708,11.76457,11.85790
2009,Raymond Terrace 33_11kV,04MAY2008,MW,12.31291,11.77513,11.72360,13.97264,12.76213,11.31760,10.40365,9.75505,10.44734,10.11143,9.21968,8.76835,8.63381,8.28514,8.24101,8.00014,8.17457,8.07252,8.20413,8.33633,8.30788,8.43472,8.62568,8.70740,9.21006,9.56127,9.94062,10.30659,11.10237,11.96816,12.43238,13.11765,13.56209,14.05699,14.53160,14.84916,14.67467,14.79204,14.46137,14.17799,14.07276,13.77768,13.54219,13.52382,12.92413,12.71891,12.64821,12.49357,12.35820,12.30147,12.12992,11.87915,11.68155,11.56952,11.41980,11.33079,11.24316,11.10676,11.23501,11.26923,11.46378,11.35298,11.41828,11.50324,11.80252,12.21529,12.62593,12.46653,13.27475,14.64146,15.50086,15.71349,15.89052,15.77207,15.49751,15.21110,15.08429,15.07199,14.71136,14.35827,13.99327,13.82632,13.88078,13.56757,13.27090,12.73490,14.20254,13.83373,12.61947,11.77321,12.22518,11.84609,12.72803,12.67016,11.66130,11.70287
2009,Raymond Terrace 33_11kV,05MAY2008,MW,12.23425,11.84827,11.72880,13.83008,12.97866,11.62592,10.89554,11.41870,10.89105,10.34265,9.79719,9.32311,8.98053,8.89171,8.85790,8.73549,8.85445,9.08657,9.32553,9.60575,10.55399,10.99915,11.87763,12.59982,14.31689,16.00320,17.25265,16.82531,17.65160,18.57439,19.03233,19.33417,19.50179,19.35421,19.13397,18.84542,18.33179,18.05077,17.82606,17.86206,17.58879,17.75199,17.41200,17.28359,16.96908,16.77938,16.85733,16.72598,16.54371,16.31413,16.30197,16.27688,16.32860,16.56138,16.41826,16.38844,16.22081,16.13778,16.05477,15.81746,15.36779,15.22072,14.83286,14.56887,14.61168,14.75037,14.87429,15.50573,16.33789,17.29895,18.43995,18.55362,18.26807,17.96057,17.42081,17.29240,17.05835,17.16032,16.76166,16.64530,16.17460,15.89029,15.63193,15.30231,14.67939,14.37531,14.27037,13.64597,15.42523,15.22443,14.73511,14.02515,13.76541,12.77208,13.29366,14.64809
2009,Raymond Terrace 33_11kV,06MAY2008,MW,15.28813,15.24875,15.52227,16.53242,16.14252,15.52103,15.09203,16.37342,15.69627,14.56180,13.65696,12.75171,11.95693,11.44985,10.80984,10.59155,10.52402,10.47787,10.74361,12.02349,13.02373,13.49686,14.12753,15.14975,16.61263,18.28171,19.79948,20.20066,20.41426,21.23122,21.78351,21.94628,21.35158,21.36585,21.14967,21.01530,20.72499,20.71981,20.20154,19.60737,19.44032,19.31344,19.35154,19.36750,19.07148,18.99608,19.19160,18.80921,18.58542,18.44512,18.43285,18.59693,18.50531,18.44112,18.19390,18.54088,18.57054,18.39141,18.35815,18.33955,18.22789,17.74716,17.01906,16.72768,16.95354,17.01705,17.16269,17.94773,18.68907,19.65289,20.09299,19.88126,19.69466,19.48956,19.11915,18.76900,18.51479,18.45872,18.09531,17.89383,17.60647,17.18958,16.78244,16.22309,15.38488,14.84727,14.87228,14.54185,16.28462,15.79434,15.85311,15.03402,15.30636,14.80397,15.11873,16.76887
2009,Raymond Terrace 33_11kV,07MAY2008,MW,17.52327,17.48677,17.31922,18.67467,18.37483,17.54940,17.19558,18.24945,17.59932,16.34841,15.32784,14.47167,13.59876,12.91608,12.44006,12.19232,12.02450,12.20211,12.06453,12.22528,12.80526,13.41733,13.96277,14.78113,16.02418,16.98416,18.82029,18.50290,19.34177,20.02632,20.69461,20.82601,20.67554,20.73236,20.57473,20.24751,19.75821,19.39277,18.64921,18.40610,18.84754,18.98431,18.86956,18.96401,19.00163,19.10904,19.15338,18.74083,18.15077,17.88809,17.81675,18.46366,18.47992,18.26486,18.24625,18.13463,18.22020,17.89404,17.77432,17.82616,17.40411,17.24627,16.21489,16.39624,16.63816,16.77438,16.95596,17.10266,17.66942,18.60198,19.45882,19.20943,18.96043,18.96852,18.64472,18.32508,18.04873,17.89015,17.55155,17.38622,17.15743,16.66523,16.34809,16.19022,15.90344,15.57769,15.54376,15.14510,17.12900,16.73189,16.58828,15.89113,16.02692,15.15586,15.55426,16.93467
2009,Raymond Terrace 33_11kV,08MAY2008,MW,17.68782,17.66325,17.18144,18.33535,18.05232,17.35323,16.82122,18.15607,17.53641,16.62571,15.68697,14.59296,13.85530,13.23408,12.67790,12.35320,12.17712,12.05049,12.04667,12.34800,12.93175,13.10780,14.15690,14.98468,16.26136,17.66333,19.04982,18.77360,19.40338,20.06520,20.64526,20.91238,20.81016,20.57373,20.54920,20.20319,20.01030,19.80203,19.55178,19.30615,19.02955,18.68943,18.64824,18.59597,18.61770,18.61377,18.81504,18.60821,18.10167,18.06665,18.09797,18.14237,18.35243,18.29179,18.01354,18.09131,18.29234,18.08557,17.99804,17.84416,17.29996,16.75593,16.35849,16.37836,16.47749,16.57594,16.79917,16.99870,17.83701,18.59657,19.25570,19.04183,19.01104,18.62061,18.78413,18.69851,18.40350,18.42540,18.18280,18.07851,18.04417,17.70654,17.34515,16.99586,16.34402,15.99523,15.97901,15.89328,17.60108,17.19174,16.85823,15.96123,15.92396,15.13600,15.54918,16.92054
2009,Raymond Terrace 33_11kV,09MAY2008,MW,17.44045,17.09072,16.72990,17.48097,17.01603,15.71755,15.28535,16.46107,15.84115,14.67427,13.59936,12.79782,12.15355,11.49137,10.75006,10.42117,10.07522,10.01331,9.99676,10.30204,10.86113,11.37535,12.02598,12.92557,14.57070,16.12106,17.32057,16.73468,17.60129,18.69020,19.20138,19.33904,19.49322,19.50829,19.42981,19.07812,18.77709,18.26201,17.79119,18.04833,17.84423,17.61680,16.91583,16.89668,16.84005,16.87021,16.82665,16.78969,16.66484,16.39117,16.38259,16.38482,16.21804,16.20471,15.94469,16.03390,15.68610,15.48573,15.31545,14.82045,14.76879,14.38233,14.23572,14.21673,14.32822,14.34014,14.55183,15.03488,15.51324,16.32113,16.96996,16.80903,16.66453,16.62858,16.29893,15.92761,15.49648,15.42116,15.27381,15.01862,14.78001,14.58202,14.37780,14.03567,13.83324,13.45354,13.43801,13.14688,15.05111,14.69516,14.16620,13.56104,13.54509,12.83158,13.09310,14.52761
2009,Raymond Terrace 33_11kV,10MAY2008,MW,15.04838,14.93666,14.85394,16.09194,15.83119,15.25683,14.17842,13.40491,14.43900,14.39491,13.51614,12.37498,11.67064,10.99168,10.51330,10.07930,9.92146,9.54911,9.47127,9.61114,9.77307,9.70581,10.07659,10.61442,11.15711,11.57763,12.50249,13.43168,14.51464,15.58178,16.00673,16.31329,16.84506,16.88707,16.95377,17.23689,17.25792,17.13733,16.96040,16.80838,16.45826,16.18416,16.21301,15.87969,15.58225,14.97227,14.65502,14.37209,14.03625,13.71992,13.45898,13.37479,13.12334,13.14010,12.90770,12.24269,11.92286,11.96797,12.14894,11.88627,12.06234,11.91595,12.05911,12.29805,12.25972,12.68537,13.05870,12.38360,13.05885,13.99742,14.89639,14.50440,14.68304,14.58019,14.18855,14.04959,13.56244,13.43790,13.12691,13.05405,12.86356,12.45448,12.35600,12.05518,11.87375,11.55756,13.30629,13.06539,11.98151,11.33877,11.94887,11.63767,12.54573,12.65891,11.53607,11.61942
