year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Avondale 33_11kV,01MAY2009,MW,7.23657,6.93506,6.86636,7.39482,7.15744,6.61598,6.49287,6.68332,6.23513,5.73423,5.44157,5.15961,5.01828,4.83925,4.77064,4.58999,4.59089,4.60784,4.58396,4.67830,4.84702,4.96379,5.17578,5.36701,5.92940,6.32274,6.61915,6.63848,6.67641,6.84190,7.05296,7.08053,7.02494,6.95044,6.76952,6.68704,6.43259,6.36644,6.20975,6.14541,6.06087,5.87618,5.74666,5.60688,5.51915,5.53863,5.38829,5.38057,5.37920,5.19862,5.27429,5.27971,5.11932,4.95143,4.86400,4.83410,4.75069,4.69919,4.66510,4.69682,4.65890,4.54380,4.57273,4.49633,4.62125,4.67746,4.77772,5.00239,5.20993,5.54036,5.94620,5.87533,5.96113,5.96695,5.83463,5.83100,5.84948,5.91433,5.72916,5.57299,5.47757,5.29818,5.26175,5.11626,5.03625,4.99358,5.00517,4.87802,6.09443,5.85997,5.41975,5.10883,5.17646,4.83661,5.04370,5.57003
2010,Avondale 33_11kV,02MAY2009,MW,5.74729,5.60655,5.60593,5.89391,5.75180,5.33945,4.93464,4.54113,4.95907,4.73446,4.37557,4.04775,3.80764,3.56025,3.53028,3.42302,3.39409,3.32748,3.38033,3.25412,3.30946,3.29024,3.38165,3.55713,3.88923,4.04884,4.24327,4.58893,4.95286,5.31913,5.68704,5.97265,6.00200,6.14330,6.12161,6.07488,6.03590,5.82040,5.70170,5.56887,5.37731,5.16986,5.05039,5.07673,5.05759,4.78931,4.74525,4.58307,4.57539,4.55282,4.64246,4.71957,4.59406,4.54516,4.47521,4.50201,4.27145,4.23401,4.35151,4.41017,4.38853,4.26604,4.31275,4.35522,4.68229,4.92611,4.93604,4.95124,5.25812,5.58593,5.89586,5.94355,6.07346,6.12127,5.82408,5.56155,5.51194,5.61720,5.38597,5.24731,5.01466,5.00314,5.03663,4.92254,4.81523,4.67899,5.70256,5.23150,5.06118,4.80612,5.02472,4.71609,5.32960,5.13321,4.66002,4.81423
2010,Avondale 33_11kV,03MAY2009,MW,5.02733,4.60684,4.72917,5.33580,4.65116,4.21251,3.88500,3.76659,4.01469,3.78961,3.64479,3.64117,3.47297,3.50745,3.47762,3.40340,3.42251,3.48485,3.48580,3.43651,3.53384,3.44311,3.51668,3.62666,3.95162,4.14111,4.19774,4.45160,4.83445,4.79855,5.17004,5.29277,5.34417,5.53477,5.79079,5.88175,5.91524,5.93315,5.98273,5.74905,5.76289,5.70821,5.66311,5.41178,5.42897,5.52253,5.51200,5.53973,5.46297,5.40614,5.39418,5.38378,5.34824,5.22318,5.10924,5.14288,5.09578,4.94199,4.98986,4.93487,5.02364,4.95555,4.95187,5.03813,5.10623,5.25105,5.31859,5.40269,5.69769,6.11681,6.53614,6.48156,6.64440,6.65172,6.57183,6.39460,6.34180,6.51420,6.21412,6.10710,5.95371,5.89976,5.93564,5.69479,5.65830,5.56843,6.53642,6.25804,5.81901,5.50347,5.58409,5.32763,6.01678,5.87352,5.55973,5.73762
2010,Avondale 33_11kV,04MAY2009,MW,5.84266,5.61761,5.71444,6.40417,5.70666,5.24119,5.08812,5.19216,5.09364,4.82169,4.68693,4.59654,4.59385,4.50454,4.60119,4.58792,4.64933,4.65252,4.66714,4.78008,4.88427,5.06153,5.30760,5.57743,6.29795,6.68567,6.93197,6.72247,6.91562,7.10364,7.28165,7.45585,7.39273,7.26040,7.05911,6.98433,6.89926,6.80221,6.61074,6.69431,6.65646,6.59746,6.55193,6.43297,6.34904,6.45063,6.45161,6.51390,6.66256,6.51261,6.57811,6.65679,6.44980,6.37280,6.24813,6.23065,6.10494,6.25197,6.18480,6.20809,6.08971,6.24698,6.23705,6.25076,6.43617,6.64611,6.71811,7.00264,7.18072,7.68764,8.03346,7.98959,8.23573,8.23266,7.91753,7.77338,7.73646,7.95153,7.62663,7.45270,7.29508,7.14967,7.12035,6.75816,6.49853,6.43860,6.40989,6.33927,7.57269,7.22106,6.76008,6.43835,6.50831,6.13704,6.29026,6.79904
2010,Avondale 33_11kV,05MAY2009,MW,7.08226,6.75390,6.70864,7.08110,6.99633,6.60561,6.45539,6.60761,6.22330,5.77365,5.48662,5.26774,5.16551,5.08864,4.97609,4.78972,4.71718,4.71457,4.78731,4.74387,4.94960,5.13815,5.32384,5.59505,6.15719,6.54995,6.72578,6.61985,6.82023,7.22034,7.34439,7.39482,7.44274,7.39669,7.35321,7.25428,7.12735,7.04703,6.87009,6.89712,6.86307,6.81449,6.67450,6.74734,6.67943,6.66788,6.80534,6.93539,6.88321,6.83015,6.80849,6.78293,6.70073,6.60094,6.48852,6.47944,6.34414,6.28689,6.29720,6.23640,6.32762,6.26089,6.29101,6.34654,6.47394,6.64539,6.83092,7.04946,7.31496,7.80865,8.14270,8.10384,8.21906,8.14145,8.02043,7.80565,7.73766,7.77946,7.44193,7.38196,7.35344,7.22059,7.07062,6.94154,6.78519,6.54992,6.48034,6.51930,7.84920,7.52487,7.09244,6.70017,6.77029,6.50598,6.50438,7.01895
2010,Avondale 33_11kV,06MAY2009,MW,7.25373,6.91257,6.90824,7.42964,7.16607,6.78073,6.59344,6.79180,6.35909,5.95692,5.54317,5.25585,5.04071,4.88946,4.94763,4.82381,4.77442,4.81029,4.89287,5.01750,5.07152,5.28484,5.37528,5.68949,6.21703,6.61848,7.08110,6.82016,6.96294,7.29161,7.47867,7.44449,7.49141,7.35927,7.21145,7.04765,6.92710,6.89999,6.80120,6.84439,6.71727,6.69384,6.65781,6.63690,6.59214,6.69968,6.71955,6.65474,6.65002,6.58534,6.59480,6.59723,6.47426,6.32557,6.37778,6.34879,6.26303,6.18548,6.29402,6.22613,6.27349,6.20737,6.29560,6.42903,6.53898,6.66978,6.85282,6.98527,7.23472,7.71849,8.09407,8.03355,8.13281,8.11019,8.04779,7.79471,7.72531,7.88058,7.58552,7.54912,7.37648,7.22414,7.29258,7.20313,6.96172,6.79412,6.78893,6.62264,7.82235,7.52454,7.12270,6.68246,6.79708,6.48769,6.61615,7.15395
2010,Avondale 33_11kV,07MAY2009,MW,7.40352,7.03799,7.04111,7.45563,7.23940,6.87202,6.70596,6.85858,6.36979,5.97682,5.67882,5.39608,5.15999,5.01655,4.93096,4.83177,4.84844,4.87270,4.79845,4.97114,5.05916,5.23506,5.45737,5.64778,6.18405,6.59341,6.71437,6.39412,6.65906,7.16935,7.47635,7.44120,7.36352,7.54534,7.36143,7.14819,7.12929,6.95715,6.78048,6.81684,6.82629,6.69446,6.67586,6.53002,6.50422,6.49228,6.45688,6.44232,6.46625,6.48842,6.25638,6.17939,6.14261,6.07198,5.89107,5.90962,5.82828,5.78846,5.80475,5.74775,5.82948,5.76396,5.87418,5.89248,6.16232,6.23763,6.44028,6.61136,6.95745,7.45585,7.86383,7.86038,7.90905,7.88533,7.81501,7.71738,7.60567,7.71683,7.46690,7.43034,7.27548,7.17968,7.07060,6.87326,6.68501,6.39293,6.36940,6.34012,7.55750,7.14802,6.86053,6.56318,6.63469,6.18360,6.42594,6.88539
2010,Avondale 33_11kV,08MAY2009,MW,7.20349,6.90821,6.89595,7.24523,7.09605,6.67529,6.50989,6.63451,6.32998,5.96412,5.57263,5.32652,5.15246,5.00058,4.91407,4.82749,4.81600,4.74704,4.78959,4.87518,4.78679,5.00661,5.12147,5.30010,5.84169,6.16991,6.68285,6.60528,6.40456,6.60307,6.88724,6.97849,6.99080,6.85374,6.69266,6.59319,6.47724,6.40748,6.11491,6.11341,5.99644,5.96055,5.82266,5.85372,5.81265,5.73010,5.71126,5.73263,5.56627,5.54683,5.50837,5.49260,5.50849,5.25117,5.07840,5.04509,4.95104,4.67174,4.62183,4.90507,4.87060,4.78725,4.74306,4.67795,4.70322,4.89133,4.98774,5.28094,5.48981,5.88453,6.21180,6.22619,6.24386,6.17561,6.17479,6.11260,6.07227,6.19622,5.82393,5.84792,5.72640,5.58890,5.55516,5.36920,5.23795,5.10129,5.22436,5.16907,6.42397,6.13379,5.71033,5.35412,5.52449,5.14158,5.41338,5.83200
2010,Avondale 33_11kV,09MAY2009,MW,5.99889,5.73098,5.73705,6.12074,5.86605,5.51502,4.98951,4.54891,4.97537,4.70566,4.33121,3.94370,3.71553,3.54721,3.45861,3.29977,3.31467,3.19894,3.16682,3.23213,3.32710,3.35857,3.46064,3.53174,3.89358,4.05396,4.21730,4.48863,4.89612,5.42980,5.82272,6.04174,6.11134,6.19591,6.25338,6.22998,6.14272,6.05116,5.85954,5.66974,5.52228,5.26903,5.14599,5.02891,4.77765,4.71127,4.67211,4.51200,4.59211,4.59521,4.56192,4.62466,4.56937,4.40298,4.40992,4.32329,4.14285,4.20995,4.10891,4.15497,4.17467,4.17933,4.27937,4.33562,4.32863,4.36381,4.53417,4.62604,5.04385,5.37338,5.74936,5.81709,5.98580,5.93259,5.90430,5.85779,5.74746,5.91639,5.63692,5.51972,5.42683,5.29586,5.27123,5.11843,5.11484,4.96579,5.97368,5.56486,5.24707,4.84754,4.96206,4.64333,5.24047,5.07545,4.63985,4.82327
2010,Avondale 33_11kV,10MAY2009,MW,4.96372,4.40247,4.56887,5.22295,4.64199,4.12530,3.82509,3.58308,3.84686,3.64679,3.42975,3.30347,3.21380,3.10065,3.13011,3.09687,3.12432,3.21066,3.17541,3.24872,3.28315,3.35969,3.38873,3.47218,3.82962,3.96124,4.07834,4.25216,4.59964,4.93879,5.05383,5.15475,5.34758,5.70117,5.86560,5.85445,5.97634,5.85908,6.01499,6.01940,5.93577,5.93194,6.18290,6.18325,6.03119,5.89501,5.74425,5.67371,5.67404,5.62965,5.52254,5.47264,5.12689,5.06166,5.01084,4.96538,5.04141,4.84732,4.71299,4.75203,4.83151,4.89888,4.84300,4.88458,4.99304,5.09505,5.32461,5.47539,5.93070,6.26947,6.63801,6.53209,6.63284,6.62649,6.51273,6.42429,6.34662,6.50616,6.34678,6.26096,6.15728,6.08400,6.14366,6.04201,5.88248,5.58589,6.58682,6.18133,5.79050,5.46703,5.61495,5.31183,5.99402,5.72777,5.37581,5.65958
2010,Avondale 33_11kV,11MAY2009,MW,5.78841,5.41591,5.62751,6.20042,5.67643,5.26474,5.13927,5.21480,4.99312,4.80198,4.77744,4.63572,4.58402,4.57632,4.45198,4.38677,4.50779,4.51310,4.66995,4.68732,4.87307,4.97119,5.10228,5.49699,6.12211,6.59119,7.06654,6.79461,7.00703,7.33483,7.63012,7.62749,7.64387,7.59646,7.41206,7.29694,7.15250,7.07804,6.92037,7.00463,6.92732,6.75722,6.68546,6.61239,6.60036,6.63097,6.61137,6.62449,6.71117,6.62422,6.59591,6.76415,6.65896,6.47702,6.40211,6.39130,6.24116,6.22956,6.24623,6.21467,6.31130,6.25230,6.26961,6.42094,6.50582,6.61492,6.83360,7.14553,7.55990,8.11427,8.53349,8.54222,8.74555,8.76074,8.57602,8.40221,8.40424,8.55431,8.33224,8.15980,7.98091,7.93245,7.62241,7.45482,7.35700,7.22641,7.19748,6.83744,8.12687,7.83013,7.36870,7.07942,7.15229,6.72033,6.88887,7.30596
