year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Boolaroo 33_11kV,01MAY2009,MW,12.26259,11.48309,11.46210,11.95937,11.70766,11.28223,10.81625,11.27960,10.75115,10.02157,9.26384,8.91758,8.49123,8.09410,7.96686,7.74148,7.62050,7.47571,7.49846,7.43446,7.69568,7.87567,8.62895,8.85375,9.49421,9.90283,10.90485,10.87542,11.08925,11.61546,11.76770,12.08434,12.10677,12.07080,11.67701,11.66718,11.42961,11.18214,10.86031,10.79590,10.77819,10.67651,10.89415,11.02255,11.17484,11.17115,11.17194,11.39488,11.19108,11.06695,11.27258,11.17129,11.06676,11.42684,11.25537,11.27167,11.19612,10.94409,10.93554,10.66653,10.66833,10.42792,10.54478,10.62031,10.83714,10.63428,10.70231,10.93211,11.32698,11.80449,12.57883,12.81153,12.85482,12.87867,12.66059,12.50974,12.54702,12.43000,12.25560,11.94685,11.66196,11.57334,11.23221,10.85118,10.57522,10.32884,10.41282,10.31654,12.21152,12.28689,11.82921,11.27388,11.11168,10.44063,10.87905,11.46496
2010,Boolaroo 33_11kV,02MAY2009,MW,11.96816,11.79740,11.62477,12.13037,11.81914,11.22159,10.58493,9.84647,10.47668,10.27551,9.50035,8.84604,8.31615,7.97470,7.91609,7.76086,7.49055,7.38740,7.38740,7.38740,7.38740,7.52171,7.58289,7.75608,7.90592,8.14458,8.19234,8.58544,9.61424,10.28415,10.80793,11.12480,11.53293,11.97790,11.86933,12.11481,12.11738,12.07558,12.07619,12.25934,12.08950,11.98849,11.95581,11.76863,11.71065,11.54572,11.45536,11.23018,10.81604,10.86586,10.94771,10.88018,10.64258,10.57664,10.55317,10.45921,10.44714,10.42964,10.54758,10.54124,10.45202,10.57759,10.62005,10.66823,10.66955,11.27391,11.43247,11.48506,12.13306,12.50033,13.00479,12.81859,12.87791,12.72593,12.42826,12.04754,11.89094,11.93726,11.59007,11.27051,11.16979,10.93597,10.78695,10.55193,10.62872,10.33926,11.75054,11.36728,10.60748,10.21679,10.36313,9.98730,10.99409,10.81610,9.87186,9.86215
2010,Boolaroo 33_11kV,03MAY2009,MW,10.27480,9.26279,9.25195,10.73187,9.68199,8.83771,8.23434,7.71330,8.19652,7.88371,7.55049,7.28244,7.29175,7.19124,7.06522,6.93321,6.93232,7.00921,6.99244,6.88580,7.15033,7.01904,7.38455,7.43994,7.44816,7.61270,7.61097,7.70258,8.29694,8.63554,9.06360,9.35354,9.85762,10.37013,10.79579,10.97662,11.30300,11.48750,11.69384,11.77568,11.96265,11.68433,11.40278,11.78068,11.60460,11.45196,11.24504,11.11879,11.15576,11.12837,11.15295,10.76318,10.66139,10.74315,10.57952,10.46500,10.32296,10.32971,10.41636,10.27085,10.35640,10.43567,10.14861,10.41638,10.69890,10.76493,10.80359,10.57414,11.46877,12.06982,12.66762,12.76940,12.99498,12.97088,12.62592,12.21402,12.07154,12.20129,11.88783,11.55781,11.35399,10.86468,11.06010,10.67567,10.52771,10.33767,11.91527,11.50485,10.70721,10.04060,10.11790,9.67848,10.83705,10.45012,9.45906,9.64881
2010,Boolaroo 33_11kV,04MAY2009,MW,9.73687,9.13151,9.17135,10.28565,9.46774,8.47700,8.15272,8.13891,7.63656,7.49393,7.24520,6.99711,6.63218,6.69675,6.64796,6.70559,6.88545,6.93509,6.95632,7.23104,7.28345,7.61172,7.86922,8.32770,9.09423,10.17695,11.07246,10.91413,11.13953,11.79041,12.50317,12.58888,12.40367,12.33546,12.14069,12.15744,11.99995,11.80423,11.75935,11.46621,11.43983,11.68709,11.52287,11.39962,11.66714,11.57797,11.50754,11.58450,11.44099,11.51230,11.38669,11.42690,11.44935,11.32640,11.21466,11.29405,11.52233,11.15430,11.26897,11.38422,10.83149,10.57838,10.48954,10.50106,10.80618,10.97842,11.15169,11.50449,12.13271,12.92929,13.94054,13.60744,13.89246,13.89679,13.46445,13.06315,12.85851,13.05087,12.73556,12.46532,12.05858,11.57136,11.44860,11.21363,11.08679,10.71979,10.75735,10.69768,12.59870,12.30978,11.81716,11.31408,11.33569,10.56204,10.71577,11.41267
2010,Boolaroo 33_11kV,05MAY2009,MW,11.99859,11.68986,11.42640,11.98375,11.61446,11.04199,10.72424,11.08581,10.71471,10.04794,9.30562,8.72127,8.08199,7.77594,7.49974,7.44949,7.44598,7.33683,7.29756,7.53713,7.87688,8.03349,8.34615,9.00885,9.75504,10.54680,11.02852,10.80380,11.05739,11.80069,12.14362,12.04602,12.27128,12.42474,12.35495,11.96065,12.02058,12.35292,12.55506,12.52831,12.63083,12.44408,12.25554,12.45212,12.56161,12.59933,12.46087,12.25816,12.34831,12.31444,12.18875,12.18151,12.09314,12.00037,11.83733,11.92844,11.62163,12.01946,11.76150,11.35663,11.00928,10.86422,10.72654,10.84070,11.00638,11.22553,11.49812,11.92526,12.41216,13.68035,14.31424,14.21403,14.35072,14.30526,14.35564,13.97547,13.64117,13.46521,13.32250,13.03806,12.72909,12.42753,11.92178,11.55575,11.34128,11.02864,11.06728,10.91638,12.68105,12.50841,12.58035,11.82990,11.68486,11.00138,11.41437,12.13277
2010,Boolaroo 33_11kV,06MAY2009,MW,12.78766,12.43416,12.23364,12.64985,12.42403,11.90997,11.67382,12.09746,11.35367,10.44080,10.01825,9.31431,8.80878,8.30599,8.32567,8.19542,8.10039,8.10039,8.19572,8.25946,8.31457,8.64857,9.09221,9.26629,10.27492,11.39419,11.94452,11.53739,12.04182,12.81816,12.72947,13.18868,13.17033,13.37381,13.43476,13.45448,13.25827,13.27655,13.39174,13.32337,13.01174,13.25733,13.05272,13.23102,13.19914,13.07738,13.13909,13.00280,13.25350,13.17803,13.33174,13.21497,13.24899,13.29947,12.24388,12.13980,11.83468,11.65936,11.46613,11.39598,11.07550,10.83699,10.60662,10.70073,10.75898,11.18246,11.28550,11.68748,12.02949,12.87217,13.93369,13.84797,13.92221,14.04696,13.72846,13.38455,12.94460,13.14094,12.62038,12.35197,12.22791,12.06149,11.75643,11.43592,11.11227,10.59429,10.78951,10.60018,12.68441,12.49051,11.97070,11.20012,11.20005,10.41885,11.00247,11.65562
2010,Boolaroo 33_11kV,07MAY2009,MW,12.24413,11.63932,11.52422,12.14833,11.78920,11.32733,10.98975,11.51366,10.84942,9.99451,9.14935,8.70983,8.36018,8.05035,7.80705,7.56823,7.36751,7.62934,7.76692,7.76692,7.95644,8.26899,8.46199,8.85404,9.92708,11.54277,12.43109,12.09763,12.40903,12.70865,12.73625,13.04698,13.01068,12.95676,12.40952,12.33004,12.45747,12.55544,12.48899,12.54511,12.42340,12.50090,12.41573,12.43141,12.35951,12.36454,12.31893,12.43460,12.36905,12.70189,12.66722,12.34986,12.43224,12.34373,12.30978,12.25941,12.13884,12.00341,11.87629,11.77234,11.62923,11.69193,11.75309,11.54308,11.66611,11.90590,12.20572,12.39292,12.84993,13.98347,14.86446,14.16204,13.54624,13.78054,13.65622,13.41737,13.40406,13.46067,13.16457,13.00751,12.73598,12.67836,12.69757,12.69757,12.69757,12.69757,12.69757,12.03455,12.71428,12.63664,12.02191,11.03547,11.13280,10.35431,10.79846,11.48057
2010,Boolaroo 33_11kV,08MAY2009,MW,12.05662,11.51959,11.40714,12.16621,11.73185,11.19410,10.72062,11.41115,10.61527,10.02438,9.26206,8.62148,8.30099,8.02815,7.75745,7.45656,7.58890,7.36185,7.24264,7.34674,7.65590,7.81897,8.12329,8.94147,9.75556,10.80639,10.91682,10.66098,11.00939,11.90935,12.02044,12.02044,11.97741,12.06216,12.36801,12.32301,12.35286,12.26590,12.15977,12.20018,12.18149,12.08640,12.11342,12.17876,12.24776,12.28132,12.03134,12.08021,12.27142,11.99910,12.03246,12.08183,12.06309,11.90492,11.86389,11.44907,11.79352,11.91715,11.76581,11.59724,11.36438,11.43508,11.63915,12.11879,12.02931,11.73033,11.94500,12.26289,12.70234,13.96305,14.72195,14.16015,14.32702,14.16191,14.05814,14.10513,13.96980,13.86924,13.33089,13.17355,13.00864,12.64987,12.37332,12.05163,11.55110,11.14466,11.43805,11.33437,13.17500,13.17956,12.52327,12.01204,11.87947,10.98688,11.27630,11.99323
2010,Boolaroo 33_11kV,09MAY2009,MW,12.34620,12.20411,12.14565,12.37543,11.96492,11.45889,10.83451,10.33488,11.00032,10.62702,9.87219,9.32750,8.63952,8.26342,8.12579,7.83413,7.57797,7.63283,7.70209,7.70298,7.79055,7.68632,7.80221,7.91885,8.27734,8.62653,8.97668,9.32705,10.31262,10.93223,11.32229,11.83821,12.13751,12.35557,12.38470,12.76417,12.78197,12.64199,12.57764,12.44563,12.56005,12.54364,12.10117,11.80588,11.58825,11.58249,11.46319,11.51652,11.38629,11.17554,11.11984,11.05786,10.85907,10.55844,10.79912,10.45701,10.66468,10.57004,10.63639,10.43502,10.43171,10.47152,10.43861,10.54072,10.72557,10.99395,11.14488,10.94007,11.26427,12.13420,12.94287,12.88406,12.89802,12.81489,12.66751,12.38865,12.31451,12.29721,11.94796,11.80973,11.61249,11.61215,11.48645,11.22069,11.11249,10.82637,12.39301,12.08678,11.38343,10.72109,10.85244,10.34325,11.33891,11.15593,10.11636,10.24855
2010,Boolaroo 33_11kV,10MAY2009,MW,10.57283,9.68020,9.60793,10.94481,10.18068,9.26360,8.51457,8.14260,8.64615,8.25905,7.65227,7.59443,7.45185,7.27793,7.29397,7.04364,7.05056,7.08890,7.26237,7.25793,7.25793,7.34964,7.43782,7.45264,7.72284,7.89506,7.85039,8.22884,8.75708,9.29816,9.95117,10.79975,11.11329,11.65842,12.02427,12.01620,12.05816,12.28175,12.74453,13.06622,12.96103,13.01806,13.64170,13.73995,13.66345,14.01786,13.63267,13.16208,12.93229,12.71704,12.62740,12.43249,12.13135,11.93917,11.65251,11.13126,11.15791,11.10401,10.82761,10.68620,10.68040,10.74180,10.77716,10.86837,11.04286,11.38571,11.53030,11.57878,12.25465,12.94629,13.67635,13.42829,13.52786,13.58439,13.45414,13.17025,13.11019,13.14478,12.84207,12.52415,12.23656,11.98417,12.09109,11.78605,11.78712,11.21344,12.71325,12.22688,11.08072,10.34921,10.38051,9.92898,10.98844,10.60980,9.77339,9.93007
