year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Dalley St 132_11kV,01MAY2009,MW,54.67035,54.09330,53.96300,53.33011,52.77168,52.26909,52.04572,51.69205,51.07778,50.81718,50.87302,51.15223,50.85440,50.83579,51.18946,51.05916,51.20808,51.67344,51.85958,52.13879,54.61450,55.04263,56.75515,59.80791,65.01992,67.99822,73.32192,79.57635,86.31474,91.37784,95.11933,98.84220,101.02008,104.63126,107.12558,109.26623,110.21557,111.25797,110.62508,111.89086,113.04495,114.23627,113.80814,113.99428,114.86915,115.39036,116.00463,117.06565,117.75438,117.41932,118.35004,117.40071,118.79678,117.92191,119.13184,118.85262,120.71406,119.02015,118.64787,118.42449,117.53101,116.69336,118.03359,117.32625,116.13493,114.73885,113.73368,114.36657,111.25797,109.22901,107.79570,102.54645,90.91249,89.12551,85.57017,82.25681,79.50189,77.39847,75.87209,74.55047,73.09855,71.47910,70.92067,69.54321,67.68178,65.95064,65.35498,64.07059,63.10265,62.30223,61.85549,60.73862,58.54213,57.46250,57.44388,55.30
2010,Dalley St 132_11kV,02MAY2009,MW,54.20499,53.57210,53.49764,52.79030,51.97127,51.69205,51.37561,51.02193,50.72410,50.40766,50.10983,49.90507,49.60724,49.62586,49.81200,50.24013,49.66309,49.55140,49.62586,50.20290,50.33320,50.18429,50.38905,51.22669,52.15741,53.18120,53.27427,53.36734,55.52661,56.43871,57.63003,58.33737,59.88236,60.51525,60.99922,62.80482,63.13988,64.55457,65.37360,66.34154,67.36533,68.09129,67.38395,67.75623,68.57527,69.50598,68.40774,68.68695,68.98478,69.67351,69.31984,69.45014,69.58044,69.41291,69.89688,69.46875,69.28261,68.53804,68.81725,69.61767,68.27744,68.48219,67.77485,67.79346,67.10473,67.04889,66.69522,66.73244,66.06233,66.11817,66.36016,66.73244,66.04371,65.00131,65.29914,64.31258,62.63729,62.39530,61.27844,60.85031,60.12435,60.23604,60.01266,59.60315,59.37978,59.37978,58.57936,58.33737,58.15123,57.90924,57.36943,56.88545,55.69414,55.93612,54.89372,54.67035
2010,Dalley St 132_11kV,03MAY2009,MW,53.88854,53.47903,53.19981,52.97644,52.45524,52.06434,51.59898,51.15223,50.77995,50.46350,50.22152,50.33320,50.44489,50.18429,50.51935,50.12844,49.60724,49.66309,50.14706,49.90507,50.05399,49.66309,50.09122,50.35182,50.70549,50.98470,51.74789,51.69205,54.03746,53.92577,54.59589,55.06125,55.89889,56.56901,57.25774,58.33737,58.82135,59.80791,60.04989,60.16158,62.32084,63.08403,64.16366,63.40048,64.55457,64.61041,63.95891,63.73553,63.27018,63.36325,63.17710,63.23295,63.23295,62.95373,63.08403,63.64246,62.82343,62.91650,62.86066,63.41909,63.53078,64.03336,63.66108,63.58662,63.00957,63.64246,62.11609,62.95373,62.89789,62.74897,63.17710,62.46976,61.50181,61.42735,60.64555,60.03128,59.26809,58.95165,58.52352,58.69105,57.98370,57.33220,57.20190,56.69931,56.75515,56.53178,56.40148,55.56383,54.76342,54.40975,53.73963,52.77168,53.10674,52.45524,51.82235,51.46868
2010,Dalley St 132_11kV,04MAY2009,MW,51.22669,50.87302,50.50073,50.42627,50.05399,50.05399,49.97953,49.86784,50.10983,50.14706,50.40766,50.44489,50.44489,50.70549,51.05916,50.77995,50.50073,50.87302,51.30115,51.76651,54.33529,54.93095,56.73654,59.93821,66.41600,70.36224,74.58770,81.25164,88.58569,91.61983,96.29203,101.09453,104.20313,105.74812,108.93118,109.91774,111.68610,113.19386,114.47825,114.36657,114.25488,115.79987,116.02324,116.54445,116.28384,117.82884,117.69854,119.22491,120.19286,121.17942,120.62099,122.22182,120.56514,121.10496,121.12358,120.88159,121.57032,120.73267,120.52792,120.02533,119.13184,118.20112,117.88468,116.95396,115.94879,116.39553,114.77608,115.52066,113.30555,111.01598,109.06148,103.40271,93.12759,89.73978,88.12033,85.25372,81.38194,80.30231,78.45949,77.15648,74.90414,73.99204,72.76349,70.45531,68.40774,67.30949,65.89480,65.55974,63.88445,63.53078,62.06024,60.79447,58.44906,58.15123,57.14605,56.3
2010,Dalley St 132_11kV,05MAY2009,MW,55.65691,54.80065,54.87510,53.92577,53.36734,53.33011,52.97644,52.17602,51.93404,51.46868,52.00849,52.13879,51.71066,52.34355,51.91542,51.59898,52.00849,52.00849,52.51108,53.31150,55.19155,55.71275,58.11400,59.91959,65.89480,70.21333,74.01066,80.95381,90.78218,94.31891,99.25171,101.82049,106.45547,108.09353,108.55889,110.96014,111.72333,113.10079,112.89603,113.49169,115.76264,115.78126,115.37174,117.41932,116.61890,117.27040,117.06565,118.74094,119.07600,119.65304,120.80713,121.04912,121.90538,121.71923,121.70062,122.55688,120.32316,119.63443,119.28075,119.59720,119.55997,118.83401,118.25697,117.77299,116.54445,115.37174,114.25488,115.27867,112.48652,110.64370,106.77191,103.77500,93.31374,90.14930,86.81733,84.90005,81.21441,77.84521,77.47292,76.28161,73.86174,72.70765,71.77693,70.51116,68.74279,67.55148,67.40256,66.00649,63.25156,62.91650,61.76241,60.72001,58.05816,57.74171,56.55040,56.1
2010,Dalley St 132_11kV,06MAY2009,MW,55.24739,54.70757,53.96300,53.46041,52.04572,51.59898,51.93404,51.39422,51.33838,50.91025,51.05916,51.50591,51.45006,52.79030,52.23187,52.58554,52.32494,52.67861,53.03228,53.49764,55.54522,55.82444,58.59797,61.25983,66.17401,69.54321,73.60114,79.53912,88.86491,94.26307,98.11624,101.46682,105.09662,107.90739,110.32725,112.26314,113.32416,114.29211,114.23627,116.50722,117.23318,117.02842,118.16389,120.06256,120.28593,119.89503,120.09979,121.27249,121.17942,122.22182,121.32833,121.25388,122.48242,121.49586,122.12875,123.78543,123.04085,123.04085,121.51448,121.53309,120.58376,119.44828,117.99636,118.03359,117.81022,117.23318,116.20939,115.96740,114.01289,111.98393,108.68919,104.91048,94.03970,91.17309,88.73461,85.64462,80.73044,79.81833,78.81316,77.97551,77.06341,76.18853,74.28987,72.54012,69.33845,69.07785,67.57009,66.63937,64.98270,63.60523,62.46976,61.18537,59.78929,59.21225,58.09539,56.9
2010,Dalley St 132_11kV,07MAY2009,MW,55.84305,56.30841,55.41492,55.24739,54.13053,53.85131,53.86993,53.55348,52.92060,53.33011,52.95783,52.93921,53.36734,53.29288,53.16258,53.40457,53.19981,53.62794,53.60933,54.24222,56.43871,56.47594,58.37460,61.16675,66.73244,70.93929,73.80590,79.20406,88.00865,93.44404,97.16691,101.05731,102.45338,106.90221,108.14937,110.86707,111.77917,112.00254,113.19386,115.22283,114.77608,115.46481,116.60029,118.75955,118.83401,118.59202,119.16907,119.87641,119.69027,120.41623,120.95605,120.99327,121.23526,122.07291,122.29628,122.22182,121.45863,120.99327,120.28593,121.38418,119.65304,119.18768,118.29419,118.03359,117.95914,116.76782,116.30246,115.93017,113.84536,112.50513,111.09044,105.71089,94.50505,92.75531,90.61466,86.50088,82.70356,81.62392,80.09755,78.03136,75.59288,74.12234,73.41500,72.93102,70.47393,68.61249,67.60732,66.78829,64.87101,64.36842,63.21433,62.02301,60.12435,59.64038,59.23086,
2010,Dalley St 132_11kV,08MAY2009,MW,,,,,,,,,,,52.62277,52.43662,52.56692,52.56692,52.66000,52.34355,52.56692,52.95783,53.31150,53.59071,55.78721,56.45732,58.56075,60.66417,65.76450,69.04062,73.52668,78.53394,87.97142,92.36440,95.62192,99.97767,102.52784,105.50614,108.46582,110.79261,112.74712,112.05839,113.45446,115.22283,116.43276,116.61890,116.73059,118.18251,118.62925,117.92191,117.28902,119.41106,119.16907,119.29937,120.19286,119.83919,120.09979,119.67166,120.43484,120.90020,119.78334,119.48551,119.54136,118.51757,118.81540,117.47516,117.41932,116.76782,115.52066,114.99945,113.49169,113.02633,110.55062,109.24762,106.34378,102.15555,90.93110,87.61775,85.10481,82.23820,77.75214,76.31883,74.86692,74.02927,72.52151,71.38603,70.39947,70.86483,69.07785,67.94238,67.27226,66.00649,63.95891,62.65590,62.61867,61.96717,60.01266,59.51008,56.42009,56.21534
2010,Dalley St 132_11kV,09MAY2009,MW,56.75515,55.39631,54.55866,54.11192,53.53487,53.36734,52.32494,52.02711,51.87819,51.24531,51.35699,51.59898,51.48729,51.56175,51.11501,51.17085,50.68688,50.89163,51.00332,51.07778,51.56175,51.28253,52.04572,53.38596,54.00023,54.48420,54.61450,55.37769,56.99714,58.24430,58.82135,59.19363,60.14296,61.01784,62.07886,62.71175,63.86583,65.33637,66.15540,66.54630,67.90515,67.94238,68.42635,68.78002,69.48737,69.39430,69.91550,70.06441,70.51116,70.43670,70.17610,69.58044,69.31984,69.56183,69.63628,70.49254,68.61249,69.87827,69.04062,69.41291,69.65490,68.79864,68.92894,68.51942,68.44496,68.09129,67.19780,67.83069,67.57009,66.63937,67.40256,66.97443,65.93203,65.50390,65.70866,65.24330,63.90306,63.38186,63.21433,63.04680,61.66934,61.57627,61.25983,60.70140,60.75724,59.90098,59.69622,59.06333,58.48629,58.11400,57.98370,57.20190,56.51317,56.14088,55.50799,54.87510
2010,Dalley St 132_11kV,10MAY2009,MW,54.16776,54.24222,53.51626,52.52970,52.49247,51.98988,51.85958,51.26392,50.89163,50.89163,50.37043,50.46350,50.68688,50.25874,50.55657,49.92369,50.10983,49.92369,50.55657,49.88646,50.14706,50.29597,50.79856,51.50591,52.00849,52.38078,52.71584,52.49247,54.33529,55.52661,55.67552,55.80582,56.90407,57.63003,58.30014,58.83996,59.02610,58.61659,59.93821,60.44079,60.98061,62.07886,62.52560,62.54422,62.45114,63.49355,63.36325,64.12644,63.92168,64.16366,63.92168,64.36842,63.94029,64.21951,63.80999,63.51216,64.01475,63.84722,63.86583,63.02819,63.36325,63.71692,63.13988,63.88445,62.93512,63.38186,62.73036,62.93512,62.63729,62.73036,62.02301,61.61350,61.52043,60.83170,60.53387,59.39839,59.47285,59.10056,58.61659,57.92786,56.99714,57.14605,56.82961,56.97853,56.17811,56.12227,55.88028,55.26601,54.26083,53.90716,53.40457,53.49764,52.30632,51.95265,51.63621,51.43145
