year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Enfield 33_11kV,01MAY2009,MW,18.78582,18.15709,17.16636,16.28994,15.81362,15.28015,14.53710,14.65142,14.19416,13.83216,14.00363,13.69879,13.96553,13.69879,13.87026,13.69879,14.23226,14.46089,14.34658,14.97531,15.73741,16.46141,17.26162,17.69983,17.35688,18.19519,19.68129,19.94803,21.45318,21.75802,22.08192,21.58655,21.43413,21.20550,21.22455,20.08140,20.31003,20.61487,20.15761,20.00519,20.00519,19.85277,19.85277,19.10972,19.54793,19.31929,18.91919,19.10972,18.86203,18.72867,18.36667,18.86203,18.32856,18.09993,18.25235,18.09993,18.09993,17.94751,17.69983,17.14730,17.07109,17.90941,19.20498,19.58603,19.56698,19.49077,20.25287,20.67203,21.60560,23.28223,24.78738,25.20654,25.72095,25.70190,25.45422,25.32085,24.92075,24.50159,24.50159,24.53970,24.34917,24.25391,23.70138,23.30128,22.76781,22.36770,24.57780,23.64423,25.33990,27.07369,25.85432,24.52064,23.28223,21.87234,20.76729,20.10045
2010,Enfield 33_11kV,02MAY2009,MW,18.84298,18.06183,17.56646,16.67099,15.92794,14.89910,14.44184,14.57521,13.58447,13.45111,13.10816,12.84142,12.74616,12.74616,13.37490,13.48921,13.24153,13.47016,13.67974,13.87026,14.11795,14.17510,14.42279,14.82289,15.16584,15.20394,15.73741,15.88983,16.49952,17.28067,18.17614,18.84298,18.84298,19.31929,19.22403,19.39550,19.43361,19.39550,19.39550,19.41456,19.20498,19.45266,19.16687,19.01445,18.80488,18.63340,18.55719,18.09993,18.23330,18.11898,18.11898,17.75698,17.79509,17.50930,17.49025,17.49025,17.66172,17.94751,17.60456,17.54741,17.26162,17.14730,17.01394,17.35688,17.52835,17.90941,18.50003,18.93824,20.34813,21.98665,22.99644,23.89191,23.73949,23.58707,23.43465,22.78686,22.36770,22.23434,21.83423,21.31981,20.91971,21.22455,20.91971,20.53866,20.10045,19.60508,21.96760,21.60560,23.24412,25.64474,24.86359,23.28223,22.13907,20.93876,20.04329,18.78582
2010,Enfield 33_11kV,03MAY2009,MW,18.27140,17.37593,16.25183,15.75647,15.37542,14.55615,13.39395,13.81311,13.48921,13.31774,13.31774,12.91763,12.86048,12.74616,12.61279,12.26985,12.17459,12.46037,12.53658,12.57469,11.54585,11.69827,11.67922,11.86974,11.46964,11.31722,11.79353,11.83164,12.30795,12.89858,13.18437,13.81311,14.15605,14.91815,14.84194,15.26110,15.12773,15.14678,15.60405,15.73741,15.77552,15.48973,15.29920,15.37542,15.28015,15.10868,15.10868,14.59426,14.91815,14.67047,14.80384,14.47994,14.06079,14.25131,14.06079,13.90837,14.40373,14.95626,14.34658,15.37542,15.66120,16.25183,16.61383,16.78530,17.50930,17.69983,18.02372,18.50003,19.90992,21.39602,22.65349,22.90118,23.32033,23.35844,23.58707,23.51086,23.37749,23.16791,22.99644,22.78686,22.65349,22.23434,22.17718,21.60560,21.09118,20.63392,23.05360,22.76781,24.34917,26.27348,25.03506,23.45370,22.10097,20.80539,19.39550,18.44288
2010,Enfield 33_11kV,04MAY2009,MW,17.56646,16.82341,16.02320,15.58499,15.52784,14.67047,14.38468,14.19416,14.21321,14.02268,13.90837,13.62258,13.60353,13.37490,13.52732,13.20342,13.16532,13.45111,13.83216,14.28942,14.51805,15.64215,16.30899,17.18541,16.84246,18.25235,18.70961,19.31929,20.23382,21.07213,21.28171,20.91971,20.53866,20.57676,20.31003,20.08140,19.94803,19.62414,19.64319,19.68129,19.33835,19.26214,19.64319,19.47172,18.88109,19.64319,19.10972,19.14782,19.10972,18.95730,18.95730,19.16687,18.74772,18.48098,18.29046,18.38572,18.40477,18.19519,18.78582,18.59530,19.09066,19.68129,18.93824,19.92898,20.50055,21.03403,21.31981,20.76729,23.37749,24.69212,25.96864,26.46400,26.61642,26.42590,26.34969,26.48306,26.46400,25.60664,25.43517,25.33990,24.69212,24.50159,24.15864,23.62517,22.71065,22.38676,24.36822,23.58707,24.57780,26.46400,25.03506,23.32033,20.99592,20.17666,19.01445,18.29046
2010,Enfield 33_11kV,05MAY2009,MW,17.66172,16.49952,16.06131,15.28015,15.01342,14.97531,14.65142,14.19416,13.77500,13.90837,14.04174,13.01290,13.47016,13.67974,13.35584,13.31774,13.33679,13.73689,14.06079,14.68952,15.03247,15.29920,16.13752,17.05204,16.63288,17.79509,19.28119,19.50982,20.74824,22.27244,21.91044,21.98665,21.64371,20.40529,20.67203,20.36719,19.85277,20.00519,20.42434,20.11950,19.75750,20.10045,19.75750,19.71940,19.71940,19.24308,19.64319,19.52887,19.50982,19.41456,19.60508,19.20498,19.12877,18.50003,18.48098,18.32856,18.70961,18.27140,17.94751,17.79509,18.04277,18.06183,18.34761,18.25235,19.01445,20.84350,21.68181,22.13907,23.12981,25.18748,25.72095,24.88264,25.07317,25.54948,25.49232,26.73074,26.33064,26.10201,25.75906,25.33990,24.97790,24.67306,24.48254,23.81570,23.09170,22.90118,24.99696,23.79665,25.45422,27.07369,25.33990,23.70138,22.13907,20.44340,19.64319,18.63340
2010,Enfield 33_11kV,06MAY2009,MW,17.83320,16.95678,16.19468,15.48973,15.03247,15.08963,14.76573,14.40373,14.28942,13.96553,13.81311,13.73689,13.69879,13.81311,13.60353,13.87026,13.98458,14.09889,14.09889,14.72763,15.68026,15.83268,16.42331,17.29972,19.18593,19.85277,21.20550,21.20550,22.80591,22.44391,22.52012,21.56750,21.16739,20.80539,21.33887,21.33887,21.24360,21.28171,21.26266,20.91971,21.09118,21.22455,20.84350,20.97687,21.11024,20.91971,21.01497,20.69108,20.61487,20.53866,21.01497,20.90066,20.88160,20.44340,20.44340,20.99592,20.74824,20.10045,20.42434,19.85277,19.14782,20.69108,20.63392,20.57676,20.97687,20.65297,21.31981,21.83423,23.41559,25.16843,25.79716,26.02580,25.98769,25.93053,26.23537,25.74001,25.96864,25.53043,25.56853,25.39706,24.59685,24.04433,23.93001,23.49181,23.18696,22.65349,24.40633,23.64423,24.93980,26.99748,25.45422,24.00622,22.44391,21.07213,19.89087,18.59530
2010,Enfield 33_11kV,07MAY2009,MW,17.87130,16.65194,16.19468,15.48973,15.10868,14.86100,14.59426,14.30847,14.28942,14.11795,14.15605,14.02268,13.90837,13.83216,13.75595,13.88932,14.30847,14.34658,14.65142,14.78479,15.66120,15.45163,16.63288,16.57573,17.03299,18.27140,19.43361,19.30024,20.19571,21.39602,21.37697,21.33887,20.91971,20.88160,20.65297,20.15761,19.64319,20.25287,19.47172,18.86203,19.14782,19.16687,18.86203,19.07161,18.91919,18.97635,19.30024,19.28119,19.52887,19.49077,18.97635,19.37645,18.55719,18.67151,18.78582,18.61435,18.99540,18.51909,18.40477,18.13804,17.87130,19.14782,19.16687,19.41456,19.90992,20.00519,20.95781,21.64371,23.51086,24.73022,25.74001,25.47327,25.94959,25.89243,25.60664,25.39706,25.09222,25.07317,25.39706,25.35896,24.55875,23.87286,24.08243,23.81570,23.28223,22.25339,24.34917,23.58707,25.09222,26.90221,25.56853,23.51086,22.02476,20.65297,18.97635,18.80488
2010,Enfield 33_11kV,08MAY2009,MW,17.75698,16.95678,16.44236,15.73741,15.14678,14.86100,14.28942,14.30847,14.15605,13.64163,13.90837,13.62258,13.31774,13.29869,13.52732,13.69879,13.94647,13.92742,14.30847,14.28942,14.89910,15.96604,16.55667,17.31878,19.20498,19.77656,20.72918,21.71992,22.90118,22.76781,23.09170,22.55823,22.44391,21.83423,20.71013,21.20550,20.91971,21.49129,21.52939,21.07213,20.91971,21.18645,20.78634,20.51961,20.50055,20.69108,20.31003,20.55771,20.53866,20.19571,20.53866,19.31929,20.11950,20.29098,19.92898,19.85277,19.68129,19.71940,19.50982,18.76677,19.43361,19.18593,19.70035,19.98613,20.10045,20.25287,20.53866,21.68181,22.36770,23.91096,24.95885,25.41611,25.79716,25.58759,25.22559,25.66380,25.01601,24.57780,23.91096,23.81570,23.66328,23.33938,22.76781,22.95833,21.83423,22.19623,24.33012,23.24412,25.05411,26.73074,25.53043,24.65401,23.14886,21.75802,20.72918,19.56698
2010,Enfield 33_11kV,09MAY2009,MW,18.90014,18.08088,17.20446,16.57573,15.94699,15.47068,15.05152,13.75595,14.38468,14.04174,14.13700,14.13700,13.90837,13.64163,13.50826,13.39395,13.45111,13.60353,13.29869,13.67974,14.09889,14.19416,14.36563,14.47994,15.29920,15.28015,15.73741,15.81362,16.42331,17.22351,17.64267,18.44288,19.01445,19.05256,19.70035,19.10972,19.56698,19.54793,19.66224,18.25235,19.41456,19.50982,19.41456,19.54793,19.09066,19.01445,18.93824,18.91919,18.53814,18.09993,17.68077,17.58551,17.26162,17.24257,17.07109,16.99488,17.12825,17.22351,17.05204,16.57573,16.59478,16.57573,16.70909,16.74720,17.18541,17.60456,18.55719,19.33835,20.71013,21.20550,22.65349,23.28223,23.26317,23.39654,22.90118,22.74876,22.59633,22.27244,21.96760,21.77707,21.45318,21.31981,21.12929,20.31003,20.15761,20.00519,22.13907,21.45318,23.22507,25.41611,24.33012,23.24412,21.81518,20.93876,20.08140,19.01445
2010,Enfield 33_11kV,10MAY2009,MW,18.48098,17.56646,16.36615,15.94699,15.22299,14.74668,14.57521,13.90837,13.67974,13.41300,13.08911,13.08911,12.93669,12.97479,12.84142,12.46037,12.72711,12.38416,12.59374,12.61279,12.61279,12.84142,12.84142,11.24101,11.69827,11.54585,11.98406,12.19364,12.30795,13.41300,13.64163,14.27037,15.01342,15.58499,15.68026,15.73741,17.10920,17.90941,17.66172,17.62362,17.49025,17.47120,17.12825,17.03299,17.03299,16.80436,16.19468,16.11846,16.02320,15.64215,15.66120,15.05152,14.95626,14.88005,14.46089,14.23226,15.12773,15.16584,15.24205,15.28015,15.18489,16.04225,16.27089,16.61383,17.33783,17.89035,18.93824,20.10045,20.76729,22.06286,22.67255,22.93928,23.07265,23.05360,22.95833,23.07265,23.05360,23.49181,23.35844,23.62517,22.29149,22.92023,22.48202,22.38676,22.12002,21.75802,23.64423,21.45318,23.05360,26.12106,25.05411,23.41559,22.17718,20.40529,19.92898,18.40477
