year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Flemington 132_11kV,01MAY2009,MW,37.33539,36.75696,36.47651,36.49403,36.28369,36.63426,35.37222,35.79290,36.16099,35.23199,34.91648,35.42480,35.49492,35.21446,35.37222,34.70614,34.86390,35.60009,36.89719,36.31875,38.54485,38.91295,40.17499,42.22581,44.41685,46.06451,46.95846,49.14951,50.30638,50.27132,51.25291,51.20032,52.26955,53.25114,52.42731,53.00574,53.46148,52.93563,52.74282,52.26955,53.63676,53.35631,53.00574,53.14597,53.88216,53.84710,53.09338,54.16261,52.67270,52.35719,53.79452,53.98733,52.93563,53.30373,54.30284,53.68935,53.21608,53.04080,53.51407,52.93563,53.14597,51.88393,51.63853,50.72706,50.88481,51.25291,50.11356,49.95581,49.58771,49.93828,49.25468,48.22050,48.20297,48.41331,48.53601,47.62454,47.22139,45.48608,45.53866,44.62719,43.83841,44.80247,43.01458,41.62984,40.91118,40.63072,40.21004,39.78936,39.47385,39.73678,38.00147,37.70349,36.58168,36.47651,35.23199,35.02165
2010,Flemington 132_11kV,02MAY2009,MW,34.96907,35.02165,35.12682,35.02165,34.12771,34.49580,33.53174,33.07600,32.76049,32.84814,33.18117,32.74297,32.44498,32.18206,32.11194,32.55015,33.07600,33.65444,33.60185,32.63780,33.05848,33.07600,33.47916,33.32140,35.33716,35.54750,34.44322,35.23199,35.16188,32.63780,32.21711,32.37487,33.18117,33.68950,34.12771,34.05759,33.89984,34.53086,34.54839,34.11018,34.16276,33.96995,34.21535,35.00412,34.49580,34.28546,34.68861,34.21535,34.37310,34.86390,34.16276,34.07512,33.79467,33.47916,33.18117,33.44410,32.53263,32.21711,32.39240,32.26970,31.97172,31.76138,32.12947,31.81396,32.48004,32.53263,32.16453,33.54927,34.18029,35.81043,36.00324,36.21358,35.33716,34.81131,33.37399,33.60185,33.00589,33.05848,33.05848,32.76049,31.91913,31.91913,31.91913,31.65621,31.34070,31.00766,31.42834,30.97260,31.28811,31.44587,31.07777,30.34158,30.32405,29.81573,29.65798,29.71056
2010,Flemington 132_11kV,03MAY2009,MW,29.43011,29.27235,28.69392,28.71144,28.79909,28.53616,28.11548,27.74738,27.48446,27.34423,27.37929,27.29165,27.16895,27.02872,26.95861,27.13389,27.92267,28.43099,28.18559,28.23818,28.32582,28.37841,28.95684,29.02695,29.74562,29.97349,29.79820,29.92090,30.00854,30.02607,30.53439,30.65709,31.44587,31.42834,32.02430,32.42746,32.07689,32.39240,32.79555,32.39240,33.21623,33.70703,33.70703,33.74208,33.23376,33.60185,33.23376,33.60185,33.70703,34.00501,33.89984,34.49580,34.53086,34.21535,34.23288,34.79378,34.07512,33.95242,33.89984,34.02254,33.84725,33.68950,34.49580,34.70614,34.33805,33.58433,34.23288,34.70614,35.38975,35.89807,37.31787,36.86213,,36.96730,37.16011,35.31963,35.49492,34.96907,34.54839,34.89895,34.21535,34.74120,34.58344,34.16276,33.91737,33.00589,33.26882,33.84725,33.84725,33.16365,32.55015,32.55015,32.53263,32.42746,32.48004,32.37487
2010,Flemington 132_11kV,04MAY2009,MW,31.79643,31.02519,30.92002,30.84990,31.48092,30.69215,31.06024,31.70879,31.18294,31.53351,31.18294,31.23553,31.39328,31.60362,31.49845,31.28811,31.69126,31.63868,31.90160,32.44498,34.68861,36.44145,37.96642,40.06982,42.26086,42.01546,43.15481,44.01370,46.27486,46.53778,48.69377,49.04433,49.21962,49.16703,49.74547,50.21873,49.51760,50.00839,49.90322,50.74459,51.41066,50.32390,51.37561,50.95493,52.09427,51.48078,51.90146,51.25291,51.46325,51.83134,51.83134,52.47989,51.48078,52.00663,51.88393,50.98998,51.11268,50.84976,50.77964,50.56930,49.93828,49.53513,49.51760,48.79894,48.57107,48.69377,48.15039,48.51848,47.64207,48.15039,48.41331,47.57195,46.78318,46.09957,45.32832,44.89012,43.73324,43.17234,42.22581,42.64649,42.33098,,41.59478,41.17410,41.01635,39.64914,38.49227,38.12417,38.28193,37.79113,36.52909,36.54662,35.91560,35.79290,35.33716,34.07512
2010,Flemington 132_11kV,05MAY2009,MW,34.53086,34.26793,34.26793,34.11018,33.33893,33.58433,33.63691,33.32140,33.53174,33.02342,33.12859,32.60274,32.42746,33.26882,33.23376,33.60185,33.60185,34.96907,35.07424,35.89807,37.26528,36.80954,38.79025,40.49050,42.94447,43.78583,44.69730,45.36338,46.46767,,48.22050,48.93916,49.74547,49.83311,49.46502,48.72882,49.69288,50.09604,50.37649,50.58683,51.04257,50.30638,51.21785,51.77876,51.69112,51.72617,51.42819,51.69112,50.20121,50.93740,51.16527,50.16615,50.48166,49.78053,50.25379,50.46413,49.51760,49.41243,50.35896,51.62100,49.78053,49.83311,49.67536,48.51848,49.21962,48.22050,48.22050,48.48343,48.79894,48.95669,49.69288,48.27309,47.01105,46.74812,45.11798,45.22315,44.57460,44.41685,43.43526,42.73413,41.75254,41.47209,41.15658,41.01635,40.28016,39.85948,39.47385,38.70261,38.12417,37.33539,36.44145,35.21446,35.84548,36.73943,36.07335,35.58256
2010,Flemington 132_11kV,06MAY2009,MW,36.02077,35.21446,34.58344,35.05671,34.58344,34.81131,34.18029,34.16276,35.28458,35.05671,35.02165,33.95242,34.18029,33.07600,32.81308,33.26882,33.60185,33.84725,34.44322,35.07424,37.80866,39.31610,40.31521,41.64737,44.20651,44.52202,46.53778,46.69554,48.93916,49.48254,50.20121,50.98998,51.20032,51.35808,51.41066,51.48078,50.56930,51.53336,51.83134,51.90146,52.67270,52.40978,52.46236,52.62012,51.90146,52.47989,53.72441,53.32125,52.79540,52.16438,52.95316,53.19855,53.77699,53.26867,54.05744,52.40978,51.98910,53.05833,52.90057,53.00574,52.88304,52.30461,52.42731,52.90057,52.67270,51.00751,50.62189,50.09604,50.46413,51.48078,50.67447,50.41155,49.14951,49.06186,48.27309,48.20297,47.72971,47.15127,,45.83665,44.38179,,43.64560,44.11887,42.54132,41.22669,40.85859,40.21004,39.91206,39.63161,39.43880,39.22846,37.65090,36.89719,36.23111,36.05582
2010,Flemington 132_11kV,07MAY2009,MW,35.42480,35.07424,34.84637,34.91648,34.49580,34.89895,34.65356,33.96995,33.33893,33.42657,34.39063,34.00501,33.65444,33.58433,34.12771,34.00501,34.42569,34.79378,35.68773,36.21358,37.65090,38.42215,39.73678,42.41862,44.41685,44.80247,45.67889,46.04699,48.43084,48.37826,49.53513,49.48254,51.14774,,50.56930,50.35896,50.30638,50.51672,51.09515,50.16615,51.06010,51.83134,50.63942,51.51583,52.47989,52.42731,51.41066,51.14774,51.93651,52.35719,52.05921,52.67270,52.58506,52.58506,53.04080,52.90057,52.11180,52.25202,51.42819,50.35896,,50.32390,49.95581,49.62277,48.83399,48.27309,48.32567,47.90499,47.67712,48.30814,48.11533,48.09780,46.27486,45.25821,43.90853,44.36426,43.78583,43.01458,43.25998,43.36515,41.78760,41.96288,41.48961,,40.73590,39.89453,39.78936,39.10576,38.94800,38.38710,37.86125,37.52821,36.63426,36.54662,36.91471,36.05582
2010,Flemington 132_11kV,08MAY2009,MW,36.63426,35.75784,35.74031,35.21446,34.60097,34.58344,34.60097,33.86478,34.12771,34.32052,34.33805,33.74208,34.23288,33.75961,33.65444,33.39151,33.32140,,34.86390,35.60009,36.10841,36.84460,38.54485,39.73678,42.62896,43.80336,44.01370,44.74989,46.85329,47.20386,47.69465,48.20297,48.01016,48.16792,49.00928,49.11445,48.83399,48.88658,49.41243,49.42996,50.77964,49.88570,49.99087,49.95581,51.46325,50.83223,50.35896,51.35808,49.04433,50.63942,50.16615,50.25379,50.46413,49.79805,49.35985,49.21962,48.43084,47.78229,48.15039,47.95758,48.32567,48.15039,47.43173,47.83488,46.78318,46.88835,46.32744,46.52025,46.11710,46.95846,46.25733,46.27486,45.04787,44.64472,43.75077,43.59302,42.33098,41.54220,40.78848,40.12240,40.15746,39.78936,39.33363,38.36957,,37.73855,37.89630,,,36.84460,35.84548,35.68773,35.00412,34.33805,33.75961,33.60185
2010,Flemington 132_11kV,09MAY2009,MW,33.23376,32.69038,32.26970,31.65621,31.37575,30.49934,30.65709,30.27147,30.28900,29.71056,29.50022,29.76315,29.81573,,,28.76403,29.11460,29.32494,30.13124,30.06113,29.65798,29.97349,29.79820,30.23641,31.11283,30.97260,30.44675,31.27058,32.02430,31.86655,32.37487,32.26970,32.79555,32.58521,33.33893,33.44410,34.16276,33.44410,33.81220,34.12771,33.63691,33.60185,34.00501,34.26793,34.02254,33.96995,34.11018,33.68950,34.05759,33.89984,34.16276,33.16365,32.44498,33.23376,32.32229,33.00589,33.11106,32.39240,31.97172,32.05936,32.37487,33.05848,32.91825,32.58521,32.26970,32.28723,32.63780,33.12859,34.63603,35.23199,35.26705,35.26705,34.95154,34.86390,34.12771,33.70703,34.47827,33.70703,33.18117,33.39151,33.02342,32.65532,32.00677,31.90160,31.53351,31.55104,31.53351,31.74385,31.16541,31.44587,30.92002,30.49934,30.34158,30.48181,30.27147,29.64045
2010,Flemington 132_11kV,10MAY2009,MW,29.76315,29.60539,29.27235,29.07954,,28.85167,28.74650,28.37841,27.97525,27.60716,27.55457,27.39682,27.81750,27.29165,27.43187,27.74738,27.90514,28.08042,28.13301,27.58963,28.37841,28.55369,,29.71056,30.65709,30.18383,29.50022,29.92090,30.44675,31.07777,31.55104,31.18294,31.49845,31.97172,32.53263,31.97172,32.49757,32.33981,33.32140,34.00501,33.53174,34.32052,33.70703,33.26882,33.79467,33.16365,33.32140,33.44410,34.63603,34.42569,33.86478,33.28634,33.86478,32.86566,33.49668,32.79555,32.49757,33.21623,33.05848,33.07600,32.97083,32.65532,33.37399,33.18117,32.55015,32.53263,33.63691,33.89984,35.42480,35.91560,36.49403,36.52909,36.54662,36.28369,35.63514,35.79290,35.26705,35.26705,35.16188,35.60009,35.10929,34.95154,34.96907,35.00412,34.81131,34.47827,34.12771,33.65444,33.54927,33.79467,32.65532,32.95331,32.58521,32.49757,32.28723,32.42746
