year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Long Jetty 33_11kV,01MAY2009,MW,21.72906,25.93530,24.48292,21.69134,20.14465,20.37100,23.14371,21.69134,20.18238,18.61683,17.25876,16.12704,15.54232,14.91987,14.65580,14.12766,14.12766,14.05221,14.03335,14.52377,14.95759,15.44801,16.12704,16.95697,18.46593,20.20124,22.27606,23.31347,21.89882,22.74761,22.89851,23.08713,22.97396,23.20030,22.78534,22.50241,22.37037,22.08744,21.55930,21.01231,20.72937,20.46531,20.57848,20.61620,20.48417,20.38986,20.22010,20.12579,20.10693,20.20124,20.16351,19.95603,19.93717,19.86172,19.84286,19.76741,19.71082,19.46562,19.57879,19.55993,19.74855,20.12579,20.29555,20.78596,21.18206,21.69134,22.35151,22.97396,23.57754,25.55806,27.63288,28.91550,29.00981,29.23615,28.78346,28.27419,27.74605,27.04816,26.87840,26.65205,28.38736,26.72750,27.78378,26.16164,27.40653,25.31285,24.01137,22.59672,22.29492,25.29399,26.55774,24.65268,26.31254,24.44520,26.01074,24.16226
2010,Long Jetty 33_11kV,02MAY2009,MW,22.01199,26.25595,24.23771,22.40810,20.55962,20.42758,23.48323,22.14403,20.16351,18.74886,17.54169,16.29680,15.50459,14.80670,14.35401,14.18425,14.18425,13.92018,13.92018,13.97677,14.05221,14.14652,14.37287,14.95759,15.82525,16.20249,17.71145,18.22072,17.78690,18.88090,19.95603,20.50303,21.21979,21.86110,22.27606,22.50241,22.84192,22.82306,22.93623,22.76647,22.18175,21.89882,21.78565,21.87996,21.74792,21.46499,21.25751,20.93686,20.91799,20.63506,20.67279,20.88027,20.82368,20.57848,20.27669,20.35213,20.18238,20.42758,20.25782,19.99376,20.46531,21.03117,21.37068,21.52158,22.04972,22.63444,23.40778,23.91706,24.27544,26.25595,28.29305,29.29274,29.48136,29.21729,29.04753,28.27419,27.16133,26.70864,26.23709,25.72781,27.72719,,26.87840,25.04878,26.21823,24.19999,22.78534,21.57817,21.12548,24.67154,26.21823,24.27544,26.35026,24.67154,26.18050,24.16226
2010,Long Jetty 33_11kV,03MAY2009,MW,22.50241,26.50116,24.95447,22.57785,20.67279,20.80482,23.55868,22.27606,20.86141,18.93748,17.67373,16.46656,15.59890,14.73125,14.50490,14.12766,13.78815,13.63725,13.42977,13.59953,13.99563,14.07108,14.29742,14.42946,14.88214,15.20280,15.91956,16.52314,15.99500,17.07014,18.14528,18.63569,19.63538,20.71051,21.67248,22.37037,22.80420,23.08713,23.53982,23.21916,23.42665,23.20030,22.50241,22.38923,21.89882,21.95541,21.65361,21.61589,21.59703,21.55930,21.33296,21.20093,21.10662,20.91799,20.91799,20.93686,20.76710,20.61620,20.59734,20.54075,20.82368,21.08775,21.18206,21.08775,21.57817,22.20061,23.08713,23.91706,24.55837,26.84067,29.31160,30.57536,30.70739,30.59422,30.00949,29.14184,28.33077,27.93467,27.70833,26.76523,28.84005,26.85954,27.67060,25.67123,26.68978,24.55837,23.14371,21.72906,21.21979,23.87933,25.21854,23.35120,25.55806,24.03023,25.12423,23.27575
2010,Long Jetty 33_11kV,04MAY2009,MW,21.63475,25.48261,24.29430,21.97427,20.35213,20.25782,22.89851,21.82337,20.42758,18.67341,17.42852,16.63631,15.82525,14.91987,14.76897,14.29742,14.12766,14.27856,14.20311,14.58035,15.12735,15.80638,16.16476,16.76835,18.29617,20.03148,22.03085,22.70989,21.54044,22.46468,22.50241,22.35151,22.50241,22.63444,22.57785,22.21948,22.04972,21.82337,21.63475,21.18206,21.10662,20.63506,20.50303,20.38986,20.31441,20.23896,20.20124,,20.37100,20.48417,20.23896,20.16351,19.93717,19.99376,19.61651,19.65424,19.88058,19.82400,,19.89945,20.01262,20.33327,,21.10662,21.48386,22.16289,23.18144,23.93592,24.86016,27.53857,29.55681,30.27356,30.40560,30.23584,29.55681,28.84005,27.95353,27.46312,26.68978,26.38798,28.59484,26.70864,27.85922,25.59578,26.40685,24.38861,22.89851,21.54044,20.97458,23.72844,24.91675,23.12485,24.99219,23.18144,24.52064,22.69103
2010,Long Jetty 33_11kV,05MAY2009,MW,20.57848,24.78471,23.59640,21.44613,19.76741,19.99376,22.86078,22.06858,19.84286,17.97552,16.54200,15.90069,15.27825,14.56149,14.16539,14.05221,13.88246,13.88246,13.93904,14.27856,14.93873,15.46687,15.99500,16.54200,17.67373,19.52220,21.20093,22.01199,20.55962,21.59703,21.97427,21.97427,22.40810,22.65330,22.55899,22.27606,22.10630,21.67248,21.48386,21.31410,21.21979,,21.18206,20.82368,20.55962,20.38986,20.44644,20.48417,20.48417,20.48417,20.33327,20.18238,20.35213,20.20124,20.05034,19.82400,19.91831,19.74855,19.80513,19.91831,19.95603,20.14465,20.91799,21.23865,22.10630,22.59672,24.38861,25.63350,26.70864,28.57598,30.40560,31.04691,30.95260,30.70739,29.65112,29.42477,28.74574,27.74605,27.23678,26.93498,28.89664,26.97271,28.02898,26.19936,27.06702,24.74699,23.08713,21.65361,21.18206,23.74730,25.25626,23.14371,25.10537,23.33234,24.82244,22.87965
2010,Long Jetty 33_11kV,06MAY2009,MW,20.67279,23.82275,22.70989,20.67279,19.31472,19.88058,23.53982,21.67248,19.78627,18.22072,16.80607,15.73094,14.99532,14.41059,13.97677,13.80701,13.75042,13.73156,14.14652,14.27856,14.93873,15.56118,15.80638,16.40997,17.90007,19.50334,21.40841,22.16289,20.67279,21.33296,21.97427,22.18175,21.82337,21.86110,21.72906,21.52158,21.50272,21.20093,20.82368,20.46531,20.40872,20.23896,20.22010,20.18238,20.14465,19.99376,20.18238,20.20124,20.23896,20.12579,19.99376,19.97489,19.88058,19.80513,19.61651,19.65424,19.54107,19.55993,19.40903,19.40903,19.57879,19.76741,20.37100,20.55962,21.14434,21.95541,22.67216,23.48323,24.46406,26.76523,28.91550,29.72656,30.02836,30.04722,29.10412,28.65143,28.14215,27.34995,26.84067,26.02961,28.34964,26.61433,27.34995,25.69009,26.52002,24.48292,23.14371,21.65361,21.03117,23.61527,24.87902,22.86078,24.97333,23.12485,24.55837,22.78534
2010,Long Jetty 33_11kV,07MAY2009,MW,20.86141,25.16195,23.82275,21.54044,19.63538,19.74855,22.55899,21.31410,19.59765,18.06983,16.76835,15.88183,15.05190,14.61808,14.10880,,13.88246,14.03335,14.29742,14.58035,15.01418,15.76866,16.39111,17.22104,18.23959,19.89945,21.23865,22.04972,20.84255,21.89882,22.57785,22.72875,22.67216,22.46468,22.06858,21.72906,21.69134,21.50272,21.38955,20.97458,20.31441,20.25782,19.88058,19.99376,19.63538,19.82400,19.91831,19.80513,19.84286,19.78627,19.88058,19.80513,19.71082,19.76741,19.59765,19.48448,19.61651,19.40903,19.54107,19.59765,20.52189,,23.40778,22.33265,22.23834,22.44582,23.04940,23.74730,24.14340,26.46343,28.55712,29.10412,29.51908,29.65112,28.95322,28.55712,27.95353,27.19905,26.78409,26.42571,28.42508,26.70864,27.63288,25.85985,26.89726,24.57723,23.10599,21.59703,21.06889,23.50209,23.69071,20.82368,23.18144,21.42727,23.14371,21.61589
2010,Long Jetty 33_11kV,08MAY2009,MW,19.78627,24.42633,22.99282,20.69165,19.35245,19.91831,22.76647,21.29524,19.95603,18.03210,16.90038,15.59890,15.08963,14.18425,14.05221,13.90132,13.78815,13.88246,14.05221,,14.91987,16.20249,16.56087,16.61745,17.71145,19.23927,20.37100,21.18206,20.25782,21.20093,21.76679,22.10630,22.42696,22.37037,21.99313,21.76679,21.71020,21.44613,21.18206,20.95572,20.88027,21.01231,21.27637,21.69134,21.38955,21.16320,21.03117,21.25751,21.44613,21.16320,20.78596,20.48417,20.44644,20.61620,20.42758,20.23896,20.01262,20.12579,19.97489,20.01262,19.93717,20.29555,20.72937,21.01231,21.61589,22.06858,22.76647,24.23771,25.85985,27.85922,29.00981,29.36819,29.40591,29.21729,28.99095,28.46281,27.63288,27.04816,26.59547,26.19936,28.40622,26.29367,27.31222,25.40716,26.68978,24.59609,23.40778,22.33265,22.04972,24.86016,26.14278,24.12454,26.27481,,26.02961,23.86047
2010,Long Jetty 33_11kV,09MAY2009,MW,22.01199,26.23709,24.46406,22.33265,20.50303,20.61620,23.31347,22.03085,20.10693,18.56024,17.16445,16.16476,15.37256,14.88214,14.54263,14.25970,14.12766,13.86359,14.03335,14.08994,14.39173,14.42946,14.56149,14.95759,15.71207,16.39111,17.31535,17.95666,17.35307,18.88090,19.97489,20.97458,21.52158,22.27606,22.76647,23.12485,23.20030,23.10599,22.84192,22.54013,22.29492,21.80451,21.82337,21.40841,21.23865,21.12548,20.91799,20.63506,20.88027,20.88027,20.55962,20.35213,20.38986,20.33327,20.03148,19.86172,19.82400,19.80513,19.82400,19.80513,19.93717,20.01262,20.48417,20.59734,20.88027,21.61589,22.78534,23.46437,24.12454,26.01074,28.06671,28.91550,28.84005,28.55712,27.99126,27.31222,26.74636,26.38798,25.72781,25.23740,27.10474,25.82212,26.87840,24.86016,26.10505,24.16226,23.03054,21.50272,21.16320,24.01137,25.46374,23.74730,25.97302,24.69040,26.02961,24.40747
2010,Long Jetty 33_11kV,10MAY2009,MW,22.06858,26.27481,24.97333,22.61558,20.50303,20.65393,23.52096,22.18175,20.91799,18.78659,17.50397,16.78721,16.03273,14.99532,14.37287,14.05221,13.73156,13.67497,13.39204,13.29773,13.41091,13.73156,14.20311,14.58035,14.95759,15.41028,16.29680,16.84380,16.40997,17.63600,18.76772,19.76741,21.08775,21.69134,22.35151,23.25689,24.06795,24.53951,24.61495,25.55806,26.33140,26.31254,25.87871,25.65237,25.25626,25.01106,24.99219,24.61495,24.55837,23.74730,23.04940,22.44582,22.20061,21.84223,21.27637,20.91799,20.67279,20.42758,20.35213,20.22010,20.65393,20.46531,20.72937,20.65393,21.08775,21.69134,22.40810,23.52096,25.06764,27.33109,29.17957,30.14153,30.25470,30.21698,29.82087,29.23615,28.31191,28.02898,27.74605,27.25564,29.17957,27.42540,28.10443,25.78440,26.89726,24.38861,22.72875,21.14434,20.74824,23.42665,24.59609,22.84192,25.02992,23.37006,24.89788,23.01168
