year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Macquarie Park 132_11kV,01MAY2009,MW,20.95743,21.08680,20.58781,21.12376,21.16072,20.66174,20.16275,19.92250,19.71921,19.42351,19.33111,,18.79516,18.79516,18.55491,18.66579,18.92453,18.62883,18.75820,18.96149,19.55288,19.79313,20.29212,21.29009,23.54477,24.57971,25.65160,26.20603,27.94324,28.44223,28.44223,29.19995,29.47717,29.77286,29.60653,29.90223,30.03160,30.36425,30.60451,30.10552,30.86324,30.86324,30.93716,31.69488,31.39919,31.47311,31.26982,31.76881,32.06450,32.06450,32.52653,,32.02754,32.60045,31.86121,32.30476,32.56349,,31.89818,31.39919,31.76881,31.73185,31.76881,31.26982,30.90020,31.39919,30.90020,30.43818,30.23489,29.47717,28.97818,,27.27793,27.24097,26.77894,,25.70705,,25.20806,,24.45034,23.95135,23.74806,23.48933,22.75009,22.49136,22.04781,21.82604,21.75212,21.82604,21.32705,21.25313,20.79110,21.21617,20.75414,
2010,Macquarie Park 132_11kV,02MAY2009,MW,21.04984,21.08680,20.29212,,20.58781,20.32908,20.66174,20.16275,20.16275,19.46047,19.66376,19.16478,19.22022,18.96149,19.22022,18.72123,18.79516,18.79516,19.09085,19.09085,19.09085,18.83212,19.09085,18.83212,19.09085,19.22022,19.66376,19.33111,20.32908,20.08883,,20.92047,21.16072,20.92047,,21.58579,,21.54883,22.04781,21.78908,22.28806,22.25110,21.95541,22.49136,21.99237,22.49136,22.21414,22.25110,22.08477,22.32503,22.32503,22.38047,,22.12174,21.95541,22.21414,22.12174,21.54883,,20.79110,20.79110,20.95743,20.71718,20.45845,20.49541,20.49541,20.95743,20.99440,,21.29009,21.54883,21.49338,21.88148,21.88148,21.88148,21.04984,20.92047,21.41946,21.38250,21.38250,19.99642,19.49744,19.49744,19.49744,19.25718,19.25718,18.92453,18.92453,19.16478,19.16478,20.62478,20.42149,20.45845,20.21819,,19.99642
2010,Macquarie Park 132_11kV,03MAY2009,MW,20.58781,20.25516,19.99642,20.49541,,19.66376,,19.42351,19.42351,19.16478,19.16478,18.62883,18.62883,18.42554,18.38858,18.38858,18.38858,18.38858,18.38858,18.09288,18.59187,18.38858,18.66579,,18.92453,18.72123,18.72123,18.72123,18.96149,18.96149,19.55288,19.05389,19.79313,19.79313,20.29212,20.58781,20.82807,20.58781,20.88351,20.75414,21.29009,21.54883,21.54883,21.29009,21.25313,21.45642,21.45642,21.71515,21.49338,21.25313,21.54883,21.75212,,21.95541,21.38250,21.62275,21.62275,,21.54883,21.29009,21.29009,21.29009,21.58579,21.32705,21.32705,21.32705,21.32705,21.58579,21.88148,,22.62072,21.88148,22.62072,22.87946,22.62072,22.62072,22.12174,21.82604,21.88148,21.38250,21.41946,21.41946,20.92047,20.66174,20.66174,20.71718,,20.42149,20.45845,20.45845,20.75414,20.42149,,20.42149,20.42149,20.16275
2010,Macquarie Park 132_11kV,04MAY2009,MW,20.49541,20.49541,20.29212,20.05187,20.29212,19.79313,19.88554,19.42351,19.22022,19.42351,19.25718,18.75820,18.99845,18.55491,18.79516,18.79516,18.55491,18.79516,18.83212,18.92453,19.66376,19.92250,20.45845,21.21617,23.74806,24.81996,25.81793,,27.73995,28.47919,29.31084,29.56957,29.60653,30.53058,30.53058,31.06653,30.64147,30.93716,31.26982,31.76881,32.19387,32.63741,32.60045,32.60045,32.43412,33.02552,32.72982,32.80374,33.43210,33.02552,32.56349,32.72982,33.02552,33.30273,32.60045,,33.02552,32.80374,32.56349,32.89615,32.60045,32.85919,32.10147,32.13843,31.73185,31.73185,31.02957,31.23286,,30.53058,30.23489,29.80982,28.31286,28.31286,27.81388,27.27793,26.03970,26.03970,26.24299,25.48527,24.98629,,24.08072,,23.37844,22.71313,21.99237,,21.54883,,21.29009,21.29009,20.79110,,20.32908,19.83009
2010,Macquarie Park 132_11kV,05MAY2009,MW,20.58781,20.58781,19.79313,20.32908,20.32908,,20.38452,19.58984,19.66376,19.42351,18.92453,18.66579,18.72123,18.72123,18.66579,18.42554,,18.66579,18.96149,18.79516,19.55288,19.79313,20.62478,20.92047,23.48933,23.71110,25.20806,25.15262,26.94527,27.44426,27.70299,27.98021,28.44223,28.90426,29.14451,29.19995,28.70097,29.80982,,30.73387,,30.10552,29.86527,30.60451,30.47514,31.02957,30.90020,30.93716,31.02957,31.06653,30.80780,30.64147,,30.19792,30.30881,30.36425,30.03160,30.53058,30.47514,30.19792,30.23489,29.93919,29.77286,29.77286,29.23691,29.77286,29.77286,29.56957,29.23691,28.97818,28.97818,28.44223,27.61059,27.40730,27.40730,26.61261,25.87337,25.37439,25.44831,25.28198,24.54274,24.28401,23.54477,23.28604,23.74806,23.24908,22.78705,22.99034,22.49136,22.78705,22.78705,22.04781,22.08477,21.82604,21.88148,
2010,Macquarie Park 132_11kV,06MAY2009,MW,21.78908,,20.99440,21.75212,21.29009,21.29009,20.79110,20.79110,20.25516,20.49541,19.99642,19.99642,19.99642,19.99642,19.75617,18.38858,18.38858,18.38858,18.38858,18.38858,19.38655,19.88554,20.12579,,23.65566,24.15464,25.41135,26.40932,28.31286,28.86729,29.36628,29.86527,30.53058,31.02957,,32.06450,32.80374,33.35817,33.85716,33.80172,34.30070,34.09741,34.09741,34.35615,35.09539,35.09539,34.55944,34.79969,35.05842,35.29868,,36.18576,,36.18576,36.18576,36.18576,36.18576,35.68678,35.68678,35.68678,35.68678,35.68678,35.68678,35.18779,34.68880,34.18982,34.18982,34.18982,33.43210,32.93311,32.43412,31.93514,31.69488,31.14045,30.40122,29.90223,29.64350,,28.90426,28.14654,27.90628,,27.73995,27.73995,26.40932,25.91034,25.91034,,25.15262,25.15262,24.11768,23.87743,23.37844,23.37844,23.37844,23.11971
2010,Macquarie Park 132_11kV,07MAY2009,MW,23.15667,23.15667,22.65768,22.65768,22.65768,22.15870,22.45439,,22.71313,22.71313,21.95541,21.71515,22.21414,22.21414,,22.21414,21.95541,21.95541,,22.21414,,23.87743,24.11768,25.11565,28.40527,29.40324,30.40122,31.19590,32.52653,33.02552,33.63539,33.89412,34.68880,35.18779,35.18779,35.68678,35.68678,36.18576,36.92500,37.92298,37.68272,38.18171,39.25361,39.25361,39.51234,39.51234,39.51234,39.51234,39.51234,39.75259,39.75259,40.01133,40.01133,39.75259,40.01133,39.75259,39.75259,39.75259,39.75259,39.75259,39.25361,39.25361,39.01335,39.25361,38.51437,38.51437,38.51437,37.75665,37.01741,37.01741,37.01741,35.55741,,32.60045,32.10147,31.60248,30.19792,,28.57160,28.81185,28.31286,27.81388,26.98223,26.48325,,25.48527,25.48527,24.74604,24.24705,24.24705,23.98831,23.98831,23.24908,23.48933,22.99034,22.99034
2010,Macquarie Park 132_11kV,08MAY2009,MW,22.75009,,22.75009,22.75009,22.99034,22.75009,22.75009,22.49136,22.49136,22.49136,22.45439,22.45439,22.71313,22.45439,22.45439,22.45439,22.45439,22.45439,22.45439,22.45439,23.78502,24.28401,24.57971,25.31895,,28.57160,29.56957,30.60451,33.30273,33.80172,34.30070,34.35615,,35.59437,35.59437,,36.09336,36.35209,36.59234,37.75665,38.01538,37.79361,39.21664,39.21664,39.45690,39.45690,39.45690,39.45690,39.45690,39.45690,39.21664,39.21664,39.45690,39.45690,39.21664,38.95791,39.21664,38.95791,38.95791,38.71766,38.45892,,38.21867,37.95994,37.71968,37.46095,36.96196,36.46298,36.18576,35.02146,35.02146,33.22881,31.60248,31.10349,29.73590,29.23691,26.98223,26.48325,,25.98426,25.48527,25.48527,25.48527,25.48527,,24.48730,24.24705,,23.74806,23.98831,,23.45237,22.95338,23.45237,22.95338,
2010,Macquarie Park 132_11kV,09MAY2009,MW,22.95338,22.95338,22.95338,22.95338,23.45237,23.21211,23.04578,22.78705,22.78705,22.78705,22.54680,22.28806,22.28806,22.04781,22.04781,22.04781,22.04781,22.04781,22.04781,22.04781,22.04781,22.04781,22.28806,,22.78705,22.54680,23.04578,23.04578,24.11768,,24.37642,24.87540,,25.11565,25.37439,,25.61464,25.61464,25.61464,25.61464,25.87337,25.87337,25.91034,25.91034,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,26.15059,25.65160,26.15059,25.70705,26.24299,25.74401,25.74401,25.74401,25.48527,25.48527,25.48527,25.48527,25.48527,25.48527,25.98426,25.98426,25.98426,25.98426,25.74401,25.48527,24.98629,25.48527,24.37642,24.11768,24.11768,24.11768,24.11768,23.61870,23.61870,23.61870,23.61870,23.11971,23.11971,,23.61870,22.71313,22.21414,22.71313,22.71313,22.45439
2010,Macquarie Park 132_11kV,10MAY2009,MW,,22.21414,22.21414,22.21414,22.21414,,21.71515,21.95541,21.71515,21.71515,21.45642,21.21617,21.21617,21.21617,20.95743,21.21617,20.95743,20.95743,20.95743,21.21617,21.21617,21.21617,21.45642,21.21617,21.21617,21.99237,22.25110,21.99237,,22.49136,22.49136,22.49136,22.49136,23.04578,23.04578,23.28604,23.54477,23.78502,23.78502,23.78502,24.04376,24.04376,24.04376,23.78502,24.04376,24.04376,24.04376,24.04376,24.04376,24.04376,,24.28401,24.28401,,23.78502,,23.78502,23.78502,23.78502,,24.04376,24.04376,24.04376,24.04376,24.04376,23.54477,24.04376,24.28401,24.54274,24.78300,24.78300,24.78300,24.78300,,24.54274,24.78300,24.54274,24.28401,24.54274,24.28401,24.28401,24.04376,24.04376,24.04376,,23.78502,23.78502,23.54477,23.78502,22.95338,22.95338,22.41743,22.15870,22.41743,22.15870,22.15870
2010,Macquarie Park 132_11kV,11MAY2009,MW,21.91844,,21.91844,22.15870,,21.91844,21.91844,21.91844,21.65971,21.65971,,21.41946,21.41946,21.41946,21.16072,21.16072,21.41946,21.41946,21.41946,22.15870,,23.15667,23.41540,24.41338,28.03565,28.53464,30.06856,30.56754,,32.30476,33.30273,33.06248,33.80172,33.80172,34.85513,34.85513,34.85513,35.59437,35.35412,35.85311,35.85311,35.89007,35.89007,36.38905,37.59032,37.59032,37.59032,,37.01741,37.55336,37.55336,37.55336,37.79361,37.59032,38.08930,,37.84905,37.35006,37.09133,,36.75867,37.01741,37.22070,36.68475,36.92500,36.42602,36.42602,,35.68678,35.76070,35.76070,35.26171,33.72779,33.22881,32.02754,31.52856,30.10552,29.60653,,29.10755,28.86729,27.61059,27.61059,,21.82604,23.37844,23.11971,22.87946,22.38047,22.49136,22.25110,21.71515,20.92047,21.21617,20.71718,20.45845
2010,Macquarie Park 132_11kV,12MAY2009,MW,21.21617,20.45845,20.21819,20.38452,20.12579,19.88554,19.88554,19.66376,19.66376,19.42351,19.16478,18.72123,18.72123,18.72123,18.72123,18.72123,,18.92453,18.66579,18.92453,19.66376,19.66376,20.45845,21.21617,,25.11565,26.15059,26.64958,28.64552,29.80982,29.86527,30.14248,30.27185,,30.27185,30.30881,30.10552,30.56754,30.47514,30.60451,30.90020,,31.47311,30.77084,30.86324,31.26982,31.36223,31.39919,31.36223,,31.60248,30.80780,,30.80780,30.36425,30.64147,30.90020,30.64147,30.43818,30.19792,30.64147,30.47514,31.39919,30.90020,,30.93716,31.26982,30.80780,30.56754,31.10349,30.60451,30.03160,28.73793,28.47919,28.60856,27.86932,27.11160,26.81591,26.87135,26.64958,25.61464,25.41135,25.44831,25.04173,24.78300,24.08072,23.74806,23.48933,23.24908,,23.08275,23.15667,22.12174,22.32503,22.28806,21.91844
2010,Macquarie Park 132_11kV,13MAY2009,MW,22.15870,21.95541,21.71515,22.28806,21.54883,21.29009,21.04984,20.55085,20.29212,20.29212,20.29212,20.05187,20.12579,19.88554,,19.92250,19.49744,20.05187,20.32908,20.08883,20.92047,21.21617,21.71515,22.71313,25.15262,26.15059,26.90831,27.90628,29.47717,30.03160,30.40122,31.39919,31.23286,31.26982,31.47311,31.47311,,31.86121,32.06450,32.13843,32.13843,32.30476,32.63741,31.52856,31.52856,31.19590,31.14045,30.64147,31.14045,31.14045,30.80780,31.39919,31.23286,31.23286,31.23286,30.73387,31.02957,31.43615,30.93716,30.93716,30.19792,30.69691,30.69691,30.69691,30.23489,30.30881,29.97615,29.97615,29.53261,29.36628,29.36628,29.19995,27.40730,27.44426,27.07464,26.57565,25.81793,25.78097,25.54072,,24.54274,24.54274,24.04376,23.78502,23.28604,,23.37844,22.91642,22.41743,22.71313,22.41743,21.65971,,22.25110,21.99237,21.49338
2010,Macquarie Park 132_11kV,14MAY2009,MW,21.82604,21.82604,21.32705,21.65971,21.41946,21.38250,21.04984,20.79110,20.55085,20.58781,20.12579,20.16275,19.92250,19.55288,19.55288,19.55288,19.55288,19.55288,19.58984,20.08883,20.08883,20.58781,21.32705,22.87946,24.91236,26.15059,27.20401,27.61059,29.14451,29.93919,30.23489,30.73387,30.97413,31.23286,31.73185,31.73185,31.97210,32.26779,32.52653,32.02754,32.30476,32.30476,32.60045,32.47109,32.52653,32.52653,33.06248,32.69286,32.69286,33.19184,33.19184,33.13640,32.60045,32.76678,32.36020,32.47109,32.26779,31.80577,32.30476,31.80577,32.10147,31.60248,31.73185,31.89818,31.69488,31.43615,31.23286,30.73387,29.90223,30.43818,29.93919,29.56957,28.23894,28.23894,27.57363,27.03768,26.77894,26.53869,26.27996,25.57768,25.11565,25.37439,24.61667,24.57971,23.78502,24.08072,23.71110,22.99034,22.99034,22.82401,22.78705,22.54680,22.28806,22.28806,21.78908,21.78908
2010,Macquarie Park 132_11kV,15MAY2009,MW,22.28806,21.78908,21.32705,21.62275,21.38250,21.38250,21.12376,20.88351,20.88351,20.38452,20.42149,20.42149,20.16275,20.16275,19.92250,19.92250,19.92250,19.66376,19.92250,19.92250,20.66174,21.21617,21.71515,22.78705,25.07869,25.98426,26.81591,27.03768,28.86729,29.40324,29.93919,30.27185,30.73387,30.27185,30.77084,31.10349,30.86324,30.80780,31.39919,31.60248,32.13843,32.19387,32.69286,32.26779,32.52653,32.60045,32.89615,32.85919,32.89615,33.22881,32.56349,32.80374,32.93311,32.97007,32.80374,32.36020,32.06450,32.30476,32.23083,32.02754,32.10147,32.13843,31.63944,31.39919,30.93716,30.86324,31.10349,30.40122,29.77286,29.53261,29.86527,29.40324,28.31286,27.81388,27.61059,27.40730,26.37236,26.15059,25.61464,25.91034,25.15262,24.65363,24.45034,23.82199,23.87743,23.61870,23.11971,22.87946,22.45439,22.45439,22.21414,21.71515,21.62275,21.62275,21.91844,21.38250
2010,Macquarie Park 132_11kV,16MAY2009,MW,21.65971,21.45642,21.54883,21.62275,21.62275,20.88351,20.75414,20.95743,20.45845,20.45845,19.95946,20.21819,19.42351,18.92453,18.66579,18.66579,18.88756,18.62883,18.88756,18.96149,18.72123,18.46250,18.66579,18.66579,19.22022,19.25718,19.25718,18.99845,19.46047,19.42351,19.62680,19.88554,20.42149,20.32908,20.32908,20.55085,21.12376,21.08680,21.45642,21.25313,21.41946,21.75212,21.75212,21.75212,21.82604,21.62275,21.65971,21.65971,22.21414,21.99237,21.75212,21.75212,21.49338,22.12174,22.08477,21.82604,21.58579,21.62275,21.41946,22.54680,22.12174,22.38047,22.12174,22.12174,21.88148,22.21414,22.25110,22.32503,22.04781,22.78705,22.78705,22.95338,22.95338,22.99034,22.41743,22.62072,22.41743,21.95541,21.45642,21.95541,21.82604,21.58579,21.45642,20.95743,20.95743,20.71718,20.92047,20.21819,20.75414,21.08680,21.08680,21.16072,20.66174,21.45642,21.16072,20.92047
2010,Macquarie Park 132_11kV,17MAY2009,MW,21.41946,20.92047,20.92047,21.41946,20.92047,20.92047,20.58781,20.08883,20.12579,20.12579,19.62680,19.92250,19.42351,18.72123,18.96149,18.75820,18.75820,18.75820,18.75820,18.75820,19.09085,18.83212,19.09085,19.12782,19.38655,19.38655,19.58984,19.33111,19.83009,19.79313,19.79313,19.75617,20.62478,20.66174,20.92047,20.92047,21.12376,21.16072,20.99440,20.49541,20.49541,20.79110,21.04984,21.08680,20.79110,20.82807,21.12376,21.38250,21.12376,21.12376,21.38250,21.41946,21.54883,21.32705,21.32705,21.08680,20.58781,21.16072,20.79110,20.95743,20.95743,20.45845,20.58781,20.55085,21.54883,21.58579,21.45642,22.08477,22.32503,22.45439,22.71313,22.62072,22.95338,22.95338,22.95338,22.71313,22.45439,22.45439,22.21414,22.21414,21.95541,22.21414,21.71515,21.71515,21.65971,21.21617,20.92047,20.62478,21.12376,21.12376,20.71718,20.88351,20.88351,20.92047,20.66174,19.62680
2010,Macquarie Park 132_11kV,18MAY2009,MW,19.62680,19.62680,19.38655,19.79313,19.62680,19.12782,19.16478,18.88756,18.88756,18.59187,18.38858,18.42554,18.42554,17.88959,17.92655,18.16681,17.92655,18.16681,18.16681,17.42757,18.16681,18.42554,18.92453,20.16275,22.99034,23.98831,25.28198,26.64958,28.14654,29.19995,29.93919,29.27388,29.53261,30.10552,30.10552,30.06856,30.60451,30.43818,30.77084,31.47311,31.36223,31.47311,31.80577,32.26779,32.63741,32.97007,32.80374,32.85919,33.13640,33.19184,33.06248,32.69286,32.93311,32.43412,32.30476,32.23083,31.97210,32.39716,31.97210,31.76881,32.06450,31.89818,32.13843,31.60248,31.63944,31.43615,31.52856,31.26982,31.36223,31.30678,30.56754,30.06856,28.27590,28.07261,27.77692,27.24097,26.98223,26.74198,26.48325,25.98426,25.54072,25.04173,24.78300,24.54274,24.04376,23.28604,23.41540,23.15667,22.41743,22.15870,22.54680,22.25110,21.75212,22.08477,21.58579,21.62275
2010,Macquarie Park 132_11kV,19MAY2009,MW,21.91844,21.41946,21.41946,21.49338,21.78908,21.29009,20.79110,20.82807,20.82807,20.32908,20.21819,19.95946,19.79313,19.55288,19.55288,19.79313,20.05187,19.79313,19.66376,20.45845,20.62478,20.92047,21.41946,22.41743,24.74604,25.74401,26.98223,27.31489,28.81185,29.56957,29.86527,30.19792,30.43818,30.69691,30.97413,31.02957,30.97413,31.52856,31.93514,32.23083,32.19387,32.06450,32.69286,32.97007,32.93311,32.69286,32.97007,33.13640,33.43210,33.02552,33.52450,33.26577,33.06248,33.52450,33.52450,33.30273,33.35817,32.56349,32.63741,32.10147,32.39716,32.23083,32.30476,31.86121,31.60248,31.30678,31.10349,30.86324,30.86324,31.14045,30.64147,29.97615,28.86729,28.23894,28.44223,27.98021,26.77894,26.53869,26.61261,26.15059,26.15059,25.70705,25.44831,24.94933,24.48730,23.78502,23.61870,23.11971,22.62072,22.99034,22.91642,22.41743,21.91844,22.15870,21.99237,21.75212
2010,Macquarie Park 132_11kV,20MAY2009,MW,22.04781,21.54883,21.75212,21.91844,21.99237,21.29009,21.25313,21.04984,20.55085,20.55085,20.58781,20.58781,20.08883,20.32908,19.83009,19.83009,19.83009,20.38452,19.62680,20.25516,20.49541,20.55085,21.78908,22.54680,24.48730,25.48527,26.44629,26.77894,28.36831,28.64552,29.27388,29.56957,30.30881,30.36425,30.90020,31.10349,30.97413,31.26982,31.23286,31.36223,31.89818,32.26779,32.02754,31.97210,31.73185,31.97210,31.97210,32.23083,32.26779,32.85919,32.85919,33.22881,33.26577,33.26577,33.52450,33.52450,33.26577,33.30273,33.09944,32.85919,32.93311,32.43412,31.69488,32.39716,32.10147,30.23489,30.06856,29.80982,29.80982,29.77286,29.80982,28.77489,27.53666,28.64552,28.44223,28.40527,27.37033,26.61261,26.61261,26.40932,26.11363,25.61464,25.15262,24.70907,24.24705,24.04376,23.48933,23.41540,23.24908,23.48933,22.75009,22.75009,22.45439,22.95338,21.99237,21.82604
2010,Macquarie Park 132_11kV,21MAY2009,MW,22.25110,21.99237,21.75212,21.88148,22.04781,21.58579,21.38250,20.88351,20.45845,20.42149,20.49541,20.29212,20.05187,20.16275,20.16275,19.92250,19.95946,20.32908,20.32908,20.55085,20.79110,21.04984,21.65971,22.41743,24.70907,25.54072,26.53869,26.27996,27.81388,29.23691,29.36628,29.97615,30.27185,30.56754,31.14045,30.73387,31.10349,31.36223,31.26982,31.52856,31.52856,31.23286,31.47311,31.14045,31.23286,31.73185,30.97413,31.02957,31.19590,30.93716,30.56754,30.80780,30.77084,31.10349,31.23286,31.02957,30.86324,30.60451,30.43818,31.19590,31.43615,30.93716,30.69691,30.97413,30.47514,30.60451,30.47514,30.40122,29.69894,30.03160,29.97615,29.27388,27.77692,27.77692,27.57363,26.81591,25.81793,26.07667,25.87337,25.41135,24.78300,24.74604,24.45034,23.95135,23.45237,22.95338,23.04578,22.28806,22.25110,22.54680,21.78908,21.29009,20.79110,21.32705,21.29009,21.04984
2010,Macquarie Park 132_11kV,22MAY2009,MW,21.58579,21.16072,20.92047,21.08680,21.08680,21.08680,20.88351,20.16275,20.16275,19.88554,19.62680,19.62680,19.66376,19.42351,19.42351,19.09085,19.38655,19.42351,19.16478,19.46047,20.92047,21.41946,21.65971,22.62072,24.48730,25.57768,26.81591,26.61261,28.53464,28.81185,29.60653,29.56957,29.77286,30.86324,30.64147,30.43818,30.23489,30.90020,30.93716,31.23286,30.60451,31.19590,31.02957,31.39919,31.36223,32.23083,32.02754,32.47109,32.19387,32.72982,31.69488,31.73185,31.86121,31.89818,32.06450,32.02754,31.43615,31.43615,31.19590,31.97210,31.36223,30.93716,31.02957,31.63944,31.63944,31.23286,31.06653,31.30678,31.06653,31.02957,30.23489,30.03160,28.23894,28.40527,28.40527,27.44426,26.74198,26.20603,25.78097,25.54072,25.04173,24.61667,24.65363,23.91439,23.11971,22.91642,23.04578,22.78705,22.54680,22.91642,23.15667,22.58376,22.04781,22.62072,22.21414,21.95541
2010,Macquarie Park 132_11kV,23MAY2009,MW,22.15870,21.71515,21.45642,21.71515,21.71515,21.04984,21.16072,20.92047,20.66174,20.42149,20.55085,20.29212,20.08883,19.83009,20.12579,19.58984,19.58984,19.88554,19.38655,19.66376,19.71921,19.71921,19.71921,19.95946,20.21819,20.45845,20.32908,20.32908,20.62478,20.62478,21.38250,21.32705,21.78908,22.38047,22.32503,22.08477,22.38047,22.91642,23.15667,22.65768,22.65768,22.91642,21.95541,22.21414,22.45439,22.15870,22.41743,22.21414,21.91844,21.95541,22.21414,22.21414,22.21414,21.95541,21.99237,22.04781,21.78908,21.82604,21.58579,21.58579,22.38047,22.41743,21.99237,22.49136,22.28806,22.28806,22.54680,22.28806,23.04578,23.61870,23.32300,23.61870,23.58173,23.54477,23.28604,23.54477,22.99034,22.75009,22.25110,22.28806,21.78908,22.15870,21.71515,21.88148,21.62275,21.88148,21.38250,21.32705,21.58579,21.62275,21.62275,21.32705,21.29009,21.25313,21.58579,21.29009
