year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Matraville 33_11kV,01MAY2009,MW,28.84557,30.76988,27.11179,30.16020,28.54073,27.11179,26.71169,25.39706,24.44443,24.21580,24.76833,22.84402,23.60612,24.71117,22.71065,22.63444,22.95833,22.02476,23.03454,24.10149,23.66328,25.81622,24.42538,27.39758,27.68337,28.65505,29.56957,31.57009,30.78894,31.39862,31.24620,31.39862,32.04640,30.71272,30.31262,31.18904,30.76988,31.11283,30.56030,30.44599,30.50315,30.27452,30.14115,30.16020,30.19831,30.08399,30.36978,31.36051,31.22714,31.07472,30.65557,30.99851,30.25546,30.94136,30.54125,30.33167,29.89346,29.77915,30.04589,29.72199,29.51241,30.02683,29.81725,29.53147,29.34094,30.42694,29.45526,29.05515,30.65557,31.41767,33.60871,33.79924,33.91355,34.18029,34.31366,33.74208,33.34198,32.44651,32.16072,33.47535,31.77967,31.39862,30.61746,30.50315,30.21736,30.21736,28.61694,29.05515,28.78842,29.70294,29.76010,29.47431,29.66483,29.05515,29.87441,27.95010
2010,Matraville 33_11kV,02MAY2009,MW,28.84557,27.83579,26.44495,27.75958,27.34042,26.38779,25.22559,24.73022,24.12054,23.39654,23.05360,22.65349,21.96760,21.87234,21.75802,21.56750,21.52939,21.41508,21.70086,21.22455,21.64371,21.92950,22.02476,22.59633,23.41559,22.99644,23.12981,22.99644,23.45370,24.15864,24.71117,25.56853,25.64474,26.29253,26.71169,26.59737,27.05463,27.28326,26.92127,26.69263,26.55927,26.42590,26.36874,25.93053,25.72095,25.62569,26.08295,25.81622,26.33064,26.36874,25.33990,25.05411,25.68285,25.49232,25.18748,25.18748,25.56853,25.93053,25.62569,25.47327,25.66380,25.96864,25.79716,25.75906,25.60664,26.69263,27.18800,27.55000,28.27400,30.48409,32.08451,32.04640,31.98925,31.39862,31.74156,31.85588,30.88420,30.56030,30.02683,29.30284,28.99799,29.35999,28.84557,29.16947,29.32189,28.80747,28.82652,27.70242,28.42642,29.05515,29.16947,28.38831,27.81674,28.84557,28.67410,27.87389
2010,Matraville 33_11kV,03MAY2009,MW,28.59789,27.75958,26.99748,27.89295,27.74053,26.54021,26.17822,24.61591,23.98717,23.32033,23.22507,22.78686,22.02476,21.71992,21.75802,20.67203,20.02424,19.94803,20.99592,20.69108,20.93876,21.30076,21.11024,21.85329,22.06286,22.50107,22.27244,23.22507,22.99644,22.92023,24.31107,23.12981,24.42538,24.78738,25.62569,25.41611,26.88316,26.76885,28.04537,26.04485,25.60664,25.68285,25.64474,26.14011,26.40685,26.73074,26.08295,27.35947,26.17822,25.98769,26.27348,26.44495,27.18800,26.14011,26.95937,25.18748,24.90169,25.33990,25.33990,24.88264,25.60664,25.33990,25.74001,26.84506,26.31158,25.64474,26.44495,26.99748,28.73126,30.97946,32.23693,34.31366,32.31314,32.23693,31.89398,31.60820,31.51293,31.47483,31.45577,31.45577,29.74104,30.19831,30.36978,28.75031,28.71221,28.38831,27.16895,28.14063,27.07369,28.06442,28.80747,27.05463,26.17822,27.56905,28.12158,26.36874
2010,Matraville 33_11kV,04MAY2009,MW,27.41663,26.57832,28.21684,27.93105,26.34969,26.84506,24.99696,24.15864,23.51086,23.49181,23.47275,23.24412,22.27244,22.78686,22.17718,21.07213,21.05308,22.52012,22.88212,22.08192,22.78686,23.11075,23.70138,24.73022,27.62621,26.95937,28.42642,29.28378,29.24568,30.94136,31.57009,31.28430,31.55104,31.03662,30.65557,31.09378,31.57009,29.62673,30.67462,30.80799,30.04589,30.16020,31.13188,30.17925,30.48409,30.88420,30.48409,31.81777,30.88420,31.32241,29.98873,32.10356,30.99851,30.52220,30.46504,30.16020,32.67514,32.97998,31.57009,31.01757,31.37956,29.64578,30.69367,30.42694,30.27452,30.97946,32.75135,30.96041,32.90377,33.74208,36.48565,35.81881,36.19986,36.31418,35.76165,35.30439,34.99955,33.53250,33.45629,33.55156,32.29409,32.12261,31.30335,30.73178,30.08399,29.53147,29.07420,29.22663,29.24568,30.36978,29.45526,29.05515,28.54073,28.86463,28.67410,27.47379
2010,Matraville 33_11kV,05MAY2009,MW,28.67410,28.27400,26.54021,27.56905,27.85484,26.48306,26.73074,26.65453,24.71117,23.98717,25.20654,23.26317,22.02476,23.41559,21.85329,21.89139,22.42486,21.91044,23.24412,23.94907,23.47275,23.45370,24.78738,25.81622,26.34969,28.04537,29.05515,28.65505,30.82704,32.02735,33.81829,34.08503,33.53250,32.96093,33.97071,31.57009,31.97019,32.84661,30.82704,30.84609,30.21736,30.92230,31.16999,30.78894,31.03662,31.05567,31.95114,31.39862,30.75083,30.84609,30.73178,31.85588,31.36051,31.13188,30.78894,30.76988,31.13188,31.01757,30.86515,30.82704,30.92230,30.31262,31.37956,30.42694,29.93157,29.96968,31.05567,31.30335,33.32293,35.91407,36.19986,36.37133,36.46660,36.67618,35.97123,35.32344,34.82808,35.11387,34.31366,32.77040,32.69419,32.99903,31.70346,31.32241,30.97946,29.81725,30.00778,28.99799,30.16020,30.17925,30.00778,30.52220,28.78842,29.39810,28.61694,27.56905
2010,Matraville 33_11kV,06MAY2009,MW,28.36926,27.13084,26.82600,27.62621,27.45474,26.19727,25.20654,24.50159,23.62517,23.49181,23.18696,22.90118,22.31055,21.85329,22.32960,21.22455,21.12929,21.94855,22.06286,22.04381,23.05360,23.87286,24.82548,25.47327,26.57832,27.22611,28.35021,28.84557,29.51241,31.68441,31.15093,31.62725,31.79872,31.13188,30.25546,30.36978,31.22714,30.21736,30.50315,31.89398,30.65557,31.20809,29.35999,29.18852,30.90325,31.05567,30.61746,31.05567,30.44599,30.06494,30.29357,31.18904,30.54125,30.46504,30.78894,31.22714,30.76988,30.78894,31.16999,31.28430,30.48409,29.93157,29.53147,30.16020,31.51293,29.62673,30.14115,29.93157,32.54177,34.27555,36.82860,35.64734,35.99028,35.89502,35.64734,35.39965,34.59945,34.08503,34.02787,32.75135,32.35124,31.39862,30.48409,30.40788,30.57936,30.80799,29.28378,27.96916,28.94084,29.37905,29.51241,28.31210,28.59789,30.06494,28.36926,28.75031
2010,Matraville 33_11kV,07MAY2009,MW,28.42642,28.84557,28.78842,28.61694,27.79768,27.53095,26.69263,25.49232,24.46349,23.85380,23.35844,23.01549,22.40581,22.86307,23.66328,23.30128,21.47223,21.96760,22.50107,21.96760,23.35844,24.74927,24.90169,26.46400,26.76885,27.53095,27.87389,28.15968,30.59841,31.77967,32.44651,30.69367,31.70346,31.09378,30.25546,29.91252,29.05515,29.87441,30.00778,29.58862,30.63651,29.58862,29.45526,30.33167,29.53147,30.04589,29.98873,29.77915,29.55052,30.76988,30.67462,30.31262,31.22714,30.27452,31.01757,33.17051,30.56030,30.21736,29.70294,30.21736,30.73178,29.87441,29.91252,31.22714,30.92230,31.11283,30.88420,31.64630,34.31366,34.99955,36.65712,35.28534,35.68544,35.74260,35.24723,34.73281,33.57061,33.41819,33.53250,32.96093,32.16072,32.84661,31.51293,31.01757,30.42694,29.91252,29.87441,29.01705,29.58862,30.08399,29.60768,28.35021,28.57884,28.52168,28.67410,27.24516
2010,Matraville 33_11kV,08MAY2009,MW,28.17873,27.28326,26.36874,27.41663,27.13084,26.90221,26.14011,25.45422,24.31107,23.98717,22.99644,22.74876,22.40581,21.92950,22.80591,22.40581,22.71065,22.32960,22.21528,23.41559,23.01549,24.36822,24.19675,24.38728,27.49284,27.96916,29.15042,28.50263,30.29357,30.36978,31.43672,31.72251,31.58914,30.94136,30.69367,29.11231,29.51241,29.41715,30.31262,30.63651,30.06494,30.54125,30.33167,31.26525,31.60820,31.55104,32.65609,31.64630,31.97019,31.16999,31.60820,32.10356,33.18956,32.31314,31.39862,30.65557,31.77967,31.70346,32.65609,30.75083,30.56030,31.76062,31.07472,31.15093,30.50315,30.35073,30.54125,31.45577,33.76113,34.58039,35.51397,34.61850,34.25650,34.82808,34.56134,34.78997,34.63755,32.57988,32.61798,32.75135,31.24620,30.99851,31.74156,31.32241,29.70294,29.87441,28.54073,28.76936,29.01705,29.81725,30.14115,29.07420,29.62673,29.28378,28.73126,27.28326
2010,Matraville 33_11kV,09MAY2009,MW,29.79820,27.26421,25.98769,27.34042,27.13084,26.67358,25.62569,25.18748,23.30128,23.03454,22.80591,22.06286,21.56750,21.75802,20.88160,21.83423,21.30076,20.59582,20.76729,21.87234,21.39602,22.04381,22.10097,22.99644,23.52991,23.70138,23.96812,23.72044,23.64423,24.36822,25.32085,25.51138,26.31158,26.34969,26.04485,25.70190,26.10201,25.81622,25.91148,25.94959,26.59737,26.42590,26.44495,26.31158,26.80695,26.57832,25.70190,25.20654,25.35896,25.01601,26.31158,26.08295,24.84454,24.59685,24.84454,25.93053,24.50159,24.34917,24.90169,24.76833,25.74001,25.24464,25.26369,24.61591,24.78738,24.73022,25.58759,25.94959,27.32137,29.62673,31.55104,30.57936,30.31262,30.10304,30.44599,29.62673,29.41715,29.34094,29.24568,28.33116,28.08347,27.96916,27.22611,26.90221,26.67358,26.36874,25.91148,24.88264,25.79716,27.01653,27.37853,26.95937,26.38779,27.07369,26.88316,26.73074
2010,Matraville 33_11kV,10MAY2009,MW,26.88316,25.91148,24.73022,25.33990,25.51138,24.61591,24.31107,23.11075,22.32960,22.02476,21.45318,21.30076,20.99592,20.34813,20.19571,20.06234,19.62414,19.66224,19.37645,19.37645,19.83371,19.64319,20.02424,20.74824,21.12929,21.05308,20.84350,21.18645,20.91971,21.30076,21.71992,22.48202,23.72044,23.87286,23.91096,24.12054,24.59685,24.48254,24.67306,24.93980,24.82548,24.71117,24.50159,24.52064,24.65401,24.34917,24.17770,23.81570,23.72044,23.16791,23.05360,23.14886,22.78686,22.61539,22.84402,22.71065,22.88212,22.84402,22.90118,22.93928,22.90118,22.90118,22.67255,23.12981,23.49181,23.72044,24.69212,25.03506,26.63548,28.76936,29.03610,29.56957,29.58862,30.16020,29.53147,29.20757,28.44547,28.25494,27.95010,27.53095,27.47379,27.30232,27.05463,27.22611,27.53095,26.27348,25.87337,24.61591,25.51138,26.40685,26.21632,26.48306,24.53970,24.65401,26.19727,25.24464
