year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Muswellbrook 33_11kV,01MAY2009,MW,7.70258,7.15035,6.67535,6.15528,5.73449,5.45004,5.20921,5.16259,4.88855,4.53494,4.29291,4.23287,4.13257,4.17586,4.02924,4.00111,4.09926,4.20332,4.32703,4.41207,4.70459,4.88603,5.21460,5.78122,6.23794,6.56231,6.89724,7.08224,6.91786,7.08820,7.46760,7.72343,7.86165,7.68024,7.58295,7.39716,7.15873,7.02150,6.83289,6.73012,6.59560,6.59451,6.71455,6.51646,6.44168,6.26977,6.25285,6.35988,6.27597,6.16526,6.32558,6.24957,5.97353,5.97355,6.04957,6.26770,6.25117,6.27274,6.31629,6.24651,6.23828,6.23640,6.18072,6.02332,5.89145,6.00174,6.20615,6.69218,6.88505,7.07345,7.65948,7.65337,7.72864,7.59462,7.76175,7.67484,7.62210,7.50960,7.42771,7.26749,7.04497,6.96969,6.79236,6.62202,6.45318,6.59595,6.62465,6.95446,7.33808,7.92851,7.89063,7.38412,7.81202,8.54897,8.36365,8.19085
2010,Muswellbrook 33_11kV,02MAY2009,MW,7.89204,7.16232,6.78353,6.28092,5.91646,5.58813,5.24655,5.11002,4.97286,4.79414,4.49324,4.29884,4.24014,4.13755,4.10255,4.13269,4.14968,4.25697,4.20919,4.20014,4.47096,4.59730,4.75305,4.90910,5.24415,5.44322,5.58994,5.78590,6.25412,6.41427,6.69698,7.12409,7.48043,7.46732,7.52562,7.55152,7.56236,7.46304,7.26226,7.13068,7.13553,6.97062,6.82115,6.55583,6.52283,6.26851,6.18030,6.07560,6.08410,5.99331,5.83831,5.75082,5.70848,5.59295,5.59574,5.46380,5.51972,5.51983,5.44116,5.35927,5.37338,5.25797,5.34801,5.35086,5.31205,5.44742,5.81382,6.05839,6.46794,7.03861,7.58191,8.22131,8.37044,8.15099,8.10570,8.09889,8.02930,7.61240,7.47661,7.48758,7.27965,7.14515,7.01436,6.93246,6.73067,6.57540,6.64876,6.24531,6.02642,5.65719,5.42366,5.29538,5.53028,5.40410,5.05328,4.83075
2010,Muswellbrook 33_11kV,03MAY2009,MW,4.84784,4.60213,4.57785,4.35509,4.32765,4.38332,4.21131,4.07328,4.01699,3.80613,3.80302,3.76912,3.71381,3.69941,3.83162,3.83228,3.74985,3.74719,3.77799,3.81785,4.05148,4.04370,4.20400,4.54102,4.70459,4.83746,4.80512,4.88231,5.24227,5.39921,5.66904,6.09001,6.52183,6.70742,6.88229,7.09391,7.02285,6.92771,6.98381,6.96866,6.93842,6.63414,6.49220,6.32889,6.45150,6.39762,6.18921,6.19883,6.09251,6.04485,5.97652,5.88865,5.80796,5.84991,5.74850,5.74539,5.61684,5.63385,5.42576,5.40548,5.37103,5.40188,5.31744,5.61684,5.87254,6.06801,6.37611,6.79265,7.08569,7.63841,8.35288,8.79102,8.84307,8.78509,8.57083,8.48924,8.32754,8.18707,7.89479,7.65089,7.40735,7.30180,7.25712,7.12832,6.92019,6.75635,6.77719,6.20400,5.91526,5.58751,5.27346,5.06055,5.18608,5.04238,4.75854,4.57406
2010,Muswellbrook 33_11kV,04MAY2009,MW,4.43210,4.33436,4.24528,4.15822,4.06777,4.03776,4.09075,4.04561,3.94743,3.84676,3.67716,3.71462,3.81729,3.76912,3.87030,3.92953,3.96042,3.99976,4.01947,4.20253,4.67011,4.85908,5.20066,5.60311,5.70196,5.82958,6.25880,6.83632,6.78474,6.88369,7.44799,7.65534,7.85439,7.82892,7.87578,7.75747,7.67029,7.49902,7.33894,7.08077,6.94247,6.90626,6.88098,6.61977,6.46980,6.43660,6.39337,6.55373,6.51894,6.51399,6.53877,6.40654,6.19009,6.15862,6.09423,6.05638,6.01493,6.05944,6.11401,6.25624,6.20007,6.03798,5.95863,6.00324,6.13750,6.19246,6.58201,6.73411,6.95264,7.30536,7.75881,7.91521,8.13961,8.34579,8.30655,8.02948,7.85567,7.65878,7.61713,7.44630,7.38578,7.36806,7.08666,6.79076,6.60650,6.41725,6.47691,6.62869,6.84559,7.24087,7.32397,6.93979,7.55897,8.27504,8.08803,7.89286
2010,Muswellbrook 33_11kV,05MAY2009,MW,7.66706,7.18683,6.87093,6.55551,5.97241,5.43355,5.07174,4.88756,4.55092,4.42178,4.36394,4.19859,4.14359,4.15463,4.08293,4.03776,4.20142,4.18105,4.34935,4.44810,4.86230,5.23991,5.33708,5.60950,6.08152,6.39937,6.67091,6.88726,6.78981,7.24176,7.66385,7.78166,8.02822,8.04789,8.02767,8.07278,7.87118,7.87663,7.86491,7.71322,7.69212,7.52099,7.46167,7.42380,7.41236,7.43106,7.63216,7.74382,7.76360,7.70204,7.71875,7.53942,7.39877,7.22904,7.17896,7.22069,7.22213,7.17726,7.20497,7.23310,7.16764,7.09874,7.18206,7.48316,7.46098,7.36709,7.40587,7.58858,7.93568,8.50019,8.88116,9.34601,9.43995,9.44910,9.32876,9.18474,8.87264,8.52648,8.37652,8.36876,8.12748,7.82310,7.61681,7.22213,6.81794,6.59797,6.52526,6.85015,7.02704,7.66181,7.83754,7.41562,7.91840,8.69387,8.44782,8.18045
2010,Muswellbrook 33_11kV,06MAY2009,MW,7.79496,7.34569,7.03489,6.47663,5.97999,5.52541,5.20940,4.97607,4.74805,4.42640,4.26099,4.28538,4.31486,4.23996,4.25376,4.23640,4.12478,4.19747,4.22561,4.44872,4.87081,4.92618,5.21214,5.53500,5.99466,6.31987,6.70049,7.18540,7.10977,7.34691,7.41817,7.64671,7.85468,7.67236,7.59155,7.60825,7.59419,7.63659,7.42560,7.30995,7.31591,7.46879,7.26043,7.05028,7.07081,6.99563,6.94349,6.65595,6.66982,6.63019,6.67949,6.67120,6.51082,6.25117,6.30908,6.30906,6.48922,6.47606,6.46782,6.35701,6.37532,6.25331,6.31429,6.26636,6.30407,6.50302,6.63517,6.93169,6.96368,7.34670,7.83120,8.28359,8.23094,8.20530,8.18973,8.17469,8.12092,7.85184,7.46549,7.44839,7.30416,7.17456,7.09380,7.03288,6.99186,6.82228,6.68181,7.02372,7.03993,7.57396,7.65528,7.15687,7.64587,8.52437,8.47357,8.28329
2010,Muswellbrook 33_11kV,07MAY2009,MW,7.88693,7.27410,6.85861,6.29125,5.89535,5.51369,5.22518,4.90484,4.64794,4.53593,4.51930,4.39916,4.40279,4.39072,4.07880,4.16678,4.34049,4.31350,4.33194,4.58764,5.04473,5.19895,5.54961,5.69024,6.18799,6.57422,6.84885,7.10704,7.21366,7.43003,8.00299,8.13179,8.45312,8.24439,8.12373,8.03165,7.76111,7.46832,7.21465,7.10354,7.08312,7.01752,6.84246,6.75701,6.57717,6.35923,6.31130,6.31130,6.27621,6.31910,6.48257,6.47100,6.28621,6.29165,6.41901,6.42378,6.32109,6.25882,6.32065,6.39094,6.26014,6.13759,6.06641,6.24787,6.27945,6.46794,6.60179,6.90730,7.15256,7.37182,7.73558,8.01127,8.25157,8.22929,8.07552,8.08997,7.94162,7.78644,7.64671,7.46337,7.36444,7.10019,6.99444,6.86678,6.71495,6.66608,6.57425,6.93315,7.04226,7.49095,7.49382,7.15206,7.70352,8.40000,8.19695,8.06014
2010,Muswellbrook 33_11kV,08MAY2009,MW,7.75671,7.13794,6.73815,6.27556,5.80274,5.66351,5.39922,4.98902,4.78646,4.43038,4.23435,4.13139,4.19246,4.14967,4.10810,4.04330,4.06673,4.16142,4.23473,4.39505,4.75305,5.12912,5.35323,5.74799,6.21719,6.53754,6.94831,7.32747,7.19221,7.38246,7.66324,7.83531,8.02012,8.05861,8.03894,7.87290,7.73551,7.46879,7.11729,7.01984,7.06333,6.91223,6.60087,6.60395,6.67575,6.46855,6.40393,6.27997,6.24657,6.30495,6.24870,6.39514,6.39885,6.33567,6.35035,6.21033,6.31910,6.35874,6.31242,6.12721,6.18684,6.19009,6.08095,6.11079,6.27808,6.29469,6.47573,6.81613,7.09893,7.42252,7.86243,8.02909,7.96816,7.92300,7.90669,7.91188,7.74817,7.46590,7.48396,7.40208,7.30915,7.06605,7.04413,6.88642,6.78984,6.69086,6.78499,7.17327,7.36257,7.93918,7.94387,7.49420,8.05132,8.83665,8.57850,8.35491
2010,Muswellbrook 33_11kV,09MAY2009,MW,8.01604,7.52020,7.32020,6.75718,6.32806,5.88276,5.36251,5.06056,4.79334,4.61070,4.53358,4.44698,4.31140,4.25175,4.25064,4.24794,4.17200,4.25643,4.18587,4.22793,4.63079,4.81663,4.96900,4.98926,4.96964,5.21955,5.44212,5.65681,6.08688,6.54839,6.93196,7.44152,7.72677,8.03733,8.22945,8.35164,8.42503,8.39298,8.32354,8.28137,8.14175,7.83969,7.49483,7.24938,7.13255,6.85376,6.69688,6.67474,6.45730,6.19666,6.16852,6.02782,5.93227,5.86068,5.97599,5.87188,5.71969,5.61585,5.58172,5.55070,5.71678,5.73647,5.81526,5.91397,5.97055,6.02460,6.24509,6.51702,7.08543,7.64671,8.33481,8.68348,8.69978,8.51792,8.51662,8.29671,8.01625,8.02768,7.87463,7.86684,7.88495,7.90932,7.73462,7.68690,7.47191,7.18810,7.08060,6.81287,6.48035,6.17770,5.85710,5.85798,6.10488,5.81003,5.55209,5.51096
2010,Muswellbrook 33_11kV,10MAY2009,MW,5.49733,5.11884,5.14522,4.91858,4.62431,4.48798,4.34989,4.21252,4.20659,4.16476,4.16351,4.15818,4.02818,4.04211,4.07857,4.13767,4.22520,4.34326,4.36571,4.36294,4.47580,4.54102,4.62606,4.74453,4.83232,4.99092,5.30506,5.53654,5.93350,6.27268,6.66029,6.80039,7.17406,7.66473,8.04397,8.08691,7.99411,7.91647,7.99199,7.87113,7.69188,7.57312,7.27089,7.17406,7.10517,6.98014,6.72860,6.70867,6.74191,6.49471,6.43606,6.40697,6.67571,6.61231,6.53872,6.78097,6.78011,6.65911,6.38745,6.60136,6.95387,7.02142,7.08069,7.06506,7.27199,7.42736,7.56391,7.97612,8.63968,9.30802,9.51873,9.83892,9.81032,9.81714,9.75064,9.50238,9.24157,9.12849,9.13088,9.05273,8.99414,8.76781,8.73351,8.57688,8.18808,7.71250,7.52333,7.04737,6.75391,6.56685,6.17445,5.93557,5.87299,5.42804,5.04859,4.84492
