year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,North Ryde 66_11kV,01MAY2009,MW,14.91434,13.91885,12.99575,14.89624,13.79215,12.70615,12.09075,11.42106,10.76946,10.35316,9.88256,9.46626,9.17666,8.97757,9.03187,8.66987,8.72417,8.83277,8.90517,8.90517,9.77396,10.26266,10.69706,11.16766,13.08625,14.08175,15.43924,15.18584,16.63384,17.48453,17.91893,17.62933,17.57503,17.70173,17.21303,17.21303,17.03204,16.70624,16.67004,16.65194,16.23564,16.27184,16.19944,15.98224,16.03654,15.83744,15.98224,15.69264,15.96414,15.52974,15.65644,15.67454,15.51164,15.22204,15.40304,15.09534,15.22204,15.29444,15.24014,15.09534,14.76954,14.91434,14.84194,14.84194,14.96864,14.76954,15.24014,15.54784,16.12704,17.19493,17.86463,17.88273,17.28543,17.19493,17.24923,16.56144,16.05464,15.98224,15.58404,15.47544,14.98674,14.96864,14.58854,14.35325,13.95505,13.61115,13.46635,12.77855,13.35775,14.28085,14.31705,13.39395,13.37585,14.24465,14.09985,13.01385
2010,North Ryde 66_11kV,02MAY2009,MW,14.06365,13.23105,12.56135,14.24465,13.39395,12.36225,11.83735,11.02286,10.49796,9.93686,9.61106,9.08617,9.19476,8.86897,8.52507,8.50697,8.47077,8.21737,8.38027,8.30787,8.43457,8.50697,8.61557,9.30336,9.52056,9.55676,9.91876,9.46626,10.31696,10.66086,10.82376,11.05906,11.27626,11.74686,11.89165,11.69256,11.74686,11.72876,11.67446,11.69256,11.76496,11.36676,11.22196,11.04096,10.84186,10.82376,10.91426,10.76946,10.98666,10.89616,10.76946,10.69706,10.76946,10.87806,10.67896,10.75136,10.69706,10.47986,10.51606,10.37126,10.46176,10.31696,10.55226,10.67896,11.11336,11.22196,11.56586,12.16315,12.86905,13.79215,14.89624,15.13154,15.34874,15.36684,15.11344,14.58854,14.17225,13.93695,13.90075,13.48445,13.37585,13.19485,13.19485,12.92335,12.30795,12.32605,12.28985,11.94595,12.57945,13.57495,13.93695,13.39395,13.17675,14.35325,14.31705,13.44825
2010,North Ryde 66_11kV,03MAY2009,MW,14.60664,13.46635,12.52515,14.31705,13.59305,12.57945,11.92785,11.25816,10.47986,9.84636,9.57486,9.24906,8.94137,8.74227,8.48887,8.45267,8.14497,8.38027,8.23547,8.01827,8.34407,8.27167,8.30787,8.19927,8.57937,8.63367,8.88707,8.52507,9.10427,9.50246,9.75586,10.29886,10.35316,10.76946,11.13146,11.27626,11.18576,11.24006,11.20386,11.29436,11.07716,10.98666,10.96856,11.05906,10.75136,10.84186,10.71516,10.64276,10.73326,10.62466,10.46176,10.46176,10.47986,10.42556,10.33506,10.11786,10.11786,10.11786,10.13596,10.19026,10.19026,10.26266,10.55226,10.75136,10.87806,11.16766,11.42106,11.89165,12.48895,13.81025,14.89624,15.24014,15.47544,15.80124,14.98674,14.93244,14.73334,14.58854,14.46184,14.02745,14.09985,14.08175,13.88265,13.50255,13.23105,12.88715,12.76045,12.36225,12.86905,13.62925,14.00935,13.35775,12.86905,14.09985,13.95505,12.88715
2010,North Ryde 66_11kV,04MAY2009,MW,13.99125,13.08625,11.92785,13.68355,13.01385,12.05455,11.27626,10.62466,10.04546,9.53866,9.33956,8.74227,8.74227,8.30787,8.36217,8.47077,8.23547,8.27167,8.63367,8.90517,9.77396,10.11786,10.51606,10.98666,12.23555,13.28535,14.67904,14.09985,15.69264,16.92344,17.01394,16.85104,16.92344,16.74244,16.34424,16.34424,16.32614,15.94604,16.30804,16.34424,16.34424,16.05464,15.76504,15.90984,15.67454,15.60214,15.54784,15.34874,15.80124,15.54784,15.52974,15.51164,15.63834,15.43924,15.67454,15.49354,15.52974,15.60214,15.58404,15.49354,15.13154,15.24014,17.66553,15.67454,15.94604,15.81934,16.10894,16.25374,16.70624,18.02753,18.86013,19.13163,18.04563,18.09993,17.64743,17.64743,16.85104,16.68814,16.27184,16.10894,15.58404,15.47544,14.98674,14.51614,14.00935,13.86455,13.86455,13.52065,13.97315,14.29895,14.40755,13.86455,13.17675,14.20845,14.22655,13.28535
2010,North Ryde 66_11kV,05MAY2009,MW,14.33515,13.61115,12.56135,14.58854,13.50255,12.45275,12.05455,11.25816,10.60656,10.17216,9.68346,9.19476,8.99567,8.85087,8.72417,8.36217,8.43457,8.63367,8.70607,9.12237,9.44816,9.93686,10.55226,11.04096,13.08625,13.52065,14.64284,14.80574,16.30804,16.88724,17.66553,17.66553,17.79223,17.91893,17.66553,17.19493,16.76054,16.85104,16.94154,16.94154,16.72434,16.59764,16.47094,16.25374,16.65194,16.68814,16.61574,16.72434,17.14063,16.81484,16.59764,16.52524,16.47094,16.52524,16.39854,16.43474,15.96414,16.32614,16.25374,16.34424,16.50714,16.54334,16.05464,16.47094,16.39854,16.81484,17.32163,17.61123,18.22663,19.51173,19.80132,19.62033,18.71533,18.48003,18.71533,18.42573,17.64743,17.33973,17.05013,16.88724,16.56144,16.38044,16.01844,15.24014,14.26275,13.93695,13.53875,13.05005,13.64735,14.15415,14.22655,13.28535,12.72425,13.84645,13.81025,12.74235
2010,North Ryde 66_11kV,06MAY2009,MW,13.91885,13.21295,12.00025,13.81025,13.28535,12.23555,11.40296,10.55226,9.93686,9.26716,9.01377,8.72417,8.38027,8.34407,8.12687,7.96397,8.10877,8.12687,8.41647,8.45267,8.95947,9.39386,9.73776,10.49796,12.00025,12.70615,13.73785,13.59305,14.69714,15.49354,15.60214,15.31254,15.27634,15.34874,15.04104,14.66094,14.75144,14.66094,14.60664,14.73334,14.37135,14.15415,13.88265,13.86455,13.62925,13.93695,13.91885,14.08175,14.08175,14.28085,14.02745,14.19035,13.99125,14.00935,14.17225,13.84645,14.06365,14.00935,14.09985,14.08175,13.64735,13.99125,14.06365,13.90075,14.02745,14.22655,14.51614,15.13154,15.63834,16.88724,17.52073,17.41213,17.19493,17.08633,16.70624,16.43474,16.25374,15.74694,15.67454,15.45734,15.22204,15.13154,14.73334,14.33515,14.51614,13.93695,13.61115,13.32155,13.66545,14.15415,14.22655,13.59305,13.30345,14.19035,13.68355,13.03195
2010,North Ryde 66_11kV,07MAY2009,MW,14.22655,13.23105,12.38035,14.08175,13.33965,12.27175,11.76496,11.05906,10.37126,9.90066,9.30336,9.04997,8.72417,8.61557,8.54317,8.56127,8.65177,8.57937,8.77847,8.79657,9.66536,9.99116,10.67896,11.18576,12.92335,13.33965,14.58854,14.60664,16.23564,17.23113,16.67004,16.90534,16.67004,16.77864,16.65194,16.39854,16.43474,16.50714,16.28994,16.07274,16.09084,15.89174,15.78314,15.56594,15.74694,15.63834,15.65644,16.03654,15.71074,15.36684,15.36684,15.80124,15.34874,15.45734,15.34874,15.71074,15.45734,15.33064,15.31254,15.45734,15.22204,15.31254,15.36684,15.56594,15.51164,15.67454,16.03654,16.25374,16.70624,17.84653,18.60673,18.49813,17.62933,17.33973,17.32163,17.12253,16.56144,15.96414,16.19944,15.96414,15.58404,15.56594,15.09534,14.91434,14.57044,14.08175,13.77405,13.30345,13.43015,14.24465,14.64284,13.88265,13.52065,14.42564,14.33515,13.23105
2010,North Ryde 66_11kV,08MAY2009,MW,14.35325,13.37585,12.50705,14.37135,13.55685,12.54325,11.72876,10.89616,10.29886,9.81016,9.37576,9.12237,8.92327,8.83277,8.57937,8.43457,8.45267,8.56127,8.68797,8.92327,9.59296,9.88256,10.24456,10.96856,12.85095,13.79215,14.66094,14.57044,16.10894,16.65194,16.94154,16.92344,17.03204,16.94154,16.79674,16.72434,16.54334,16.32614,16.28994,15.96414,15.87364,15.52974,15.74694,15.47544,15.63834,15.42114,15.63834,15.51164,15.42114,15.31254,15.33064,15.24014,15.13154,15.51164,15.54784,15.18584,15.16774,14.80574,14.76954,14.66094,14.73334,14.84194,14.98674,14.95054,15.22204,15.09534,15.69264,15.72884,16.38044,17.43023,18.51623,18.60673,17.43023,17.46643,17.37593,16.86914,16.52524,16.09084,15.80124,15.60214,15.16774,14.93244,14.87814,14.60664,14.51614,14.17225,13.71975,13.33965,14.00935,14.71524,15.11344,14.44374,14.09985,15.02294,14.66094,13.73785
2010,North Ryde 66_11kV,09MAY2009,MW,15.00484,13.97315,12.92335,14.60664,13.73785,12.77855,11.94595,11.27626,10.26266,10.19026,9.81016,9.28526,9.08617,9.03187,8.83277,8.59747,8.61557,8.52507,8.41647,8.56127,8.63367,8.86897,8.94137,9.10427,9.44816,9.59296,10.13596,10.11786,10.31696,11.04096,11.29436,11.58396,11.60206,12.12695,11.92785,12.05455,12.12695,11.90975,11.85545,11.51156,11.69256,11.62016,11.47536,11.09526,11.02286,10.84186,11.00476,11.20386,11.18576,10.75136,10.75136,10.67896,10.57036,10.37126,10.28076,10.17216,10.02736,10.46176,10.24456,10.04546,10.24456,10.24456,10.17216,10.31696,10.53416,10.85996,11.33056,12.07265,13.21295,14.37135,14.89624,15.09534,15.13154,15.33064,15.16774,14.66094,14.40755,14.17225,13.73785,13.73785,13.52065,13.50255,13.19485,12.94145,12.59755,12.39845,12.27175,12.30795,12.72425,13.53875,14.15415,13.46635,13.59305,14.80574,14.69714,13.64735
2010,North Ryde 66_11kV,10MAY2009,MW,14.89624,14.09985,13.15865,14.75144,13.93695,12.97765,12.05455,11.40296,10.73326,9.99116,9.86446,9.43006,9.30336,8.79657,8.54317,8.66987,8.45267,8.25357,8.14497,8.28977,8.38027,8.41647,8.76037,8.99567,8.81467,9.10427,9.21286,8.79657,9.52056,10.09976,10.26266,10.66086,10.96856,11.52966,11.71066,11.85545,12.30795,12.70615,12.59755,12.70615,12.99575,12.99575,12.65185,12.59755,12.28985,12.36225,12.45275,11.98215,11.60206,11.33056,11.25816,11.24006,10.82376,10.31696,10.57036,10.44366,10.42556,10.49796,10.49796,10.67896,10.82376,10.76946,11.02286,11.07716,11.25816,11.62016,12.41655,13.23105,14.22655,14.98674,15.31254,15.60214,15.85554,15.90984,15.69264,15.52974,15.60214,15.52974,15.02294,15.00484,14.71524,14.89624,14.60664,14.49804,14.08175,13.71975,13.28535,13.01385,13.41205,14.17225,14.22655,13.68355,13.37585,14.38945,14.31705,13.48445
