year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,North Sydney 33_11kV,01MAY2009,MW,30.91487,29.95291,29.65112,29.21729,28.65143,28.10443,27.70833,27.59515,27.14247,27.04816,26.68978,26.72750,26.99157,26.50116,26.52002,26.38798,26.55774,26.74636,27.31222,27.97240,29.08526,29.95291,31.31098,33.46125,39.10100,40.66654,45.32547,49.11673,53.54931,56.11455,58.00075,60.45282,61.45250,62.52764,62.67854,63.56505,63.47074,63.39529,63.73481,63.65936,63.31985,63.69709,64.58360,64.35726,63.86684,65.58329,65.37581,65.62101,65.71532,66.37550,65.52670,65.62101,64.92312,64.67791,64.99857,65.13060,64.35726,64.88539,64.28181,63.90457,63.96115,63.07464,63.58391,63.22554,62.90488,62.84829,62.90488,62.81057,62.82943,63.01805,61.75430,59.11361,53.22866,51.71970,51.21042,49.94666,47.36257,47.30598,46.53264,45.26888,43.94854,43.02430,42.55275,41.59078,40.64768,39.79889,38.79920,36.89414,37.30910,35.80014,35.36631,35.02680,33.74418,33.40466,32.83880,31.59391
2010,North Sydney 33_11kV,02MAY2009,MW,31.57504,30.65080,29.99063,29.66998,29.10412,28.40622,28.12329,27.55743,27.36881,27.08588,26.67092,26.46343,26.40685,26.38798,26.31254,26.23709,26.18050,26.48229,26.19936,26.59547,26.84067,26.99157,27.57629,27.55743,28.97208,29.08526,29.87746,30.74511,31.87684,32.95197,33.80076,34.80045,35.91331,37.04503,37.10162,37.57317,38.23334,38.72375,39.04441,39.61027,39.66686,40.23272,38.89351,39.40279,39.51596,39.19531,39.10100,39.45937,38.81806,38.72375,39.57255,39.06327,39.11986,38.49741,38.10131,37.72407,37.57317,37.40341,37.17707,36.64893,36.85641,36.19624,36.49803,37.00731,36.49803,36.23397,36.72438,37.12048,37.47886,39.06327,39.98751,40.28930,39.89320,40.38361,40.11954,39.76117,39.36506,38.74262,38.45969,37.70520,36.76210,36.96959,36.25283,36.00762,35.68697,35.93217,35.38517,34.42321,33.97052,33.19718,32.46156,32.44270,31.83911,31.76366,30.97146,30.33015
2010,North Sydney 33_11kV,03MAY2009,MW,30.38674,29.78315,29.16070,28.84005,28.57598,28.31191,27.50084,27.08588,26.40685,26.23709,25.91643,25.87871,25.67123,26.01074,25.55806,25.61464,25.52033,25.87871,25.36943,25.53919,25.87871,25.84099,26.01074,26.44457,26.52002,26.55774,27.65174,27.59515,28.97208,29.31160,30.40560,31.04691,31.85797,32.48042,32.74449,33.66873,34.04597,34.68728,34.51752,35.12111,35.36631,35.72469,36.12079,35.53607,34.83818,35.42290,35.00793,35.25314,34.72500,34.95135,34.91362,34.74387,34.66842,34.68728,34.17800,34.61183,33.66873,33.87621,33.76304,33.85735,33.93280,33.83849,33.80076,34.23459,34.25345,34.91362,35.25314,35.95104,37.04503,38.17676,39.19531,39.44051,39.57255,40.06296,39.66686,39.55368,38.76148,38.91237,38.66717,38.12017,37.49772,37.13934,36.91300,36.25283,35.95104,35.34745,34.70614,34.59297,33.72532,32.74449,31.63163,30.70739,30.16039,29.85860,28.85891,28.53826
2010,North Sydney 33_11kV,04MAY2009,MW,28.55712,28.27419,27.63288,27.78378,27.61402,27.59515,26.40685,27.01043,26.10505,25.59578,25.52033,25.69009,25.89757,25.70895,25.70895,25.82212,26.04847,26.10505,26.40685,27.12360,28.76460,29.29274,31.61277,33.66873,40.21385,41.64737,44.70302,47.77753,51.58766,54.41697,58.49117,59.77378,60.83006,61.81088,61.73543,63.01805,63.60278,63.71595,63.35757,63.45188,63.96115,63.86684,64.56474,65.03629,64.30067,64.39498,65.31922,64.86653,65.79077,66.67729,66.14915,66.48867,65.86622,65.28150,66.41322,66.52639,64.97970,64.96084,64.80995,65.30036,64.18750,64.86653,63.65936,64.01774,63.50847,63.22554,63.58391,63.82912,63.35757,63.69709,62.52764,60.16989,53.98314,53.20980,52.00263,51.11611,49.58829,48.62632,47.92843,46.75898,45.15571,44.57098,43.72219,42.23209,40.62882,40.30817,38.28993,37.29024,37.13934,35.98876,35.40404,33.64987,32.49928,32.17863,31.49960,30.27356
2010,North Sydney 33_11kV,05MAY2009,MW,30.23584,29.42477,29.21729,28.91550,28.42508,27.95353,27.87809,27.76491,27.29336,26.93498,26.85954,26.95385,26.72750,25.63350,25.91643,25.65237,26.76523,26.25595,26.82181,27.44426,29.10412,29.40591,30.93373,32.93311,38.53513,40.66654,43.89195,47.49460,52.17238,56.15227,58.69865,60.33964,60.98095,61.84861,61.98064,62.94261,63.03692,62.03723,62.43333,63.18781,63.47074,63.99888,63.67822,63.62164,63.77253,64.30067,65.05515,64.82881,65.30036,64.77222,65.45126,65.77191,65.65874,65.80963,65.35695,64.79108,64.30067,65.01743,64.64019,64.80995,64.28181,63.56505,64.31953,63.22554,62.47105,62.81057,62.52764,62.41447,62.84829,62.77285,62.07495,59.94354,53.39842,52.87028,51.98376,50.64456,49.15446,48.43770,47.41915,46.43833,45.04254,44.42009,43.91081,42.62820,41.15696,40.32703,38.91237,37.64862,37.27138,36.64893,35.15883,33.83849,32.83880,32.34839,31.23553,30.82056
2010,North Sydney 33_11kV,06MAY2009,MW,30.14153,29.78315,29.10412,29.23615,28.46281,28.27419,28.08557,27.18019,27.06702,26.82181,26.61433,26.29367,26.14278,26.08619,26.25595,26.23709,26.48229,26.59547,27.38767,27.97240,28.74574,28.99095,30.83942,32.51815,38.10131,40.68541,43.98626,48.11705,52.17238,54.20948,57.92530,60.09444,60.52826,61.99950,62.41447,63.62164,63.67822,63.11236,63.88571,63.18781,63.79140,63.98002,64.80995,65.33808,64.62133,65.37581,65.50784,65.90394,66.20574,66.43208,65.94167,66.37550,66.05484,66.24346,66.33777,66.46981,65.77191,65.60215,64.94198,64.80995,64.96084,64.05547,63.73481,63.90457,63.30098,62.79171,63.11236,63.28212,62.67854,63.58391,62.81057,60.50940,53.86997,52.87028,51.64425,51.13497,49.83349,48.24908,47.26826,46.47605,44.23147,44.00512,43.04316,42.21323,40.64768,40.10068,39.49710,37.70520,37.25252,36.29055,34.97021,33.42352,32.19749,32.17863,31.25439,30.19812
2010,North Sydney 33_11kV,07MAY2009,MW,30.55649,29.42477,29.27388,28.65143,28.36850,27.89695,27.53857,27.38767,26.85954,26.31254,26.14278,26.25595,25.70895,25.72781,25.99188,25.93530,26.27481,26.18050,26.52002,27.06702,28.51939,29.34932,30.74511,33.17832,37.95041,39.83661,44.25033,48.11705,51.88945,54.45469,57.30286,58.88727,60.37737,61.64112,62.81057,62.69740,63.43302,62.45219,63.31985,63.45188,63.47074,63.90457,63.96115,64.01774,64.01774,64.48929,64.58360,64.79108,65.31922,66.35663,64.96084,66.13029,65.13060,65.90394,65.52670,65.73419,65.16833,64.84767,64.82881,63.96115,63.86684,63.30098,62.77285,62.35788,62.39561,62.73512,62.79171,63.16895,62.98033,63.33871,61.50909,59.94354,52.73825,51.70083,51.04066,50.02211,48.13591,47.43801,46.26857,45.25002,43.75992,42.66592,42.19437,41.11923,40.40248,39.15758,38.47855,36.98845,37.38455,36.38486,35.12111,33.78190,32.57473,32.08432,31.32984,30.53763
2010,North Sydney 33_11kV,08MAY2009,MW,30.34901,29.97177,28.93436,28.85891,28.29305,27.85922,27.57629,27.18019,26.99157,26.80295,26.59547,26.55774,26.06733,26.16164,25.70895,25.70895,26.04847,25.99188,26.44457,27.01043,28.91550,29.59453,30.97146,33.19718,38.40310,40.55337,43.53357,47.15508,51.85173,54.69990,57.18968,58.90613,59.84923,61.62226,61.58454,62.43333,63.15009,63.09350,63.28212,63.73481,64.67791,64.90426,64.16864,65.26264,64.97970,65.09288,64.90426,64.99857,65.33808,65.07401,65.22491,65.11174,65.86622,65.05515,64.77222,64.28181,64.47043,63.69709,63.62164,62.98033,63.45188,62.82943,62.52764,63.41416,62.54650,61.79202,62.07495,62.24471,62.24471,61.26388,60.99982,57.69896,51.75742,50.22959,49.75804,47.92843,46.24971,45.53295,44.58985,43.64675,42.19437,41.49647,40.40248,39.51596,38.91237,37.93155,36.76210,35.80014,35.61152,35.15883,34.12142,32.78221,32.21635,32.14090,31.19780,30.61308
2010,North Sydney 33_11kV,09MAY2009,MW,30.00949,29.40591,28.91550,28.82119,28.31191,27.67060,27.06702,26.70864,26.33140,26.23709,25.63350,25.59578,25.65237,25.63350,25.04878,25.19968,25.02992,25.14309,25.06764,25.38830,25.82212,25.78440,25.87871,26.61433,27.72719,27.89695,28.29305,29.42477,31.23553,32.48042,32.91425,34.10256,35.19655,36.44145,36.79983,37.38455,37.79951,37.93155,38.04472,38.57286,38.64831,38.74262,38.44082,39.45937,38.30879,38.51627,38.79920,38.40310,38.70489,38.36538,38.23334,37.89382,37.66748,37.44114,37.12048,37.44114,36.53576,36.72438,36.47917,36.38486,36.51690,36.55462,36.25283,37.19593,35.96990,35.78128,35.87559,36.61121,37.83724,38.89351,39.44051,39.25189,39.87434,39.94979,39.96865,39.51596,38.59172,38.38424,37.76179,37.00731,36.51690,36.21510,35.63038,35.36631,34.97021,34.68728,34.06483,33.49897,33.53670,32.87652,32.46156,31.29211,30.72625,31.04691,30.34901,29.72656
2010,North Sydney 33_11kV,10MAY2009,MW,30.16039,28.99095,28.21760,28.27419,27.89695,27.46312,26.53888,26.02961,25.57692,25.23740,25.16195,24.67154,24.27544,24.50178,24.23771,24.21885,24.27544,24.27544,24.21885,24.67154,24.70926,24.82244,25.16195,25.40716,26.23709,26.21823,26.46343,26.93498,27.42540,28.57598,28.74574,29.08526,29.85860,31.06577,32.06546,33.04628,33.57442,34.04597,34.34776,35.27200,35.59266,35.89445,35.32859,35.59266,35.38517,35.57379,35.64924,35.80014,35.64924,34.87590,35.13997,34.97021,34.47980,34.31004,33.97052,33.66873,33.64987,33.00856,32.85766,32.87652,33.21604,33.06514,33.31035,33.53670,33.85735,34.12142,35.34745,35.81900,36.79983,38.34651,38.28993,38.66717,39.11986,39.76117,39.40279,39.11986,39.08213,38.98782,38.45969,37.78065,37.06390,37.21479,36.66779,36.08307,35.49835,35.44176,34.19687,33.55556,33.25376,32.48042,31.72594,30.40560,29.70770,29.63225,29.00981,27.93467
