year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,City South 132_11kV,01MAY2010,MW,52.72214,52.28688,52.00302,51.62455,50.69727,50.18633,50.39449,49.95924,48.63456,48.74810,48.29393,48.19931,47.87760,47.40450,47.38558,47.48020,47.51805,47.23419,47.57482,47.49912,48.04792,48.72918,48.67241,50.01601,51.47315,51.34069,52.66536,53.78188,56.24199,56.41231,57.71806,59.47799,61.97595,62.73291,64.64423,67.12326,69.35629,69.52661,71.66501,73.33032,73.89804,74.95778,75.48765,76.58524,76.94480,78.08023,78.38302,78.76150,78.70472,78.30732,78.72365,77.60713,78.79934,79.27244,79.91586,79.53738,78.72365,79.23459,79.46168,79.59415,79.78339,78.28840,79.10213,78.08023,77.60713,77.47467,76.50955,76.92587,76.66094,75.88505,76.39600,74.63607,73.82234,72.27058,71.24869,69.69692,68.01269,67.36928,67.44497,65.98783,64.60638,63.84942,63.67910,62.94107,62.43012,61.71101,61.35146,60.55665,59.66723,59.02381,57.71806,57.43420,56.77186,56.58262,55.14440,53.70618
2011,City South 132_11kV,02MAY2010,MW,53.53587,52.38150,51.87056,51.20822,51.34069,51.11360,50.60265,49.99709,49.58076,49.39152,49.22120,48.42640,47.93437,48.08577,48.25608,48.04792,47.85868,47.83976,47.72621,47.82083,47.89653,47.91545,47.65052,48.61564,49.88354,50.03493,50.12955,51.70024,53.30878,53.59264,53.93327,55.33364,56.67724,57.01787,58.83457,60.15925,61.18114,61.97595,63.92512,65.77966,67.78560,68.20193,69.20490,71.04052,71.47577,72.23273,72.55444,73.36817,74.39006,74.91993,75.27949,74.78747,74.95778,74.99563,75.22272,75.86613,75.29841,75.71474,74.67392,74.20082,73.97374,74.97670,74.16297,74.29544,73.53848,74.33329,73.51956,74.76854,73.91696,72.95184,72.17596,71.47577,69.24275,69.09136,68.12623,67.33143,66.23384,65.17410,64.83347,63.52771,62.69506,61.76779,61.42715,61.38931,60.02678,59.15628,59.59153,58.13439,56.90433,55.92028,55.44718,54.44422,53.68726,52.94922,52.57074,51.45423
2011,City South 132_11kV,03MAY2010,MW,50.92436,50.62158,50.35664,49.58076,49.33475,49.16443,48.74810,48.69133,48.44532,47.44235,47.48020,47.57482,47.25311,47.19634,47.12064,47.21526,47.00710,47.48020,47.42343,48.23716,50.31879,51.52993,53.17631,55.39041,62.03272,64.20898,68.56148,73.08431,80.27541,82.92477,87.16373,90.13479,95.47135,100.42942,101.81087,105.17934,108.39641,109.92925,112.46506,115.41719,116.17415,118.21794,119.82648,119.71293,119.94002,119.03167,119.44800,120.05356,120.07249,120.12926,120.65913,120.98084,121.58640,120.88622,119.82648,119.94002,119.67508,119.58046,119.03167,117.76376,118.06655,116.62833,117.17712,116.83649,116.13630,115.66321,115.11441,113.65727,111.53778,109.62646,107.24205,102.45429,93.04908,89.75631,89.39676,86.14184,82.41382,80.65389,79.82124,77.51251,75.07132,74.82531,73.44386,71.09729,67.97484,66.65017,65.30656,63.58448,61.40823,59.51583,58.75888,57.88837,56.35553,55.92028,54.08466,53.535
2011,City South 132_11kV,04MAY2010,MW,53.59264,52.43828,51.58670,51.51100,50.28095,50.01601,50.01601,49.59968,49.71323,48.78595,48.48317,48.80488,48.10469,48.14254,47.80191,48.31285,48.67241,48.67241,49.24013,49.94031,51.58670,52.43828,53.28985,55.97706,64.24682,67.27466,71.62717,75.41196,82.50844,85.63089,90.39973,93.84389,99.88063,101.29992,103.98713,107.79084,109.70216,111.36747,112.91923,115.32257,116.00384,117.13927,117.70699,118.50180,118.61534,119.12629,120.09141,122.07843,120.56451,122.38121,121.79457,123.04355,122.51368,123.00570,123.87620,124.29253,122.64614,123.32741,123.45987,122.81646,122.47583,121.87026,119.63724,119.88325,119.16414,117.53668,117.19605,115.17118,112.86246,112.01088,109.83463,104.51700,94.52515,92.34889,90.55112,87.80715,83.53033,82.09211,80.65389,79.04535,75.82828,74.88209,73.25463,70.35926,68.76965,67.19896,65.96890,64.00081,61.67317,60.42418,59.70507,57.69914,56.62047,55.46611,54.55776,53.535
2011,City South 132_11kV,05MAY2010,MW,51.94625,51.90841,51.20822,50.77297,50.29987,49.61861,49.95924,49.73215,50.07278,48.91842,48.36963,48.35070,48.04792,47.68836,48.06684,48.44532,48.61564,48.61564,48.97519,49.80785,51.47315,52.32473,53.11954,55.84459,62.67613,65.24979,70.09432,75.01455,81.58116,83.36002,87.16373,91.09991,96.19046,97.76115,101.67840,104.59269,105.87952,107.65837,109.98602,112.04873,113.63834,113.58157,114.41422,116.13630,116.00384,115.90922,116.53371,117.57452,116.51478,113.84651,113.86543,113.20309,112.71107,112.69214,112.91923,113.37341,113.60049,112.18120,111.93519,111.55671,110.53481,110.51589,110.76190,110.34557,109.00197,108.24502,106.37154,106.18230,104.49807,102.09473,99.97525,96.05799,87.76930,86.57709,84.28729,81.71363,78.32624,77.47467,75.90398,74.39006,72.15704,71.07837,69.81047,68.27763,66.70694,64.71992,62.97892,61.31361,59.91324,58.70210,57.66129,56.77186,54.93624,53.83865,52.68429,51.77594
2011,City South 132_11kV,06MAY2010,MW,51.58670,51.03790,50.35664,49.90247,49.33475,48.82380,48.59671,48.10469,47.97222,47.29096,46.79894,46.95033,46.79894,46.53400,46.53400,46.72324,46.87463,47.21526,47.21526,47.74514,48.95627,50.11063,51.71917,54.34960,60.40526,61.97595,66.55555,72.17596,78.47764,80.67281,83.07616,86.44462,90.02125,93.37079,95.24426,98.36671,100.39157,102.54891,104.02497,105.08472,106.71218,106.86357,108.37748,108.68027,109.11552,108.71811,109.72108,112.25689,111.68918,112.61645,112.91923,113.69511,113.16524,113.97897,114.52777,113.94113,112.65430,112.78676,112.71107,112.95708,112.31367,111.95411,110.34557,110.49697,110.15633,109.77786,108.20717,107.45021,104.34668,103.66542,102.56783,98.49918,92.08396,90.11587,88.75334,86.25538,83.22755,82.20566,81.33515,80.65389,77.38005,75.94183,74.56038,70.83236,68.14516,65.81751,65.23087,62.82753,60.40526,59.11843,58.15331,57.24496,55.86351,54.84162,53.63049,52.74106
2011,City South 132_11kV,07MAY2010,MW,52.77891,51.70024,51.28391,51.00006,49.97816,49.50506,49.06981,48.84272,48.48317,47.87760,47.38558,47.48020,47.27204,46.74217,46.96925,47.08280,47.30988,47.30988,47.48020,48.69133,49.41044,50.35664,50.81082,54.04681,59.89431,62.27873,66.40415,71.55147,77.20973,81.25946,85.04425,85.64981,89.37783,92.99231,95.60381,98.29102,99.16152,101.07284,101.92442,104.04390,106.42832,106.14446,106.86357,108.24502,108.52887,109.13444,109.28583,111.10253,111.48101,111.72702,112.10550,111.87841,113.41125,113.60049,113.43018,113.75189,112.80569,113.39233,111.95411,113.58157,112.97600,111.93519,111.40532,111.48101,110.34557,109.21014,109.24799,108.32071,106.33370,104.95225,102.11365,98.97228,90.89175,89.52923,86.89880,83.88989,78.95074,78.76150,77.85315,76.41493,73.21678,72.83830,71.47577,68.67503,66.12029,64.17113,63.69803,62.61936,60.53773,59.49691,58.49394,57.52882,56.54477,54.97409,54.19820,53.23308
2011,City South 132_11kV,08MAY2010,MW,52.34366,52.15442,51.88948,51.15145,50.26202,49.42937,49.35367,49.18336,48.23716,47.89653,47.82083,47.53697,47.40450,47.15849,46.89356,46.57185,46.93141,46.89356,46.23122,46.93141,47.34773,47.65052,47.51805,48.74810,50.35664,50.67835,51.47315,52.68429,55.10655,55.25795,56.33661,57.16926,59.62938,60.99190,63.26278,65.96890,67.23681,68.20193,69.84831,71.28653,72.95184,73.59526,74.78747,75.10917,75.60120,75.90398,76.33923,77.05834,77.32328,77.58821,77.68283,77.32328,78.09916,77.56929,78.66688,78.13701,77.94777,77.89099,77.28543,78.95074,78.45871,77.79637,77.41789,77.03942,75.90398,76.50955,77.02049,76.16891,75.35518,75.35518,75.18487,73.78450,72.72475,71.43793,70.01863,69.16705,66.78263,66.27169,66.12029,65.43903,64.00081,64.15220,62.86537,63.07354,62.05164,61.23791,61.40823,60.23494,59.45906,58.56964,57.49097,56.96110,56.45015,55.22010,53.83865,53.02492
2011,City South 132_11kV,09MAY2010,MW,52.13549,51.49208,50.65942,50.48911,50.18633,49.88354,49.39152,49.20228,48.72918,48.23716,48.06684,48.12361,47.70729,47.34773,47.32881,47.34773,47.30988,47.04495,46.76109,46.62862,47.08280,46.96925,47.13957,47.78298,48.82380,49.03196,49.35367,50.41341,52.13549,52.23011,52.91137,53.91434,55.08763,55.86351,57.71806,58.91027,60.70804,60.70804,62.16519,64.28467,66.30953,65.87428,66.85833,68.35332,69.62123,69.92401,70.52958,71.11622,71.47577,71.70286,72.25166,72.97077,72.38412,72.64906,72.78153,73.44386,72.95184,73.21678,73.14108,72.97077,72.08134,71.51362,72.80045,71.85425,71.34331,71.04052,70.71882,70.45388,70.75666,69.82939,69.14813,68.82642,67.18004,66.53662,66.17707,65.21194,64.32252,63.88727,63.90619,62.65721,61.57855,60.78374,59.98893,59.76185,59.23198,58.34255,57.71806,57.33958,56.39338,55.39041,54.21713,54.23605,53.02492,52.55182,51.83271,50.47018
2011,City South 132_11kV,10MAY2010,MW,49.80785,49.33475,49.06981,48.46425,48.12361,48.19931,47.87760,47.76406,47.36666,46.68539,46.43938,46.34476,46.72324,46.21230,46.15552,46.66647,46.11768,46.26907,46.66647,47.85868,50.11063,51.22714,51.94625,54.97409,59.83754,62.08949,66.93402,71.62717,78.51548,81.01345,83.60603,87.69360,92.21643,95.01717,96.98526,100.05094,101.92442,103.87358,105.61459,107.75299,109.60754,110.91329,111.95411,114.20606,113.90328,113.60049,114.52777,115.13333,117.10143,116.85541,117.25282,116.62833,118.14224,117.40421,117.78269,117.74484,118.33148,117.78269,116.83649,116.38232,115.43612,115.62536,114.39530,114.26283,113.94113,113.20309,112.91923,111.23500,109.56969,108.77489,104.83870,100.65651,91.32700,89.13182,87.65575,84.59007,80.04832,78.02346,76.98264,76.09322,73.12216,72.25166,71.40008,69.22382,66.51770,65.53365,63.81157,62.41120,60.48096,59.11843,57.75591,56.41231,55.69320,54.70915,54.12251,52.70321
