year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Dee Why West 33_11kV,01MAY2010,MW,16.20624,15.29661,14.83251,18.65667,18.22970,17.70991,16.24337,15.31517,14.51693,13.99714,13.68156,13.31028,12.67911,12.51203,12.23358,12.28927,12.47491,12.25214,12.34496,12.41921,12.79049,12.97613,13.29171,13.92289,14.83251,15.92778,16.98592,17.32007,18.67523,19.91901,20.68013,21.79396,22.72215,23.00061,23.50183,23.98449,23.83598,24.18869,23.85454,23.91023,23.27906,23.24194,22.68502,22.90779,22.81497,22.57364,22.68502,22.03529,22.12811,21.97959,21.73826,21.77539,21.83108,21.57119,21.62688,21.29273,21.45981,21.14422,21.06997,21.29273,20.88433,21.03284,21.34842,21.49693,22.07241,22.03529,23.09343,22.81497,24.13300,26.56486,28.08710,28.79253,28.77396,28.53263,27.69726,27.17747,26.24928,25.50673,24.39289,24.33720,23.63178,27.06609,24.54141,23.11199,21.84965,22.18380,21.03284,20.25316,22.10954,20.88433,19.00938,20.56874,18.63810,17.85842,16.65177,16.02060
2011,Dee Why West 33_11kV,02MAY2010,MW,15.61220,14.86964,14.33129,18.28539,17.87698,17.00448,15.94634,15.11097,14.21991,13.79294,13.38453,12.84618,12.58629,12.43778,12.06650,12.10363,12.01081,11.89943,11.99224,12.28927,12.19645,12.53060,12.77193,12.90187,13.49592,14.16422,14.66544,15.57507,16.59608,17.54284,18.41534,19.10220,20.08608,21.16279,21.81252,22.03529,22.12811,22.49938,22.48082,22.29518,22.10954,21.97959,21.42268,21.64545,21.31130,21.10709,21.10709,20.86576,20.49449,20.42023,20.47592,20.17890,20.16034,19.95614,19.95614,19.71481,19.71481,19.64055,19.47348,19.45491,19.25071,19.47348,19.36209,20.32741,20.68013,20.86576,21.60832,21.83108,23.76172,25.89657,28.17992,28.25417,28.84822,28.55120,27.95715,27.54875,26.69481,25.93369,25.30252,24.83843,24.28151,27.54875,24.96837,23.83598,22.61077,22.22092,21.14422,20.42023,21.79396,19.99326,18.00693,19.58486,17.41289,16.67033,15.63076,14.79539
2011,Dee Why West 33_11kV,03MAY2010,MW,14.34985,13.64443,13.08751,17.11587,16.76315,16.28049,15.07384,14.49836,13.99714,13.19890,12.80905,12.54916,12.17788,12.02937,11.62097,11.76948,12.02937,11.73235,12.06650,12.49347,13.01326,13.47735,14.49836,15.63076,18.11831,20.10465,21.68257,21.58975,22.96348,24.15156,24.59710,24.30008,24.18869,23.92880,24.48571,23.74316,23.39045,23.40901,23.29763,23.14912,22.98204,22.88922,23.11199,22.55507,22.53651,22.42513,22.51795,22.55507,22.90779,22.75928,22.51795,22.48082,22.46225,22.23949,22.44369,22.33231,22.44369,22.10954,22.20236,22.35087,22.12811,21.90534,22.44369,22.38800,22.81497,23.35332,23.96593,24.83843,26.80619,28.79253,30.55609,31.02019,31.79987,31.59567,30.33333,30.18481,29.55364,28.82965,27.88290,27.41880,26.52774,29.70215,27.41880,26.08220,24.00305,24.02162,22.36944,21.68257,23.03773,22.14667,20.43880,21.68257,19.41778,18.15544,16.65177,15.35230
2011,Dee Why West 33_11kV,04MAY2010,MW,14.90677,14.18278,13.49592,17.50571,17.17156,16.37331,15.12954,14.25703,13.62586,13.18033,12.86475,12.41921,12.17788,12.17788,11.89943,12.06650,12.06650,11.99224,12.14076,12.56772,13.01326,13.94145,14.70257,16.31762,18.54528,20.53161,21.90534,21.84965,23.22337,24.61566,24.96837,24.57853,24.55997,23.81742,24.04018,23.39045,23.87311,23.68747,23.29763,23.27906,23.31619,23.22337,23.37188,22.75928,22.83353,23.35332,23.44614,23.48327,23.00061,23.29763,23.37188,23.18624,23.07486,23.03773,23.00061,22.87066,22.83353,23.07486,22.70358,22.74071,22.49938,22.94491,23.13055,23.03773,23.46470,24.11444,24.70848,24.83843,26.76907,29.01529,30.40758,31.20583,31.48428,31.35434,30.46327,30.22194,29.25662,28.64402,27.95715,27.79008,26.91758,30.01774,27.92003,26.32353,24.37433,24.31864,22.83353,21.79396,23.66890,22.61077,21.10709,22.22092,19.75193,18.65667,17.11587,16.35475
2011,Dee Why West 33_11kV,05MAY2010,MW,15.37087,14.53549,14.10852,18.04406,17.72847,16.80028,15.87209,14.79539,14.18278,13.73725,13.25459,13.03182,12.62342,12.40065,12.36352,12.23358,12.40065,12.14076,12.56772,12.92044,13.68156,14.29416,15.59363,16.80028,18.97225,20.53161,22.36944,22.42513,24.07731,24.83843,25.56242,25.28396,25.28396,24.54141,24.22582,23.96593,23.79885,23.76172,23.63178,23.68747,23.29763,22.96348,22.87066,22.72215,22.64789,22.57364,22.49938,23.14912,23.20481,24.05875,23.92880,23.68747,23.52039,23.22337,22.70358,22.57364,22.44369,22.48082,22.44369,22.29518,22.35087,22.51795,22.53651,23.14912,23.20481,24.13300,24.96837,24.85699,27.08465,29.51652,31.11301,32.00407,32.70950,32.50530,31.53998,31.37290,31.39146,30.81599,29.98061,29.70215,28.84822,32.33822,29.38657,28.32843,26.76907,26.15646,25.00550,23.83598,25.22827,24.55997,22.74071,23.53896,21.25560,19.97470,18.61954,17.57996
2011,Dee Why West 33_11kV,06MAY2010,MW,16.61464,15.70501,14.99959,18.82374,18.32252,17.82129,16.85597,15.59363,14.79539,14.31273,13.90432,13.47735,13.31028,13.01326,12.95757,12.82762,12.92044,12.80905,13.27315,13.57017,14.34985,15.01815,16.26193,17.72847,20.47592,22.75928,24.54141,24.33720,26.00795,26.89901,27.19604,26.97327,26.75050,26.23072,25.15401,25.07976,24.72704,24.59710,24.46715,24.17013,23.85454,23.07486,23.22337,23.53896,23.05630,22.92635,22.68502,22.42513,22.29518,22.22092,22.05385,21.97959,22.12811,21.70114,21.51550,21.60832,21.57119,22.05385,21.68257,21.77539,21.86821,22.05385,21.97959,22.36944,22.68502,23.68747,24.13300,24.68992,26.47205,28.71827,30.96450,31.31721,31.74418,31.83700,31.44716,30.94593,30.05487,29.98061,29.25662,29.31231,28.45838,31.94838,29.31231,28.19848,26.15646,26.08220,24.83843,23.96593,25.61811,24.63422,23.00061,23.78029,21.57119,20.42023,18.84230,17.96980
2011,Dee Why West 33_11kV,07MAY2010,MW,16.94879,16.05773,15.42656,19.36209,18.82374,17.91411,16.72603,15.79783,15.22235,14.68400,14.20134,13.68156,13.42166,13.19890,12.86475,12.86475,12.95757,12.97613,13.21746,13.66299,14.21991,14.99959,15.74214,17.11587,19.82619,22.05385,23.79885,23.57609,25.24683,25.82231,26.32353,26.82476,26.21215,25.65524,25.00550,24.52284,24.61566,24.15156,24.05875,23.66890,22.98204,23.09343,22.70358,22.16523,21.90534,22.22092,22.05385,22.12811,21.47837,22.03529,21.57119,21.92390,21.38555,21.08853,21.05140,20.94002,21.23704,21.14422,20.94002,21.16279,21.03284,21.23704,21.55263,21.53406,22.16523,23.07486,23.40901,23.74316,25.43247,27.75295,29.42370,30.42614,30.07343,30.40758,29.62790,29.38657,28.97816,28.40269,27.54875,27.54875,26.39779,29.92492,27.40024,26.15646,25.11688,24.83843,23.68747,22.90779,24.68992,24.00305,22.16523,23.61321,21.14422,20.10465,18.50816,17.57996
2011,Dee Why West 33_11kV,08MAY2010,MW,16.42900,15.74214,14.94390,18.74949,18.41534,17.39432,16.20624,15.20379,14.70257,14.10852,13.42166,13.31028,12.90187,12.71624,12.40065,12.51203,12.45634,12.67911,12.34496,12.69767,13.08751,13.01326,13.40310,14.23847,15.11097,15.87209,16.68890,17.61709,19.19502,20.68013,21.19991,22.14667,22.72215,23.07486,23.22337,23.74316,24.37433,24.17013,23.83598,23.57609,23.66890,22.79640,22.77784,22.29518,21.94247,21.75683,21.57119,21.38555,21.14422,21.19991,20.79151,20.82864,20.51305,20.68013,20.23459,20.10465,20.19747,19.90044,20.14177,20.30885,20.25316,20.14177,20.36454,20.82864,21.36699,22.14667,22.64789,22.75928,24.80130,26.93614,28.25417,28.86678,28.62545,27.86433,27.71582,26.78763,26.11933,25.48816,24.61566,24.15156,23.65034,27.27029,24.87555,23.81742,22.38800,22.46225,21.57119,21.34842,23.18624,21.44124,19.69624,21.19991,19.28784,18.48959,17.32007,16.61464
2011,Dee Why West 33_11kV,09MAY2010,MW,15.98347,15.25948,14.49836,18.50816,18.26683,17.43145,16.13198,15.35230,14.72113,14.23847,13.49592,13.38453,12.93900,12.64198,12.17788,12.30783,12.32639,11.76948,11.82517,12.17788,12.12219,12.47491,12.62342,13.18033,13.66299,14.57262,14.81395,15.61220,16.96736,18.30395,19.04651,20.01183,21.25560,21.81252,22.59220,22.75928,22.70358,22.92635,22.92635,22.62933,22.44369,22.35087,22.20236,22.03529,21.51550,21.68257,21.29273,20.64300,20.04895,19.99326,19.90044,19.62199,19.75193,19.28784,18.89800,18.97225,18.54528,18.80518,18.74949,18.89800,18.82374,18.97225,19.30640,19.78906,19.95614,20.66156,21.55263,21.81252,23.65034,25.87800,27.43737,27.54875,28.25417,27.86433,27.08465,26.76907,25.85944,25.50673,25.32109,24.93125,24.13300,27.79008,25.06119,24.02162,22.53651,22.61077,21.31130,20.36454,21.96103,20.43880,18.35964,19.67768,17.33863,16.46613,15.50081,14.90677
2011,Dee Why West 33_11kV,10MAY2010,MW,14.18278,13.77437,13.38453,17.41289,17.33863,16.18767,15.38943,14.94390,13.94145,13.58874,13.10608,12.86475,12.32639,12.19645,12.06650,11.95512,11.93655,12.01081,11.99224,12.69767,12.93900,13.83007,14.83251,15.92778,18.28539,20.42023,22.03529,22.38800,23.92880,24.78274,25.28396,25.24683,24.68992,23.91023,23.96593,23.53896,23.11199,23.13055,23.05630,22.75928,22.75928,22.38800,22.48082,22.25805,22.31374,21.88678,21.99816,21.97959,22.14667,22.05385,21.49693,21.60832,21.49693,21.40412,21.51550,21.31130,21.19991,21.60832,21.36699,21.34842,21.60832,21.62688,22.03529,22.35087,22.75928,23.44614,24.72704,24.89412,26.60199,29.21949,30.92737,31.26152,31.96694,31.44716,31.41003,30.85311,29.86923,29.31231,28.40269,27.90146,27.01040,30.33333,27.84577,26.69481,24.55997,24.13300,23.05630,21.92390,23.53896,22.55507,21.05140,22.36944,19.54773,18.45246,17.02305,16.26193
