year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Double Bay 132_11kV,01MAY2010,MW,25.29689,24.55721,24.03944,23.57714,22.83747,22.67104,22.02383,21.70946,21.17320,20.80336,20.35956,20.02670,20.15615,19.95274,19.95274,20.04520,20.28559,20.04520,19.82329,20.02670,20.56297,20.72940,21.28415,22.28271,23.15183,23.76206,24.53872,25.50030,28.14464,29.43907,31.10334,33.06348,34.20997,35.72631,36.28107,38.51858,39.85000,41.03348,41.21840,41.82863,41.51427,42.14299,41.34784,41.27387,41.66220,40.46023,41.51427,40.99649,40.81158,40.79308,40.77459,40.66364,40.07190,39.97944,39.12881,39.49865,39.03635,39.20278,38.92540,39.22127,39.53564,38.85144,38.68501,38.90691,38.81445,39.09183,39.53564,39.60960,41.08895,42.27243,45.00923,45.10169,43.47441,42.71624,42.66076,41.34784,40.10888,38.40763,37.18717,36.41051,35.55988,35.04211,34.37640,33.58125,32.86007,32.34229,32.13888,31.32524,31.04786,,30.04930,28.90281,27.88575,28.14464,27.09060,25.96260
2011,Double Bay 132_11kV,02MAY2010,MW,25.88863,24.94554,24.61269,24.29833,23.33675,22.57858,22.28271,21.98684,21.24717,20.76638,20.26710,20.34107,20.23011,20.21162,20.15615,19.97123,20.10067,19.91575,20.15615,19.93424,20.26710,20.72940,20.78487,21.63550,21.98684,22.00534,22.87445,23.28127,24.94554,26.11053,27.92274,29.56851,30.12327,31.93547,32.26833,33.71069,34.96814,35.50441,36.53995,37.11320,37.85287,38.09327,37.46455,38.48160,37.55700,37.66796,38.42612,37.48304,37.70494,37.88986,37.53851,37.50153,36.68789,36.74336,36.81733,37.18717,36.31805,35.67083,36.15162,36.59543,36.42900,36.65090,36.33654,36.04067,36.87281,36.92828,36.94677,37.96383,39.70206,41.58823,43.58536,44.47297,42.47584,41.90260,41.56974,40.92253,40.46023,39.20278,38.29668,37.53851,36.46598,35.87424,35.46742,34.43188,33.48879,32.87856,31.75055,31.17731,30.41914,29.82740,,27.86726,26.73926,26.25847,25.13046,24.63118
2011,Double Bay 132_11kV,03MAY2010,MW,24.35380,23.35524,22.91144,22.50462,21.87589,21.06225,20.91431,20.52598,20.08218,19.89726,19.63837,19.61988,19.52742,19.54592,19.58290,19.49044,19.71234,19.78631,20.04520,20.34107,20.74789,21.02527,21.83891,22.94842,24.96404,26.68378,29.27264,32.19436,35.76329,37.57550,39.42468,40.21984,40.75610,41.51427,41.97656,42.17997,43.03060,43.91821,44.67638,45.26812,45.28661,44.43598,44.67638,45.80438,45.19415,45.12018,44.63939,44.47297,44.50995,44.43598,44.62090,44.56543,44.23257,44.02916,44.38051,44.41749,44.32503,43.52988,43.73329,43.52988,43.10457,43.51139,43.45591,43.47441,43.80726,43.82575,43.95519,45.04622,,48.02341,48.50420,48.17134,45.97081,45.84137,45.82287,44.76884,42.95663,42.14299,41.73617,40.92253,39.70206,38.81445,37.76042,36.90979,35.67083,34.96814,34.09902,,31.82452,,,28.86582,27.38647,26.70227,25.98109,24.96404
2011,Double Bay 132_11kV,04MAY2010,MW,24.39079,23.09636,23.00390,22.56009,22.15327,21.74645,21.21018,20.71090,20.56297,19.97123,20.00821,19.69385,19.74933,19.86028,19.61988,19.56441,19.76782,19.67536,20.02670,20.10067,20.58146,21.28415,22.26422,23.33675,25.57427,26.96116,29.62399,32.28682,35.85575,38.14874,40.12738,40.60816,41.19990,41.19990,41.93958,42.75322,42.90116,44.26956,44.84280,44.87979,44.54693,44.62090,45.12018,44.78733,44.32503,44.99074,44.67638,45.21264,44.26956,44.54693,44.41749,44.01067,44.08464,44.19559,43.97369,44.32503,44.41749,44.10313,44.04765,43.89972,43.25250,43.28949,43.58536,43.60385,43.88123,43.82575,44.15861,44.49146,45.32359,47.57960,48.02341,48.07888,46.61802,45.23113,44.91677,44.25106,42.67925,41.71768,41.05197,40.47872,39.70206,38.42612,37.77891,36.55844,35.54139,34.98663,33.95109,32.84158,31.88000,,30.08629,28.53297,27.10909,26.70227,25.96260,24.90856
2011,Double Bay 132_11kV,05MAY2010,MW,24.35380,24.92705,22.92993,22.57858,22.09779,21.69097,21.09923,20.56297,20.11916,19.91575,19.47195,19.71234,19.82329,19.50893,19.56441,19.47195,19.49044,19.37949,19.82329,19.97123,20.52598,21.02527,22.00534,23.54016,25.61125,27.01663,29.58701,31.99095,36.22559,38.31517,39.83151,40.55269,40.57118,41.18141,41.82863,42.38338,42.95663,43.88123,43.93670,44.34352,44.84280,44.23257,44.15861,43.88123,43.40044,43.21552,43.38195,44.23257,44.04765,43.64083,43.58536,43.21552,43.58536,42.84568,43.01211,42.95663,42.54981,42.38338,42.47584,42.30942,41.79164,41.84712,41.73617,41.69919,41.34784,42.08751,43.14155,43.19703,,46.59953,48.04190,47.78301,46.72898,46.48858,46.30366,45.43454,44.15861,43.49290,42.99362,41.82863,41.19990,39.88698,39.57262,38.44461,37.18717,36.52146,35.54139,,,32.47174,31.51016,30.14176,28.81035,27.79329,26.99814,25.96260
2011,Double Bay 132_11kV,06MAY2010,MW,25.55578,24.46475,23.85452,23.24429,22.72652,22.26422,21.52455,21.24717,20.87733,20.63694,20.67392,20.15615,20.11916,20.00821,20.17464,20.21162,20.11916,20.10067,20.65543,20.78487,21.30264,21.96835,22.74501,24.27984,26.72076,28.07067,30.32668,33.21141,36.96526,38.99937,40.94102,41.42181,41.84712,41.55125,42.30942,42.10601,43.28949,43.49290,44.21408,44.19559,44.15861,44.80582,43.69631,43.58536,43.17854,43.06758,42.99362,43.41893,42.88267,43.14155,42.73473,42.60529,41.92109,42.19847,42.56830,42.19847,42.29093,41.88410,41.79164,41.56974,41.51427,41.32935,41.60673,41.68069,42.06902,42.27243,42.88267,43.40044,45.12018,47.20977,48.20833,48.55967,48.37475,48.22682,49.13292,48.44872,47.09881,47.28373,46.32215,45.69343,44.80582,44.43598,43.62234,42.08751,39.94246,37.77891,36.63241,35.68932,33.95109,32.95253,31.60262,29.99383,28.58844,28.08916,27.18306,25.94411
2011,Double Bay 132_11kV,07MAY2010,MW,25.46332,24.26134,23.83603,23.24429,22.81898,22.41216,21.78343,21.33963,20.78487,20.85884,20.17464,20.37805,20.32257,20.10067,19.95274,20.08218,20.15615,20.43353,20.43353,20.65543,20.95130,21.93137,23.00390,24.03944,26.18450,28.16313,30.88144,33.67371,36.85431,38.37065,40.55269,41.21840,41.77315,42.06902,41.77315,43.14155,43.64083,43.97369,44.23257,43.60385,44.10313,44.08464,43.91821,44.19559,43.88123,43.52988,43.71480,43.56687,43.69631,43.65932,43.49290,43.06758,43.06758,42.91965,43.12306,42.49434,42.56830,42.36489,42.36489,41.97656,42.19847,42.01355,42.29093,42.23545,41.99506,42.56830,43.32647,43.82575,45.23113,47.30222,48.11587,48.09738,47.54262,47.74603,47.02485,46.00779,43.14155,41.81014,41.12594,40.20134,39.16580,38.31517,37.63097,36.85431,35.76329,34.78322,34.54283,34.09902,33.21141,32.37928,31.41770,30.17875,28.90281,28.36654,27.58988,26.35093
2011,Double Bay 132_11kV,08MAY2010,MW,26.05506,25.11197,24.35380,23.91000,23.31826,22.98540,22.02383,21.63550,21.46907,21.21018,20.47051,20.52598,20.30408,20.06369,20.26710,20.08218,20.21162,20.06369,20.23011,20.48900,20.80336,20.98828,21.70946,22.20875,23.81754,24.26134,25.18594,26.09204,27.84877,29.36510,31.21429,33.56276,34.32093,36.22559,37.50153,39.03635,40.33079,40.34928,41.84712,41.16292,41.44030,41.14443,41.08895,40.86705,40.57118,40.34928,40.14587,40.53420,40.21984,39.92397,39.68357,39.60960,39.12881,39.35072,39.09183,39.25826,38.57406,38.18573,38.20422,37.96383,38.38914,37.96383,38.55557,38.25970,38.18573,38.68501,39.25826,40.16436,42.10601,44.34352,45.39756,45.89684,44.58392,44.12162,43.16004,42.21696,40.31229,39.01786,38.35216,37.53851,36.66939,35.65234,35.04211,34.45037,33.72919,33.10046,32.60118,,,31.01088,30.43763,29.27264,28.16313,27.86726,26.92417,26.64680
2011,Double Bay 132_11kV,09MAY2010,MW,26.23998,25.27840,24.68666,24.44626,23.78056,23.04088,22.65255,22.00534,21.58002,21.21018,20.96979,20.48900,20.54448,20.19313,20.24861,19.93424,20.10067,20.21162,20.35956,20.19313,20.54448,20.91431,21.37661,21.58002,22.28271,22.46763,23.29977,24.44626,25.18594,26.36942,27.84877,29.38359,31.19580,31.93547,32.78610,33.85863,35.65234,36.17011,36.18861,37.81589,38.53707,38.66652,38.25970,38.00081,37.96383,37.92684,38.07478,37.72343,37.37209,37.59399,36.98376,36.83582,36.35503,36.57694,35.83726,36.13313,35.70782,35.68932,35.85575,35.89274,35.89274,36.00369,36.02218,36.13313,36.28107,36.37352,37.15018,38.07478,,42.08751,43.69631,44.21408,43.04909,41.84712,41.29236,40.71912,40.33079,39.81301,38.86993,38.20422,37.46455,37.07622,35.94821,35.19004,34.22847,33.85863,32.43475,31.73206,30.69652,30.51160,29.32812,27.94123,26.90568,26.29545,25.24141,24.46475
2011,Double Bay 132_11kV,10MAY2010,MW,24.13190,23.57714,22.92993,22.44914,21.74645,21.13622,20.93281,20.34107,20.32257,20.04520,19.91575,19.73083,19.78631,19.41647,19.47195,19.39798,19.69385,19.39798,19.80480,19.93424,20.69241,21.11772,22.20875,23.02239,25.11197,27.12759,29.51304,32.63817,36.57694,38.35216,40.25682,40.70062,40.99649,41.14443,41.90260,42.08751,42.80870,44.01067,44.17710,44.67638,44.10313,44.08464,44.49146,44.38051,44.28805,44.06615,43.62234,44.02916,44.08464,43.67782,43.16004,43.41893,43.14155,43.19703,43.21552,43.43742,43.04909,43.34496,42.69775,42.79021,42.49434,42.88267,42.25394,41.95807,42.88267,42.99362,43.43742,44.54693,45.98930,47.94944,49.22538,49.18840,47.19127,46.17422,45.80438,45.02772,43.65932,42.62378,42.30942,41.05197,39.81301,38.83294,38.62953,37.63097,36.22559,35.17155,34.67227,33.21141,31.93547,31.12183,29.69796,28.75487,27.25703,26.88719,25.98109,24.81610
2011,Double Bay 132_11kV,11MAY2010,MW,24.42777,23.66960,22.80049,22.50462,22.09779,21.94986,20.98828,20.78487,20.35956,20.24861,20.15615,19.78631,19.60139,19.69385,19.32401,19.23155,19.41647,19.65687,19.52742,20.21162,20.59995,21.26566,22.35668,22.98540,25.51879,27.62687,29.56851,32.52721,36.41051,38.68501,40.12738,40.44174,40.70062,40.81158,41.56974,42.27243,42.93814,43.88123,43.78877,44.75035,44.36202,44.23257,44.23257,44.47297,43.80726,44.01067,44.04765,44.04765,43.67782,43.40044,43.19703,42.99362,43.08608,43.47441,42.91965,43.47441,43.38195,42.75322,42.21696,42.86417,42.32791,42.12450,42.06902,42.25394,42.69775,42.69775,42.99362,44.04765,46.30366,47.37619,47.96793,47.72754,45.43454,44.84280,44.58392,43.84424,42.86417,41.53276,41.03348,39.94246,39.11032,38.33366,38.09327,36.85431,36.04067,35.28250,34.37640,33.17443,,31.34373,29.84589,28.75487,27.62687,26.66529,25.87014,25.11197
2011,Double Bay 132_11kV,12MAY2010,MW,24.83459,23.72508,23.09636,22.74501,22.15327,21.59851,20.96979,20.67392,20.41503,20.08218,19.63837,19.52742,19.52742,19.63837,19.50893,19.56441,19.71234,19.93424,20.21162,20.52598,20.95130,21.78343,22.37517,24.09492,26.14752,27.97821,30.36366,33.72919,37.35359,39.20278,40.46023,40.77459,41.58823,41.82863,42.08751,42.32791,43.32647,43.67782,43.80726,43.47441,43.65932,43.65932,43.58536,43.51139,43.21552,42.45735,42.97512,42.45735,42.49434,42.62378,42.56830,42.05053,41.66220,41.64371,42.23545,42.06902,41.79164,42.05053,41.45879,41.44030,41.34784,41.18141,41.47728,41.73617,42.27243,42.34640,43.23401,44.52844,46.35914,48.83705,49.53974,49.68768,48.00492,47.94944,47.30222,47.06183,45.58248,45.00923,44.87979,43.82575,42.75322,42.14299,41.21840,40.23833,39.20278,38.59255,37.39058,36.17011,34.78322,34.09902,,31.28826,29.79042,28.82884,27.92274,27.07211
2011,Double Bay 132_11kV,13MAY2010,MW,26.03656,24.98253,24.24285,23.63262,23.20731,22.80049,22.31970,21.78343,21.56153,21.19169,20.78487,20.96979,20.91431,20.76638,20.67392,20.72940,20.58146,20.78487,21.06225,21.35812,22.02383,22.81898,23.61413,25.05649,27.44195,29.10622,31.56564,34.70926,38.81445,41.08895,42.23545,43.47441,43.21552,42.86417,43.67782,43.89972,44.34352,44.60241,45.74891,45.43454,44.62090,45.63796,44.34352,44.28805,44.14011,44.43598,43.95519,43.60385,43.58536,43.06758,42.86417,42.40188,42.64227,42.95663,42.91965,42.91965,42.58680,42.38338,42.69775,41.07046,41.84712,42.19847,42.01355,42.75322,43.27099,43.69631,44.32503,45.54550,46.96937,49.37331,50.74171,50.88965,50.81568,51.09306,50.77870,51.37044,50.33489,49.72466,48.61515,47.33921,47.20977,46.08176,45.43454,43.64083,41.49577,39.77603,38.37065,37.05772,34.94965,34.04355,32.74912,31.10334,29.45756,28.56995,27.71933,26.79473
