year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Edgeworth 33_11kV,01MAY2010,MW,9.29464,9.20081,8.93528,9.61481,9.26389,8.84888,8.17979,7.52987,8.15784,8.23129,7.88296,7.44800,6.79682,6.87898,6.77456,6.63676,6.51901,6.27633,6.00429,6.06527,6.54945,6.84660,6.94874,6.73549,6.96005,6.95755,7.12545,7.24842,7.36622,7.64441,8.37817,8.94500,9.41573,9.50190,9.21307,8.85508,8.81916,8.89195,8.77659,8.65332,8.50251,8.76904,8.79119,8.96224,8.52304,8.43804,8.48632,8.83103,8.55701,8.38588,8.47736,8.22831,7.92584,8.09355,8.05979,7.97874,7.89153,8.23421,8.34989,8.02779,8.21439,8.00843,7.54405,7.38435,7.48915,7.60021,7.67523,7.72774,8.03129,8.43970,8.91395,8.94985,9.08301,8.89028,8.72273,8.45998,8.36149,8.32379,8.19675,7.99925,7.80302,7.71228,7.65654,7.55387,7.40356,7.23715,8.25953,7.98600,7.65320,7.34723,7.60526,7.24818,7.79042,7.52448,7.01106,7.08241
2011,Edgeworth 33_11kV,02MAY2010,MW,7.39318,6.88319,6.96037,7.81409,7.06709,6.43142,6.12437,5.85522,6.10191,5.90727,5.65314,5.53384,5.45087,5.34319,5.23798,5.29299,5.28504,5.18031,5.23297,5.24593,5.43556,5.43593,5.51413,5.61880,5.76118,5.61631,5.36932,5.86615,5.94810,6.00849,6.23505,6.41974,6.56677,6.90449,7.25097,7.52171,7.55266,7.48604,7.45498,7.40107,7.45926,7.37358,7.15295,6.94582,6.93053,7.04766,7.01439,6.80960,6.80696,6.82992,6.74343,6.77182,6.63633,6.69715,6.69797,6.90279,6.78852,7.21244,7.18682,7.30420,7.35024,7.34848,7.37581,7.33761,7.31862,7.54416,7.73900,7.94128,8.50610,8.92344,9.48855,9.52717,9.57232,9.44022,9.27020,8.99177,8.84385,9.08468,9.04527,8.85715,8.62010,8.39501,8.29384,8.22338,8.04480,7.82032,8.79930,8.65624,8.22027,7.83818,8.25322,8.15203,8.67989,8.28701,7.83708,8.03005
2011,Edgeworth 33_11kV,03MAY2010,MW,8.24498,7.86221,7.90714,8.72606,8.07658,7.25070,7.14254,7.51608,7.19506,6.75968,6.29672,6.34063,6.62894,6.28131,6.11262,6.35771,6.38823,6.17775,6.04255,6.11993,6.46828,6.69108,6.80248,6.97748,7.37723,8.01548,8.28445,8.06190,7.79270,8.40294,8.61252,8.96138,8.94454,8.38986,8.10735,8.25203,8.10459,7.63908,7.37060,7.12741,7.35478,7.33319,7.12625,7.24392,7.19421,7.40876,7.76879,7.86049,7.79198,7.37154,7.52171,7.49325,7.23220,7.10632,7.12366,6.97235,6.70288,6.64084,6.88689,7.07593,7.17507,6.70239,7.10673,7.06194,7.21363,7.47495,7.81753,8.19800,8.61581,9.20338,9.72341,9.69764,9.61493,9.44030,9.22169,8.95104,8.82135,8.79732,8.57423,8.45454,8.32054,8.28899,8.12348,7.99285,7.82193,7.77684,7.86110,7.74938,9.01563,8.91655,8.84389,8.68017,8.39661,7.72929,7.72234,8.21277
2011,Edgeworth 33_11kV,04MAY2010,MW,8.76469,8.38155,8.49685,9.17037,8.89895,8.48242,8.46193,8.56281,8.07617,7.42652,7.09941,6.89712,6.44051,6.36494,6.36249,6.00624,5.84692,6.04468,6.18626,6.26138,6.25758,6.56634,6.87255,7.46339,7.82984,7.85766,7.92513,7.59395,7.66830,8.04371,8.31086,7.92568,7.95911,8.11468,7.88460,7.66929,7.41702,7.29811,7.31057,7.22555,7.04713,6.98165,7.09991,7.14944,7.31965,7.32043,7.16751,7.03797,7.15664,7.28112,7.18851,7.23438,7.19996,7.09126,6.93355,7.19466,7.44861,7.66497,7.56833,7.02048,7.56777,7.83927,7.41139,7.35644,7.31429,7.43518,7.61452,7.79767,8.23994,8.81472,9.34647,9.40799,9.50776,9.30038,9.05579,8.93251,8.82467,8.83335,8.71632,8.56052,8.35183,8.43347,8.33469,8.20729,8.04705,7.87291,7.82386,7.72057,9.08651,9.23019,9.10459,8.90339,9.04449,8.49467,8.47742,8.73204
2011,Edgeworth 33_11kV,05MAY2010,MW,9.19084,8.88491,8.99944,9.60973,8.91150,8.13390,7.77192,8.00478,7.82911,7.66175,7.34255,7.17304,6.43351,6.19125,6.25979,6.12839,6.07214,6.00425,5.95914,6.26827,6.65344,6.87560,7.05858,6.95254,7.56613,8.01998,8.23006,7.85522,7.63755,7.87619,8.40760,8.60166,8.71477,8.30961,7.74649,7.73604,7.83124,7.56390,7.31790,7.51487,7.38069,7.24785,6.93507,7.03791,7.75919,7.65347,7.58209,7.43689,7.20591,7.11563,7.15182,7.24112,7.25083,7.38759,7.61609,7.62222,7.55788,7.51875,7.51133,7.30932,7.19110,7.30301,7.26264,7.33859,7.16842,7.29896,7.51924,7.71634,8.25957,8.90089,9.48803,9.42591,9.54101,9.53269,9.26626,9.06097,8.96231,8.91176,8.63156,8.62250,8.78629,8.55216,8.42781,8.35959,8.15963,8.15731,8.24388,8.02407,9.24797,9.29046,9.04207,8.87562,8.68655,8.38613,8.54352,8.95653
2011,Edgeworth 33_11kV,06MAY2010,MW,9.37224,9.13423,8.72493,9.26815,9.10096,8.74940,8.15201,8.46662,8.17966,7.73584,7.18804,6.99357,6.85363,6.69521,6.48821,6.22842,6.13317,6.21357,6.51450,6.45429,6.69196,6.74629,7.32961,7.69502,7.99040,8.02173,8.63184,8.11206,8.30668,8.74837,9.14224,9.45709,8.97112,8.61102,8.30681,8.23039,8.10714,7.73620,7.40424,7.38311,7.46872,7.49999,7.28222,7.27866,7.68459,7.51706,6.83277,7.13292,7.42898,7.11005,6.92313,7.26920,7.24989,6.71881,6.71293,6.90943,7.08296,7.03172,7.06753,7.09326,7.19533,7.32174,7.11614,7.02338,7.06278,7.16314,7.65472,7.96400,8.25452,9.03805,9.65720,9.66601,9.61351,9.67117,9.75708,9.83117,9.88181,9.99813,9.60340,9.46880,9.36826,9.12819,9.08534,9.04860,8.88652,8.74252,8.70209,8.58435,9.72621,9.57757,9.46444,9.57301,9.64788,9.15121,8.76210,8.84506
2011,Edgeworth 33_11kV,07MAY2010,MW,9.59114,9.40064,9.37482,10.01875,9.62468,9.04654,8.73642,9.36703,8.71576,8.20228,7.46124,7.10357,6.91983,6.66829,6.89445,6.57535,6.64374,6.11460,6.12681,6.54471,6.79882,7.07297,7.46370,7.65638,7.81243,8.05284,8.45730,8.67519,8.83332,9.35565,9.92583,10.02130,9.63943,9.25008,8.90727,8.12515,8.38961,8.30474,8.36338,8.29353,7.74043,7.60176,7.77492,7.60139,7.47344,7.60968,7.34050,7.41020,7.46177,7.32578,7.34420,7.14371,7.31861,7.59231,7.86414,7.65829,7.23386,7.09809,7.08115,7.35193,7.35675,7.39890,7.28733,7.16741,7.24420,7.45275,7.87345,8.05492,8.46504,9.09084,9.51230,9.62610,9.76397,9.83330,9.66425,9.48968,9.37092,9.40553,9.16579,9.16160,9.09866,8.93558,8.89348,8.66114,8.65564,8.38774,8.42192,8.41064,9.71982,9.54172,9.29920,9.25323,9.44436,8.97279,8.60398,8.72764
2011,Edgeworth 33_11kV,08MAY2010,MW,9.26776,9.29998,9.32775,9.58627,9.27872,8.80918,8.24457,7.85694,8.56894,8.45128,7.73353,7.09327,6.92224,6.68183,6.62627,6.67810,6.52947,6.43899,6.33985,6.33227,6.48510,6.44958,6.55411,6.53957,6.84213,7.36801,7.55187,7.70786,8.03735,8.83291,9.69354,10.15900,9.97866,9.83202,9.52327,9.34119,9.24664,9.21025,9.25821,8.75473,8.49335,8.29109,8.15877,8.15347,7.93055,7.81827,7.79248,7.79806,7.37672,7.28349,7.36622,7.25070,7.10291,7.07692,6.97531,7.09862,7.03064,7.16535,7.16131,7.31628,7.40243,7.21144,7.09727,6.94197,7.19357,7.39454,7.40473,7.48391,8.01064,8.56556,9.07794,8.84645,9.01923,8.84578,8.81186,8.60254,8.50317,8.62519,8.46902,8.27765,8.08107,8.07963,8.06590,7.91474,7.81442,7.70359,8.73444,8.55884,8.19642,7.73915,8.00392,7.70031,8.27219,7.89987,7.23102,7.31181
2011,Edgeworth 33_11kV,09MAY2010,MW,7.52548,7.09519,7.09887,7.86719,7.20583,6.60975,6.25303,5.93397,6.12341,6.03768,5.72910,5.51269,5.44727,5.32894,5.27823,5.16030,5.19264,5.15405,5.23017,5.29056,5.41300,5.50008,5.57287,5.56829,5.81806,6.02079,6.08942,6.38939,6.80660,7.18028,7.72734,7.96162,8.12948,8.55719,8.62176,8.56329,8.66410,8.54557,8.40884,8.32446,8.17555,8.04682,7.78036,7.59424,7.57084,7.39829,7.18015,7.09258,6.99825,6.87734,6.72276,6.56163,6.64086,6.77696,6.69185,6.63927,6.53306,6.48685,6.51880,6.62578,6.62555,6.75732,6.77366,6.94556,7.08263,7.23659,7.45804,7.50183,7.97961,8.63569,8.99008,8.83289,8.93274,8.86629,8.87077,8.74667,8.73542,8.87099,8.78377,8.65265,8.48587,8.39310,8.39592,8.13313,8.04212,7.85375,8.72975,8.40723,8.07837,7.73575,7.99645,7.63773,8.17880,8.22435,7.64847,7.70242
2011,Edgeworth 33_11kV,10MAY2010,MW,7.79066,7.38803,7.43760,8.26969,7.83533,7.07749,6.99242,7.23284,6.63768,6.27848,5.89028,5.69213,5.86466,5.88168,5.82475,5.82865,5.80758,5.95956,6.37070,6.33250,6.17855,6.82220,7.19505,7.19809,7.92833,8.15630,8.28612,8.28169,8.33585,8.52066,8.64902,8.68721,8.72179,8.67326,8.35836,7.87717,8.01010,7.88638,7.81652,7.50487,7.55964,7.35451,7.28901,7.10546,7.53916,7.58164,7.47962,7.31041,7.58124,7.50404,7.47089,7.39674,7.11088,7.01787,7.19342,7.47725,7.55755,7.51725,7.34877,7.56608,7.43956,7.66252,7.42040,7.30443,7.40935,7.67620,7.99223,8.32756,8.90796,9.63113,10.04904,9.89210,9.93706,9.84092,9.51138,9.43405,9.15493,9.16394,8.86395,8.58339,8.58686,8.47220,8.35819,8.17185,7.92237,7.83360,7.79790,7.71116,9.06956,9.11900,8.91849,8.52689,8.61108,8.05879,7.99424,8.43897
