year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Erina 66_11kV,01MAY2010,MW,12.42422,15.23864,13.86846,12.70196,11.27623,13.77588,13.03524,12.25757,11.25771,10.60965,10.03566,9.57276,9.12837,9.03579,8.81360,8.90618,8.79509,8.64696,8.68399,8.90618,9.05431,9.07283,9.22095,9.55424,10.10972,10.23933,10.68371,10.68371,11.46139,12.01686,12.68344,14.01659,14.44246,15.10903,15.86819,16.86805,17.90494,17.60869,17.16430,16.84953,17.83088,17.96049,17.81236,18.33081,18.03455,18.14565,18.16417,18.44191,18.44191,18.34933,18.31229,18.21971,18.33081,18.46042,18.07159,18.03455,17.68275,17.79385,17.53462,17.71978,17.42353,17.27540,17.42353,17.21985,17.44204,17.66424,18.05307,18.03455,17.94197,17.46056,17.84940,17.88643,17.42353,16.68289,16.23851,15.73857,15.23864,14.83129,14.59058,14.33136,14.96090,14.59058,14.59058,13.53517,13.60924,13.07227,12.75750,12.05390,12.12796,14.49800,14.22026,13.27595,14.73871,13.66479,14.62762,13.60924
2011,Erina 66_11kV,02MAY2010,MW,12.59086,15.01645,13.77588,12.38718,11.38732,13.57221,12.79454,12.12796,11.42435,10.57262,9.92456,9.40611,9.01728,8.88767,8.77657,8.64696,8.51735,8.62844,8.57289,8.59141,8.90618,9.05431,9.05431,9.10986,9.38760,9.31353,9.92456,10.20230,10.46152,10.79481,11.20216,12.14648,12.97969,13.47963,13.68330,14.09065,14.46097,14.49800,15.47935,16.21999,16.70140,16.96063,17.33095,17.42353,17.03469,16.97914,17.21985,17.31243,17.42353,17.03469,16.62734,16.90508,17.25688,17.34946,17.40501,17.10876,16.99766,17.03469,17.73830,17.71978,17.83088,17.59017,17.49759,17.62720,17.16430,16.84953,16.53476,16.40515,16.49773,16.81250,17.55314,16.84953,16.86805,16.96063,16.44218,15.33122,15.23864,14.73871,14.40542,14.20175,14.84981,14.09065,14.46097,13.66479,13.68330,12.86860,12.44273,11.83170,11.73912,14.09065,13.47963,12.47976,14.07214,13.01673,14.05362,13.03524
2011,Erina 66_11kV,03MAY2010,MW,11.96132,14.57207,13.27595,11.86874,11.01700,13.35001,12.75750,11.99835,11.23919,10.36894,9.81346,9.25798,8.98025,8.92470,8.60993,8.70251,8.81360,8.59141,8.85063,9.27650,9.40611,9.73940,9.92456,10.62817,11.38732,12.38718,12.70196,12.03538,13.09079,13.49814,14.20175,15.90522,16.44218,16.27554,16.51625,17.44204,18.40487,18.29378,18.70113,18.79371,18.62707,18.83074,19.08997,19.70099,19.53435,19.40474,19.36770,19.44177,19.73802,19.58990,19.58990,19.55286,19.53435,19.66396,19.12700,19.47880,19.23809,19.21958,18.86777,19.23809,19.18254,19.08997,19.49732,19.60841,19.60841,19.92318,20.20092,20.47866,20.77492,20.64531,20.21944,19.47880,19.07145,18.53449,17.70127,17.36798,16.86805,16.31257,15.96077,15.60896,15.83115,15.27568,15.31271,14.38691,14.33136,13.92401,13.22040,12.38718,12.33164,14.51652,13.96104,12.83157,14.34988,13.14634,14.31284,12.94266
2011,Erina 66_11kV,04MAY2010,MW,11.94280,14.68316,13.33150,12.27609,11.03552,13.40556,12.68344,11.86874,10.85036,10.09120,9.79495,9.16541,8.90618,8.66547,8.55438,8.70251,8.86915,8.88767,8.83212,9.18392,9.42463,9.79495,10.14675,10.77629,11.77616,12.29460,12.96118,12.23906,13.09079,13.66479,14.33136,15.86819,16.09038,16.29405,16.88656,17.53462,18.10862,18.31229,18.71965,19.01590,18.71965,19.20106,19.18254,19.42325,19.42325,19.66396,19.60841,19.96022,19.96022,20.14538,20.03428,20.16389,19.60841,19.36770,19.46028,19.38622,19.27512,19.44177,19.27512,19.31216,19.21958,19.44177,19.58990,19.83060,19.70099,20.16389,20.25647,19.94170,20.16389,19.97873,19.31216,18.90481,18.29378,17.64572,17.40501,17.12727,16.49773,16.10889,15.94225,15.64599,16.10889,15.42380,15.77561,14.86832,14.46097,13.90549,13.07227,12.10944,12.70196,14.60910,14.03511,12.81305,14.51652,13.18337,14.20175,12.81305
2011,Erina 66_11kV,05MAY2010,MW,11.68358,14.44246,13.29447,11.83170,10.88739,13.38705,12.46125,11.44287,10.60965,10.03566,9.57276,9.23947,8.81360,8.75805,8.75805,8.64696,8.68399,8.73954,8.86915,9.22095,9.38760,9.77643,9.86901,10.64668,11.72061,11.96132,12.97969,12.22054,13.14634,14.05362,14.47949,16.07186,15.79412,15.81264,16.55328,17.12727,17.47908,18.09010,18.60855,18.57152,18.29378,18.75668,18.47894,18.77519,18.97887,18.70113,18.77519,19.20106,19.16403,19.29364,19.03442,19.58990,19.03442,18.77519,18.86777,18.47894,18.77519,18.29378,18.23823,18.14565,18.01604,18.14565,18.20120,18.23823,18.49745,18.86777,19.31216,19.57138,19.79357,19.97873,19.84912,19.40474,18.94184,18.38636,17.84940,17.68275,17.21985,16.77547,16.21999,15.90522,16.62734,16.18296,16.25702,15.38677,15.57193,14.88684,13.84995,13.03524,13.22040,15.12755,14.73871,13.23892,14.72020,13.68330,14.72020,13.66479
2011,Erina 66_11kV,06MAY2010,MW,12.20202,14.68316,13.72033,12.40570,11.46139,13.77588,12.83157,12.33164,11.05403,10.49855,10.22082,9.53572,9.48018,9.01728,8.88767,8.86915,8.83212,8.92470,9.12837,9.48018,9.49869,10.22082,10.64668,11.64655,12.75750,13.14634,14.20175,14.36839,15.05348,16.03483,16.86805,18.10862,17.60869,17.81236,18.47894,19.08997,19.18254,18.62707,18.33081,18.03455,18.09010,18.03455,17.55314,17.55314,17.71978,17.73830,17.79385,17.90494,17.94197,17.92346,17.90494,17.88643,17.79385,17.59017,18.12713,18.14565,18.12713,17.83088,18.01604,18.05307,17.92346,18.01604,18.12713,18.23823,18.81223,19.07145,19.34919,19.55286,20.03428,21.20079,21.94142,22.03400,21.86736,21.79330,21.14524,21.21930,20.73789,20.66382,20.10834,19.70099,20.20092,19.73802,20.01576,18.77519,18.25675,16.47921,15.34974,14.38691,14.18323,16.21999,15.59045,14.25730,15.57193,14.33136,14.97942,13.79440
2011,Erina 66_11kV,07MAY2010,MW,12.66492,15.10903,13.96104,12.85008,11.85022,14.07214,13.14634,12.51680,11.35029,10.81333,10.01714,9.66534,9.38760,9.12837,8.94321,9.22095,8.88767,8.96173,9.01728,9.72088,9.90604,10.18378,10.49855,11.33177,12.23906,13.16485,14.07214,13.29447,14.77574,15.84967,16.31257,17.83088,18.40487,18.64558,18.70113,18.88629,18.64558,18.36784,18.57152,18.49745,18.42339,18.33081,18.20120,18.88629,18.96035,18.18268,18.51597,18.81223,18.73816,18.66410,18.62707,18.59003,18.84926,18.71965,18.75668,18.47894,18.75668,18.92332,19.03442,18.70113,18.88629,18.64558,18.79371,18.70113,18.86777,19.42325,19.46028,19.31216,19.83060,20.42311,20.58976,20.34905,20.57124,20.47866,19.77506,19.34919,18.46042,17.53462,17.27540,16.62734,17.21985,17.03469,17.31243,16.07186,16.55328,15.60896,14.49800,13.96104,14.23878,16.40515,15.75709,14.07214,15.72006,14.47949,15.72006,14.29433
2011,Erina 66_11kV,08MAY2010,MW,13.07227,15.44232,14.34988,12.92415,12.05390,14.25730,13.46111,12.62789,11.53545,10.79481,10.42449,9.77643,9.35056,9.14689,8.94321,8.99876,8.92470,8.94321,8.81360,9.09134,9.20244,9.36908,9.60979,9.90604,10.62817,11.03552,11.79467,11.66506,12.90563,13.75737,14.46097,16.29405,16.77547,17.33095,18.09010,18.51597,18.36784,17.96049,17.83088,17.33095,17.51611,17.38650,17.70127,17.27540,17.59017,17.42353,17.59017,17.84940,17.40501,17.53462,17.27540,17.46056,17.64572,17.53462,17.10876,17.33095,17.18282,17.23837,17.10876,17.21985,16.96063,17.25688,17.16430,17.16430,17.27540,17.47908,18.10862,17.86791,17.62720,17.34946,17.79385,17.42353,17.31243,16.99766,16.70140,16.18296,15.94225,15.68303,15.25716,15.01645,15.57193,14.88684,15.34974,14.42394,14.66465,13.83143,13.36853,12.94266,13.05376,15.20161,14.86832,13.75737,15.42380,14.29433,15.31271,14.23878
2011,Erina 66_11kV,09MAY2010,MW,13.12782,15.47935,14.20175,12.83157,12.07241,14.10917,13.38705,12.62789,11.57248,10.96145,10.14675,9.79495,9.23947,8.96173,9.07283,9.07283,8.75805,8.59141,8.77657,8.72102,8.98025,9.20244,9.42463,9.51721,9.99862,10.23933,10.55410,10.77629,11.33177,12.20202,12.83157,14.31284,15.10903,15.62748,15.51638,15.83115,15.79412,15.88670,16.68289,16.84953,17.09024,17.14579,17.09024,17.21985,17.25688,17.34946,16.96063,16.92360,16.99766,17.03469,16.86805,16.86805,16.70140,16.47921,16.60883,16.21999,16.23851,16.53476,16.44218,16.27554,16.59031,16.47921,16.33109,16.25702,15.84967,15.29419,15.55341,15.73857,16.12741,16.10889,16.64586,16.34960,16.14593,15.86819,15.77561,15.23864,15.20161,15.05348,14.79426,14.51652,15.34974,14.53504,14.77574,13.72033,14.01659,13.20189,12.60938,12.09093,12.42422,14.46097,13.94253,12.94266,14.55355,13.36853,14.49800,13.31298
2011,Erina 66_11kV,10MAY2010,MW,12.36867,14.96090,13.79440,12.51680,11.47990,13.81291,13.09079,12.33164,11.59100,10.72075,10.16527,9.62830,9.31353,9.07283,9.03579,8.60993,8.79509,8.70251,8.92470,9.12837,9.49869,9.88753,10.36894,11.03552,12.10944,12.75750,13.51666,13.05376,13.96104,14.66465,15.34974,16.99766,17.31243,17.12727,17.46056,18.23823,18.01604,17.88643,17.96049,17.71978,17.59017,18.57152,17.64572,17.96049,17.51611,17.46056,17.60869,17.73830,17.84940,17.94197,17.77533,17.84940,18.03455,18.81223,18.66410,19.14551,19.14551,18.84926,18.70113,18.92332,18.88629,18.60855,19.14551,19.03442,19.33067,19.53435,19.70099,19.92318,20.47866,21.01563,20.23796,19.38622,18.73816,18.53449,18.05307,17.36798,17.03469,16.70140,15.60896,15.59045,15.99780,15.70154,15.47935,14.64613,15.16458,14.07214,13.09079,12.46125,12.53531,14.70168,14.20175,12.96118,14.55355,13.38705,14.23878,13.05376
2011,Erina 66_11kV,11MAY2010,MW,12.16499,14.62762,13.51666,12.14648,11.42435,13.68330,12.73899,12.10944,10.97997,10.42449,9.92456,9.53572,9.22095,8.77657,8.75805,8.88767,8.86915,8.92470,9.07283,9.10986,9.27650,9.90604,10.07269,11.05403,12.03538,13.05376,13.55369,12.92415,14.03511,14.84981,15.38677,17.09024,17.09024,17.49759,17.64572,18.16417,18.64558,18.44191,18.12713,17.62720,18.14565,18.29378,18.70113,18.60855,18.59003,18.34933,18.40487,19.03442,19.07145,19.38622,19.23809,19.29364,19.55286,19.14551,19.34919,19.23809,19.64544,19.57138,19.34919,19.40474,19.27512,19.42325,18.88629,19.36770,19.71951,19.25661,19.68248,19.62693,19.84912,20.79343,20.68234,19.38622,19.23809,18.40487,17.92346,17.83088,17.47908,17.20134,16.71992,16.64586,16.96063,16.62734,16.92360,15.88670,16.12741,15.31271,14.55355,13.90549,14.05362,16.05335,15.62748,14.07214,15.60896,14.29433,15.25716,14.09065
2011,Erina 66_11kV,12MAY2010,MW,12.86860,15.64599,14.59058,13.25743,12.40570,14.53504,13.77588,12.96118,11.90577,11.42435,10.68371,10.44301,10.25785,9.92456,9.90604,10.10972,9.94308,9.90604,10.12824,10.35043,10.88739,10.72075,10.83184,11.42435,12.18351,13.20189,14.01659,13.35001,14.59058,15.27568,15.96077,17.60869,17.84940,17.64572,18.14565,18.81223,18.77519,18.38636,17.84940,18.05307,17.46056,17.12727,17.01618,17.20134,17.20134,17.14579,17.25688,17.25688,17.16430,16.99766,16.86805,17.59017,17.18282,16.97914,16.86805,17.09024,17.38650,17.42353,17.49759,17.14579,17.60869,17.38650,17.53462,17.99752,18.36784,18.09010,18.94184,19.25661,20.46015,21.51556,21.23782,20.47866,20.60827,20.47866,20.34905,19.79357,19.81209,19.27512,19.25661,18.40487,19.42325,18.55300,19.05293,17.81236,18.14565,17.03469,16.34960,15.64599,15.36826,17.40501,16.27554,14.88684,16.27554,15.07200,15.99780,14.60910
2011,Erina 66_11kV,13MAY2010,MW,13.25743,15.64599,14.68316,13.49814,12.59086,14.31284,13.75737,12.86860,11.77616,11.36881,10.72075,10.36894,10.05417,9.55424,9.62830,9.55424,9.29502,9.57276,9.53572,9.88753,10.22082,10.44301,11.05403,11.88725,13.01673,13.96104,15.07200,15.36826,17.36798,17.03469,17.71978,19.08997,19.33067,19.20106,18.96035,19.62693,19.40474,18.81223,18.79371,18.31229,18.14565,17.77533,17.83088,17.51611,17.71978,17.81236,17.73830,17.38650,17.60869,17.49759,17.23837,17.49759,17.53462,17.49759,17.40501,17.40501,17.40501,17.96049,17.47908,17.38650,17.97901,17.77533,18.47894,18.64558,18.73816,19.07145,19.64544,19.71951,20.53421,22.10807,22.66355,22.73761,23.03387,22.73761,22.16362,22.20065,21.77478,21.38595,20.81195,20.40460,20.73789,20.36757,20.05280,18.51597,17.88643,16.57179,15.38677,14.46097,14.44246,16.27554,15.75709,14.29433,15.75709,14.62762,15.29419,13.96104
2011,Erina 66_11kV,14MAY2010,MW,12.99821,15.42380,14.40542,13.12782,12.20202,14.73871,13.79440,12.86860,11.62803,10.97997,10.31340,9.90604,9.51721,9.31353,9.22095,8.88767,8.57289,8.99876,9.27650,9.29502,9.51721,10.14675,10.60965,11.51693,12.77602,13.46111,14.29433,13.90549,15.29419,15.90522,16.57179,18.16417,18.42339,18.27526,18.47894,19.44177,19.23809,18.70113,18.55300,18.64558,18.20120,17.94197,18.36784,17.94197,17.92346,17.88643,17.71978,17.92346,18.05307,17.83088,17.73830,18.03455,18.01604,18.27526,18.09010,17.71978,17.53462,17.64572,17.75682,17.71978,17.88643,17.88643,17.92346,18.03455,18.40487,18.86777,19.34919,19.68248,20.46015,21.66368,21.94142,21.36743,21.27485,20.57124,20.47866,19.81209,19.08997,18.20120,17.90494,17.59017,18.21971,17.77533,17.92346,16.77547,16.86805,15.72006,14.96090,14.49800,14.42394,16.64586,16.18296,14.75723,16.34960,15.20161,15.92373,14.27581
2011,Erina 66_11kV,15MAY2010,MW,13.18337,15.59045,14.47949,12.90563,12.10944,14.46097,13.49814,12.51680,11.57248,10.81333,10.27636,9.79495,9.29502,9.10986,9.05431,8.85063,8.86915,8.90618,8.90618,8.85063,8.86915,9.14689,9.36908,9.70237,10.35043,10.97997,11.60951,12.16499,12.16499,12.85008,13.66479,14.84981,15.70154,16.36812,16.40515,17.46056,17.36798,17.23837,16.77547,16.70140,16.16444,16.33109,16.46070,16.33109,16.70140,16.62734,16.59031,16.34960,16.25702,16.49773,16.47921,16.12741,16.16444,15.92373,15.77561,15.42380,15.36826,15.73857,15.62748,15.22013,15.88670,16.03483,15.62748,15.99780,16.07186,16.20147,16.81250,16.86805,16.79398,17.03469,17.05321,16.03483,15.88670,15.53490,14.97942,14.53504,14.34988,14.14620,13.92401,13.73885,14.18323,13.90549,14.05362,13.47963,13.44259,12.86860,12.51680,12.22054,12.23906,13.86846,13.42408,12.33164,13.94253,12.86860,13.55369,12.62789
