year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Harbord 33_11kV,01MAY2010,MW,11.08402,10.29753,9.91343,11.88880,11.76076,11.02915,10.53530,9.91343,9.58420,9.09036,8.63310,8.54164,8.39532,8.23071,8.15754,7.93806,8.10267,8.02951,7.91977,8.06609,8.23071,8.54164,8.65139,8.94403,9.69394,10.27924,10.80966,11.72418,12.60212,13.49836,14.44946,15.16279,16.13218,16.75406,16.62602,16.71748,16.80893,16.86380,16.57115,16.69919,16.62602,16.53457,16.60773,16.44312,16.26022,15.91270,15.82124,15.78466,15.87612,15.52860,15.80295,15.27253,15.29082,15.41885,15.60176,15.34569,15.18108,15.01646,15.07134,15.14450,14.87014,15.03476,15.10792,15.40056,15.40056,15.69321,16.15047,16.09560,17.66858,19.07695,20.63163,21.34496,21.12548,20.75967,20.24754,19.93660,19.36959,19.02207,18.78430,18.10755,17.61371,20.00976,18.14413,17.21132,16.09560,15.94928,15.23595,14.66895,15.93099,15.08963,13.93733,14.55920,13.13255,12.49238,11.92538,11.61444
2011,Harbord 33_11kV,02MAY2010,MW,11.02915,10.51701,10.02317,11.99854,11.70589,11.32179,10.55359,10.09633,9.67565,9.10865,8.87087,8.66968,8.21241,8.23071,8.15754,8.01122,7.91977,7.95635,8.08438,7.84661,8.08438,8.34045,8.26729,8.52335,8.70626,9.27326,9.54762,10.04146,11.01085,11.65102,12.49238,13.00451,13.60810,14.44946,15.03476,15.58347,15.69321,15.93099,15.80295,15.85783,16.13218,15.78466,15.60176,15.74808,15.36398,15.14450,15.18108,15.07134,14.92501,14.46775,14.57749,14.19339,14.37630,14.15681,14.24827,14.39459,14.30314,14.13852,14.06536,13.97391,14.12023,13.93733,14.15681,14.72382,14.97988,15.38227,15.87612,16.31509,17.46739,19.46105,21.19864,21.56445,22.22290,22.11316,21.61932,21.29009,20.50360,20.24754,19.73540,19.15011,18.49165,20.30241,18.63798,17.85149,16.73577,16.46141,15.41885,14.77869,15.51031,14.46775,13.05939,13.75442,12.21802,11.61444,10.84624,10.13291
2011,Harbord 33_11kV,03MAY2010,MW,9.76710,9.47446,8.92574,10.95598,10.97427,10.53530,9.91343,9.69394,9.10865,8.79771,8.39532,8.30387,7.99293,7.86490,7.90148,7.68199,7.82832,7.90148,7.91977,8.15754,8.43190,8.92574,9.60249,10.48043,11.55957,12.73016,14.30314,14.44946,15.62005,16.07731,16.33338,15.98586,15.76637,15.76637,15.30911,15.58347,15.36398,15.34569,15.12621,14.70553,14.46775,14.63237,14.50433,14.61407,14.65066,14.54091,14.57749,14.55920,14.81527,14.74211,14.52262,14.37630,14.24827,14.55920,14.22998,14.48604,14.46775,14.54091,14.57749,14.57749,14.37630,14.66895,14.68724,15.14450,15.29082,15.58347,16.00415,16.35167,18.12584,19.91831,21.19864,21.85710,22.20461,22.77162,22.38752,22.09487,21.94855,21.19864,20.68651,20.26583,19.77198,21.76564,20.06463,18.93062,17.65029,17.26619,16.24193,15.62005,16.33338,15.71150,14.44946,14.88843,13.20571,12.29119,11.52299,10.59017
2011,Harbord 33_11kV,04MAY2010,MW,10.09633,9.60249,9.34642,11.24863,11.26692,10.44385,9.93172,9.38300,8.81600,8.54164,8.19412,8.08438,8.02951,7.88319,7.84661,7.82832,7.82832,7.88319,7.88319,8.21241,8.35874,9.07207,9.65736,10.82795,12.07170,13.15084,14.39459,14.52262,15.47373,16.40654,16.35167,16.51628,16.36996,16.09560,15.21766,15.07134,15.23595,14.92501,14.77869,14.63237,14.74211,14.68724,14.43117,14.48604,14.57749,14.41288,14.37630,14.32143,14.30314,14.44946,14.61407,14.46775,14.32143,14.41288,14.43117,14.22998,14.21168,14.30314,14.12023,14.28485,14.30314,14.44946,14.61407,14.77869,15.18108,15.40056,16.15047,16.24193,17.63200,19.55250,20.72309,21.65590,21.94855,22.11316,21.89368,21.63761,21.52787,21.12548,20.37557,20.26583,19.35130,21.47300,19.60737,18.74772,17.70516,17.33935,16.42483,15.45544,16.40654,15.93099,14.61407,14.96159,13.40690,12.38264,11.46812,10.62676
2011,Harbord 33_11kV,05MAY2010,MW,10.11462,9.69394,9.09036,11.15718,10.97427,10.46214,10.02317,9.56591,8.85258,8.66968,8.24900,8.02951,7.97464,8.04780,7.99293,7.93806,7.81002,8.04780,7.86490,8.34045,8.79771,9.25497,9.84027,10.53530,11.98025,13.11426,14.33972,14.68724,15.87612,16.88209,17.08329,16.55286,15.91270,16.16876,15.93099,15.65663,15.72979,15.72979,15.18108,14.81527,14.63237,14.70553,14.61407,14.48604,14.28485,14.33972,14.65066,14.68724,15.08963,15.65663,15.38227,15.36398,15.16279,14.81527,14.85185,14.66895,14.65066,14.61407,14.54091,14.41288,14.30314,14.22998,14.39459,14.55920,15.07134,15.36398,15.91270,16.47970,18.05268,20.32070,21.80222,22.51555,23.48495,23.41178,23.26546,22.89965,22.49726,22.35094,21.89368,21.50958,20.70480,22.91794,21.32667,19.99147,19.27814,18.54652,17.68687,16.71748,17.55884,17.11987,15.65663,15.94928,14.12023,13.20571,12.36435,11.44983
2011,Harbord 33_11kV,06MAY2010,MW,10.80966,10.16949,9.54762,11.77905,11.43154,10.84624,10.55359,9.69394,9.23668,9.05378,8.96232,8.63310,8.39532,8.23071,8.12096,7.88319,8.01122,8.19412,8.24900,8.21241,8.85258,9.25497,10.05975,11.01085,12.51067,13.97391,15.45544,16.13218,17.19303,17.88807,18.12584,18.08926,17.68687,16.97354,16.46141,16.31509,16.24193,15.58347,15.34569,15.23595,14.99817,15.21766,14.66895,14.63237,14.17510,14.46775,14.32143,14.26656,14.33972,14.15681,13.77271,13.90075,13.79100,13.77271,13.75442,13.79100,13.79100,13.84588,13.55323,13.64468,13.77271,14.02878,14.32143,14.10194,14.48604,14.83356,15.10792,15.85783,17.48568,19.25985,20.77796,21.98513,22.31436,22.42410,22.60700,22.36923,22.27778,22.11316,21.45471,21.60103,20.94257,23.32033,21.38154,20.52189,19.11353,18.60139,17.76003,16.90038,17.55884,16.88209,15.47373,15.82124,14.15681,13.24229,12.34606,11.39495
2011,Harbord 33_11kV,07MAY2010,MW,10.66334,10.16949,9.60249,11.70589,11.50470,10.90111,10.48043,10.04146,9.41959,9.12694,8.79771,8.57822,8.52335,8.46848,8.15754,8.17583,8.01122,8.23071,8.26729,8.50506,8.94403,9.27326,10.02317,11.15718,12.82161,13.75442,15.10792,15.49202,16.75406,17.44910,17.85149,16.93696,17.17474,17.21132,16.36996,16.27851,15.71150,15.58347,15.32740,14.85185,14.85185,14.74211,14.66895,14.37630,14.48604,14.24827,14.06536,14.02878,13.86417,14.10194,13.86417,14.01049,13.91904,13.71784,13.79100,13.80929,13.91904,13.80929,13.75442,13.90075,13.73613,13.82759,14.02878,14.28485,14.68724,15.36398,15.80295,16.16876,17.81490,19.86344,20.68651,21.38154,21.49129,21.89368,21.36325,21.34496,20.86941,20.46702,20.10121,19.93660,19.36959,21.41812,19.82685,18.87575,18.14413,17.90636,16.97354,16.53457,17.41251,17.21132,15.98586,16.42483,14.72382,13.97391,12.83990,12.34606
2011,Harbord 33_11kV,08MAY2010,MW,11.63273,11.01085,10.38898,12.23632,11.94367,11.46812,10.69992,9.98659,9.82198,9.49275,9.07207,8.83429,8.66968,8.59651,8.35874,8.37703,8.32216,8.37703,8.17583,8.30387,8.43190,8.77942,8.92574,9.58420,9.87685,10.15120,11.10231,11.83393,12.76674,14.12023,14.76040,15.63834,16.27851,16.57115,16.82722,16.88209,17.26619,16.91867,16.60773,16.47970,16.36996,16.09560,15.56518,15.58347,15.25424,15.03476,15.21766,14.88843,14.72382,14.37630,14.48604,14.26656,14.32143,14.17510,14.01049,14.06536,13.86417,13.86417,13.71784,13.88246,13.95562,13.97391,14.24827,14.44946,15.30911,15.21766,16.36996,16.26022,17.99781,19.58908,20.75967,21.56445,21.10719,21.23522,20.70480,20.06463,19.64395,19.22327,18.58310,18.36362,17.63200,20.30241,18.54652,17.48568,16.53457,16.26022,15.83954,15.54689,16.75406,15.56518,14.21168,14.76040,13.37032,12.71187,12.18144,11.76076
2011,Harbord 33_11kV,09MAY2010,MW,11.12060,10.64505,10.22437,12.14486,12.01683,11.37666,10.88282,10.37069,9.71223,9.41959,9.16352,8.79771,8.50506,8.54164,8.55993,8.06609,8.04780,8.13925,8.04780,8.17583,8.32216,8.28558,8.41361,8.87087,9.18181,9.54762,10.15120,10.64505,11.24863,12.01683,13.04110,13.62639,14.30314,14.77869,15.87612,15.87612,16.13218,16.29680,16.51628,16.38825,16.53457,16.24193,15.94928,15.47373,15.41885,15.05305,14.96159,14.70553,14.65066,14.30314,13.95562,14.01049,13.90075,13.84588,13.80929,13.66297,13.35203,13.53494,13.42520,13.42520,13.75442,13.86417,13.93733,14.37630,14.70553,14.90672,15.69321,16.24193,17.63200,19.49763,20.24754,20.97915,21.10719,21.21693,21.21693,20.64993,20.17437,19.66224,19.31472,19.00378,18.36362,20.75967,18.74772,17.97952,17.02842,16.49799,15.52860,15.12621,15.82124,15.08963,13.53494,13.80929,12.05341,11.57786,10.84624,10.33411
2011,Harbord 33_11kV,10MAY2010,MW,9.95001,9.34642,9.07207,11.19376,11.17547,10.59017,10.15120,9.63907,9.51104,8.90745,8.63310,8.70626,8.35874,8.37703,8.15754,8.02951,8.13925,8.06609,8.02951,8.41361,8.77942,8.98061,9.80368,11.08402,12.12657,13.38861,14.70553,14.88843,15.94928,16.46141,17.15645,16.82722,16.40654,16.44312,15.91270,15.41885,15.12621,15.12621,14.72382,14.83356,14.48604,14.50433,14.43117,14.52262,14.15681,14.17510,14.02878,14.04707,13.99220,14.12023,14.19339,14.01049,14.06536,14.10194,13.93733,14.10194,13.93733,13.95562,14.01049,14.01049,13.91904,14.08365,14.59578,14.81527,14.85185,15.40056,16.27851,16.64432,18.54652,20.43044,21.72906,22.22290,22.86307,22.64359,22.46068,22.24120,22.09487,21.60103,20.85112,20.63163,19.75369,22.16803,20.17437,19.11353,18.03439,17.52226,16.58944,15.85783,16.40654,15.85783,14.54091,14.92501,13.18742,12.27290,11.39495,10.62676
