year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Lisarow 33_11kV,01MAY2010,MW,10.15318,11.78959,10.91560,9.74408,9.35357,11.10156,10.59947,9.93003,8.94447,8.62834,7.88452,7.47542,7.27087,7.25227,6.88036,6.76879,6.41547,6.54564,6.67581,6.71300,6.75019,6.73160,6.75019,7.10351,7.49401,7.99609,8.44239,8.16346,8.47958,8.68413,8.81430,9.26059,9.53953,9.93003,9.78127,10.02301,9.91144,10.06020,10.15318,9.70689,9.78127,9.85565,9.68829,9.42795,9.48374,9.78127,9.57672,10.00442,9.55812,9.63251,9.48374,9.26059,9.18621,9.14902,8.98166,8.75851,8.75851,8.68413,8.68413,8.53537,8.94447,8.75851,8.85149,8.68413,9.07464,9.31638,10.02301,9.85565,10.52509,11.45487,12.01274,12.27308,12.23588,12.04993,11.78959,11.26892,10.97139,10.97139,10.59947,10.17178,10.74824,10.48790,10.74824,10.13459,10.37633,9.93003,9.55812,9.07464,9.59531,11.26892,10.97139,10.43211,11.54785,10.95279,11.56644,10.63667
2011,Lisarow 33_11kV,02MAY2010,MW,9.85565,11.52925,10.65526,9.78127,9.18621,11.02717,10.30195,9.70689,8.87009,8.27503,7.58699,7.28946,6.99193,6.88036,6.73160,6.62002,6.43407,6.47126,6.50845,6.48985,6.73160,6.63862,6.54564,6.62002,7.01053,7.40104,7.81014,7.30806,7.64278,7.69857,8.18205,8.59115,8.83290,8.96306,9.09323,9.07464,9.42795,9.52093,9.13042,9.16762,8.96306,9.03745,8.88868,8.77711,8.70273,8.51677,8.46098,8.51677,8.42379,8.57256,8.59115,8.42379,8.51677,8.27503,8.27503,8.27503,8.05188,8.21924,8.07048,8.29362,8.42379,8.47958,8.70273,8.87009,9.18621,9.48374,10.00442,9.98582,10.69245,11.67802,12.23588,12.58920,12.53341,12.62639,12.21729,11.69661,11.49206,11.39908,11.19453,10.59947,11.19453,10.84122,11.00858,10.46931,10.50650,10.07880,9.61391,9.18621,9.53953,11.10156,10.93419,10.30195,11.62223,10.98998,11.71521,10.82262
2011,Lisarow 33_11kV,03MAY2010,MW,9.94863,11.73380,10.82262,10.11599,9.52093,11.08296,10.46931,9.94863,9.13042,8.64694,8.36801,7.62418,7.99609,7.73576,8.21924,7.81014,8.44239,8.44239,8.29362,9.16762,9.63251,10.26475,10.65526,11.17594,11.75240,12.55201,13.03549,12.38465,13.29583,13.50038,13.96527,13.81651,13.01690,13.09128,13.09128,12.83094,12.83094,12.96111,12.64499,12.75656,12.92392,12.81235,12.57061,12.68218,12.79375,12.68218,12.71937,12.66358,12.90533,12.84954,12.60780,12.25448,12.21729,12.29167,12.44044,12.25448,12.49622,12.38465,12.06852,12.08712,12.42184,12.29167,12.10572,12.36605,12.53341,12.75656,13.35162,13.29583,14.46735,15.06241,15.28556,15.28556,15.73185,15.82483,15.06241,14.98803,14.70910,14.54174,14.02106,13.85370,14.61612,14.02106,14.28140,13.50038,13.42600,13.03549,12.29167,13.01690,12.97971,14.98803,14.24421,13.10988,14.31859,13.44460,14.07685,13.07269
2011,Lisarow 33_11kV,04MAY2010,MW,12.25448,13.87229,12.75656,11.65942,10.97139,12.86813,11.56644,10.59947,9.83706,9.03745,8.70273,8.18205,8.31222,8.08907,8.25643,8.01469,8.27503,8.73992,9.27919,8.96306,9.33498,9.61391,10.19037,11.06436,12.01274,12.42184,13.37021,11.95695,12.73797,13.25864,12.99830,13.20285,13.05409,12.88673,12.53341,12.40324,13.01690,12.31027,12.64499,12.31027,12.14291,12.34746,12.23588,12.23588,12.19869,11.91976,12.23588,12.10572,12.18010,12.31027,12.23588,11.71521,12.25448,12.03133,11.71521,11.73380,11.99414,11.71521,11.93836,11.64083,11.71521,11.80819,11.54785,12.18010,12.23588,12.57061,12.83094,12.81235,13.44460,14.22561,14.95084,15.02522,15.39713,14.72769,14.57893,14.61612,14.67190,14.00246,14.03966,13.68634,14.37438,13.50038,13.66774,12.90533,13.27724,12.55201,11.71521,11.93836,11.64083,13.63055,12.83094,12.03133,13.25864,12.29167,12.81235,11.73380
2011,Lisarow 33_11kV,05MAY2010,MW,10.85981,12.40324,11.73380,10.61807,9.87425,11.67802,11.19453,10.15318,9.59531,8.96306,8.40520,8.23784,8.05188,8.10767,7.95890,8.12626,8.29362,8.21924,8.83290,9.26059,9.63251,10.00442,10.26475,10.93419,12.34746,12.53341,13.20285,12.45903,13.14707,13.27724,14.07685,13.44460,12.97971,13.05409,12.81235,12.47763,12.92392,12.68218,12.53341,12.58920,12.40324,12.44044,11.78959,12.06852,12.38465,11.99414,12.03133,11.97555,12.32886,12.18010,11.99414,12.64499,12.83094,12.31027,12.16150,12.06852,12.25448,11.93836,11.62223,12.19869,12.36605,12.08712,12.27308,12.27308,12.49622,12.51482,13.33302,13.12847,14.00246,14.72769,15.65747,16.06657,16.25253,16.08517,15.88062,15.43432,15.65747,15.24837,15.11820,14.89505,15.28556,14.87646,15.02522,14.39297,14.46735,13.61196,12.92392,12.29167,12.51482,14.18842,13.42600,12.64499,13.92808,13.22145,13.61196,12.16150
2011,Lisarow 33_11kV,06MAY2010,MW,11.41768,13.12847,11.78959,11.12015,10.54369,11.97555,11.52925,10.71105,10.15318,9.33498,9.00026,8.68413,8.18205,8.05188,8.21924,8.73992,8.64694,9.16762,9.26059,9.11183,10.17178,9.87425,10.24616,11.60364,12.68218,13.57477,14.70910,13.24005,14.70910,14.93224,14.91365,14.89505,14.48595,14.16982,13.74213,13.59336,13.74213,13.46319,13.12847,13.20285,12.83094,12.70077,12.75656,12.58920,12.45903,12.49622,12.04993,12.31027,12.29167,11.93836,12.18010,11.86397,11.69661,11.69661,11.93836,11.51066,11.67802,11.45487,11.21313,11.51066,11.64083,11.75240,12.03133,11.62223,12.03133,12.27308,12.57061,12.92392,13.92808,14.85786,15.50871,15.50871,15.89921,16.02938,15.73185,15.58309,15.24837,15.24837,15.15539,15.09960,15.35994,15.08101,15.06241,14.80207,14.59752,14.00246,13.79791,12.88673,12.99830,14.59752,13.85370,12.94252,14.39297,13.50038,13.98387,12.68218
2011,Lisarow 33_11kV,07MAY2010,MW,12.04993,13.35162,12.47763,11.38049,10.82262,12.47763,11.88257,11.12015,10.45071,9.87425,9.22340,8.72132,8.42379,8.27503,8.44239,8.31222,8.66554,8.36801,9.27919,9.63251,9.87425,10.07880,10.74824,11.41768,12.75656,13.59336,14.98803,13.94668,14.80207,15.39713,15.06241,14.82067,14.63471,14.29999,13.55617,13.64915,13.61196,13.87229,13.51898,13.14707,13.12847,12.73797,12.90533,12.75656,12.64499,12.44044,12.42184,12.23588,12.06852,12.31027,12.25448,11.77100,11.51066,11.84538,11.41768,11.69661,11.67802,11.34330,11.38049,11.38049,11.82678,11.93836,11.86397,11.56644,11.62223,11.99414,12.31027,12.90533,13.81651,14.57893,15.32275,15.06241,15.82483,15.63887,15.19258,15.17398,14.67190,14.28140,13.90949,13.96527,14.61612,13.92808,13.66774,13.72353,13.33302,12.88673,12.21729,11.82678,12.45903,13.94668,13.51898,12.53341,13.64915,12.90533,13.55617,12.53341
2011,Lisarow 33_11kV,08MAY2010,MW,11.56644,12.97971,12.06852,11.32470,10.45071,11.84538,11.34330,10.45071,9.91144,9.20481,8.59115,8.21924,7.90312,7.58699,7.47542,7.34525,7.14070,7.30806,7.43823,7.62418,7.66137,7.73576,7.69857,8.01469,8.40520,8.92587,9.26059,9.11183,9.55812,10.17178,10.59947,10.65526,10.95279,11.17594,10.89700,11.23172,10.82262,10.74824,10.35773,10.07880,10.00442,9.79987,9.52093,9.27919,9.16762,9.16762,8.96306,9.13042,9.14902,8.90728,8.57256,8.55396,8.64694,8.34941,8.44239,8.64694,8.21924,8.21924,8.40520,8.29362,8.29362,8.36801,8.59115,8.44239,8.85149,9.18621,9.83706,10.07880,10.65526,11.99414,12.60780,12.60780,12.64499,12.64499,12.29167,11.71521,11.71521,11.54785,11.32470,11.08296,11.60364,11.19453,11.43628,10.97139,11.28751,10.67386,10.15318,9.98582,10.17178,12.03133,11.82678,11.08296,12.44044,11.71521,12.32886,11.41768
2011,Lisarow 33_11kV,09MAY2010,MW,10.69245,12.29167,11.56644,10.59947,9.76267,11.58504,11.15734,10.28335,9.35357,8.92587,8.31222,7.86593,7.62418,7.34525,7.10351,6.76879,6.88036,6.73160,6.50845,6.62002,6.80598,6.63862,6.89896,7.23368,7.51261,7.75435,7.95890,7.69857,8.29362,9.03745,9.03745,9.66970,10.06020,10.09739,10.24616,10.28335,10.35773,10.06020,9.85565,9.93003,9.65110,9.46514,9.22340,9.03745,8.88868,8.77711,8.68413,8.51677,8.44239,8.44239,8.20065,7.94031,8.01469,7.97750,7.84733,7.62418,7.62418,7.84733,7.75435,7.77295,8.10767,8.14486,8.29362,8.27503,8.64694,9.13042,9.57672,9.74408,10.54369,11.64083,12.06852,12.31027,12.31027,12.68218,12.31027,12.19869,11.82678,11.75240,11.41768,11.30611,11.80819,11.43628,11.51066,10.78543,11.12015,10.80403,10.11599,9.85565,10.15318,11.86397,11.39908,10.89700,12.12431,11.49206,11.86397,11.10156
2011,Lisarow 33_11kV,10MAY2010,MW,10.59947,12.21729,11.39908,10.54369,10.00442,11.65942,10.97139,10.39492,9.66970,9.27919,8.68413,8.68413,8.42379,8.31222,7.92171,8.05188,8.46098,8.14486,8.59115,9.18621,9.55812,9.93003,10.41352,11.43628,12.34746,13.22145,14.24421,13.12847,14.20702,14.67190,14.39297,14.82067,14.31859,14.16982,13.74213,13.55617,13.37021,13.50038,13.01690,13.14707,13.20285,13.12847,12.68218,12.92392,12.79375,12.77516,12.53341,12.51482,12.73797,12.60780,12.21729,12.32886,12.23588,12.57061,12.55201,12.04993,12.38465,12.31027,12.31027,12.38465,12.45903,12.44044,12.44044,12.32886,12.38465,12.71937,12.99830,13.50038,14.33718,15.28556,15.97359,15.69466,16.10376,15.80623,15.47151,15.28556,14.98803,14.69050,14.65331,14.31859,14.83926,14.11404,14.16982,13.59336,14.18842,12.94252,12.38465,12.06852,12.21729,13.74213,13.22145,12.77516,13.68634,12.84954,13.27724,12.31027
