year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Meadowbank 132_11kV,01MAY2010,MW,36.25820,34.06617,32.32334,33.32951,31.89212,30.81408,30.04148,28.67596,27.20263,26.28629,25.83711,25.38792,24.99264,24.36378,23.80679,23.59118,23.66305,23.39354,23.69899,23.96850,24.30988,24.68720,25.28012,26.19646,27.36434,27.59791,29.07124,29.17904,30.58050,31.64058,33.70683,35.52153,37.01283,37.83933,38.71973,38.89940,40.78598,41.46874,41.52264,41.82809,41.84605,42.00776,41.72028,41.82809,42.69052,43.15767,43.53499,43.84044,43.75060,43.69670,41.12736,40.28289,39.51029,39.47436,39.58216,39.06111,38.16274,38.36038,36.68941,37.26437,37.21047,36.72535,37.12063,37.17453,36.77925,37.35421,38.82753,36.81518,37.71355,40.40866,44.77474,40.89378,40.57037,40.21102,38.98924,38.41428,37.89323,36.68941,36.04259,35.41373,34.65910,33.90447,33.85057,33.38341,35.61137,34.89267,34.04821,33.92243,34.44349,35.21609,35.05438,33.85057,34.44349,35.84495,35.37779,33.81463
2011,Meadowbank 132_11kV,02MAY2010,MW,34.67707,33.38341,31.55074,33.22171,31.67651,30.34692,29.66416,28.46035,27.25653,26.41207,25.24418,24.79500,24.22004,23.84273,23.28574,23.26777,22.60298,22.38737,22.71078,22.74672,22.87249,22.98029,22.83655,23.60915,24.38175,24.52549,24.72313,24.84890,26.51987,27.00499,28.80173,29.43059,31.55074,32.62878,33.31154,34.29975,35.10828,35.57543,37.46201,37.82136,38.50412,38.25258,38.21664,38.27054,39.67200,39.67200,40.15712,40.28289,40.60630,40.15712,40.60630,40.57037,38.34241,37.98307,36.52771,36.04259,36.09649,36.16836,35.86291,35.53950,36.00665,35.59340,36.27616,36.65348,36.72535,37.15657,38.46818,38.88143,40.55240,43.06784,44.79271,45.13409,41.37890,40.89378,39.65403,38.84550,38.05493,38.54005,41.01955,40.22899,39.36655,38.71973,38.16274,37.87526,37.58778,36.95892,36.25820,35.61137,35.34186,35.32389,35.32389,34.33568,33.02407,35.57543,35.01845,33.81463
2011,Meadowbank 132_11kV,03MAY2010,MW,34.15601,32.70065,33.06000,34.31772,33.11390,31.82025,31.22733,30.18522,29.35872,28.78376,28.10100,27.84946,27.29247,25.53166,24.50752,24.41768,24.66923,24.79500,24.07630,24.84890,25.36996,26.59174,27.45417,28.87360,31.17342,32.93423,36.74332,36.15039,38.80957,39.60013,40.75004,42.54678,44.93645,45.00832,45.00832,45.09815,44.72084,44.70287,45.60124,45.51140,45.09815,45.81685,43.69670,40.87582,40.24696,40.21102,40.12118,40.30086,40.48053,40.87582,40.10322,39.67200,39.63607,40.28289,39.60013,39.20485,39.56420,38.97127,38.32445,38.50412,38.57599,37.92916,38.14477,38.48615,38.54005,38.97127,39.95948,39.88761,41.52264,43.57092,45.04425,44.43336,44.27165,44.46929,43.44515,42.96003,41.84605,41.21720,40.22899,38.91737,38.37835,37.85729,39.86964,39.20485,38.07290,36.85112,38.32445,37.83933,39.31265,39.79777,40.03135,38.68379,37.76746,38.79160,37.87526,36.43787
2011,Meadowbank 132_11kV,04MAY2010,MW,36.90502,35.28796,33.40138,32.59285,32.50301,31.17342,30.41879,31.46090,31.02968,30.59847,29.77197,29.50246,25.74727,25.42386,25.26215,25.15435,25.08248,25.28012,25.65743,25.99882,26.86125,27.38230,28.44238,30.04148,32.55691,34.83877,36.49177,37.06673,38.62989,39.40249,41.27110,42.24134,42.00776,42.29524,42.56475,42.63662,42.87020,42.52882,41.86402,42.31321,42.61865,43.42719,42.74442,43.37328,42.18744,41.79215,39.74387,40.10322,40.03135,40.08525,40.40866,40.15712,40.71411,40.58834,40.01338,39.61810,39.70793,40.71411,40.37273,40.01338,39.02517,39.22282,39.22282,39.02517,39.20485,39.72590,39.45639,39.70793,41.09142,43.46312,44.79271,44.64897,44.36149,43.94824,43.51702,43.13971,41.91792,41.10939,40.22899,39.49233,39.58216,38.54005,39.95948,39.00721,38.23461,36.90502,36.97689,37.12063,37.42608,37.85729,38.95330,37.60575,36.27616,37.42608,36.22226,35.05438
2011,Meadowbank 132_11kV,05MAY2010,MW,36.40193,34.87471,33.06000,34.15601,33.23967,31.64058,30.63440,29.93367,28.53222,27.75962,26.69954,26.10662,25.20825,24.86687,24.48955,24.74110,24.88484,24.88484,25.06451,25.62150,26.77141,27.22060,28.31661,29.64620,32.01789,33.90447,36.94096,37.51591,40.69614,39.88761,41.01955,40.76801,41.73825,42.34914,42.13353,42.40304,42.63662,42.67255,43.03190,43.49905,44.54116,44.36149,44.88254,44.82864,43.91230,44.43336,39.45639,40.17509,39.27672,38.46818,38.37835,38.71973,37.92916,37.76746,37.98307,37.62372,37.51591,37.67762,37.49795,36.97689,36.50974,36.65348,36.40193,37.21047,37.73152,37.51591,38.05493,39.06111,40.64224,42.42101,44.52320,44.34352,44.50523,44.97238,44.59507,43.84044,43.30141,42.29524,41.88199,41.10939,40.19305,39.61810,41.75622,41.07346,40.15712,39.07908,38.28851,37.15657,37.64168,38.28851,40.08525,37.69559,36.34803,37.58778,36.29413,35.34186
2011,Meadowbank 132_11kV,06MAY2010,MW,37.76746,36.11446,34.62316,35.35983,32.08976,30.63440,29.66416,28.78376,27.97523,27.16670,26.60971,26.26833,25.60353,25.62150,24.09427,23.96850,23.77086,23.98647,26.50190,27.22060,29.62823,30.23912,31.28123,32.82642,35.77308,37.92916,40.42663,41.23516,42.87020,43.69670,42.72646,43.28345,43.87637,43.73263,43.35532,43.04987,42.99597,42.60069,43.51702,43.91230,43.53499,43.84044,42.51085,42.56475,41.93589,41.61248,38.75566,38.71973,39.25875,39.06111,37.01283,37.42608,37.17453,37.06673,37.15657,36.68941,36.68941,36.97689,36.76128,36.36600,36.45584,36.15039,36.72535,37.06673,37.44404,37.67762,37.80339,38.61192,40.21102,42.85223,43.80450,44.66694,44.39742,44.37946,44.59507,44.09198,43.31938,43.06784,42.34914,41.77419,41.32500,41.01955,43.10377,42.42101,40.57037,39.15095,38.12680,37.19250,40.19305,40.13915,39.97745,38.54005,37.71355,38.77363,38.48615,37.33624
2011,Meadowbank 132_11kV,07MAY2010,MW,38.25258,36.40193,34.67707,35.91682,34.58723,33.38341,32.21553,31.24529,30.95782,30.16725,27.09483,26.84328,25.94491,25.58557,25.40589,25.44183,25.85508,25.62150,25.76524,26.14255,27.41824,28.13693,29.61026,31.38903,33.43732,35.50357,38.34241,39.00721,42.07963,43.04987,40.94768,41.45077,43.84044,43.13971,43.46312,43.85840,43.57092,43.62483,43.49905,43.76857,43.06784,41.89996,41.32500,43.40922,42.65459,40.94768,37.53388,37.64168,37.17453,37.28234,37.56982,37.44404,37.35421,37.30030,36.92299,36.90502,37.37217,37.08470,36.56364,36.97689,36.47380,36.06055,36.70738,36.74332,37.26437,38.09087,38.28851,38.54005,39.92354,42.18744,42.94207,43.28345,42.74442,42.38508,42.61865,42.02573,41.48671,40.44460,39.85167,39.07908,38.62989,38.19867,40.04932,39.99541,39.00721,38.10884,37.47998,36.76128,38.61192,38.48615,38.01900,38.59396,37.92916,39.06111,37.96510,36.34803
2011,Meadowbank 132_11kV,08MAY2010,MW,37.12063,35.34186,33.67089,34.94658,33.92243,32.48504,31.35310,30.09538,29.80790,28.99937,28.51425,27.81352,26.51987,25.96288,25.76524,25.65743,26.48393,26.66361,26.68158,27.05889,27.66978,27.45417,28.11897,28.42441,29.41262,29.48449,29.37668,29.87977,32.23350,33.14984,34.10211,34.91064,37.58778,38.89940,38.10884,39.61810,39.83371,39.83371,39.95948,39.40249,39.99541,39.79777,39.95948,40.03135,39.52826,38.77363,39.58216,39.58216,40.83988,42.25930,41.95386,42.18744,42.15150,41.63045,39.18688,39.04314,39.07908,38.77363,39.45639,39.97745,39.54623,39.47436,39.72590,39.99541,39.13298,39.61810,40.58834,40.75004,42.09760,44.25369,45.36766,45.63717,44.99035,44.37946,43.73263,42.83426,42.00776,41.37890,40.51647,40.22899,39.70793,39.49233,38.55802,38.18071,36.97689,36.74332,36.07852,35.71917,35.89885,36.72535,36.59958,35.37779,34.44349,35.23405,34.91064,34.17398
2011,Meadowbank 132_11kV,09MAY2010,MW,35.34186,32.98813,31.22733,32.84439,31.38903,29.95164,29.32278,29.95164,28.64002,27.88539,27.34637,26.60971,26.60971,26.08865,25.63947,25.96288,24.93874,24.86687,24.92077,25.31605,25.19028,25.29809,25.72930,26.21442,26.84328,26.53784,26.77141,27.31043,29.48449,30.14928,31.17342,32.34130,33.56309,34.65910,34.33568,35.64730,35.73714,36.41990,36.24023,37.12063,37.83933,37.91120,37.37217,36.97689,37.73152,37.47998,36.38397,36.81518,36.68941,36.67145,34.17398,37.31827,36.70738,35.97072,37.12063,36.40193,36.61754,36.63551,35.75511,35.59340,35.73714,35.71917,35.86291,36.29413,35.07235,36.99486,37.58778,38.62989,40.13915,42.72646,44.37946,43.33735,43.01394,42.74442,42.47491,41.66638,41.54061,40.87582,40.78598,40.04932,39.04314,38.70176,38.01900,37.42608,37.15657,36.61754,37.39014,36.49177,35.64730,36.25820,35.77308,34.19195,33.04203,35.03641,33.94040,33.13187
2011,Meadowbank 132_11kV,10MAY2010,MW,33.09593,31.78432,29.95164,31.38903,30.41879,28.89157,28.24474,27.40027,26.77141,26.28629,25.74727,25.58557,24.63329,24.29191,23.86070,23.95053,23.86070,24.14817,24.27395,24.72313,25.45979,26.21442,28.04710,29.35872,31.19139,34.69503,37.24640,37.58778,40.57037,40.87582,41.50467,42.81629,45.17002,44.39742,44.86458,44.86458,45.40360,45.20596,44.48726,45.92465,43.28345,41.16329,39.99541,40.44460,39.94151,40.69614,41.21720,40.46257,41.07346,41.21720,40.83988,41.12736,39.52826,39.61810,39.47436,38.41428,38.14477,37.83933,37.94713,37.76746,37.92916,38.09087,37.83933,38.03697,37.94713,38.88143,38.84550,39.92354,41.46874,43.66076,44.32555,44.14588,43.89434,44.07401,43.69670,43.06784,42.58272,41.30703,40.87582,39.90558,41.55858,40.83988,41.10939,40.39070,39.85167,38.75566,39.11501,38.18071,38.07290,38.27054,40.12118,38.59396,37.53388,38.93534,37.78542,36.76128
