year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Mona Vale 33_11kV,01MAY2010,MW,5.55192,5.28327,4.88927,5.69519,5.67728,5.55192,5.33700,5.21164,5.10418,4.94300,4.83554,4.85345,4.67435,4.42362,4.40571,4.56690,4.33408,4.51317,4.38780,4.53108,4.94300,4.81763,4.96091,5.06836,5.39073,5.40864,5.65937,6.08920,6.50111,6.64439,6.91303,7.21749,7.70104,7.79059,7.62941,8.07714,7.98759,8.16669,8.38160,8.68606,8.25624,8.25624,8.14878,8.30996,8.32787,8.36369,8.56070,8.04132,8.18460,8.11296,8.11296,8.14878,7.93387,8.25624,8.02341,8.02341,8.11296,7.88014,7.88014,7.75477,7.75477,7.88014,8.00550,7.73686,8.02341,7.89805,7.62941,7.73686,7.79059,8.07714,8.50697,8.63233,8.29205,8.20251,8.07714,7.93387,7.71895,7.71895,7.55777,7.43240,7.02049,7.71895,7.03840,6.91303,6.80557,6.80557,6.66230,6.26829,6.76976,6.35784,5.99965,6.01756,5.58773,5.31909,5.31909,5.21164
2011,Mona Vale 33_11kV,02MAY2010,MW,4.97881,4.71017,4.60272,5.40864,5.28327,5.28327,5.01463,4.88927,4.92509,4.78181,4.65645,4.51317,4.56690,4.17289,4.31617,4.17289,4.36989,4.33408,4.06544,4.33408,4.31617,4.47735,4.44153,4.74599,4.85345,4.97881,5.12209,5.10418,5.40864,5.69519,5.91010,6.44739,6.69812,6.59066,6.85930,7.18167,7.46822,7.21749,7.39658,8.97261,8.97261,9.11589,9.27707,9.08007,9.18752,9.04425,9.18752,9.18752,9.16962,8.84725,9.09798,9.15171,9.04425,9.16962,9.16962,8.97261,8.97261,8.95470,8.90097,8.90097,8.79352,8.99052,8.99052,9.15171,9.00843,9.15171,9.04425,9.13380,9.58153,9.97554,10.62028,10.60237,10.70982,10.70982,10.44118,10.29791,9.99345,9.72481,9.34871,9.08007,8.82934,9.40244,8.99052,8.59651,8.18460,7.91596,7.64732,7.48613,7.62941,7.36077,6.68021,6.76976,6.39366,6.23247,6.10711,5.96383
2011,Mona Vale 33_11kV,03MAY2010,MW,5.67728,5.42655,5.28327,6.19665,6.19665,6.19665,6.05338,6.03547,5.80265,5.37282,5.21164,5.33700,5.06836,5.21164,5.37282,5.22955,5.44446,5.56983,5.42655,5.42655,5.58773,6.28620,6.26829,6.93094,7.36077,7.62941,8.07714,8.79352,8.97261,9.68899,10.11881,10.47700,11.12174,11.15756,11.30083,11.44411,11.55157,12.21421,12.10676,12.28585,12.14258,12.41122,12.71568,12.59031,12.67986,12.57240,12.55449,12.80522,12.59031,12.67986,12.17840,12.21421,12.46495,12.44704,12.46495,12.07094,12.21421,12.26794,12.05303,11.87394,11.96348,11.94557,12.03512,10.17254,10.44118,10.24418,9.95763,9.81435,10.19045,9.88599,10.47700,9.97554,9.61735,9.63526,9.22334,9.25916,8.81143,8.38160,8.20251,8.25624,7.57568,8.29205,7.88014,7.62941,7.19958,7.07422,6.93094,6.50111,6.73394,6.48320,6.21456,6.41157,6.14293,5.69519,5.56983,5.24746
2011,Mona Vale 33_11kV,04MAY2010,MW,5.12209,4.71017,4.56690,5.28327,5.40864,5.14000,5.05045,5.01463,4.87136,4.62063,4.83554,4.67435,4.51317,4.38780,4.51317,4.40571,4.53108,4.56690,4.67435,4.74599,4.83554,4.97881,5.22955,5.64146,6.14293,6.44739,7.00258,7.00258,7.80850,8.11296,8.70397,9.18752,9.45617,9.77854,9.90390,9.85017,10.35164,10.35164,10.69191,10.74564,10.87101,11.06801,11.42620,11.12174,11.05010,11.13965,11.46202,10.78146,10.99637,11.21129,11.24711,11.28293,11.28293,11.13965,11.10383,11.12174,10.87101,11.05010,11.03219,11.13965,10.83519,10.70982,10.78146,10.44118,10.49491,10.65610,10.31582,10.47700,10.20836,10.35164,10.28000,10.15463,10.20836,9.97554,9.49198,9.24125,9.09798,8.73979,8.70397,8.32787,8.05923,8.56070,8.02341,7.75477,7.37868,7.55777,6.89512,6.75185,7.03840,6.46530,6.21456,6.30411,6.17874,5.64146,5.49819,5.37282
2011,Mona Vale 33_11kV,05MAY2010,MW,5.37282,4.97881,4.69226,5.56983,5.42655,5.30118,5.15791,5.03254,4.87136,4.60272,4.76390,4.78181,4.65645,4.78181,4.40571,4.40571,4.53108,4.53108,4.67435,4.53108,4.65645,4.92509,5.19373,5.58773,5.91010,6.37575,6.64439,7.16376,9.33080,9.86808,10.62028,10.96056,11.55157,11.96348,12.26794,12.39331,12.82313,12.85895,12.94850,13.21714,13.28878,13.19923,13.12759,13.62906,13.25296,13.46787,13.71860,13.16341,13.64697,13.43205,13.28878,13.21714,13.10968,12.94850,13.02014,13.12759,13.16341,12.98432,12.59031,12.89477,12.85895,12.85895,12.73359,12.55449,12.33958,12.28585,11.17547,9.61735,12.67986,13.48578,13.70070,13.61115,13.55742,13.37833,13.21714,13.03805,12.67986,12.08885,11.99930,11.80230,11.37247,12.14258,11.46202,10.92474,10.53073,9.99345,9.59944,9.27707,9.99345,9.42035,8.73979,8.65024,8.11296,7.59359,7.61150,7.18167
2011,Mona Vale 33_11kV,06MAY2010,MW,6.91303,6.64439,6.37575,7.79059,7.52195,7.11003,6.73394,6.59066,6.48320,6.32202,6.08920,6.10711,5.83847,5.98174,5.98174,5.85638,6.03547,5.91010,5.94592,5.67728,6.26829,6.50111,7.07422,7.61150,8.32787,8.90097,9.59944,9.93972,11.46202,11.56948,12.01721,12.62613,13.36042,13.18132,13.19923,13.25296,13.25296,13.25296,13.02014,13.55742,13.02014,13.27087,13.30669,13.16341,13.05596,12.94850,12.71568,12.71568,12.71568,12.94850,12.75150,12.67986,12.73359,12.62613,12.75150,12.73359,12.39331,12.67986,12.69777,12.71568,12.89477,12.66195,11.56948,11.33665,11.94557,11.82021,11.64111,11.67693,12.12467,12.55449,13.16341,12.98432,12.84104,12.76941,12.39331,12.42913,12.05303,12.01721,11.51575,11.22920,11.22920,12.19631,11.22920,10.83519,10.06509,9.86808,9.65317,9.25916,9.88599,9.49198,8.91888,9.33080,8.52488,8.34578,8.05923,7.66523
2011,Mona Vale 33_11kV,07MAY2010,MW,7.27122,6.73394,6.73394,8.61442,8.61442,8.54279,7.82641,7.70104,7.30704,6.89512,6.75185,6.48320,6.32202,6.14293,5.85638,5.85638,5.99965,6.16084,5.87428,5.85638,6.30411,6.35784,6.89512,7.46822,8.18460,8.88307,9.72481,9.58153,10.42327,11.01428,11.21129,11.24711,11.69484,12.01721,12.12467,12.21421,12.19631,11.96348,12.03512,12.12467,12.01721,12.05303,12.91268,14.23798,13.16341,12.59031,12.19631,12.30376,12.14258,11.64111,12.03512,12.10676,11.99930,11.76648,11.87394,11.65902,11.78439,11.58739,11.55157,11.87394,11.64111,11.82021,10.79937,9.79644,9.85017,9.43826,9.76063,9.50989,9.42035,9.70690,9.70690,9.54571,9.13380,9.31289,8.90097,8.77561,8.47115,8.20251,8.07714,8.25624,7.82641,8.22042,7.95178,7.37868,7.25331,6.84139,6.85930,6.53693,6.89512,6.35784,5.94592,6.32202,5.65937,5.55192,5.55192,5.55192
2011,Mona Vale 33_11kV,08MAY2010,MW,5.12209,4.85345,4.65645,5.39073,5.12209,4.87136,4.62063,4.65645,4.65645,4.51317,4.38780,4.29826,4.26244,4.35199,4.42362,4.29826,4.31617,4.47735,4.20871,4.60272,4.60272,4.71017,5.01463,5.14000,5.14000,5.56983,5.73101,5.99965,6.01756,6.41157,6.68021,6.98467,7.25331,7.55777,7.70104,7.96969,7.98759,8.20251,8.23833,8.38160,8.11296,8.27415,8.02341,8.18460,8.47115,8.09505,8.14878,8.16669,8.14878,8.25624,7.96969,7.96969,8.23833,8.23833,8.07714,7.93387,7.98759,7.82641,7.66523,7.70104,8.00550,7.88014,7.89805,7.48613,7.64732,7.53986,7.66523,7.93387,7.91596,8.34578,8.63233,8.50697,8.50697,8.36369,8.36369,8.09505,7.84432,7.71895,7.61150,7.62941,7.21749,7.79059,7.37868,6.98467,6.98467,6.84139,6.71603,6.73394,6.84139,6.44739,5.91010,6.21456,5.73101,5.46237,5.31909,5.19373
2011,Mona Vale 33_11kV,09MAY2010,MW,5.05045,4.83554,4.83554,5.46237,5.42655,5.30118,5.05045,4.88927,4.63854,4.49526,4.35199,4.35199,4.35199,4.24453,4.24453,4.11916,4.24453,3.99380,4.15498,4.17289,4.19080,4.47735,4.42362,4.69226,4.69226,4.69226,4.83554,4.97881,5.37282,5.64146,6.19665,6.14293,6.41157,6.55484,6.82348,6.94885,7.19958,7.45031,7.45031,7.43240,7.16376,7.28913,7.34286,7.19958,7.45031,7.32495,7.14585,7.25331,7.27122,7.16376,7.07422,7.09212,7.19958,7.07422,7.07422,6.80557,6.82348,6.82348,6.66230,6.80557,6.80557,6.98467,6.84139,6.98467,6.73394,6.89512,7.16376,7.05631,7.16376,7.48613,7.89805,7.89805,7.91596,8.05923,7.75477,7.62941,7.36077,7.39658,7.27122,7.12794,7.02049,7.53986,7.00258,6.84139,6.57275,6.44739,6.03547,6.10711,6.32202,5.78474,5.39073,5.60564,5.21164,4.96091,5.10418,4.96091
2011,Mona Vale 33_11kV,10MAY2010,MW,4.83554,4.56690,4.56690,5.28327,5.28327,4.92509,4.78181,4.78181,4.67435,4.53108,4.38780,4.35199,4.35199,4.35199,4.11916,4.24453,4.53108,4.49526,4.51317,4.49526,4.76390,5.05045,5.30118,5.33700,5.87428,6.17874,7.02049,7.37868,7.57568,8.11296,8.47115,8.65024,9.42035,9.61735,9.72481,9.81435,9.93972,9.90390,10.38746,10.15463,10.49491,10.49491,10.53073,10.47700,10.49491,10.51282,10.60237,10.49491,10.29791,10.40536,10.29791,10.33373,10.65610,10.33373,10.53073,10.51282,10.33373,10.60237,10.62028,10.56655,10.62028,10.31582,10.51282,10.22627,10.11881,10.20836,9.95763,9.97554,9.95763,10.06509,10.22627,9.95763,9.93972,9.76063,9.34871,9.09798,8.81143,8.81143,8.66815,8.25624,7.84432,8.48906,8.09505,7.66523,7.37868,7.28913,6.85930,6.46530,6.80557,6.69812,6.26829,6.14293,5.74892,5.60564,5.48028,5.48028
