year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Mortdale 33_11kV,01MAY2010,MW,21.38336,19.62070,19.24680,17.82243,16.38026,15.06272,13.76298,12.76592,12.19617,11.32374,10.84302,10.38010,10.05962,9.88157,9.68572,9.63230,9.88157,9.98840,9.86376,10.21986,10.36229,10.45132,10.68278,11.25253,11.78666,12.37422,13.28225,13.33567,14.63541,15.22296,16.39806,16.86098,17.62658,18.16072,18.32096,18.55242,19.08656,19.38924,19.05095,18.92632,18.96193,18.51681,18.49901,17.98268,17.75122,17.46634,17.14586,17.05684,17.07464,17.19927,17.12805,16.59391,16.55831,16.54050,16.14880,16.16660,16.22002,16.25563,16.38026,16.34465,16.52270,16.54050,16.68294,16.89659,17.21708,17.71561,18.42779,19.44266,19.97679,21.73945,22.89675,23.51992,23.11041,23.14602,22.45164,21.89969,21.29434,20.92044,20.40411,19.79875,20.11923,20.04801,19.81655,18.85510,19.37144,19.40705,18.24975,18.32096,20.88483,19.47826,19.67412,18.35657,17.55536,17.69780,20.15484,19.37144
2011,Mortdale 33_11kV,02MAY2010,MW,21.22312,19.51387,19.05095,18.03609,16.62952,15.20515,13.99444,13.05079,12.33861,11.44838,11.02107,10.38010,10.02401,10.05962,9.81035,9.43645,9.63230,9.63230,9.86376,9.73913,10.00620,10.11303,10.00620,10.38010,10.89643,11.11009,11.62642,11.57301,12.24959,13.13982,14.13688,14.74223,15.52564,16.34465,16.70074,17.37732,17.76902,17.84024,18.19633,18.16072,18.05389,18.00048,17.85804,17.41293,16.80757,16.84318,16.91440,16.93220,17.00342,16.86098,16.39806,16.36245,15.95295,15.79271,15.61466,15.32979,15.32979,15.09833,15.15174,15.29418,15.40100,15.57905,15.89953,16.14880,16.52270,16.96781,17.80463,18.81949,19.44266,21.27653,22.68310,23.28846,23.68016,23.48431,23.25285,22.80773,22.45164,21.81067,21.40116,20.97385,21.18751,21.09849,20.76020,19.88777,20.04801,20.08362,18.94413,18.65925,20.74239,19.01534,19.15778,17.50195,16.73635,16.54050,18.85510,18.16072
2011,Mortdale 33_11kV,03MAY2010,MW,19.72753,17.96487,17.91146,16.87879,15.66807,14.17249,13.26445,12.24959,11.46618,10.91424,10.55815,10.20205,9.77474,9.70352,9.45426,9.43645,9.77474,10.16644,10.48693,10.55815,11.14570,11.44838,12.19617,13.21104,14.90248,16.59391,18.78388,17.98268,19.40705,20.27947,20.36850,20.74239,20.17265,19.76314,19.63851,19.58509,19.56729,19.21120,19.53168,18.97974,19.24680,19.26461,19.15778,18.96193,18.58803,18.99754,18.49901,18.48121,18.55242,18.35657,18.65925,18.24975,17.98268,17.75122,17.89365,17.87585,18.01829,18.12511,17.87585,17.48415,17.68000,17.48415,17.73341,18.12511,18.39218,19.24680,19.81655,21.04507,21.77506,23.66235,24.64161,24.67722,24.99770,24.97990,24.51698,24.24991,23.96503,23.53772,22.91456,21.86409,22.64749,22.38042,22.13115,21.13410,20.93824,20.90264,19.62070,19.31802,21.47238,19.67412,19.44266,17.71561,16.70074,16.25563,18.81949,17.94707
2011,Mortdale 33_11kV,04MAY2010,MW,19.58509,18.10731,17.69780,16.38026,15.20515,13.86981,13.10421,12.07154,11.35935,10.68278,10.27327,10.18425,9.81035,9.54328,9.57889,9.56109,9.81035,9.93498,9.73913,10.39790,11.11009,11.43057,12.10715,13.28225,15.24076,16.64733,18.64145,18.30316,19.74533,20.45752,20.74239,20.67118,20.90264,20.10143,19.85216,19.63851,19.79875,19.44266,19.10437,18.99754,18.99754,18.94413,18.69486,18.44560,18.74828,18.65925,18.48121,18.26755,18.37438,18.40999,18.51681,18.55242,18.16072,18.14292,18.28535,18.01829,18.07170,18.32096,17.91146,18.23194,18.03609,18.14292,18.35657,19.05095,18.78388,19.13998,19.79875,20.24386,21.02727,23.00358,24.37454,24.76624,25.26477,24.78404,24.58819,24.32112,24.21430,23.28846,23.00358,22.09555,22.29140,22.57627,22.27359,21.15190,21.41897,21.15190,19.72753,19.54948,21.38336,19.53168,19.35363,17.62658,16.95001,16.86098,18.94413,18.07170
2011,Mortdale 33_11kV,05MAY2010,MW,19.63851,17.94707,17.60878,16.54050,15.16954,13.97663,12.81933,12.08934,11.41277,10.66497,10.59375,10.09523,9.97059,9.81035,9.70352,9.93498,9.79255,10.04181,10.21986,10.62936,11.16350,11.32374,12.08934,13.15762,15.24076,16.78977,18.39218,18.32096,19.67412,19.97679,20.88483,20.11923,20.17265,19.85216,19.79875,19.70973,19.26461,19.35363,19.35363,18.76608,19.13998,18.76608,19.05095,18.94413,18.17853,18.51681,18.44560,19.17559,19.44266,18.55242,18.28535,18.24975,18.16072,18.08950,18.07170,17.76902,17.98268,17.85804,17.75122,17.84024,17.92926,17.80463,17.96487,18.32096,18.73047,19.19339,20.11923,20.97385,21.82848,24.01845,25.40721,25.79891,26.27963,26.58231,26.49329,26.27963,25.83452,25.38940,25.10453,24.80185,24.85526,24.92648,24.67722,23.30626,23.73357,23.12821,22.32701,21.40116,23.55553,21.61482,21.18751,19.44266,18.30316,17.76902,19.99460,19.01534
2011,Mortdale 33_11kV,06MAY2010,MW,20.99166,19.10437,18.69486,17.46634,16.23782,15.09833,13.60274,12.69470,11.91130,11.53740,10.82521,10.57595,10.43351,10.16644,10.07742,10.14864,10.30888,10.43351,10.68278,11.35935,12.07154,12.46324,13.19323,14.22590,16.22002,17.92926,20.58215,20.36850,22.11335,22.05994,23.02139,22.87895,22.22018,21.93530,21.20531,20.68898,20.38630,20.10143,19.86997,19.69192,19.12217,19.58509,19.17559,19.05095,18.71267,18.49901,18.46340,18.17853,18.21414,18.17853,18.07170,17.76902,17.62658,17.55536,17.91146,17.41293,17.64439,17.53756,17.66219,17.78683,17.46634,17.27049,17.73341,18.14292,18.10731,18.51681,18.99754,20.08362,21.38336,22.62968,24.28551,25.14014,25.60306,25.33599,25.05111,25.35379,24.55258,24.53478,24.01845,23.12821,23.71577,24.35673,23.85820,23.27065,23.28846,22.98578,21.81067,21.38336,23.48431,21.34775,21.20531,19.26461,18.21414,17.78683,20.17265,19.38924
2011,Mortdale 33_11kV,07MAY2010,MW,20.90264,19.03315,18.60584,17.43073,15.97075,14.97369,13.72737,13.03299,11.85788,11.34155,10.86082,10.61156,10.25547,9.98840,10.04181,10.00620,10.07742,10.36229,10.32669,10.87863,11.48399,11.78666,12.67690,14.08346,15.93514,17.51976,20.22606,19.56729,21.29434,21.65043,22.30920,21.77506,21.41897,20.83142,20.45752,20.58215,20.20825,19.90558,19.67412,19.06876,19.01534,18.58803,18.65925,18.62364,18.37438,18.05389,18.08950,17.71561,17.96487,17.87585,17.76902,17.48415,17.35951,17.27049,16.82538,16.91440,17.07464,16.84318,17.00342,16.82538,16.59391,16.59391,16.78977,17.09244,17.64439,17.91146,18.57023,19.51387,20.45752,22.45164,23.71577,24.49917,25.08672,24.67722,24.32112,24.30332,23.69796,23.50211,23.32406,23.03919,22.84334,22.98578,22.52286,21.75726,22.11335,22.41603,21.06288,20.81361,23.14602,21.27653,21.18751,19.58509,18.81949,18.51681,20.81361,19.92338
2011,Mortdale 33_11kV,08MAY2010,MW,21.61482,19.88777,19.65631,18.16072,16.77196,15.56125,14.08346,13.05079,12.64129,11.78666,11.05668,10.57595,10.61156,10.09523,9.91718,10.13083,10.18425,10.16644,10.34449,10.48693,10.71839,10.70058,11.21692,11.69764,12.26739,12.87275,14.04785,14.03005,15.34759,16.52270,17.50195,18.03609,18.80169,19.21120,19.62070,19.99460,19.83436,19.74533,19.58509,19.30022,19.28241,18.44560,18.28535,18.32096,17.55536,17.73341,17.35951,17.28830,16.82538,16.87879,16.70074,16.59391,16.43367,16.45148,16.45148,16.22002,15.65027,15.61466,15.59686,15.65027,15.97075,16.18441,16.34465,16.98562,16.98562,17.59097,18.39218,19.49607,20.29728,22.46944,23.34187,23.85820,23.59113,23.43089,22.98578,22.68310,22.11335,21.52580,21.08068,20.59996,20.68898,21.04507,20.79581,19.65631,19.88777,20.26167,19.28241,19.54948,21.88189,20.08362,20.11923,18.78388,18.30316,18.05389,20.84922,20.10143
2011,Mortdale 33_11kV,09MAY2010,MW,21.75726,19.90558,19.51387,18.51681,17.21708,16.04197,14.88467,13.79859,12.80153,12.05373,11.55520,11.02107,10.55815,10.29108,10.20205,10.18425,9.93498,9.98840,9.98840,9.93498,10.11303,10.52254,10.68278,11.00326,11.27033,11.76886,12.53446,12.55226,13.26445,13.99444,15.27637,16.39806,17.05684,17.59097,18.33877,18.53462,19.15778,19.17559,18.97974,18.74828,18.51681,18.33877,18.03609,17.73341,17.59097,17.51976,17.27049,17.12805,16.95001,16.52270,16.14880,15.93514,15.73929,15.61466,15.25857,14.90248,14.61760,14.72443,14.76004,14.90248,14.76004,15.09833,15.32979,15.59686,16.16660,16.36245,17.43073,18.28535,19.10437,20.79581,21.82848,22.32701,22.78993,22.57627,22.48725,22.22018,21.95311,21.77506,21.25873,21.25873,21.38336,21.97091,21.04507,20.17265,20.31508,20.40411,19.44266,19.01534,21.29434,19.35363,19.21120,17.66219,16.82538,16.59391,19.05095,18.26755
2011,Mortdale 33_11kV,10MAY2010,MW,20.03021,18.55242,18.23194,17.39512,15.98856,14.86687,13.74517,12.57007,12.01813,11.35935,10.80741,10.30888,10.09523,9.98840,9.81035,9.77474,9.86376,10.16644,10.39790,10.64717,11.19911,11.62642,12.44544,13.58493,15.02711,16.98562,19.56729,19.06876,20.24386,21.47238,21.65043,21.66823,21.45458,20.36850,20.49313,19.95899,19.72753,19.69192,19.54948,19.67412,19.05095,19.22900,18.92632,18.90852,18.46340,18.32096,18.46340,18.39218,18.35657,18.24975,18.35657,18.49901,18.12511,18.07170,18.30316,18.10731,18.35657,18.08950,17.85804,18.03609,17.78683,17.78683,18.40999,18.16072,18.24975,18.76608,19.65631,20.79581,21.75726,23.84040,24.76624,25.65647,25.65647,25.85232,25.58525,25.37160,24.80185,24.21430,23.51992,22.77212,23.02139,23.00358,22.73651,21.84628,21.54360,21.50799,20.24386,20.04801,21.73945,19.78094,19.65631,17.94707,17.03903,16.95001,19.24680,18.35657
