year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Mosman 132_11kV,01MAY2010,MW,28.27427,27.24869,25.72800,26.09933,25.25057,24.22499,23.23477,22.58052,21.94395,21.25433,20.47630,20.40557,20.19338,19.83973,19.73364,19.83973,19.76900,20.08729,19.92815,19.78669,20.63545,20.68849,21.48420,22.22687,23.39391,24.80851,26.04628,27.21333,29.15840,31.03274,32.92476,34.37473,36.10761,37.16856,37.92890,39.29045,39.92702,40.15690,40.24531,40.31604,39.87398,39.20204,39.50264,38.86607,38.91912,38.65388,37.91122,38.12341,37.80513,37.55757,37.32770,37.22160,36.81491,36.39053,36.17834,36.05456,36.37285,35.84237,35.86005,36.49662,35.75396,36.17834,36.05456,36.12529,36.23139,37.08014,37.85817,38.67157,40.82883,44.02936,46.62868,48.36156,48.57375,48.36156,47.63658,46.46954,45.28481,44.75434,43.21596,41.51845,40.68737,40.19226,39.46728,38.19414,37.16856,36.92100,35.84237,34.90520,34.67533,34.63996,34.10949,32.88940,31.35102,31.75772,30.27239,29.31754
2011,Mosman 132_11kV,02MAY2010,MW,29.05230,28.00904,26.08165,26.78895,26.02860,24.61400,23.80061,23.02258,22.42138,21.48420,21.36043,20.58240,19.94583,20.24643,19.87510,19.94583,19.60986,19.73364,19.83973,20.08729,20.31716,20.61776,20.77691,21.16592,22.27992,22.91648,23.81829,24.87924,26.31152,27.47856,28.80475,30.37849,31.59858,33.13695,33.72048,35.22349,35.84237,36.86796,36.85027,36.86796,37.23929,36.90332,36.37285,36.47894,35.63018,35.89542,35.78932,35.54177,35.32958,35.25885,34.58692,34.85215,34.35704,33.98571,34.09181,33.82657,33.61438,33.15464,33.04854,33.24305,33.29610,33.66743,33.63206,34.05644,34.19790,34.79911,36.23139,37.34538,39.66179,43.55193,46.61100,48.11401,49.36946,49.58165,48.80362,48.25547,47.15915,46.04516,45.28481,44.02936,43.05682,42.17270,41.30626,40.24531,38.93680,37.61062,35.75396,34.72838,33.98571,32.71257,32.04064,30.16630,28.15050,28.62792,27.30174,25.92250
2011,Mosman 132_11kV,03MAY2010,MW,26.34688,24.61400,23.71220,24.61400,23.60610,22.81039,22.01468,21.74944,20.77691,20.40557,19.83973,19.71596,19.13244,19.15012,19.25621,19.25621,19.20317,19.15012,19.46840,19.98119,20.45862,21.04214,22.20919,23.97743,27.10723,29.60046,32.81867,34.99361,37.61062,39.34350,40.08617,39.66179,39.29045,38.86607,38.19414,37.96427,38.08805,37.98195,37.98195,38.03500,38.03500,37.61062,37.27465,37.45148,37.66367,37.29233,37.29233,37.39843,37.29233,37.39843,37.11551,37.69903,37.13319,35.73628,35.59482,35.89542,36.65577,36.37285,36.39053,36.16066,36.31980,36.65577,36.81491,37.32770,37.11551,37.45148,38.86607,40.08617,42.15501,44.75434,47.05306,47.84877,48.96277,50.07676,50.21822,49.89994,49.54629,48.36156,47.95487,46.52259,45.12567,43.92326,43.37511,42.22574,41.05870,39.94471,38.49474,36.85027,35.31190,34.58692,33.15464,30.66141,28.84011,29.15840,27.83221,26.66517
2011,Mosman 132_11kV,04MAY2010,MW,26.34688,25.14448,24.06585,24.45486,23.60610,22.79271,22.38601,21.21897,21.04214,20.37021,20.03424,19.45072,19.30926,19.34462,19.13244,19.18548,19.15012,19.30926,19.71596,20.19338,20.51167,21.43116,22.43906,24.22499,27.37247,30.06020,33.34914,34.83447,37.45148,39.46728,40.56359,39.82093,39.50264,38.75998,38.19414,37.71671,37.80513,37.69903,38.14109,37.59294,37.80513,37.55757,37.13319,36.70881,37.02710,36.69113,37.02710,36.70881,36.54967,36.70881,36.12529,36.49662,36.44358,36.07224,36.10761,36.16066,36.00151,36.26675,36.31980,35.94847,35.86005,36.01920,35.70091,36.23139,36.31980,36.97405,37.48684,38.24719,40.26299,44.01167,46.04516,47.61890,48.14937,48.41461,48.62680,48.36156,47.79572,46.92928,46.18662,44.96653,44.13545,43.21596,42.49098,41.05870,39.89166,38.65388,37.48684,36.10761,34.83447,34.53387,33.04854,30.87360,28.84011,29.10535,27.67307,26.31152
2011,Mosman 132_11kV,05MAY2010,MW,26.34688,24.93229,23.39391,24.11889,23.58842,22.54515,21.94395,21.25433,20.58240,20.05192,19.82205,19.45072,19.13244,19.02634,18.93793,19.23853,19.13244,19.02634,19.46840,19.98119,20.37021,21.37811,22.06773,23.95975,26.61212,29.68887,32.50038,34.51619,37.98195,39.99775,40.29835,40.36908,39.30814,39.07826,38.51243,37.98195,38.35328,38.08805,37.55757,37.80513,37.75208,37.43379,37.02710,36.69113,36.85027,36.85027,36.39053,37.08014,37.22160,37.85817,37.75208,37.18624,36.92100,36.39053,36.26675,35.94847,35.70091,35.36495,35.22349,34.79911,34.63996,35.09971,35.09971,35.70091,36.07224,36.86796,37.96427,38.81303,41.27089,44.87812,47.45976,48.96277,50.50114,51.24381,51.50904,51.43831,51.06698,50.18286,49.74080,48.57375,47.03538,46.46954,46.13357,44.24155,43.60498,42.63244,40.47518,38.72461,37.16856,36.70881,35.36495,33.13695,30.87360,31.12115,29.38827,27.67307
2011,Mosman 132_11kV,06MAY2010,MW,27.79685,26.20542,25.03838,25.67495,24.75546,23.90670,23.05794,22.36833,21.85554,21.27201,20.90068,20.68849,20.37021,20.15802,20.03424,20.24643,20.37021,20.35253,20.68849,20.88300,21.74944,22.49211,23.44696,25.40971,29.15840,31.98759,35.80701,37.76976,40.93492,42.95073,43.48120,43.02146,41.67759,41.51845,40.24531,39.34350,39.25509,39.44960,38.77766,38.88376,38.44170,38.14109,37.82281,36.97405,36.74418,36.81491,36.69113,36.70881,36.33748,36.33748,36.07224,36.05456,35.38263,35.15276,35.52409,35.25885,35.17044,34.90520,34.74606,34.90520,34.30400,34.35704,34.79911,34.95825,35.86005,36.33748,37.13319,39.07826,41.57149,44.66593,47.05306,48.94508,50.07676,50.55419,51.06698,50.85479,50.69565,50.05908,49.06886,48.32620,47.35366,45.99211,45.49700,44.32996,43.07450,42.01355,40.74042,39.18436,38.12341,37.45148,35.48872,32.92476,31.13883,31.06810,29.95411,28.32732
2011,Mosman 132_11kV,07MAY2010,MW,28.09745,26.73590,25.03838,25.92250,25.33898,24.29572,23.32318,22.70429,22.10309,21.20128,21.11287,20.95373,20.47630,20.19338,20.31716,20.72386,20.47630,20.42326,21.11287,21.04214,22.36833,22.68661,23.97743,26.04628,29.05230,32.28819,35.84237,37.91122,41.27089,43.33974,43.53425,43.21596,42.54403,41.80137,40.98797,39.78556,40.03312,39.20204,38.86607,38.45938,38.88376,38.28255,37.98195,37.32770,36.70881,36.79723,36.76186,36.60272,36.86796,36.28443,36.53199,35.91310,35.75396,35.54177,35.59482,35.84237,35.43567,35.25885,35.25885,34.94057,35.17044,34.88752,35.27653,35.78932,36.53199,36.58504,38.14109,39.73252,41.94282,45.09030,47.24757,48.04328,48.43229,48.62680,49.01581,48.75058,47.58353,47.21220,46.29271,45.51468,43.97631,43.48120,42.59708,42.22574,41.25321,40.31604,38.98985,38.30024,37.53989,37.38075,35.96615,34.00339,32.09369,32.88940,31.06810,29.95411
2011,Mosman 132_11kV,08MAY2010,MW,29.81265,27.99135,26.20542,27.00114,26.25847,25.09143,24.03048,23.48232,22.79271,22.27992,21.80249,21.51957,21.14824,20.98909,20.68849,21.00678,20.88300,20.68849,20.95373,21.43116,21.57262,22.22687,22.54515,23.27013,24.70241,25.92250,27.56697,29.21144,30.60836,32.34124,33.57902,35.38263,37.45148,37.61062,38.19414,39.52033,40.20994,40.13921,39.73252,39.73252,40.10385,39.09595,38.98985,38.51243,38.08805,38.24719,37.61062,37.18624,36.76186,36.44358,35.89542,35.54177,35.89542,34.99361,35.48872,34.94057,35.32958,34.74606,34.67533,34.53387,34.90520,35.04666,35.09971,35.73628,36.16066,36.31980,37.85817,39.92702,42.63244,46.25735,48.32620,48.99813,49.59934,49.33410,49.10423,47.63658,46.66404,45.62078,44.13545,43.39279,42.22574,41.80137,40.77578,39.89166,39.13131,37.96427,37.39843,36.65577,36.05456,35.68323,35.36495,33.63206,31.72236,32.14674,30.80287,29.75960
2011,Mosman 132_11kV,09MAY2010,MW,29.44132,28.20354,26.62980,27.63770,26.29384,25.44508,24.17194,23.81829,22.70429,22.06773,21.69639,21.09519,21.09519,20.74154,20.77691,20.31716,20.42326,20.47630,20.77691,20.77691,20.98909,20.98909,21.78481,22.06773,23.65915,23.80061,25.12679,25.55117,27.77916,28.48646,30.60836,31.70467,33.73816,34.74606,35.52409,36.54967,37.39843,37.66367,37.55757,37.59294,37.71671,37.39843,37.11551,36.90332,36.69113,36.63808,35.94847,35.17044,34.94057,34.62228,34.26863,33.82657,33.66743,33.36683,32.62416,32.62416,32.57111,32.51807,32.65953,32.44734,32.60648,33.10159,33.29610,33.13695,34.16254,35.20580,36.47894,37.91122,40.95261,44.24155,46.92928,48.52070,48.90972,49.52861,48.89204,48.64448,47.58353,46.98233,46.18662,44.59520,43.87021,43.97631,42.36720,40.93492,40.10385,38.56547,37.08014,35.75396,34.79911,34.32168,33.08391,31.13883,29.10535,29.26449,27.77916,26.73590
2011,Mosman 132_11kV,10MAY2010,MW,26.66517,25.51581,24.22499,24.91460,24.29572,23.23477,22.91648,22.22687,21.48420,20.90068,20.63545,20.08729,19.94583,19.82205,19.60986,19.89278,19.76900,20.14034,20.24643,20.67081,21.16592,21.94395,22.84575,24.61400,27.46088,30.76750,34.10949,36.42589,39.36118,41.43003,41.74832,40.95261,40.77578,39.62642,39.02522,38.70693,37.92890,37.92890,38.24719,37.66367,36.97405,37.29233,36.76186,36.76186,36.54967,36.39053,36.42589,36.17834,36.28443,36.39053,36.28443,36.01920,36.17834,35.73628,35.86005,35.86005,36.05456,36.21370,36.01920,35.48872,35.27653,35.64786,35.75396,36.26675,36.69113,37.18624,38.40633,40.61664,42.80927,46.55795,48.09633,49.05118,50.21822,51.13771,51.34990,51.03162,50.55419,49.52861,48.52070,47.58353,46.02748,44.34764,44.55983,43.28669,41.58918,40.63432,39.14899,37.13319,35.75396,35.01130,33.36683,31.03274,29.21144,29.42363,27.90294,26.55907
