year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Narrabeen 33_11kV,01MAY2010,MW,4.53603,4.21709,3.98675,4.80182,4.74866,4.44744,4.16394,3.88043,3.70325,3.57921,3.34887,3.20712,3.11852,2.97677,3.06537,2.99449,3.04765,2.92362,3.06537,3.06537,3.26027,3.24255,3.50834,3.52606,3.95131,4.14622,4.41200,4.80182,5.06760,5.28023,5.45741,6.14845,6.21933,6.36108,6.30792,6.75089,7.17615,6.91036,6.89264,6.78633,6.83949,6.69774,6.83949,6.71546,6.57370,6.53827,6.48511,6.41423,6.78633,6.48511,6.43195,6.27248,6.44967,6.64458,6.43195,6.32564,6.46739,6.34336,6.43195,6.32564,6.18389,6.37880,6.55599,6.55599,6.50283,6.66230,6.60914,6.37880,6.64458,6.87493,7.81403,7.81403,8.04437,7.68999,7.51281,7.24702,7.05211,6.80405,6.57370,6.48511,6.23705,6.87493,6.32564,6.09529,5.77635,5.81179,5.56373,5.58145,6.44967,5.72320,5.13848,5.45741,4.83725,4.73094,4.55375,4.35884
2011,Narrabeen 33_11kV,02MAY2010,MW,4.32341,4.00447,3.79184,4.60691,4.60691,4.35884,4.27025,4.03990,3.68553,3.61465,3.47290,3.29571,3.26027,3.17168,3.15396,2.99449,2.97677,2.90590,2.99449,3.10080,3.10080,3.26027,3.41974,3.49062,3.61465,3.56149,3.89815,4.07534,4.32341,4.62463,4.94357,5.40426,5.63460,5.91811,6.04214,6.13073,6.32564,6.46739,6.69774,6.59142,6.73317,6.92808,6.53827,6.53827,6.52055,6.37880,6.52055,6.21933,6.30792,6.29020,6.36108,6.20161,6.37880,6.07758,6.23705,6.07758,6.13073,6.04214,5.90039,6.21933,6.27248,6.07758,6.21933,6.09529,5.86495,5.90039,5.98898,6.04214,6.34336,7.06983,7.70771,7.90262,7.92034,7.95578,7.77859,7.67227,7.51281,7.19387,7.05211,6.98124,6.71546,7.08755,6.44967,6.25476,5.93582,5.84723,5.56373,5.45741,6.09529,5.51057,4.97901,5.03216,4.48288,4.32341,4.37656,4.18166
2011,Narrabeen 33_11kV,03MAY2010,MW,4.00447,3.77412,3.59693,4.35884,4.48288,4.39428,4.12850,3.80956,3.63237,3.47290,3.33115,3.34887,3.20712,3.17168,3.13624,3.10080,3.11852,3.06537,3.04765,3.24255,3.54378,3.82728,4.21709,4.35884,4.89041,5.36882,5.67004,5.38654,5.82951,5.79407,6.09529,6.21933,6.50283,6.23705,6.23705,6.29020,6.39652,6.43195,6.29020,6.34336,6.30792,6.23705,6.27248,6.29020,6.25476,6.16617,6.25476,6.36108,6.30792,6.44967,6.30792,6.21933,6.21933,6.20161,6.25476,6.30792,6.16617,6.09529,6.09529,6.00670,6.16617,6.27248,6.44967,6.32564,6.53827,6.60914,6.85721,6.96352,7.10527,7.99121,8.11525,8.31015,8.38103,8.34559,8.23928,8.07981,7.90262,7.79631,7.72543,7.28246,7.05211,7.70771,7.10527,6.75089,6.44967,6.34336,6.07758,5.95354,6.59142,6.25476,5.75864,5.90039,5.35110,5.12076,4.92585,4.55375
2011,Narrabeen 33_11kV,04MAY2010,MW,4.11078,4.00447,3.68553,4.66007,4.35884,4.23481,4.09306,3.84500,3.68553,3.65009,3.47290,3.36659,3.11852,3.06537,3.06537,3.18940,3.17168,3.11852,3.24255,3.15396,3.61465,3.80956,4.11078,4.44744,4.92585,5.35110,5.74092,5.59917,5.90039,6.16617,6.16617,6.25476,6.36108,6.30792,6.23705,6.30792,6.27248,6.39652,6.25476,6.18389,6.14845,6.27248,6.21933,6.21933,6.04214,6.02442,6.18389,6.07758,6.04214,6.09529,6.00670,6.05986,5.82951,6.27248,6.34336,6.07758,6.16617,6.25476,6.09529,6.16617,6.23705,6.14845,6.27248,6.48511,6.66230,6.80405,6.94580,6.80405,7.30018,7.86718,8.20384,8.45191,8.48734,8.50506,8.34559,8.07981,7.84946,7.72543,7.63684,7.31790,6.89264,7.49509,7.05211,6.64458,6.39652,6.18389,5.90039,5.97126,6.57370,6.23705,5.81179,5.95354,5.28023,5.06760,4.92585,4.44744
2011,Narrabeen 33_11kV,05MAY2010,MW,4.14622,3.91587,3.61465,4.58919,4.44744,4.09306,3.95131,3.61465,3.61465,3.47290,3.45518,3.26027,3.11852,3.04765,3.06537,3.04765,3.02993,3.08309,3.11852,3.17168,3.47290,3.80956,4.07534,4.44744,5.06760,5.12076,5.74092,5.35110,5.91811,6.04214,6.27248,6.18389,5.98898,6.14845,6.25476,6.44967,6.60914,6.32564,6.09529,6.27248,6.18389,6.18389,6.18389,6.07758,6.00670,6.04214,6.09529,6.09529,6.27248,6.53827,6.53827,6.43195,6.30792,6.18389,6.00670,6.13073,5.95354,5.91811,6.13073,6.04214,5.88267,5.98898,6.25476,6.36108,6.30792,6.53827,6.66230,6.76861,7.21158,7.84946,8.18612,8.29244,8.73541,8.66453,8.55822,8.31015,8.11525,7.84946,7.76087,7.68999,7.60140,8.13297,7.63684,7.15843,6.87493,6.62686,6.50283,6.25476,7.08755,6.73317,6.21933,6.18389,5.77635,5.36882,5.28023,4.94357
2011,Narrabeen 33_11kV,06MAY2010,MW,4.67778,4.48288,4.18166,4.96129,4.85497,4.66007,4.35884,4.09306,4.09306,3.80956,3.59693,3.50834,3.56149,3.43746,3.47290,3.41974,3.41974,3.34887,3.43746,3.65009,3.88043,3.95131,4.48288,4.60691,5.15619,5.68776,6.18389,5.90039,6.23705,6.48511,6.53827,6.89264,6.91036,6.66230,6.60914,6.55599,6.55599,6.60914,6.41423,5.98898,6.30792,6.27248,6.29020,6.18389,6.04214,6.13073,5.95354,5.91811,5.93582,6.09529,5.93582,5.90039,5.88267,5.90039,5.81179,6.04214,5.86495,5.88267,5.90039,5.82951,5.74092,6.11301,6.11301,6.25476,6.18389,6.43195,6.76861,6.68002,7.37105,8.22156,8.85944,8.78856,8.78856,8.84172,8.98347,8.82400,8.68225,8.48734,8.29244,8.13297,8.09753,8.64681,7.99121,7.63684,7.12299,6.91036,6.69774,6.23705,7.03440,6.71546,6.20161,6.34336,5.77635,5.47513,5.33338,5.20935
2011,Narrabeen 33_11kV,07MAY2010,MW,4.64235,4.37656,4.23481,4.97901,4.92585,4.62463,4.53603,4.18166,4.03990,3.77412,3.63237,3.63237,3.38431,3.36659,3.36659,3.43746,3.34887,3.47290,3.52606,3.52606,3.89815,4.03990,4.37656,4.66007,5.24479,5.59917,6.13073,5.86495,6.30792,6.68002,6.52055,6.92808,6.69774,6.57370,6.50283,6.62686,6.48511,6.60914,6.37880,6.30792,6.05986,6.27248,6.02442,6.04214,6.16617,5.97126,6.09529,6.00670,6.00670,5.86495,5.88267,5.90039,5.91811,5.79407,5.86495,5.93582,6.00670,5.88267,5.88267,5.90039,5.82951,5.91811,6.37880,6.27248,6.30792,6.50283,6.57370,6.68002,7.01668,7.77859,8.06209,8.13297,8.16840,8.25700,8.07981,7.99121,7.81403,7.63684,7.49509,7.37105,7.30018,7.81403,7.53052,7.15843,6.83949,6.62686,6.59142,6.37880,7.22930,6.91036,6.41423,6.48511,6.04214,5.68776,5.42198,5.12076
2011,Narrabeen 33_11kV,08MAY2010,MW,4.96129,4.53603,4.30569,4.94357,4.87269,4.67778,4.37656,4.18166,3.91587,3.91587,3.68553,3.56149,3.47290,3.38431,3.34887,3.33115,3.22484,3.34887,3.26027,3.43746,3.56149,3.70325,3.82728,3.89815,4.05762,4.32341,4.64235,4.90813,5.33338,5.54601,6.00670,6.18389,6.29020,6.48511,6.53827,6.69774,6.89264,6.83949,6.99896,6.92808,6.75089,6.71546,6.80405,6.44967,6.39652,6.59142,6.37880,6.30792,6.39652,6.07758,6.27248,6.29020,6.13073,6.14845,6.18389,6.13073,6.23705,6.09529,5.95354,5.95354,6.05986,6.09529,6.21933,6.32564,6.21933,6.39652,6.36108,6.34336,6.68002,7.31790,7.68999,7.56596,7.67227,7.74315,7.51281,7.22930,7.05211,6.87493,6.75089,6.71546,6.44967,7.10527,6.62686,6.27248,5.86495,5.82951,5.77635,5.74092,6.71546,6.13073,5.49285,5.58145,5.12076,5.03216,4.99672,4.76638
2011,Narrabeen 33_11kV,09MAY2010,MW,4.50060,4.34113,4.19937,4.92585,4.80182,4.67778,4.23481,4.00447,3.86272,3.79184,3.68553,3.54378,3.36659,3.27799,3.26027,3.26027,3.13624,2.94133,2.97677,3.11852,3.22484,3.43746,3.50834,3.56149,3.56149,3.61465,3.95131,4.32341,4.66007,5.01444,5.28023,5.68776,5.82951,6.27248,6.25476,6.52055,6.53827,6.60914,6.80405,6.62686,6.75089,6.85721,6.60914,6.48511,6.43195,6.44967,6.34336,6.34336,6.00670,5.91811,5.91811,5.90039,5.97126,5.90039,5.74092,5.72320,5.86495,5.74092,5.59917,5.81179,5.81179,5.88267,5.84723,5.91811,5.93582,5.77635,5.90039,6.02442,6.44967,7.12299,7.60140,7.60140,7.60140,7.60140,7.51281,7.31790,7.06983,7.15843,6.98124,6.71546,6.73317,7.37105,6.80405,6.34336,6.02442,6.00670,5.95354,5.61688,6.44967,5.72320,5.17391,5.10304,4.66007,4.48288,4.50060,4.50060
2011,Narrabeen 33_11kV,10MAY2010,MW,4.16394,3.96903,3.84500,4.74866,4.66007,4.42972,4.27025,4.09306,3.80956,3.77412,3.66781,3.59693,3.47290,3.41974,3.43746,3.29571,3.26027,3.34887,3.41974,3.50834,3.68553,4.09306,4.23481,4.51831,5.03216,5.24479,5.61688,5.54601,5.68776,6.13073,5.97126,6.09529,6.25476,6.02442,6.07758,6.18389,6.29020,6.21933,6.23705,6.09529,6.13073,6.25476,6.18389,6.07758,6.13073,5.93582,6.00670,6.07758,5.98898,5.91811,5.95354,6.00670,5.82951,5.86495,6.13073,5.95354,5.90039,5.95354,5.93582,5.97126,6.00670,6.16617,6.37880,6.39652,6.53827,6.62686,6.89264,7.14071,7.56596,8.34559,8.31015,8.46962,8.50506,8.34559,8.20384,8.07981,7.92034,7.65456,7.42421,7.40649,7.14071,7.68999,7.24702,6.85721,6.64458,6.52055,6.34336,6.07758,6.71546,6.32564,5.82951,5.91811,5.40426,5.51057,5.19163,4.97901
2011,Narrabeen 33_11kV,11MAY2010,MW,4.71322,4.28797,4.05762,4.76638,4.66007,4.53603,4.34113,4.07534,3.82728,3.80956,3.70325,3.56149,3.45518,3.33115,3.36659,3.33115,3.33115,3.31343,3.33115,3.45518,3.80956,3.96903,4.25253,4.60691,4.97901,5.28023,5.52829,5.45741,5.86495,6.13073,6.34336,6.23705,6.23705,5.98898,6.27248,6.25476,6.53827,6.41423,6.34336,6.16617,6.13073,5.95354,6.04214,6.05986,6.00670,5.95354,6.09529,5.95354,6.02442,5.98898,6.13073,5.95354,5.97126,5.98898,6.05986,5.98898,6.07758,5.98898,5.98898,5.97126,5.97126,6.00670,6.04214,6.16617,6.16617,6.39652,6.69774,6.75089,7.14071,7.81403,8.15068,8.46962,8.34559,8.46962,8.18612,7.95578,7.77859,7.65456,7.38877,7.28246,7.19387,7.65456,7.22930,6.80405,6.60914,6.48511,6.18389,6.04214,6.85721,6.57370,6.00670,6.00670,5.49285,5.24479,4.92585,4.80182
2011,Narrabeen 33_11kV,12MAY2010,MW,4.53603,4.30569,3.93359,4.74866,4.53603,4.42972,4.34113,3.91587,3.89815,3.77412,3.56149,3.43746,3.43746,3.31343,3.29571,3.27799,3.29571,3.33115,3.29571,3.33115,3.79184,4.05762,4.39428,4.71322,5.22707,5.47513,5.91811,5.81179,6.27248,6.43195,6.52055,6.78633,6.55599,6.43195,6.60914,6.87493,6.46739,6.52055,6.30792,5.98898,6.00670,6.00670,5.91811,6.02442,5.93582,6.09529,6.18389,6.04214,6.00670,5.86495,5.91811,5.86495,5.65232,5.70548,6.04214,5.82951,5.77635,5.70548,5.86495,5.74092,5.68776,5.95354,6.00670,6.36108,6.30792,6.53827,6.80405,7.12299,7.81403,8.66453,8.78856,8.91260,8.93032,9.23154,9.00119,8.91260,8.75313,8.45191,8.31015,8.18612,8.02665,8.55822,8.04437,7.76087,7.38877,7.19387,6.94580,6.73317,7.31790,6.89264,6.30792,6.52055,5.82951,5.56373,5.43970,5.10304
