year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Riverwood 33_11kV,01MAY2010,MW,14.60376,13.38526,13.16702,11.83941,11.02102,10.23900,9.31149,8.69315,8.22030,7.96569,7.71107,7.25641,7.01999,6.91087,6.91087,7.01999,6.98361,7.00180,6.96543,7.07455,7.12911,7.18367,7.45646,7.74745,8.05662,8.05662,8.56584,8.40216,8.80226,9.11143,9.72978,10.29356,10.71185,11.03920,11.22107,11.31200,11.53024,11.78485,11.56661,11.47568,11.49387,11.49387,11.53024,11.73029,11.85760,11.63936,11.63936,11.34837,11.36656,11.20288,11.22107,10.87552,10.69366,10.40268,10.54817,10.74822,10.49361,10.23900,10.52998,10.62091,10.43905,10.52998,10.73003,10.89371,10.83915,11.65754,12.03946,12.25770,12.56687,13.18521,14.31277,14.65832,14.34915,14.31277,14.03997,14.00360,13.60350,13.29433,13.13065,12.80329,12.73055,12.58506,12.67599,12.03946,11.98490,12.34863,12.03946,11.82122,13.36707,12.42138,12.69417,12.09402,11.96671,11.80304,13.58531,13.25796
2011,Riverwood 33_11kV,02MAY2010,MW,14.45826,13.38526,13.07609,12.63961,11.38475,10.32993,9.38423,9.00232,8.20211,7.85657,7.76563,7.32916,7.32916,7.07455,7.20185,6.89268,7.09273,6.81994,6.71082,6.81994,7.05636,6.91087,7.23823,7.31097,7.54740,7.47465,7.56558,7.71107,7.45646,7.92931,8.74770,8.76589,9.29330,9.69340,10.22081,10.31174,10.32993,10.52998,10.65729,10.83915,10.76641,10.51179,10.54817,10.62091,10.62091,10.45724,10.71185,10.54817,10.71185,10.54817,10.32993,10.51179,10.38449,10.03895,10.12988,10.11169,9.80252,9.98439,9.78433,9.96620,10.16625,9.94801,10.32993,10.23900,10.34812,11.02102,11.14832,11.67573,11.82122,13.00334,14.09453,14.11272,14.53101,14.38552,14.27640,14.11272,13.93086,13.54894,13.23977,13.07609,12.85785,12.67599,12.89423,12.34863,12.16677,12.14858,11.76666,11.80304,12.91241,12.02127,12.34863,11.51205,11.16651,11.22107,12.91241,12.53050
2011,Riverwood 33_11kV,03MAY2010,MW,13.73080,12.29407,12.31226,11.53024,10.54817,9.83889,8.89320,8.42035,7.83838,7.74745,7.22004,7.34734,6.98361,6.80175,6.80175,6.83812,6.89268,6.89268,6.91087,7.27460,7.36553,7.87475,8.65677,8.92957,9.45698,10.38449,11.43931,11.09376,12.00309,12.45775,12.62143,12.62143,12.53050,12.63961,12.47594,12.29407,12.36682,12.63961,12.69417,12.38500,12.53050,12.45775,12.54868,12.51231,12.82148,12.62143,12.63961,12.56687,12.63961,12.56687,12.36682,12.42138,12.40319,12.69417,12.69417,12.43956,12.43956,12.34863,12.40319,12.33044,12.40319,12.36682,12.31226,12.65780,12.78511,12.96697,13.53075,13.69443,14.33096,15.22210,15.53127,15.62220,15.62220,15.96774,15.20391,14.85837,14.76743,14.58557,14.25821,13.85811,13.87630,13.53075,13.34889,12.96697,12.74873,12.91241,12.45775,12.36682,13.54894,12.69417,12.89423,11.93034,11.54842,11.63936,13.20340,12.53050
2011,Riverwood 33_11kV,04MAY2010,MW,13.62169,12.53050,12.00309,11.18469,10.34812,9.54791,8.91138,8.20211,7.76563,7.42009,7.12911,7.12911,6.96543,6.91087,6.92905,6.85631,6.72900,7.03817,7.18367,7.20185,7.51102,8.00206,8.49309,9.03869,9.63884,10.32993,11.03920,10.87552,11.67573,11.87578,12.33044,12.62143,12.60324,12.65780,12.63961,12.47594,12.67599,12.53050,12.67599,12.62143,12.51231,12.62143,12.67599,12.54868,12.56687,12.80329,12.56687,12.71236,12.51231,12.94879,12.83967,12.82148,12.73055,12.67599,13.18521,12.91241,13.03972,13.05790,13.03972,12.62143,12.53050,12.63961,13.00334,12.89423,13.00334,13.00334,13.60350,13.54894,13.83992,14.78562,15.53127,15.40396,15.47671,15.49489,15.22210,14.82199,14.80381,14.47645,14.00360,13.83992,13.73080,13.43982,13.29433,12.94879,12.96697,13.00334,12.43956,12.09402,13.56713,12.62143,12.62143,11.74848,11.56661,11.42112,13.05790,12.49412
2011,Riverwood 33_11kV,05MAY2010,MW,13.45801,12.18495,11.93034,11.03920,10.49361,9.36605,8.98413,8.05662,7.83838,7.54740,7.38372,7.27460,7.07455,6.94724,7.11092,6.96543,6.98361,6.85631,6.91087,7.36553,7.71107,7.92931,8.29304,8.85682,9.91164,10.29356,11.34837,11.49387,11.96671,12.38500,12.78511,12.80329,12.67599,12.87604,12.83967,13.05790,12.82148,12.80329,12.73055,12.74873,12.62143,13.02153,12.80329,12.73055,12.73055,12.76692,12.89423,13.33070,13.23977,12.94879,12.74873,12.47594,13.02153,12.58506,12.38500,12.69417,12.38500,12.34863,12.53050,12.34863,12.31226,12.13039,12.42138,12.25770,12.60324,12.54868,13.02153,13.83992,14.25821,15.54945,16.34966,16.29510,16.73158,16.64064,16.42241,16.05868,16.07686,15.89500,15.47671,15.09479,15.27666,14.91293,14.96749,14.49464,14.34915,14.38552,13.65806,13.60350,14.93111,13.85811,14.11272,12.89423,12.25770,12.34863,14.03997,13.45801
2011,Riverwood 33_11kV,06MAY2010,MW,14.53101,13.18521,12.73055,12.20314,11.14832,10.11169,9.31149,8.65677,8.45672,7.92931,7.60196,7.34734,7.40190,7.36553,7.18367,7.11092,7.25641,6.96543,7.23823,7.62014,7.94750,8.45672,9.16599,9.74796,10.47542,11.47568,12.34863,12.51231,13.11246,13.31251,13.67624,14.20365,13.98542,13.47619,13.73080,13.33070,13.18521,13.38526,13.20340,12.91241,12.67599,12.83967,12.62143,12.53050,12.53050,12.56687,12.69417,12.25770,12.18495,11.94853,12.03946,12.02127,12.22133,12.29407,12.34863,12.07583,12.22133,12.11221,12.02127,12.03946,11.87578,11.74848,12.18495,12.18495,12.45775,12.62143,13.11246,13.43982,13.87630,14.96749,15.69495,15.73132,16.22235,16.24054,15.93137,15.64039,15.33122,15.33122,14.80381,14.71288,14.80381,14.51282,14.33096,14.00360,13.93086,14.05816,13.82174,13.45801,14.71288,13.63987,13.87630,12.69417,12.36682,12.40319,14.02179,13.60350
2011,Riverwood 33_11kV,07MAY2010,MW,14.49464,13.33070,12.74873,12.03946,11.16651,10.31174,9.47516,8.98413,8.16574,8.09299,7.74745,7.40190,7.38372,7.34734,7.07455,7.32916,7.16548,7.23823,7.49284,7.71107,7.85657,8.43853,8.89320,9.40242,10.11169,10.93008,12.23951,12.23951,13.05790,13.34889,13.62169,13.65806,13.42163,13.60350,13.49438,13.05790,13.23977,13.38526,13.13065,12.91241,12.74873,12.69417,12.63961,12.51231,12.45775,12.29407,12.07583,12.40319,12.23951,11.98490,11.85760,11.98490,11.53024,11.51205,11.67573,11.49387,11.47568,11.38475,11.60298,11.31200,11.33019,11.58480,11.82122,11.60298,11.91215,12.07583,12.42138,12.96697,13.43982,14.27640,15.34940,15.25847,15.67676,15.64039,15.51308,15.20391,14.91293,14.87655,14.45826,14.31277,14.33096,13.98542,14.05816,13.51257,13.40345,13.36707,13.33070,13.23977,14.64013,13.38526,13.69443,12.94879,12.63961,12.47594,14.20365,13.56713
2011,Riverwood 33_11kV,08MAY2010,MW,14.82199,13.82174,13.34889,12.47594,11.45749,10.56635,10.07532,8.91138,8.27486,8.07480,8.11118,7.78382,7.56558,7.51102,7.36553,7.09273,6.94724,7.07455,7.12911,7.31097,7.43828,7.94750,7.87475,7.96569,8.54765,8.65677,8.96594,8.60221,9.29330,9.78433,10.32993,10.91190,11.53024,11.63936,11.60298,11.96671,12.20314,12.07583,11.80304,11.80304,11.40293,11.67573,11.63936,11.51205,11.23925,11.23925,11.09376,10.98464,10.96646,10.76641,10.67547,10.89371,10.49361,10.43905,10.40268,10.49361,10.38449,10.40268,10.29356,10.29356,10.31174,10.45724,10.45724,10.29356,10.91190,11.43931,11.54842,12.02127,12.51231,13.47619,14.64013,14.53101,14.54920,14.40370,14.22184,13.89448,13.73080,13.49438,13.42163,13.22158,13.13065,13.07609,12.87604,12.73055,12.43956,12.67599,12.20314,12.42138,13.60350,12.63961,12.80329,12.23951,12.11221,12.09402,13.74899,13.40345
2011,Riverwood 33_11kV,09MAY2010,MW,15.14935,13.82174,13.38526,12.94879,11.76666,10.94827,10.22081,9.29330,8.94776,8.54765,7.98387,7.71107,7.40190,7.22004,7.23823,7.14729,7.22004,7.07455,7.00180,6.85631,7.23823,7.14729,7.29278,7.32916,7.72926,7.87475,7.91113,7.67470,8.23848,8.60221,9.12962,9.65703,9.80252,10.49361,10.80278,10.87552,10.78459,11.14832,10.93008,11.09376,11.02102,10.51179,10.82097,10.56635,10.56635,10.67547,10.51179,10.40268,10.43905,10.20262,9.96620,9.87527,9.83889,9.65703,9.54791,9.72978,9.58428,9.23874,9.40242,9.42060,9.60247,9.60247,9.65703,9.89345,10.43905,10.43905,10.65729,11.58480,11.65754,12.91241,13.78536,13.89448,14.11272,13.74899,13.78536,13.62169,13.71262,13.65806,13.53075,13.18521,13.02153,12.85785,12.98516,12.51231,12.47594,12.56687,12.36682,12.20314,13.31251,12.34863,12.40319,11.73029,11.53024,11.47568,13.11246,12.85785
2011,Riverwood 33_11kV,10MAY2010,MW,14.31277,12.78511,12.58506,12.05765,11.11195,9.94801,9.38423,8.80226,8.20211,7.87475,7.52921,7.58377,7.38372,7.27460,7.23823,7.27460,7.00180,7.03817,7.36553,7.14729,7.69289,8.03843,8.71133,9.09325,10.23900,10.98464,12.02127,11.80304,12.82148,13.03972,12.98516,13.29433,13.45801,12.78511,13.02153,12.74873,12.51231,12.94879,12.53050,12.91241,12.67599,12.74873,12.76692,12.56687,12.45775,12.53050,12.38500,12.38500,12.49412,12.34863,12.34863,12.36682,12.69417,12.33044,12.31226,12.58506,12.47594,12.42138,12.40319,12.36682,12.25770,12.22133,12.38500,12.33044,12.83967,12.83967,13.13065,13.54894,14.00360,14.98567,15.60401,15.82225,16.09505,15.96774,15.69495,15.42215,14.98567,14.65832,14.36733,14.25821,14.11272,13.78536,13.49438,13.31251,13.00334,13.29433,12.69417,12.38500,13.83992,12.98516,12.58506,11.83941,11.65754,11.53024,13.14884,12.67599
2011,Riverwood 33_11kV,11MAY2010,MW,13.93086,12.60324,12.42138,11.73029,10.87552,9.76615,9.20237,8.47491,7.98387,7.78382,7.38372,7.12911,7.05636,7.05636,7.05636,7.11092,6.94724,7.11092,7.22004,7.38372,7.80201,8.22030,8.82045,9.18418,10.12988,10.73003,12.07583,11.85760,12.63961,13.11246,13.03972,12.96697,13.00334,13.00334,13.20340,13.13065,13.00334,12.94879,12.87604,12.85785,12.56687,12.73055,12.85785,12.67599,12.63961,12.76692,12.56687,12.85785,12.63961,12.73055,12.58506,12.51231,12.58506,12.42138,12.58506,12.53050,12.74873,12.63961,12.67599,12.63961,12.56687,12.53050,12.71236,12.78511,12.78511,13.25796,13.56713,13.85811,14.27640,15.53127,15.85862,15.84044,16.27691,16.29510,15.69495,15.64039,15.36759,15.25847,14.89474,14.67650,14.60376,14.25821,14.13091,13.89448,13.83992,14.03997,13.18521,13.14884,14.33096,13.16702,13.02153,12.29407,12.14858,11.91215,13.49438,12.89423
