year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Stockton 33_11kV,01MAY2010,MW,2.53167,2.31149,2.40373,2.62497,2.46004,2.25338,2.00426,1.86776,2.08780,1.97027,1.91397,1.75803,1.69066,1.66443,1.65413,1.60229,1.61646,1.69748,1.65532,1.68157,1.73650,1.73056,1.78310,1.86538,1.96405,2.06367,2.11433,2.28276,2.33310,2.59648,2.68233,2.67024,2.69228,2.75432,2.78040,2.89851,2.83297,2.87650,2.92111,2.80537,2.76576,2.71247,2.65881,2.82523,2.70636,2.68086,2.71675,2.74342,2.67803,2.63688,2.71333,2.64055,2.59748,2.58800,2.55977,2.59763,2.48158,2.52123,2.57522,2.66178,2.51711,2.47061,2.49850,2.56975,2.67305,2.74296,2.79004,2.69395,2.85174,3.11806,3.26278,3.28447,3.39822,3.37000,3.20801,3.12884,3.12251,3.10480,2.91562,2.88059,2.82690,2.77278,2.75399,2.62287,2.58950,2.58649,2.84925,2.67606,2.44736,2.30412,2.55722,2.37498,2.54931,2.34726,2.09839,2.19576
2011,Stockton 33_11kV,02MAY2010,MW,2.08580,1.87417,2.07643,2.36623,1.98540,1.82148,1.69200,1.58526,1.70116,1.71066,1.63674,1.64287,1.65583,1.60038,1.59883,1.61509,1.64336,1.60369,1.66788,1.62264,1.64983,1.68442,1.75295,1.78339,1.92468,2.00888,2.08983,2.14299,2.20333,2.44996,2.65029,2.61763,2.65768,2.70359,2.82915,2.95766,2.79469,2.85153,2.97154,2.92551,2.93281,2.89704,2.84318,2.71972,2.73907,2.80915,2.82771,2.75539,2.67941,2.57224,2.59101,2.57068,2.58474,2.60227,2.56703,2.55104,2.58858,2.60906,2.52741,2.44583,2.51891,2.57884,2.55144,2.55721,2.67462,2.79929,2.85339,2.79165,2.88982,3.09255,3.31513,3.38449,3.37075,3.35224,3.29706,3.21303,3.16770,3.30510,3.08915,3.00969,2.85782,2.89426,2.81972,2.73844,2.60252,2.51372,2.74700,2.60267,2.42517,2.31075,2.41966,2.19775,2.47150,2.30597,1.97236,2.02361
2011,Stockton 33_11kV,03MAY2010,MW,2.00468,1.87477,2.04911,2.41372,1.96964,1.76623,1.68579,1.72692,1.65508,1.70206,1.63928,1.57550,1.58968,1.57211,1.51034,1.58676,1.65449,1.62285,1.60181,1.64437,1.74579,1.82597,1.93608,2.03175,2.30118,2.43445,2.59594,2.61398,2.68915,2.83665,2.74476,2.75350,2.70328,2.71009,2.59707,2.72287,2.72038,2.56265,2.58735,2.69727,2.71883,2.60211,2.58830,2.64967,2.69107,2.66247,2.77601,2.74918,2.76548,2.75698,2.63229,2.60382,2.59260,2.62128,2.61102,2.51594,2.51090,2.53031,2.58354,2.44325,2.47049,2.49691,2.56053,2.49183,2.60776,2.71624,2.79188,2.99949,2.95754,3.16306,3.42072,3.44695,3.52480,3.38470,3.28012,3.35469,3.16455,3.19107,3.08924,3.02742,2.90910,2.82214,2.76346,2.72664,2.56780,2.46339,2.45059,2.36463,2.88410,2.75790,2.60386,2.43250,2.47405,2.31575,2.31787,2.41104
2011,Stockton 33_11kV,04MAY2010,MW,2.49089,2.28364,2.31893,2.60186,2.51276,2.29428,2.04980,2.07261,1.92448,1.86372,1.79791,1.77045,1.75257,1.66991,1.63945,1.65523,1.65109,1.59628,1.72176,1.77857,1.81150,1.93276,1.99665,2.07906,2.30103,2.50730,2.61161,2.75224,2.77673,2.90112,2.85884,2.77768,2.73333,2.77339,2.62536,2.58976,2.55642,2.59230,2.61234,2.55918,2.62143,2.54620,2.58849,2.72929,2.67085,2.72536,2.83951,2.90956,2.78423,2.73900,2.87685,2.71392,2.68462,2.66872,2.71970,2.61826,2.59423,2.61811,2.48070,2.40654,2.47502,2.45389,2.49978,2.44679,2.61115,2.56806,2.62338,2.72182,2.94289,3.14947,3.40654,3.46746,3.54817,3.44528,3.34857,3.32508,3.30134,3.22584,3.08915,3.02497,2.98814,2.86485,2.79218,2.64996,2.65107,2.49721,2.46799,2.44110,2.94426,2.79686,2.60478,2.42785,2.51425,2.36391,2.26299,2.40055
2011,Stockton 33_11kV,05MAY2010,MW,2.39567,2.26974,2.37836,2.59225,2.51818,2.23645,2.08501,2.10825,1.88053,1.85343,1.74206,1.73709,1.70681,1.69189,1.65526,1.63872,1.70953,1.65124,1.60536,1.67785,1.84678,1.92056,2.02221,2.08445,2.34878,2.52337,2.68346,2.84251,2.86506,2.81669,2.90224,2.89389,2.84571,2.66207,2.58031,2.53852,2.54930,2.57495,2.65401,2.71354,2.54505,2.47910,2.60054,2.55819,2.60610,2.66547,2.63619,2.72330,2.67763,2.66020,2.53160,2.47745,2.64276,2.58453,2.51099,2.53299,2.49243,2.47493,2.46317,2.40863,2.45820,2.34422,2.28735,2.36984,2.43849,2.54266,2.60113,2.74358,2.87837,3.03645,3.34098,3.46555,3.39815,3.34374,3.32217,3.39255,3.25375,3.25419,3.11450,3.07124,2.92492,2.90334,2.85235,2.77114,2.66641,2.60313,2.54989,2.45712,2.91418,2.75205,2.56715,2.44574,2.54060,2.38413,2.40150,2.43816
2011,Stockton 33_11kV,06MAY2010,MW,2.51969,2.44259,2.44036,2.67862,2.55717,2.33777,2.20840,2.33034,2.03692,1.96203,1.93862,1.88650,1.82211,1.84025,1.77822,1.75119,1.78796,1.78165,1.77520,1.80900,2.02583,2.05837,2.19771,2.26365,2.58888,2.81270,3.03995,3.01190,3.01874,3.24237,3.24710,3.31281,3.14411,3.19153,2.92346,2.90387,2.92375,2.75726,2.82735,2.86306,2.67190,2.66881,2.71534,2.69173,2.63750,2.63708,2.77845,2.67321,2.53339,2.49499,2.49527,2.40397,2.37963,2.47538,2.40750,2.35202,2.34899,2.34123,2.38098,2.19456,2.19329,2.19950,2.26788,2.31894,2.39180,2.48205,2.64047,2.76669,2.86225,3.01465,3.25357,3.39488,3.47535,3.46483,3.42216,3.47427,3.32040,3.31467,3.27103,3.31084,3.09719,3.09481,2.96652,2.89598,2.74457,2.72840,2.71731,2.59337,3.08688,2.95966,2.77054,2.57882,2.66218,2.51849,2.43620,2.55825
2011,Stockton 33_11kV,07MAY2010,MW,2.70117,2.40716,2.54644,2.76069,2.65475,2.44004,2.39520,2.44125,2.24746,2.13740,1.99451,1.94018,1.95319,1.81035,1.79719,1.82715,1.84008,1.81099,1.78361,1.87992,1.97571,2.07043,2.16048,2.31160,2.58283,2.86928,3.01029,3.00213,3.13142,3.32960,3.25120,3.18511,3.12649,3.10536,2.88664,2.86972,2.86861,2.71279,2.72621,2.84131,2.69063,2.54226,2.58157,2.59565,2.54120,2.56065,2.51757,2.54138,2.51274,2.41260,2.42118,2.47666,2.42168,2.39340,2.33230,2.40643,2.35399,2.33577,2.32510,2.31826,2.38558,2.31276,2.33392,2.30108,2.48997,2.56093,2.62603,2.77067,2.97110,3.19524,3.39735,3.39925,3.47999,3.43560,3.35510,3.31777,3.33355,3.38877,3.18270,3.20180,3.07881,2.96198,2.96865,2.85622,2.83634,2.73108,2.75619,2.68285,3.14499,3.04725,2.84987,2.69575,2.74141,2.61071,2.62606,2.65155
2011,Stockton 33_11kV,08MAY2010,MW,2.63338,2.53364,2.63380,2.79090,2.75412,2.44204,2.24333,2.10409,2.24925,2.17597,2.03689,1.96928,1.88257,1.84833,1.79098,1.77445,1.78294,1.84094,1.78404,1.85383,1.87332,1.92656,1.91080,2.06218,2.06680,2.16942,2.30652,2.49883,2.73932,2.90362,2.90281,2.98839,3.11986,3.17606,3.07677,3.03026,3.03644,3.12833,2.92443,2.97332,2.95395,2.80840,2.82444,2.76273,2.76873,2.64462,2.65126,2.72208,2.51912,2.46345,2.50276,2.45779,2.45670,2.39485,2.45677,2.36309,2.38960,2.46299,2.50682,2.36352,2.38378,2.43789,2.52784,2.49162,2.49150,2.61872,2.82762,2.79458,2.88387,3.12904,3.40877,3.34607,3.39458,3.39704,3.30722,3.26043,3.21757,3.26953,3.02282,2.96268,2.89917,2.94347,2.85102,2.78225,2.72748,2.60903,2.93231,2.72690,2.58221,2.48227,2.47818,2.32379,2.61531,2.37317,2.25721,2.22335
2011,Stockton 33_11kV,09MAY2010,MW,2.25196,2.07841,2.24626,2.50161,2.13486,1.92789,1.79971,1.81289,1.94408,1.84499,1.75996,1.76436,1.79885,1.78083,1.74874,1.80663,1.81938,1.71886,1.78835,1.78525,1.76679,1.87139,1.83597,1.88829,2.03649,2.12037,2.25569,2.44989,2.53734,2.70124,2.81482,2.88883,3.01183,2.99920,2.92665,3.00803,3.11154,3.07565,3.07886,3.14831,3.05190,2.97387,2.93930,2.83915,2.76878,2.88619,2.69284,2.65631,2.65784,2.55145,2.48738,2.48920,2.54350,2.40103,2.35272,2.41955,2.40520,2.36413,2.33982,2.45289,2.40867,2.44452,2.43793,2.47457,2.51990,2.63688,2.66537,2.73542,2.77993,3.01096,3.29387,3.26089,3.30028,3.21902,3.20730,3.16505,3.09547,3.14082,3.03911,2.89605,2.87647,2.81457,2.70490,2.60707,2.63773,2.58093,2.79222,2.59005,2.44146,2.34129,2.33689,2.14575,2.50716,2.29406,1.98576,1.98883
2011,Stockton 33_11kV,10MAY2010,MW,1.96598,1.86870,2.05354,2.37414,2.00130,1.76881,1.66759,1.73565,1.73716,1.67183,1.63273,1.67403,1.64384,1.62807,1.72641,1.69253,1.72931,1.67437,1.65615,1.70655,1.92914,1.94308,2.07810,2.23153,2.49683,2.64841,2.91458,2.95357,2.97079,3.07910,3.11376,3.02046,3.00052,2.89253,2.84424,2.85290,2.73769,2.71964,2.80398,2.76758,2.72494,2.69832,2.64608,2.63228,2.69621,2.66688,2.75782,2.67031,2.68727,2.62232,2.58423,2.56546,2.50583,2.53099,2.56889,2.59686,2.55601,2.54845,2.48997,2.50113,2.50489,2.45306,2.45814,2.53335,2.62852,2.72667,2.83566,2.94567,3.13299,3.36372,3.58292,3.52425,3.54189,3.50736,3.33297,3.24556,3.30408,3.26301,3.15632,3.02146,3.05867,2.86165,2.72014,2.72023,2.66205,2.54270,2.47660,2.44198,3.03964,2.81881,2.58217,2.45781,2.57456,2.48892,2.37986,2.42291
