year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Telarah 33_11kV,01MAY2010,MW,7.03090,6.83050,6.34505,5.92264,5.38456,4.96760,4.69808,4.42526,4.18969,4.05336,3.91501,3.83459,3.76842,3.77464,3.69448,3.71831,3.70402,3.64202,3.69244,3.76527,4.02197,4.12691,4.07289,4.19577,4.45526,4.56731,4.65210,4.80153,5.19009,5.48353,5.73023,5.98954,6.22177,6.42695,6.44402,6.58505,6.53642,6.62523,6.73308,6.70086,6.76115,6.65236,6.52640,6.46029,6.36042,6.52792,6.56800,6.51725,6.44349,6.46985,6.47154,6.29868,6.39818,6.29078,6.23507,6.04360,6.14116,6.10208,6.09296,6.00680,6.05020,6.08369,6.07163,6.10220,6.24963,6.27075,6.40852,6.62458,7.02062,7.38049,8.24759,8.36051,8.18788,8.08298,7.98426,7.73800,7.53911,7.41714,7.30582,6.96556,6.67131,6.49121,6.35322,6.21360,6.05376,5.93297,5.94701,5.81889,5.64094,5.47685,5.23983,5.10087,5.15474,5.04146,5.02164,4.76716
2011,Telarah 33_11kV,02MAY2010,MW,4.54629,4.34826,4.33952,4.23957,4.03201,3.99100,3.85627,3.80321,3.77937,3.70931,3.67291,3.68708,3.66681,3.63800,3.63099,3.58737,3.65818,3.61339,3.63058,3.75239,3.90212,4.00832,3.94895,4.04997,4.21569,4.40038,4.47488,4.67872,4.93584,5.07346,5.36154,5.55521,5.73198,5.74587,5.98256,6.16318,6.18589,6.30633,6.39656,6.48000,6.49235,6.40238,6.29738,6.29838,6.20489,6.04104,6.03279,5.99132,6.08370,6.18229,6.24314,6.24353,6.23599,6.20332,6.13830,6.13173,6.06749,6.10448,6.01008,5.95176,6.05130,6.00726,6.08133,6.10810,6.31108,6.42593,6.45205,6.75630,7.07461,7.67458,8.37567,8.73655,8.61682,8.43024,8.30245,7.94587,7.83622,7.65791,7.44184,7.27696,7.02883,6.78900,6.63262,6.52536,6.18525,5.92025,5.80329,5.63558,5.33732,5.12201,4.86582,4.74219,4.77462,4.56385,4.58407,4.35647
2011,Telarah 33_11kV,03MAY2010,MW,4.23415,3.99277,3.92491,3.88415,3.81954,3.71421,3.61173,3.62839,3.63485,3.62765,3.61286,3.59040,3.69288,3.68280,3.64492,3.67829,3.76650,3.88205,3.91897,4.07013,4.28229,4.34529,4.50700,4.76999,5.11162,5.26800,5.35493,5.72552,5.75287,5.96617,6.08560,6.19982,6.26247,6.25805,6.16247,6.25721,6.18084,6.17431,6.10994,6.18812,6.19506,6.22097,6.24199,6.24363,6.14650,6.27206,6.23929,6.39242,6.43807,6.62836,6.40877,6.44651,6.45086,6.43383,6.43726,6.37136,6.48042,6.31466,6.40267,6.26535,6.30606,6.08041,6.12928,6.21685,6.40588,6.48473,6.62359,6.94217,7.24143,7.61512,8.07618,8.19095,8.16369,8.01460,7.86047,7.82645,7.49718,7.30517,7.19492,7.02595,6.89211,6.56386,6.41856,6.26536,5.90455,5.87291,6.09727,5.97101,5.63609,5.31017,5.17476,4.79291,6.42346,6.57609,6.19772,5.87661
2011,Telarah 33_11kV,04MAY2010,MW,6.84043,6.65130,6.25452,5.71084,5.27666,4.90019,4.49111,4.21088,4.04815,3.94046,3.85831,3.74765,3.74536,3.74371,3.73932,3.72441,3.76905,3.82117,3.85742,3.94383,4.23759,4.28873,4.39590,4.65701,4.99008,4.90011,5.12501,5.36140,5.59576,5.79087,6.06135,6.09460,6.70294,6.58022,6.47185,6.38687,6.43138,6.41482,6.36281,6.49227,6.50734,6.47205,6.50496,6.44681,6.51002,6.53126,6.56261,6.67090,6.68170,6.66326,6.57005,6.48370,6.41222,6.37992,6.62624,6.41523,6.30259,6.31307,6.33628,6.48116,6.26162,6.20394,6.31826,6.44293,6.62879,6.66742,6.67397,6.83182,7.16193,7.59595,7.96673,8.14779,8.20276,8.20694,8.08589,7.89908,7.67386,7.52776,7.43546,7.29447,6.95843,6.58232,6.54793,6.38358,6.27184,6.27111,6.28604,6.24983,5.92602,5.59174,5.29900,4.97671,6.55744,6.58377,6.39077,5.93623
2011,Telarah 33_11kV,05MAY2010,MW,6.87637,6.62603,6.25301,5.72971,5.19180,4.85145,4.55752,4.31728,4.06835,3.92112,3.83115,3.72540,3.73612,3.65538,3.60918,3.67397,3.69120,3.82400,3.84876,3.96768,4.17449,4.37064,4.46300,4.75421,5.20765,5.39898,5.58614,5.86384,5.74149,6.05979,6.25130,6.36100,6.45990,6.42885,6.38764,6.27431,6.39059,6.45917,6.47069,6.46644,6.46340,6.51011,6.50899,6.55454,6.53361,6.69810,6.65008,6.66451,6.67636,6.13806,6.29445,5.81185,5.45372,5.49369,5.44916,5.60752,5.32491,5.30029,5.27259,5.28491,5.32656,5.24669,5.25557,5.22450,5.31551,5.35298,5.33048,5.41390,5.80662,7.24059,7.88460,8.03364,8.10100,8.11094,7.85682,7.81039,7.79342,7.48178,7.31615,7.20635,7.08170,6.97080,6.72463,6.60752,6.53037,6.49556,6.68746,6.45973,6.10276,5.70496,5.43552,5.24707,6.85635,6.91041,6.53727,5.95781
2011,Telarah 33_11kV,06MAY2010,MW,7.03111,6.94961,6.48349,5.86121,5.45864,4.97183,4.66154,4.35470,4.30443,4.20742,4.11890,3.96316,3.88070,3.93287,3.88965,3.94880,3.94601,4.02644,4.07982,4.21259,4.43141,4.51243,4.74341,5.08312,5.42335,5.60704,5.84821,6.15107,5.99230,6.34775,6.72073,6.99717,6.98734,6.89208,6.71079,6.57031,6.62054,6.58128,6.52085,6.45414,6.38046,6.36139,6.25257,6.28296,6.14590,6.18309,6.10780,6.11070,6.12881,6.09107,6.10302,6.02039,6.02781,6.02629,6.00765,6.01228,5.93661,5.93971,5.97576,5.90078,5.88400,5.82225,5.82276,5.87881,5.95555,6.11505,6.36140,6.62702,7.01497,7.48278,7.87850,7.96170,8.15406,8.23751,8.19784,8.11184,8.05456,7.91467,7.77800,7.75482,7.46864,7.33444,7.18424,7.04763,6.85970,6.97832,6.97751,6.77959,6.37043,6.06151,5.75458,5.45325,7.10206,7.19300,6.65604,6.27647
2011,Telarah 33_11kV,07MAY2010,MW,7.18737,7.06771,6.67443,6.22493,5.81731,5.33429,5.00624,4.73570,4.52737,4.44783,4.27179,4.09963,4.00815,4.00240,3.92824,3.91896,3.92631,3.94241,4.14294,4.26713,4.60004,4.72019,4.90741,5.13307,5.61706,5.77384,6.06668,6.46016,6.43791,6.87663,6.97955,7.06158,7.25572,7.13249,6.89706,6.84554,6.73920,6.66400,6.61314,6.44274,6.41542,6.32962,6.24991,6.19785,6.12117,6.22642,6.17367,6.16978,6.21457,6.28441,6.19658,6.21330,6.17121,6.16626,6.15944,6.11888,6.05133,5.96806,5.88838,5.93583,5.83700,5.85834,5.79992,5.80575,6.01624,6.15371,6.17382,6.36381,6.72670,7.04158,7.39500,7.55943,7.67062,7.62533,7.54519,7.48411,7.34414,7.17488,7.25853,7.15022,6.93104,6.74069,6.62118,6.61687,6.54209,6.66079,6.81183,6.56573,6.41877,6.13748,5.79038,5.45712,7.03291,7.11375,6.66783,6.28274
2011,Telarah 33_11kV,08MAY2010,MW,7.16505,7.04973,6.66413,6.18182,5.64202,5.24206,4.91832,4.74359,4.46969,4.24172,4.14643,3.91567,3.88286,3.89008,3.81146,3.76770,3.81798,3.75790,3.86713,3.92024,4.19198,4.28159,4.35068,4.51793,4.83819,4.94571,5.09748,5.50568,5.95111,6.38967,6.55432,6.86966,7.04812,6.95431,7.06809,7.31214,7.13351,7.07868,6.99738,6.90372,6.83383,6.67265,6.56353,6.41991,6.35632,6.28090,6.21902,6.08043,6.03616,5.92900,5.83896,5.84975,5.79488,5.75203,5.72827,5.71426,5.74936,5.71691,5.64578,5.70475,5.60508,5.55281,5.65600,5.66602,5.85559,6.11553,6.31985,6.53593,6.91187,7.67370,8.25689,8.34045,8.31828,8.23394,8.10423,7.97413,7.83590,7.67242,7.35665,7.26546,7.03297,6.88277,6.74692,6.62597,6.44578,6.29797,6.08578,5.94861,5.80162,5.60608,5.47201,5.26684,5.24462,5.15150,5.04355,4.90206
2011,Telarah 33_11kV,09MAY2010,MW,4.80808,4.53531,4.50683,4.33799,4.19863,4.12436,4.03198,4.02165,4.03191,3.95777,3.87032,3.85144,3.85068,3.93476,3.83567,3.85003,3.87543,3.79672,3.89657,3.93516,4.00421,4.04116,4.11160,4.20004,4.47186,4.63026,4.64339,4.94937,5.30766,5.54899,5.76902,5.96749,6.22266,6.40058,6.55738,6.58752,6.72694,6.61917,6.50305,6.45928,6.38853,6.29082,6.06030,6.05061,6.01261,5.90546,5.89425,5.82520,5.79299,5.80042,5.67268,5.71855,5.69991,5.65128,5.62435,5.51642,5.52559,5.53219,5.49203,5.40508,5.44814,5.40213,5.40091,5.53557,5.79297,5.93939,6.09346,6.41073,6.68008,7.27512,7.83346,8.08075,7.88545,8.04462,8.04041,7.85005,7.71055,7.34419,7.24939,7.15161,6.93382,6.77490,6.60134,6.50788,6.19896,5.98708,5.90060,5.76248,5.52136,5.26395,5.00554,4.75453,4.71970,4.56172,4.58511,4.41803
2011,Telarah 33_11kV,10MAY2010,MW,4.38706,4.16784,4.16496,4.06333,3.92711,3.86953,3.82203,3.80609,3.81432,3.71347,3.69373,3.73595,3.72858,3.91587,3.83384,3.79014,3.92041,3.99040,4.09243,4.19745,4.49977,4.60105,4.66771,4.85960,5.36093,5.56873,5.86594,6.19407,6.17594,6.45065,6.64273,6.76103,6.81094,6.82698,6.65228,6.65894,6.51538,6.42998,6.56973,6.48698,6.45217,6.49673,6.40222,6.40566,6.35252,6.47238,6.47961,6.48382,6.43825,6.47113,6.41752,6.50192,6.60044,6.62469,6.57688,6.57951,6.38915,6.44397,6.50930,6.61932,6.38178,6.40925,6.49951,6.49398,6.63830,6.60274,6.82137,7.00068,7.32532,7.72477,8.11065,8.14632,8.12620,8.03894,7.88299,7.70753,7.52876,7.39938,7.25298,7.11498,6.83822,6.43589,6.27804,6.19559,6.12770,6.07944,6.23042,6.01864,5.85568,5.62022,5.33568,5.05514,6.72079,6.81434,6.50540,6.07283
2011,Telarah 33_11kV,11MAY2010,MW,6.95120,6.80883,6.50135,5.99028,5.47644,5.08839,4.82766,4.61823,4.40832,4.19626,4.00581,3.91462,3.88392,3.94436,3.92559,3.86479,3.92828,3.95404,4.07086,4.16838,4.43629,4.60152,4.75512,5.01186,5.43842,5.53112,5.81187,6.21084,6.12335,6.39492,6.59112,6.61915,6.57842,6.60613,6.56778,6.48234,6.33983,6.36028,6.43058,6.41806,6.40088,6.42449,6.39550,6.41713,6.31619,6.34377,6.36527,6.32811,6.45800,6.38658,6.37714,6.57266,6.41622,6.52533,6.70698,6.49215,6.42232,6.56505,6.45205,6.36733,6.44361,6.41494,6.27672,6.42353,6.74311,6.68672,6.82624,7.10168,7.29923,7.55935,8.02523,8.19034,8.15310,8.27528,8.09303,7.79633,7.68492,7.57282,7.41966,7.33378,6.96874,6.74588,6.54486,6.44689,6.36629,6.37763,6.50864,6.30000,6.03195,5.61274,5.22332,4.98808,6.67683,6.77271,6.51826,6.18849
2011,Telarah 33_11kV,12MAY2010,MW,7.17639,6.95223,6.54330,6.04793,5.57215,4.99237,4.64871,4.45067,4.26520,4.12571,4.02361,3.91467,3.85955,3.85838,3.80659,3.83488,3.84878,3.93582,4.04111,4.10416,4.52072,4.75548,4.77856,5.06238,5.61099,5.74912,6.04806,6.51525,6.47135,6.60696,6.83663,6.84010,6.92261,6.98586,6.81728,6.75656,6.72677,6.64086,6.57477,6.49586,6.43194,6.42123,6.44587,6.43220,6.26341,6.26654,6.26723,6.31795,6.24383,6.30572,6.20436,6.17911,6.08661,6.11348,6.04917,5.97538,5.92740,5.98101,5.93320,5.99363,5.90202,5.86750,5.86126,5.99515,6.22590,6.50490,6.76808,6.94974,7.52093,8.12474,8.46981,8.79407,8.96626,8.97873,8.90211,8.88562,8.67258,8.49703,8.51956,8.43611,8.22647,7.79056,7.71104,7.46637,7.23660,7.16730,7.28181,7.05168,6.65294,6.17415,5.84183,5.46544,7.13496,7.22453,6.66802,6.31084
