year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Wamberal 132_11kV,01MAY2010,MW,4.50367,5.46549,5.19956,4.68488,4.38760,4.24973,4.59429,4.24372,3.94626,3.77765,3.38159,3.13653,2.91790,2.84002,2.71451,2.61005,2.53054,2.56531,2.43813,2.29122,2.49172,2.49172,2.50815,2.53387,2.53846,2.75702,2.92040,2.93776,2.83133,3.00209,3.23024,3.34908,3.47254,3.69739,3.83576,3.88494,3.84600,3.93644,3.85814,3.85814,3.85814,3.85814,3.85814,3.85814,3.72421,3.56342,3.56342,3.56342,3.45459,3.62796,3.69739,3.84719,3.70239,3.58516,3.61665,3.58117,3.54964,3.50984,3.50984,3.53485,3.67059,3.67059,3.69292,3.73180,3.72418,3.86889,4.10916,4.23270,4.32472,4.53555,4.90940,5.35877,5.48779,5.38532,5.37139,5.22359,5.01047,4.87924,4.82018,4.54713,4.89943,4.64635,4.76409,4.60536,4.89225,4.47890,4.07725,3.76098,3.85064,4.72813,5.09918,4.81024,5.27857,4.97954,5.21474,4.91086
2011,Wamberal 132_11kV,02MAY2010,MW,4.56821,5.56379,5.31697,4.79487,4.42591,4.24300,4.59006,4.25241,4.05379,3.64559,3.44649,3.16737,2.92826,2.81323,2.63485,2.55950,2.41134,2.41134,2.41134,2.41134,2.41134,2.41134,2.41134,2.54721,2.59889,2.59889,2.71392,2.88087,2.81323,2.81323,3.01995,3.21616,3.53389,3.54640,3.66762,3.77979,3.91173,3.93495,4.03515,4.09928,3.92590,3.60355,3.53663,3.58608,3.55277,3.47033,3.26870,3.34060,3.52603,3.40472,3.42369,3.41577,3.40267,3.40267,3.40267,3.40267,3.45512,3.29550,3.34748,3.31610,3.42946,3.42946,3.42946,3.52877,3.66095,3.82766,4.09517,4.23390,4.33434,4.67752,5.17878,5.41212,5.41212,5.47213,5.51929,5.41432,5.05348,4.93259,4.85162,4.74230,5.15902,4.87612,4.86200,4.67505,4.76097,4.47164,4.12607,3.92417,3.67536,4.59420,4.79005,4.43609,4.77794,4.61048,4.85712,4.72241
2011,Wamberal 132_11kV,03MAY2010,MW,4.35851,5.33495,4.95575,4.54118,4.22229,4.15673,4.49271,4.29552,3.93376,3.53318,3.31860,2.98637,2.86681,2.86681,2.73642,2.70606,2.70606,2.64339,2.40384,2.43813,2.53191,2.62568,2.62568,2.89361,3.27990,3.55021,3.84680,4.11226,3.56390,3.90196,3.99377,4.01890,4.01568,3.78622,3.81266,3.69739,3.69739,3.69649,3.53663,3.53663,3.53663,3.53663,3.63023,3.48995,3.48305,3.48305,3.35396,3.30580,3.57164,3.50091,3.58137,3.61701,3.60722,3.42946,3.42946,3.42946,3.42946,3.42946,3.42946,3.42946,3.42946,3.42946,3.55449,3.67744,3.58748,3.73037,3.83135,4.00354,4.26599,4.75391,5.78427,5.88036,5.92165,5.91752,5.80972,5.54310,5.41212,5.21492,5.19778,5.19778,5.44945,5.05578,5.10487,4.71765,4.86629,4.48426,4.15661,3.94531,3.95406,4.70643,5.09061,4.64210,5.01978,5.00951,5.13130,4.83530
2011,Wamberal 132_11kV,04MAY2010,MW,4.46282,5.54477,5.08418,4.64382,4.20597,4.13250,4.59583,4.28814,3.92888,3.60022,3.27918,2.97530,2.78644,2.62425,2.57210,2.57210,2.51958,2.55542,2.38455,2.38455,2.38455,2.64616,2.81502,2.94719,3.22488,3.61314,3.88898,4.08683,3.81010,3.88958,4.14750,4.23324,4.08517,3.91173,3.91173,3.91173,3.91173,3.65991,3.58295,3.56342,3.56342,3.50490,3.50984,3.50984,3.50984,3.28121,3.37588,3.28180,3.31157,3.45075,3.61701,3.61701,3.61701,3.49323,3.65059,3.45625,3.56399,3.43899,3.61856,3.54044,3.61963,3.67476,3.95281,3.53663,3.53663,3.82108,3.88494,4.01336,4.15334,4.52296,5.05220,5.43540,5.62646,5.62646,5.62646,5.55698,5.46570,5.30257,5.16253,4.98343,5.18501,4.95664,4.95664,4.78946,4.89347,4.43356,4.14566,3.91173,3.87982,4.59970,4.98343,4.53153,4.96057,4.65677,5.03982,4.58940
2011,Wamberal 132_11kV,05MAY2010,MW,4.29052,5.25100,4.93175,4.50617,4.02652,3.95612,4.40483,4.19335,3.84231,3.49841,3.23191,3.02995,2.83966,2.80516,2.59889,2.50136,2.41134,2.41134,2.41134,2.41134,2.55888,2.65408,2.69820,2.81323,3.08401,3.43509,3.82656,3.97520,3.68426,4.03736,4.04569,4.03331,3.84677,3.77777,3.74680,3.57503,3.59034,3.50984,3.61921,3.49305,3.32229,3.32229,3.33604,3.29550,3.29550,3.29550,3.29550,3.29550,3.29550,3.29550,3.27272,3.40779,3.72400,3.74871,3.47531,3.39588,3.45911,3.44387,3.31958,3.26870,3.41100,3.53663,3.53663,3.53663,3.55137,3.83135,3.83135,4.02801,4.32011,4.81914,5.35216,5.82842,5.90939,6.04490,5.84979,5.79305,5.79615,5.55043,5.46570,5.46570,5.86295,5.56439,5.56912,5.23326,5.36681,4.87290,4.55225,4.18978,4.21383,4.84009,5.42138,4.85129,5.31001,4.98677,5.32775,4.92830
2011,Wamberal 132_11kV,06MAY2010,MW,4.60965,5.54209,5.31525,4.76918,4.48069,4.30606,4.70131,4.42079,4.09618,3.79396,3.56128,3.28383,3.13474,2.93850,2.70606,2.70606,2.70606,2.61997,2.55953,2.54530,2.69272,2.84758,2.99387,3.16153,3.30627,3.75800,4.32175,4.84268,4.40224,4.54079,5.20939,5.08805,4.85019,4.82268,4.56219,4.35756,4.33571,4.31362,4.31362,3.98955,3.88494,3.88375,3.73466,3.64630,3.49293,3.31002,3.50984,3.35456,3.39838,3.52955,3.59022,3.48209,3.37588,3.37588,3.37588,3.40454,3.40910,3.40267,3.40267,3.40267,3.55556,3.72418,3.73240,3.67131,3.57783,3.75097,3.86314,4.06463,4.46973,4.88272,5.38985,5.78778,6.02894,5.93838,5.93916,5.89760,5.94690,5.94026,5.76554,5.65480,6.20274,5.78650,5.96792,5.59461,5.75724,5.36913,4.98653,4.67419,4.60012,5.26642,5.61318,5.03181,5.39265,5.06661,5.44489,5.08846
2011,Wamberal 132_11kV,07MAY2010,MW,4.71009,5.64259,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,5.46570,3.51067,3.53663,3.49352,3.41907,3.36218,3.34908,3.34908,3.34908,3.34908,3.37823,3.43232,3.43488,3.59022,3.59022,3.63547,3.97174,4.14536,4.35827,4.78374,5.19170,5.59877,5.69555,5.68004,5.60627,5.51607,5.38955,5.46570,5.27208,5.25136,5.62682,5.29614,5.30495,5.26083,5.46749,5.12978,4.86852,4.59083,4.56261,5.43492,5.76042,5.34823,5.86768,5.59609,5.79972,5.36103
2011,Wamberal 132_11kV,08MAY2010,MW,4.91639,5.75661,5.47690,4.91220,4.50462,4.45095,4.79589,4.54677,4.20121,3.96091,3.61725,3.31241,3.17928,2.97399,2.84395,2.83300,2.68796,2.64622,2.70606,2.70606,2.70606,2.70606,2.70606,2.70606,2.88616,3.00078,3.17758,3.42553,3.33003,3.67083,3.83349,4.05608,4.22571,4.32597,4.27915,4.39400,4.39400,4.30165,4.20963,4.07499,4.01074,3.93852,3.84915,3.69768,3.46137,3.37588,3.37588,3.54663,3.63573,3.61701,3.55390,3.43720,3.50877,3.50329,3.42946,3.42946,3.42946,3.62210,3.67059,3.67059,3.48150,3.45625,3.53318,3.76744,3.63701,3.79464,4.02971,4.15286,4.47247,4.87159,5.31120,5.57889,5.66263,5.69672,5.54272,5.39176,5.33174,5.31007,4.98343,4.80339,5.10823,4.93878,4.97906,4.79589,5.05816,4.70813,4.38423,4.25494,4.22431,5.04580,5.51929,5.07870,5.65587,5.42438,5.64450,5.28554
2011,Wamberal 132_11kV,09MAY2010,MW,4.99272,5.85595,5.58049,5.05941,4.64719,4.62275,4.99007,4.60429,4.21109,3.89833,3.66547,3.37921,3.16153,3.00149,2.94719,2.94719,2.80859,2.73285,2.73285,2.73285,2.91081,2.92040,2.92040,2.92040,2.92040,2.98589,3.13474,3.25043,3.18833,3.40353,3.73335,3.99199,4.12607,4.17879,4.42079,4.42079,4.42079,4.49816,4.51581,4.54808,4.39400,4.21666,4.20645,4.08791,3.83992,3.83135,3.78649,3.67643,3.66881,3.62403,3.51496,3.36492,3.35611,3.30788,3.43095,3.25084,3.27109,3.21512,3.27284,3.27775,3.42946,3.42946,3.42946,3.42946,3.42946,3.58486,3.74862,3.83183,4.14310,4.43627,4.89591,5.17098,5.32614,5.31081,5.25136,5.25136,5.14285,4.95045,4.86519,4.92946,5.34966,5.10668,5.07837,4.86698,4.99415,4.61224,4.23241,4.05909,4.01140,4.97650,5.33091,4.94652,5.39628,5.03464,5.29512,4.89880
2011,Wamberal 132_11kV,10MAY2010,MW,4.59048,5.56108,5.23850,4.70640,4.26122,4.23672,4.66192,4.50736,4.08820,3.80551,3.52210,3.30657,3.09699,2.94719,2.88384,2.75964,2.75964,2.75964,2.75964,2.56150,2.54935,2.79823,2.97399,3.10330,3.31059,3.78431,4.16301,4.36643,3.85136,4.28099,4.31362,4.31362,4.31362,4.31362,4.20883,3.89839,3.80456,3.73025,3.65761,3.53663,3.53663,3.48555,3.37588,3.37588,3.37588,3.25656,3.20562,3.25855,0.19910,0.13396,1.04941,3.32229,3.32229,3.37873,3.53413,1.48437,0.02679,0.02679,2.52708,3.45625,3.45625,3.45625,3.45625,3.50609,3.69739,3.74288,3.91173,4.21228,4.52284,5.06271,5.52608,5.81419,5.76042,5.76042,5.89715,5.75417,5.61693,5.54263,5.28816,5.11362,5.24448,5.11743,5.13383,4.73373,4.92324,4.53487,4.29790,3.88946,3.90470,4.66847,5.05881,4.65415,4.94607,4.77624,5.04744,4.74391
