year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Brookvale 33_11kV,01MAY2011,MW,12.86467,12.47257,12.24851,13.21943,12.64061,12.22984,12.00578,11.53899,11.59501,11.29626,11.27759,11.09088,11.03486,10.94150,10.96018,10.99752,10.79213,10.82947,10.64276,10.84815,10.94150,11.12822,11.44563,11.65102,11.91242,12.00578,12.37921,12.84600,13.29411,13.83559,14.54510,15.19861,15.90812,16.56163,18.11136,19.15697,19.99718,20.55733,21.00545,21.69629,22.05105,22.55518,22.59252,22.83525,22.51784,22.59252,22.05105,22.36847,22.38714,22.64854,22.68588,21.99504,22.51784,22.23777,22.10707,22.27511,21.99504,21.71496,21.78965,21.60293,21.82699,22.05105,21.65895,21.09880,20.91209,20.29593,19.97851,20.31460,20.83740,21.36020,21.88301,21.56559,21.13615,21.21083,20.33327,19.88516,19.54907,19.38102,18.97025,18.61549,18.03668,17.60723,17.04709,17.00974,16.67366,16.52428,15.92680,15.51602,15.10525,14.69448,13.94762,13.55551,12.99537,12.86467,12.69663,12.39788
2012,Brookvale 33_11kV,02MAY2011,MW,12.34187,11.94976,11.52032,11.48298,11.07220,11.01619,10.99752,10.97885,10.82947,10.73612,10.69877,10.64276,10.96018,10.92283,10.99752,10.82947,10.84815,11.05353,11.25892,11.40829,12.43522,12.77131,13.55551,14.32105,16.22554,17.21513,18.54081,19.99718,21.62161,23.47009,24.92646,25.93472,27.14837,28.34335,29.51965,30.47190,31.34946,32.17101,31.89094,32.41374,32.11499,32.39507,32.54444,32.26437,32.60045,33.92613,34.37425,35.81195,36.96959,36.12937,32.37639,23.80617,23.97422,23.99289,23.95554,23.75016,23.93687,23.76883,32.45108,31.81625,31.98429,30.90135,30.69596,30.32253,30.02378,29.46364,29.29560,28.39936,28.04460,28.06328,27.18572,25.54262,24.66506,24.38499,23.97422,23.54477,23.09666,22.31245,21.67762,21.47223,20.61334,21.64028,20.94943,20.25859,19.11962,18.33542,17.79395,17.14044,17.32716,16.50561,15.85211,16.15085,15.08658,14.58245,14.22769,13.61153
2012,Brookvale 33_11kV,03MAY2011,MW,12.90201,12.47257,12.26718,12.73397,12.58460,12.06179,11.74438,11.55766,11.53899,11.22158,11.07220,11.07220,10.84815,10.92283,11.40829,11.14689,11.33361,11.25892,11.61368,11.74438,12.39788,13.08873,13.48083,14.78783,16.44960,17.79395,19.45571,20.68803,22.51784,23.58211,24.79576,25.61731,27.31642,28.66076,29.53833,30.28519,31.03205,31.05072,31.74156,31.48016,31.44282,31.66688,32.05898,31.64821,32.13366,32.15234,32.07765,31.85359,32.33905,32.05898,32.00296,31.98429,32.26437,32.04031,32.05898,32.28304,32.11499,32.00296,32.13366,31.85359,31.66688,31.31212,30.60260,30.95736,30.45323,29.94910,29.50098,29.25825,28.56741,27.96992,27.37243,25.56129,24.64639,24.21695,24.06757,23.32071,23.17134,22.72322,22.46182,21.95769,21.36020,22.05105,21.13615,20.53866,19.51173,18.70885,18.67151,18.16738,17.68192,16.82303,16.05750,15.81477,15.19861,14.76916,14.56378,13.79824
2012,Brookvale 33_11kV,04MAY2011,MW,13.35013,12.78998,12.39788,13.05138,12.95803,12.73397,12.30452,11.98711,11.74438,11.66969,11.33361,11.46431,11.38962,11.46431,11.48298,11.31493,11.46431,11.50165,11.66969,11.96844,12.71530,13.25677,14.20902,15.36665,16.67366,17.88730,19.47438,20.89342,23.07798,24.17960,25.29989,26.64424,27.29774,28.26866,29.46364,30.49057,31.05072,30.84533,30.99470,30.86400,31.55485,31.34946,32.15234,32.15234,31.85359,31.90961,31.61086,31.85359,31.76023,31.31212,31.55485,31.61086,32.00296,31.87226,31.59219,31.90961,31.72289,31.89094,31.87226,31.06939,30.99470,30.50924,30.62127,30.19183,29.79973,29.31427,28.64209,27.91390,27.55915,27.20439,26.88697,25.00115,24.49702,24.64639,23.67547,23.50743,23.09666,22.20042,21.54692,21.71496,21.08013,21.99504,21.06146,20.37061,19.56774,19.08228,18.50346,17.88730,17.77528,17.00974,16.31890,16.30023,15.53469,14.89986,14.54510,13.98496
2012,Brookvale 33_11kV,05MAY2011,MW,13.57419,13.05138,12.82733,13.29411,12.95803,12.82733,12.32320,12.08047,12.00578,11.81906,11.72571,11.57633,11.72571,11.68836,11.65102,11.78172,11.70704,11.85641,12.00578,12.56592,13.03271,13.61153,14.41440,15.40399,16.97240,18.52214,19.73578,21.02412,22.81658,23.75016,25.67332,25.86004,27.33509,27.98859,29.03419,30.28519,30.95736,30.86400,31.46149,31.16275,31.34946,31.68555,31.77891,31.29345,31.89094,32.28304,31.96562,31.62953,32.07765,31.83492,31.62953,31.85359,32.22702,32.04031,31.62953,32.13366,31.61086,31.55485,31.59219,31.57352,30.62127,30.78932,30.30386,30.22917,29.59434,29.46364,29.07154,28.86615,28.26866,28.51139,28.53006,28.00726,27.44712,27.68985,27.39110,26.92431,26.04675,25.50528,25.35591,24.88912,24.21695,25.33724,24.29163,22.72322,21.28552,19.49305,18.74619,18.05535,17.43919,16.91639,16.11351,16.07617,15.19861,14.37706,14.37706,13.89160
2012,Brookvale 33_11kV,06MAY2011,MW,13.55551,12.99537,12.60327,13.20076,13.08873,12.69663,12.19249,12.11781,11.81906,11.80039,11.53899,11.48298,11.48298,11.37095,11.33361,11.31493,11.42696,11.48298,11.74438,12.22984,12.77131,13.42481,14.24636,15.29196,16.91639,18.07402,19.60508,20.98677,23.02197,24.49702,25.69199,26.28948,27.83922,28.54874,29.35161,30.50924,30.73330,30.90135,31.05072,30.67729,30.63994,31.36813,31.18142,31.34946,31.49883,30.93869,31.34946,31.21876,30.86400,30.86400,30.56526,30.09847,30.22917,29.87441,29.51965,29.78105,29.22091,29.29560,29.03419,28.92217,28.92217,28.73545,28.75412,28.04460,27.76453,27.59649,27.37243,26.83096,26.98033,26.96166,26.14011,24.42233,23.58211,22.98463,23.15267,22.44315,22.06972,21.22950,20.61334,20.38929,19.67977,20.27726,19.41837,19.02627,18.72752,18.07402,17.75660,17.45786,17.42052,16.69233,16.37491,16.18820,15.25462,14.88119,14.76916,14.07832
2012,Brookvale 33_11kV,07MAY2011,MW,13.61153,13.16341,12.62194,13.12607,13.05138,12.84600,12.49124,12.15515,12.02445,11.78172,11.44563,11.53899,11.44563,11.24025,11.10955,11.29626,11.10955,11.03486,11.25892,11.25892,11.57633,11.81906,12.15515,12.99537,13.77957,13.91027,14.71315,15.36665,16.37491,17.47653,19.13830,20.07187,20.87475,21.95769,23.00330,24.12359,23.99289,24.72108,24.42233,24.27296,24.66506,24.59038,24.10492,24.40366,24.01156,23.88086,23.99289,23.93687,23.97422,23.78750,23.05931,23.24603,22.96595,22.89127,22.77924,22.55518,22.38714,22.61120,22.01371,21.90168,21.84566,21.86434,22.06972,22.03238,21.80832,21.73363,22.44315,22.01371,21.92035,22.25644,22.38714,22.16308,21.28552,20.65069,20.22124,19.95984,19.71711,19.10095,18.82088,18.48479,17.92465,19.19431,18.13003,17.68192,16.91639,16.84170,16.72967,16.30023,16.20687,15.62805,15.38532,15.36665,14.67581,14.41440,14.00363,13.44349
2012,Brookvale 33_11kV,08MAY2011,MW,13.05138,12.80865,12.39788,13.23810,12.78998,12.58460,12.15515,11.94976,11.72571,11.57633,11.50165,11.22158,11.18423,11.18423,11.09088,11.18423,10.96018,10.92283,11.18423,11.09088,11.14689,11.18423,11.37095,11.78172,12.22984,12.36054,12.86467,13.27544,14.04097,14.39573,15.01189,15.62805,16.37491,16.80436,17.81262,18.39144,18.97025,19.60508,20.10921,21.30419,21.62161,21.73363,21.93902,21.47223,21.26685,20.70670,20.76272,20.94943,20.76272,20.74405,20.37061,20.55733,20.57600,20.42663,20.05320,20.40796,20.40796,20.05320,20.09054,20.25859,20.25859,20.40796,20.35194,20.23991,19.82914,19.94117,19.56774,19.47438,20.35194,20.96810,21.50958,20.89342,21.02412,20.42663,20.09054,19.41837,18.98892,18.97025,18.63416,18.50346,18.03668,18.91424,18.31675,17.81262,17.08443,16.71100,16.41226,15.90812,16.13218,15.08658,14.37706,14.63846,13.74223,13.36880,13.31278,12.88334
2012,Brookvale 33_11kV,09MAY2011,MW,12.43522,12.08047,11.80039,12.71530,12.21117,12.08047,11.78172,11.63235,11.29626,11.27759,11.20290,11.27759,10.88549,10.94150,10.92283,11.20290,10.96018,11.20290,11.61368,11.57633,12.24851,13.03271,14.00363,14.50776,16.39358,17.49520,19.23165,20.80006,23.05931,24.53436,25.71067,26.71893,28.24999,30.22917,30.75197,32.48842,32.80584,32.69381,32.15234,32.26437,32.67514,33.01123,32.73115,32.20835,32.54444,32.61912,32.43241,32.22702,32.05898,31.70422,32.05898,31.83492,31.92828,31.85359,31.61086,31.87226,31.70422,31.72289,31.81625,31.76023,31.51751,30.88267,31.31212,30.06113,29.55700,29.79973,29.91176,30.11714,29.37028,29.35161,28.39936,26.77494,26.02808,25.65465,25.15052,24.47835,24.47835,24.32897,23.35806,23.28337,22.10707,23.15267,22.29378,21.65895,20.96810,20.16523,19.15697,18.42878,18.31675,17.68192,16.50561,16.72967,15.85211,15.19861,14.91853,14.13433
2012,Brookvale 33_11kV,10MAY2011,MW,13.55551,13.27544,12.73397,13.40614,13.20076,12.82733,12.71530,12.28585,11.91242,11.76305,12.00578,11.74438,11.44563,11.38962,11.70704,11.59501,11.70704,11.72571,12.04312,12.49124,13.01404,13.49950,14.48909,15.59071,17.21513,19.00759,20.37061,21.95769,24.57170,25.72934,26.96166,28.38069,29.40762,29.93043,30.69596,31.29345,32.82451,32.07765,32.09632,32.60045,32.24569,32.13366,32.52577,32.02164,31.85359,31.85359,31.87226,32.22702,32.13366,31.87226,31.57352,31.33079,31.34946,31.68555,32.00296,31.53618,31.85359,31.61086,32.15234,31.77891,31.08806,30.95736,30.69596,30.24784,29.93043,29.79973,29.91176,29.55700,28.69811,28.64209,28.13796,26.86830,26.12144,25.41192,25.18786,24.36632,24.49702,23.97422,23.65680,23.43274,22.42448,23.78750,22.92861,22.05105,21.17349,20.12789,19.77313,19.06361,19.10095,18.05535,17.19646,17.00974,16.15085,15.44134,15.46001,14.82518
