year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Dulwich Hill 33_11kV,01MAY2011,MW,19.26199,18.56939,17.67087,17.37136,17.07185,16.06102,15.98614,15.42457,15.08763,14.78812,14.76940,14.18911,14.00192,13.98320,14.13295,14.13295,14.18911,13.27187,13.38418,13.60881,13.60881,13.79601,13.94576,14.22655,14.63837,14.24526,14.63837,14.58221,15.64920,16.47284,17.35264,17.82062,18.55067,19.37431,19.97332,20.68465,21.39598,21.90139,22.44425,22.27578,23.00582,23.88562,23.67971,22.83735,23.00582,23.19301,23.15558,22.36937,23.17429,22.68760,22.78119,22.46297,21.69548,21.63932,21.58317,21.73292,21.58317,21.11519,20.96544,20.98415,21.50829,21.43341,21.47085,21.39598,22.10730,23.06198,23.45508,24.20385,25.64522,27.42354,28.82747,29.40777,29.42649,29.63240,29.55752,28.56541,28.04127,27.79792,27.36738,26.82453,26.31911,25.57034,24.97133,25.47675,24.31616,24.33488,25.12108,24.27872,25.23340,26.20679,24.78414,23.28661,21.93883,20.66593,19.91716,18.85017
2012,Dulwich Hill 33_11kV,02MAY2011,MW,17.93294,16.95954,16.41668,15.79895,15.55560,15.25610,15.01275,14.32014,13.94576,14.22655,14.43246,13.87088,13.45906,13.59009,13.57138,13.60881,13.62753,14.02064,13.49650,13.45906,14.52605,15.23738,16.43540,16.94082,18.94377,20.04820,21.69548,23.06198,24.03537,24.95261,24.46591,24.61567,24.44720,23.82946,23.99794,23.94178,23.45508,23.26789,23.71715,23.43636,23.56740,23.08070,23.17429,23.08070,23.71715,23.54868,23.34277,22.72503,23.13686,23.54868,23.51124,23.51124,23.38020,23.13686,23.34277,23.69843,22.76247,23.00582,23.34277,22.66888,23.26789,22.76247,23.23045,23.36149,23.82946,24.91517,25.79497,25.79497,27.47970,29.31417,30.02550,30.75555,31.03633,31.22352,31.37328,31.12993,30.54964,30.32501,29.55752,28.82747,28.26590,28.02255,28.26590,27.66689,26.73093,26.33783,27.31122,25.96345,27.19891,28.24718,26.59990,25.08365,23.17429,21.75164,20.57233,19.82357
2012,Dulwich Hill 33_11kV,03MAY2011,MW,18.79402,17.68959,17.10929,16.75363,16.30437,15.81767,15.27482,14.90043,14.99403,14.99403,15.01275,14.80684,14.45118,14.22655,14.61965,14.28270,13.90832,14.05807,14.33886,14.39502,15.31226,15.53689,16.36053,17.33392,19.13096,20.87184,22.70632,23.54868,24.84030,25.02749,25.23340,25.04621,25.25212,24.33488,24.57823,24.31616,24.24129,24.11025,24.26000,23.67971,23.60483,23.64227,23.66099,23.86690,23.81074,23.77331,23.45508,23.75459,23.86690,24.16641,24.35360,23.75459,23.69843,23.62355,24.44720,23.62355,22.81863,22.91223,23.17429,23.17429,23.34277,23.71715,24.24129,24.18513,24.87774,25.30828,26.26295,26.63733,27.76048,29.74471,30.98018,31.12993,31.39200,31.78510,31.03633,31.27968,30.81170,30.17525,30.13781,28.77132,28.75260,28.93979,28.79004,28.45309,27.70433,26.52502,27.79792,26.91812,27.51713,28.39693,27.19891,25.15852,23.51124,22.38809,20.96544,19.78613
2012,Dulwich Hill 33_11kV,04MAY2011,MW,18.94377,17.91422,17.31520,17.16545,16.54772,15.98614,15.87383,15.48073,15.23738,15.05019,15.18122,14.52605,14.13295,14.22655,14.41374,14.18911,14.26398,13.87088,14.30142,15.01275,15.08763,15.83639,16.90338,17.65215,19.95460,20.70337,23.39892,24.11025,25.06493,25.55162,26.07576,25.75754,25.08365,24.44720,24.48463,24.12897,23.77331,23.82946,23.71715,23.79203,23.66099,23.60483,23.66099,23.54868,23.51124,23.19301,22.89351,22.94966,23.09942,22.78119,22.87479,22.76247,22.46297,22.78119,22.72503,22.70632,22.38809,21.99499,22.59400,22.76247,22.44425,22.31321,22.98710,23.13686,23.30533,24.39104,25.12108,25.30828,26.91812,28.54669,30.41860,30.73683,30.58707,30.79298,30.62451,30.60579,30.26885,29.55752,29.40777,28.75260,28.17230,27.81664,28.17230,27.59201,26.54374,26.00088,27.34866,26.28167,26.91812,28.04127,26.11320,24.61567,23.36149,21.92011,20.66593,19.50534
2012,Dulwich Hill 33_11kV,05MAY2011,MW,18.58811,18.00781,17.48368,17.14673,16.39797,15.70536,15.59304,15.53689,15.14378,15.12506,14.76940,14.61965,14.20783,14.56349,14.82556,14.60093,14.69452,14.75068,15.06891,15.27482,15.53689,16.52900,16.66003,17.59599,19.69253,20.96544,22.03243,23.54868,25.17724,25.21468,25.70138,25.12108,24.61567,24.07281,23.66099,22.89351,23.54868,23.19301,23.28661,23.82946,23.32405,23.24917,22.98710,23.28661,23.41764,23.04326,22.93095,22.93095,23.00582,23.06198,22.31321,22.33193,22.36937,22.38809,22.27578,22.38809,22.21962,22.12602,22.21962,22.14474,22.25706,22.66888,23.04326,23.04326,23.73587,24.40976,25.28956,25.92601,26.76837,28.73388,29.68855,30.47476,30.81170,30.81170,30.75555,30.69939,30.25013,30.08166,29.74471,29.52008,28.95851,28.77132,29.01467,28.62156,27.62945,26.91812,27.59201,26.97428,27.85408,28.73388,27.40482,25.51419,23.82946,22.50041,21.33982,20.25411
2012,Dulwich Hill 33_11kV,06MAY2011,MW,19.59894,18.25116,17.89550,16.95954,17.10929,16.37925,16.11718,15.51817,15.18122,15.03147,15.21866,15.18122,15.01275,14.80684,14.56349,14.97531,14.58221,14.61965,14.63837,14.45118,15.21866,15.91127,16.84723,18.28860,19.80485,20.87184,22.94966,23.92306,25.30828,26.15064,26.30039,26.52502,25.57034,25.36443,25.15852,25.08365,24.33488,23.82946,23.77331,24.12897,23.71715,23.77331,23.99794,23.51124,23.13686,23.15558,23.06198,23.04326,22.87479,22.66888,22.59400,23.00582,22.70632,22.68760,22.72503,22.72503,22.36937,22.25706,22.65016,22.27578,22.20090,22.40681,22.70632,23.45508,23.71715,24.40976,24.76542,26.01960,27.81664,29.52008,30.21269,30.62451,30.69939,30.75555,30.53092,30.51220,29.46392,29.10826,28.99595,28.93979,28.73388,28.43437,28.22846,27.70433,27.12403,26.86196,28.07871,27.23635,28.17230,29.05210,28.19102,26.74965,24.89646,23.71715,22.35065,21.32110
2012,Dulwich Hill 33_11kV,07MAY2011,MW,20.34770,19.35559,18.32604,17.76446,17.37136,16.92210,16.86594,16.26693,16.04230,15.42457,14.95659,15.08763,14.78812,14.97531,14.45118,14.43246,14.52605,14.73196,15.03147,15.19994,15.06891,15.01275,15.74280,16.13590,16.97826,17.52111,17.83934,18.10141,19.16840,20.42258,21.47085,22.55656,22.65016,23.69843,24.74670,24.50335,24.48463,24.61567,24.70926,24.50335,24.91517,24.55951,24.07281,23.92306,23.88562,23.21173,22.79991,23.77331,24.11025,23.11814,22.78119,22.68760,22.78119,22.74375,22.44425,22.78119,22.21962,21.93883,22.55656,22.85607,22.59400,22.55656,22.83735,23.43636,23.71715,24.67183,24.69054,25.62650,27.53585,29.91318,30.77426,31.01761,30.71811,30.49348,30.30629,30.15653,29.96934,29.35161,28.24718,27.74176,27.31122,26.91812,26.76837,25.90729,25.32700,24.91517,26.56246,25.98217,26.63733,28.05999,26.58118,25.49547,24.11025,23.38020,22.50041,21.24622
2012,Dulwich Hill 33_11kV,08MAY2011,MW,20.34770,19.44919,18.79402,18.26988,17.87678,17.05314,16.69747,16.30437,15.85511,15.49945,15.21866,14.91915,14.84428,14.84428,14.73196,14.76940,14.39502,14.52605,14.39502,14.61965,14.50733,14.67581,14.91915,15.19994,15.38713,15.79895,16.15462,16.80979,17.78318,18.41963,19.86101,20.42258,20.81568,21.58317,22.48169,22.87479,23.28661,23.13686,23.69843,23.23045,22.98710,23.47380,23.08070,23.26789,23.06198,22.76247,22.33193,22.03243,22.14474,22.25706,21.43341,21.09647,20.53490,20.51618,20.90928,20.27283,20.19795,19.91716,20.51618,20.02948,20.06692,21.02159,20.68465,21.07775,21.48957,22.23834,23.02454,24.54079,26.15064,27.91024,29.20186,30.19397,30.41860,30.94274,30.64323,30.10038,29.74471,29.78215,28.90235,28.95851,27.77920,27.70433,27.34866,26.80581,26.63733,26.01960,26.65605,26.15064,27.03044,27.72305,26.48758,24.55951,23.04326,21.54573,20.96544,20.02948
2012,Dulwich Hill 33_11kV,09MAY2011,MW,19.09352,18.00781,17.10929,16.71619,16.51028,16.30437,15.76152,15.19994,14.91915,14.99403,14.95659,14.71324,14.17039,14.26398,14.50733,14.32014,14.18911,14.07679,14.13295,14.56349,15.83639,16.39797,17.22161,18.41963,20.04820,21.26494,23.64227,24.82158,26.05704,27.32994,27.38610,26.71221,25.98217,25.08365,24.52207,24.42848,24.24129,24.01666,23.81074,24.18513,23.96050,23.90434,23.73587,23.60483,24.26000,24.18513,24.40976,23.92306,24.20385,24.74670,24.46591,24.16641,24.35360,23.66099,23.66099,23.96050,23.34277,23.64227,23.28661,23.15558,22.94966,23.54868,23.90434,25.12108,25.58906,26.20679,27.61073,28.43437,30.25013,32.47771,33.56342,33.90036,34.31218,35.15454,34.51809,34.83632,34.05011,34.10627,34.01268,33.24519,33.15160,32.04717,32.19692,31.78510,30.62451,30.02550,30.84914,29.25801,30.06294,30.81170,29.01467,27.14275,25.70138,23.77331,22.20090,21.22750
2012,Dulwich Hill 33_11kV,10MAY2011,MW,20.10436,19.41175,18.75658,17.78318,17.48368,17.22161,16.67875,16.58516,15.87383,15.74280,15.74280,15.72408,15.48073,15.36841,15.36841,15.34969,15.46201,15.36841,15.66792,15.79895,16.09846,16.47284,18.06397,19.22456,20.92800,23.13686,24.24129,25.79497,27.81664,28.56541,28.92107,28.24718,27.31122,27.12403,26.59990,26.03832,25.79497,25.32700,25.23340,24.67183,24.27872,24.52207,24.37232,24.74670,23.97922,23.73587,23.67971,24.07281,23.82946,23.45508,23.62355,23.60483,23.28661,23.71715,23.02454,23.06198,23.11814,23.11814,22.74375,22.94966,22.98710,23.21173,23.73587,24.74670,24.97133,25.68266,26.48758,27.31122,29.52008,31.91613,33.17031,33.84420,34.08755,34.96735,34.33090,35.09839,34.76144,34.55553,34.06883,33.50726,33.00184,33.05800,32.83337,32.60874,31.61663,30.19397,31.31712,30.11909,30.81170,31.56047,30.06294,27.51713,26.07576,24.31616,23.15558,21.54573
