year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Hunters Hill 66_11kV,01MAY2011,MW,23.68215,22.13766,20.94252,22.02734,21.03445,19.78415,18.95675,18.00064,17.26517,16.86066,16.18035,15.90455,15.53681,15.07714,14.91166,15.04037,14.91166,14.76457,14.85650,14.91166,14.93005,15.07714,15.51842,15.66552,16.40099,16.45615,16.58486,16.71356,17.50419,18.44192,19.15900,19.87609,20.85058,21.43896,21.58606,22.06411,22.56055,22.72603,23.24086,23.09377,22.94668,23.13054,23.38796,23.20409,23.27764,22.78119,22.65249,22.39507,22.13766,22.17443,21.88024,21.91702,21.65960,21.07123,21.54928,21.60444,21.25509,21.21832,21.01607,21.36541,21.29187,21.23671,22.04572,21.95379,22.22959,22.83635,24.08665,25.37373,26.95499,29.45559,31.36781,31.77232,31.80909,32.12167,31.91941,30.70589,30.37493,29.69462,29.56591,28.59141,28.51786,27.43304,27.24918,26.53209,25.66792,25.11631,24.63826,23.88440,24.03149,24.41762,24.19698,22.39507,21.60444,22.56055,22.35830,20.94252
2012,Hunters Hill 66_11kV,02MAY2011,MW,21.80670,20.48285,19.39803,20.81381,20.42769,19.01191,18.14773,17.37549,16.78711,16.23551,15.81261,15.64713,15.50004,15.04037,14.91166,14.70941,15.05876,15.20585,15.13230,15.64713,16.30906,17.13646,17.83516,19.78415,22.41346,23.49828,26.66080,27.34111,29.76816,30.92653,31.03685,31.88264,31.88264,31.84587,31.75393,32.34231,32.21360,31.95619,31.99296,32.32392,32.12167,31.69877,32.14006,31.95619,31.95619,31.53329,31.60684,31.38620,31.60684,31.07362,31.60684,30.96330,31.23910,31.40458,30.79782,31.01846,30.77943,30.33815,30.30138,30.33815,29.86010,29.63946,29.56591,30.33815,30.35654,30.63234,31.68039,31.33104,32.14006,34.64065,35.72547,36.22192,36.58965,36.75513,36.68158,36.07482,35.06355,34.25453,33.64777,33.24326,32.50779,31.40458,31.16556,30.33815,29.52914,28.16852,27.78239,26.44016,26.66080,26.80789,25.74146,24.45439,23.07538,23.29602,22.10088,21.53090
2012,Hunters Hill 66_11kV,03MAY2011,MW,22.02734,20.77704,19.69222,20.51962,19.89447,19.04868,18.33160,17.30194,17.04453,16.34583,15.97809,15.88616,15.42649,15.42649,15.09553,15.38972,15.22424,15.22424,15.20585,15.73907,16.45615,17.02614,18.09257,19.82093,22.43185,24.91406,27.06531,28.46270,30.44847,31.84587,32.25038,32.63650,32.98585,33.05939,32.80198,32.56295,32.69166,33.13294,32.78359,32.47102,32.06651,32.26876,32.36070,32.32392,32.39747,31.66200,31.55168,31.38620,31.62523,31.69877,31.23910,31.69877,31.33104,31.38620,31.31265,31.11040,30.65073,30.19106,30.43009,30.59557,30.43009,30.15429,31.47813,31.55168,32.10328,32.17683,33.00423,32.76520,34.05228,35.74386,36.24030,36.58965,37.41706,37.28835,36.69997,36.47933,34.99000,34.62227,34.23615,33.50068,32.87553,31.91941,31.69877,30.52202,30.08074,29.30849,28.38916,27.48821,26.91822,26.84467,25.99888,24.63826,23.00184,23.90279,22.83635,21.58606
2012,Hunters Hill 66_11kV,04MAY2011,MW,22.35830,21.23671,20.04157,20.92413,20.50124,19.34287,18.75449,18.05580,17.11807,16.45615,15.94132,15.84939,15.79423,15.50004,15.44488,15.27940,15.57359,15.42649,15.79423,16.18035,16.87904,17.74322,18.71772,20.28060,23.07538,24.78535,27.34111,28.29722,30.65073,31.40458,32.02973,32.69166,33.05939,32.47102,31.66200,31.62523,31.55168,31.29426,30.92653,30.79782,31.07362,30.66911,30.92653,30.59557,30.37493,30.35654,30.26461,29.56591,29.93364,29.86010,29.62107,29.71300,30.20945,29.76816,29.63946,29.89687,29.89687,29.62107,29.23495,29.25333,29.12463,28.75689,29.34527,29.17979,29.69462,29.76816,30.44847,30.55879,31.14717,33.59261,35.22903,35.28419,35.37612,35.28419,34.86130,35.35774,34.64065,34.05228,33.05939,32.39747,31.84587,31.09201,30.63234,30.43009,29.38204,28.83044,28.02142,27.06531,26.55048,26.69757,26.01726,24.76696,22.83635,23.24086,22.48701,21.43896
2012,Hunters Hill 66_11kV,05MAY2011,MW,22.04572,21.10800,19.89447,20.88736,20.05995,19.30610,18.47869,17.98225,16.87904,16.38260,15.94132,15.70229,15.44488,15.15069,15.24262,15.46326,15.29778,15.42649,15.66552,16.01487,16.95259,17.54097,18.38676,19.98641,22.72603,24.19698,27.83755,28.15013,30.87137,31.11040,32.25038,33.42713,32.71004,32.43424,31.91941,31.33104,31.36781,31.23910,31.66200,31.33104,30.85298,31.66200,31.03685,31.18394,30.81621,30.37493,30.37493,30.15429,30.37493,30.04396,30.30138,30.19106,29.67623,30.00719,30.13590,30.13590,30.06235,29.89687,29.56591,29.56591,29.60268,29.76816,29.45559,29.54752,30.33815,30.65073,31.18394,31.91941,32.87553,34.82452,36.29546,36.47933,36.53449,36.55288,36.66320,36.55288,35.55999,34.76936,34.64065,33.35358,32.98585,32.98585,32.17683,31.60684,30.55879,29.52914,28.57302,27.54337,27.63530,27.98465,26.62403,24.98761,23.66376,24.10504,23.35118,21.91702
2012,Hunters Hill 66_11kV,06MAY2011,MW,22.28475,21.16316,20.29898,21.65960,21.18155,19.74738,18.88320,18.14773,17.41226,16.98937,16.54808,16.25390,16.03325,15.83100,15.90455,15.86777,15.88616,15.95971,16.19873,16.67679,17.28355,17.79838,18.86481,20.57478,23.49828,25.44727,28.31561,30.08074,31.97457,33.31681,33.64777,34.10744,34.19937,33.31681,32.83875,33.09617,32.32392,32.02973,32.32392,32.21360,31.66200,31.45975,31.18394,31.29426,30.72427,30.19106,30.48525,30.63234,30.20945,30.52202,30.28299,29.74978,30.06235,30.22783,29.82332,29.16140,29.27172,29.05108,29.19817,28.88560,28.73850,28.75689,28.37077,29.23495,29.16140,29.82332,30.50363,31.23910,33.02262,34.93484,35.87257,36.47933,36.73674,36.22192,36.14837,35.43129,35.19226,34.69581,34.19937,33.13294,32.78359,32.48940,31.55168,31.23910,30.77943,30.11751,28.94076,28.29722,28.22368,28.00303,27.48821,26.60564,25.13470,25.35534,24.34407,22.92829
2012,Hunters Hill 66_11kV,07MAY2011,MW,23.68215,22.57894,21.54928,22.61571,21.21832,20.15189,19.54513,18.42353,17.79838,17.32033,16.75034,16.71356,16.32744,16.10680,16.07003,15.95971,15.72068,15.81261,16.01487,16.19873,16.18035,16.60324,16.84227,17.65129,18.44192,19.34287,20.24382,21.14477,22.41346,23.71892,24.54632,25.42889,26.40339,26.25629,26.32984,26.89983,26.60564,26.36661,26.09081,26.07242,25.66792,25.35534,25.11631,24.45439,24.45439,24.01311,23.82924,24.04988,23.53505,23.42473,22.79958,22.78119,22.78119,22.33991,22.39507,22.43185,22.04572,22.17443,22.61571,22.83635,22.76281,22.32153,22.70765,23.60860,23.90279,24.17859,25.42889,26.99176,28.53625,30.88976,32.94907,33.31681,33.86841,33.29842,33.35358,32.98585,32.63650,32.17683,31.40458,31.44136,30.52202,30.19106,29.23495,28.75689,27.85594,27.61691,27.26756,26.31145,26.16436,26.77112,26.51371,25.64953,24.41762,24.91406,24.56471,23.38796
2012,Hunters Hill 66_11kV,08MAY2011,MW,24.16020,22.98345,21.76992,22.92829,22.06411,20.72188,20.13350,19.23255,18.58901,17.76161,17.15485,16.82388,16.41938,16.18035,15.90455,15.77584,15.81261,15.83100,15.77584,15.59197,16.29067,16.10680,16.54808,17.00775,17.41226,17.70645,18.82804,19.12223,20.50124,21.76992,22.94668,23.71892,24.10504,24.82212,24.96922,25.64953,26.01726,25.64953,25.18986,24.61987,24.61987,24.60148,24.30730,24.03149,23.68215,23.00184,22.76281,22.79958,22.57894,22.26637,21.31025,20.72188,20.74026,20.35414,20.50124,20.33576,20.26221,20.22544,20.29898,20.37253,20.86897,20.94252,21.25509,21.53090,22.65249,23.51667,24.84051,25.99888,28.00303,30.41170,32.39747,33.00423,33.75809,34.16260,34.10744,33.81325,33.02262,32.85714,32.69166,32.10328,31.60684,30.94492,30.77943,30.11751,29.19817,28.73850,27.24918,26.44016,25.85178,26.03565,25.13470,23.86601,22.90990,23.22248,22.46862,21.36541
2012,Hunters Hill 66_11kV,09MAY2011,MW,22.50539,21.25509,20.28060,21.76992,20.81381,20.13350,19.39803,18.66256,18.16612,17.50419,17.06291,16.54808,16.45615,16.08841,16.25390,15.83100,16.01487,15.86777,15.97809,16.45615,17.19162,17.92709,19.76577,21.31025,24.30730,26.55048,30.06235,30.59557,33.66616,35.00839,35.94611,36.62642,36.24030,35.22903,34.76936,34.82452,34.08905,34.19937,33.51906,33.39035,33.13294,32.83875,32.34231,32.10328,32.39747,31.31265,31.53329,31.77232,32.02973,32.61811,32.50779,32.19522,32.10328,31.33104,31.62523,31.45975,31.44136,31.25749,31.01846,30.96330,31.09201,30.85298,31.22072,31.88264,32.54456,34.30969,35.00839,36.07482,37.80318,40.26700,41.82988,41.81149,42.28955,42.17923,42.36309,41.84826,41.00247,40.59796,39.64185,38.97993,37.98704,37.54576,36.24030,35.57838,34.03389,32.87553,31.88264,30.11751,29.52914,29.71300,28.38916,26.75273,24.74858,25.52082,24.52794,23.31441
2012,Hunters Hill 66_11kV,10MAY2011,MW,23.46150,22.61571,21.14477,22.65249,21.47573,20.99768,20.07834,19.19578,18.75449,18.00064,17.78000,17.43065,17.11807,16.93421,16.80550,16.67679,16.75034,16.91582,16.89743,17.19162,18.18450,18.93836,20.07834,22.85474,25.81501,28.31561,31.66200,32.63650,35.44967,36.31385,37.04932,37.49060,37.47222,37.04932,36.84707,36.47933,35.67031,35.19226,34.99000,33.90518,34.01550,33.79486,33.29842,33.35358,32.28715,32.69166,32.19522,32.21360,32.36070,32.25038,31.91941,31.36781,31.38620,31.45975,31.82748,30.88976,31.03685,30.66911,30.70589,30.59557,30.22783,30.37493,30.81621,31.40458,32.21360,32.91230,34.16260,34.82452,36.46094,39.42121,40.43248,41.24150,42.41825,42.17923,42.47341,41.77472,41.73794,40.81861,40.30378,39.84411,38.97993,38.20769,37.47222,36.99416,35.55999,34.47517,33.07778,32.14006,31.09201,30.37493,29.38204,27.06531,25.52082,26.09081,25.11631,23.73731
