year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Hurstville North 33_11kV,01MAY2011,MW,9.93172,9.45617,9.20010,8.87087,8.79771,8.26729,7.71857,7.40763,7.07841,6.91379,6.76747,6.63944,6.49311,6.25534,6.43824,6.23705,5.98098,6.12730,6.05414,5.94440,6.09072,5.90782,6.07243,6.07243,6.23705,6.16388,6.36508,6.29192,6.87721,7.09670,7.24302,7.46251,8.35874,8.35874,8.70626,9.34642,9.60249,9.87685,10.29753,10.60846,10.64505,10.68163,11.06573,11.13889,10.97427,11.17547,11.23034,11.34008,11.43154,11.37666,11.50470,11.55957,11.08402,10.82795,11.06573,10.99256,11.01085,10.77308,10.80966,10.75479,10.84624,10.88282,10.75479,11.06573,10.51701,11.10231,11.21205,11.76076,11.26692,11.59615,11.90709,12.10828,11.70589,11.28521,11.17547,10.84624,10.69992,10.60846,10.16949,10.09633,10.05975,9.82198,9.98659,9.80368,9.52933,9.63907,9.43788,9.23668,9.93172,9.36471,9.45617,8.90745,8.70626,8.81600,9.40129,9.03549
2012,Hurstville North 33_11kV,02MAY2011,MW,9.67565,9.14523,8.79771,8.61481,8.35874,7.84661,7.46251,7.16986,6.89550,6.38337,6.27363,6.34679,6.09072,6.01756,5.90782,5.99927,5.99927,6.05414,6.01756,6.20046,6.62115,6.76747,7.29789,7.66370,8.15754,8.26729,8.98061,9.41959,10.57188,11.02915,11.55957,11.90709,11.90709,12.38264,12.71187,12.83990,13.69955,13.44349,13.68126,13.64468,13.62639,13.73613,13.51665,13.82759,13.46178,13.73613,13.86417,14.17510,13.77271,14.26656,14.39459,13.86417,13.95562,14.13852,13.97391,13.91904,14.02878,13.79100,14.15681,13.58981,13.64468,14.19339,14.01049,13.86417,13.90075,14.19339,14.35801,14.54091,14.65066,14.35801,14.35801,13.97391,13.40690,13.00451,12.74845,12.45580,12.01683,11.88880,11.77905,11.46812,11.65102,11.15718,11.26692,11.08402,10.88282,10.64505,10.46214,10.13291,10.51701,10.05975,10.16949,9.78539,9.30984,9.07207,9.60249,9.27326
2012,Hurstville North 33_11kV,03MAY2011,MW,9.73052,9.40129,9.14523,8.65139,8.48677,7.82832,7.35276,7.15157,6.74918,6.49311,6.21876,6.34679,6.29192,6.10901,6.27363,6.34679,6.20046,6.31021,6.27363,6.32850,7.07841,6.87721,7.31618,7.44422,8.13925,8.81600,9.40129,9.73052,10.99256,11.12060,11.81563,12.07170,12.25461,12.73016,13.16913,13.13255,13.55323,13.73613,13.93733,13.95562,14.06536,14.13852,14.06536,14.08365,14.50433,14.13852,14.43117,14.26656,14.17510,14.33972,14.61407,14.13852,14.32143,13.79100,14.04707,14.26656,14.02878,13.97391,13.68126,13.77271,13.77271,14.01049,13.79100,14.02878,14.12023,14.79698,14.35801,14.81527,14.44946,14.41288,14.28485,13.95562,13.29716,13.18742,12.80332,12.91306,12.32777,12.03512,12.08999,11.87051,11.76076,11.63273,11.19376,11.44983,11.01085,10.82795,10.62676,10.40727,10.80966,10.27924,10.57188,10.18778,9.62078,9.09036,9.78539,9.56591
2012,Hurstville North 33_11kV,04MAY2011,MW,10.07804,9.25497,9.05378,8.59651,8.32216,7.90148,7.42593,7.22473,6.98695,6.71260,6.51140,6.43824,6.27363,6.09072,6.18217,6.40166,6.23705,6.09072,6.18217,6.47482,6.93208,7.20644,7.60883,7.71857,8.54164,9.09036,9.49275,10.02317,10.77308,10.73650,11.72418,12.03512,12.19973,12.23632,12.56554,12.91306,13.58981,13.11426,13.62639,13.37032,13.95562,13.79100,14.19339,13.53494,13.75442,13.53494,14.06536,14.22998,14.02878,14.13852,13.69955,13.80929,13.95562,14.06536,14.35801,13.93733,13.77271,13.93733,13.60810,13.68126,14.01049,13.79100,13.55323,13.86417,13.53494,13.79100,13.80929,14.02878,13.80929,13.93733,13.90075,13.48007,13.11426,13.02281,12.85819,12.60212,11.96196,11.92538,11.66931,11.48641,11.48641,11.01085,11.26692,11.12060,10.46214,10.53530,10.35240,10.31582,10.71821,9.82198,10.20607,9.54762,9.25497,9.20010,9.65736,9.36471
2012,Hurstville North 33_11kV,05MAY2011,MW,10.05975,9.34642,8.81600,8.85258,8.45019,8.01122,7.55396,7.16986,6.95037,6.82234,6.52969,6.47482,6.41995,6.23705,6.16388,6.16388,6.14559,6.05414,6.05414,6.38337,6.91379,6.89550,7.31618,7.81002,8.24900,8.68797,9.23668,9.93172,10.46214,11.06573,11.24863,11.44983,12.05341,12.01683,12.21802,12.60212,13.07768,13.46178,13.35203,13.40690,13.48007,13.42520,13.26058,13.27887,13.64468,13.27887,13.57152,13.75442,13.57152,13.77271,13.99220,13.69955,13.90075,13.57152,13.53494,13.48007,13.84588,13.80929,13.75442,13.88246,13.57152,13.95562,13.57152,13.58981,13.53494,13.95562,13.80929,14.44946,14.44946,14.76040,14.85185,14.52262,14.68724,14.21168,14.74211,14.17510,14.13852,13.49836,13.42520,13.80929,13.69955,13.02281,13.20571,13.02281,12.52896,11.55957,11.30350,10.84624,11.19376,10.66334,10.69992,10.51701,10.00488,9.54762,10.15120,9.67565
2012,Hurstville North 33_11kV,06MAY2011,MW,10.07804,9.56591,9.47446,8.85258,8.52335,8.21241,7.70028,7.55396,7.09670,6.80405,6.69431,6.43824,6.34679,6.25534,6.03585,6.05414,6.21876,6.23705,6.14559,6.60285,6.67602,7.00524,7.29789,7.86490,8.57822,8.48677,9.45617,10.13291,10.57188,11.17547,11.57786,11.88880,12.19973,12.43751,12.56554,13.04110,13.42520,13.13255,13.05939,13.58981,13.77271,13.64468,13.90075,13.73613,13.79100,13.38861,13.62639,13.58981,13.53494,13.73613,13.58981,13.55323,13.29716,13.42520,13.31545,13.62639,13.29716,13.09597,13.20571,13.02281,13.09597,12.98622,13.20571,13.48007,13.64468,13.75442,13.84588,14.28485,14.13852,14.17510,14.02878,14.06536,13.35203,13.04110,12.69358,12.38264,12.29119,12.01683,11.65102,11.43154,11.34008,11.37666,11.43154,11.12060,10.88282,10.66334,10.75479,10.16949,10.97427,10.31582,10.48043,10.07804,10.13291,9.65736,10.22437,9.71223
2012,Hurstville North 33_11kV,07MAY2011,MW,10.16949,9.62078,9.45617,9.20010,8.79771,8.43190,7.99293,7.57225,7.33447,7.00524,6.95037,6.63944,6.67602,6.34679,6.25534,6.23705,6.18217,5.94440,6.07243,5.96269,6.07243,6.23705,6.32850,6.67602,6.93208,7.06012,7.27960,7.38934,7.75515,8.21241,8.37703,8.87087,9.69394,9.95001,10.00488,10.53530,10.66334,10.68163,11.19376,11.17547,11.37666,11.12060,11.24863,11.23034,11.26692,11.15718,11.43154,11.41324,11.55957,11.30350,11.15718,11.48641,11.21205,11.50470,11.08402,11.59615,10.91940,11.21205,11.10231,10.86453,11.46812,11.15718,10.95598,11.34008,10.82795,10.93769,11.54128,11.76076,11.63273,12.08999,12.27290,12.12657,11.99854,11.70589,11.50470,11.39495,10.95598,10.90111,10.60846,10.27924,10.55359,10.29753,10.31582,10.16949,10.09633,9.96830,9.80368,9.58420,10.02317,9.74881,9.76710,9.65736,9.36471,9.20010,9.87685,9.63907
2012,Hurstville North 33_11kV,08MAY2011,MW,10.29753,9.74881,9.74881,9.14523,8.70626,8.24900,7.90148,7.55396,7.42593,7.00524,6.60285,6.36508,6.36508,6.31021,6.05414,6.27363,5.98098,5.88953,5.94440,5.74320,6.05414,5.74320,5.99927,6.10901,6.23705,6.49311,6.25534,6.56627,6.82234,7.37105,7.55396,7.88319,8.32216,8.68797,8.87087,9.65736,9.63907,9.98659,10.18778,10.11462,10.71821,10.33411,10.40727,10.48043,10.46214,10.35240,10.69992,10.42556,10.38898,10.40727,10.16949,10.15120,10.49872,10.49872,10.40727,10.57188,10.29753,10.29753,9.98659,9.96830,9.89514,10.16949,10.00488,10.16949,10.11462,10.48043,10.82795,10.62676,10.73650,10.88282,11.23034,11.08402,11.28521,10.97427,11.01085,10.95598,10.60846,10.46214,10.62676,10.49872,10.44385,10.22437,10.35240,9.93172,9.95001,9.87685,9.82198,9.47446,9.91343,9.36471,9.23668,9.07207,8.87087,8.55993,9.16352,8.81600
2012,Hurstville North 33_11kV,09MAY2011,MW,9.51104,9.09036,8.81600,8.55993,8.23071,7.91977,7.62712,7.16986,6.73089,6.65773,6.38337,6.20046,6.10901,6.07243,6.12730,6.12730,5.99927,6.09072,6.23705,6.18217,6.54798,6.73089,7.27960,7.79173,8.30387,8.43190,9.36471,10.02317,10.86453,11.52299,11.85222,12.43751,12.30948,12.63871,12.65700,13.02281,13.37032,13.46178,13.13255,13.44349,13.69955,13.48007,13.64468,13.51665,13.71784,13.57152,13.64468,13.66297,13.82759,13.86417,13.82759,13.62639,13.79100,13.46178,13.95562,13.69955,13.68126,13.53494,13.22400,13.57152,13.42520,13.79100,13.71784,14.46775,13.95562,13.95562,14.43117,14.74211,15.16279,15.10792,15.29082,14.57749,13.91904,13.79100,13.68126,13.37032,13.20571,12.85819,12.60212,12.41922,12.43751,12.29119,11.94367,11.66931,11.88880,11.65102,11.23034,11.06573,11.19376,10.62676,10.62676,10.33411,9.80368,9.32813,9.91343,9.45617
2012,Hurstville North 33_11kV,10MAY2011,MW,10.02317,9.73052,9.41959,8.87087,8.68797,8.23071,7.86490,7.60883,7.33447,7.09670,6.76747,6.87721,6.45653,6.38337,6.41995,6.40166,6.40166,5.96269,6.18217,6.56627,7.00524,7.18815,7.51738,7.86490,8.92574,9.23668,10.07804,10.46214,11.17547,12.10828,12.23632,12.47409,12.71187,12.69358,12.91306,13.20571,13.35203,13.58981,13.79100,13.73613,13.90075,14.17510,13.82759,13.86417,13.86417,14.06536,13.73613,13.84588,13.69955,13.75442,13.97391,13.55323,13.42520,13.22400,13.77271,13.42520,13.42520,13.58981,13.75442,13.38861,13.48007,13.80929,13.62639,13.71784,13.79100,14.01049,14.22998,14.74211,14.74211,14.63237,14.66895,14.46775,14.01049,13.79100,13.80929,13.31545,13.27887,12.96793,12.60212,12.73016,12.80332,12.62042,12.41922,12.18144,11.68760,11.54128,11.35837,11.06573,11.55957,10.84624,10.77308,10.27924,9.95001,9.58420,10.13291,9.54762
