year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Kogarah 132_11kV,01MAY2011,MW,35.52921,34.94620,33.96881,32.52843,31.60248,29.68198,28.01869,26.95556,26.01246,25.24083,24.45205,23.68043,23.49181,23.21745,23.14886,22.87450,22.58300,21.81137,21.65704,21.63990,22.12002,22.39438,22.34294,22.37723,23.33748,23.21745,23.54325,24.21199,24.64067,25.56663,26.86982,27.77863,29.45907,30.48790,31.46530,32.28837,33.90022,34.58611,35.34059,35.88931,36.52376,36.48946,36.47231,36.52376,37.19250,37.19250,37.12391,37.24394,37.10676,37.07247,36.76382,36.40372,35.80357,35.76927,35.44348,35.25485,35.08338,34.96335,34.63755,35.04909,35.30630,35.08338,34.99765,35.23771,35.51206,35.82072,36.06078,36.62664,37.26109,39.01011,41.20497,42.09663,43.29694,43.29694,43.12547,42.66249,42.07948,40.81058,39.95322,39.49024,40.43334,41.27356,40.93061,39.50739,39.62742,39.35306,38.70146,37.27824,37.84410,37.70692,35.90645,34.03740,32.64846,31.49960,32.93997,32.42555
2012,Kogarah 132_11kV,02MAY2011,MW,33.09429,32.18549,31.58533,30.62508,29.76772,28.39593,27.09274,25.73810,25.01792,24.05767,23.54325,23.13171,22.94309,22.39438,22.36008,22.15432,22.13717,22.22290,21.79422,22.34294,22.80591,23.71472,24.53779,25.85813,27.43568,29.35618,30.83085,32.83709,34.34605,35.16912,36.35228,37.12391,37.70692,37.48400,37.46686,37.48400,38.25563,38.49570,39.13015,39.02726,39.19873,38.95867,39.26732,39.43880,39.50739,39.30162,39.40450,39.16444,39.45594,39.18159,39.33591,39.01011,38.82149,38.89008,39.13015,38.99297,38.77005,38.54714,38.65002,38.01557,37.89554,38.13560,38.90723,39.23303,40.03895,40.14184,41.18782,42.07948,42.31954,43.89710,45.52609,46.21198,46.21198,45.98907,45.81759,45.26888,44.99452,44.37722,43.91424,43.27979,44.15431,44.53155,44.39437,43.21120,42.61105,42.19951,40.75914,38.63287,39.25018,39.52453,37.89554,36.16366,34.68899,33.00856,34.22602,33.43724
2012,Kogarah 132_11kV,03MAY2011,MW,33.96881,32.97426,32.11690,30.98518,29.76772,28.36164,27.12703,25.96102,24.91503,24.33202,23.92049,23.50895,23.25174,22.82306,22.51441,22.44582,22.58300,22.96024,23.09742,23.16601,23.52610,24.02337,24.82929,25.94387,28.07014,30.02493,31.58533,33.36865,34.94620,36.47231,37.65548,38.39281,39.04441,38.73576,38.83864,38.40996,39.07870,39.35306,39.55883,39.54168,39.93607,39.97036,39.52453,39.64456,39.49024,39.25018,39.59312,39.52453,39.69601,39.47309,39.93607,39.74745,39.61027,39.47309,39.07870,38.71861,38.54714,38.39281,38.40996,38.25563,38.10131,38.68432,39.21588,39.54168,39.74745,40.22757,41.34215,42.42243,42.74823,44.37722,45.86904,46.26342,46.14339,46.46919,46.29772,45.76615,45.54324,44.54869,43.99998,43.39982,44.13716,44.84020,44.73731,43.22835,42.95399,42.91970,42.04519,40.07325,40.12469,40.36475,38.56428,36.74667,34.99765,33.78019,34.80903,33.90022
2012,Kogarah 132_11kV,04MAY2011,MW,34.79188,33.40295,32.45984,31.24239,30.31643,28.75603,27.36710,26.23537,25.22368,24.55494,24.09196,23.73187,23.25174,22.84021,22.66873,22.46297,22.65159,22.61729,22.87450,23.06312,23.90334,24.70926,25.56663,26.86982,28.67029,30.12781,32.30552,33.90022,34.87761,36.52376,37.86125,38.49570,38.77005,38.30707,37.98128,38.16990,38.77005,39.50739,39.81604,39.25018,38.94153,38.83864,38.90723,39.16444,39.49024,39.01011,39.06156,39.33591,39.23303,38.97582,39.07870,38.90723,38.54714,38.40996,38.49570,38.30707,37.80980,37.48400,37.72407,37.82695,37.86125,38.04987,38.65002,39.33591,39.71315,39.86748,40.07325,40.55337,40.93061,42.95399,44.85734,45.35462,45.45750,45.45750,45.66327,45.21744,44.48010,44.61728,44.34293,43.93139,43.51986,44.06857,43.81136,42.81682,42.54246,42.38813,41.17067,39.43880,39.93607,40.29616,38.59858,36.67808,34.26031,32.71705,33.79733,33.14574
2012,Kogarah 132_11kV,05MAY2011,MW,33.76304,32.92282,32.20264,30.86515,29.76772,28.46452,27.29851,26.21823,25.54948,24.82929,24.04052,23.57754,22.99453,22.60015,22.36008,22.34294,22.60015,22.56585,22.92594,22.77162,23.13171,24.17770,25.37801,26.54403,28.03584,29.32189,31.63677,33.84878,34.92906,36.07793,37.48400,37.86125,38.28993,38.13560,37.77551,38.20419,39.13015,38.52999,38.77005,38.49570,38.58143,38.37566,38.28993,38.56428,38.66717,38.42711,38.51284,38.22134,38.39281,38.15275,38.01557,37.82695,37.89554,37.84410,37.89554,37.56974,37.72407,38.04987,37.53545,36.98673,36.93529,37.84410,38.68432,39.07870,39.52453,40.07325,40.45049,41.03350,41.68509,43.48556,45.45750,45.81759,45.92048,46.52063,46.69211,46.38345,46.29772,45.69756,45.38891,45.08026,45.02882,45.50894,45.73186,44.44581,43.79421,43.15976,41.80512,40.15898,40.74199,40.69055,38.97582,37.48400,35.22056,33.62586,34.77473,34.00310
2012,Kogarah 132_11kV,06MAY2011,MW,34.60326,33.81448,32.64846,31.20809,30.26499,28.91035,27.62431,26.64691,25.32657,24.50350,23.78331,23.50895,23.14886,22.85735,22.85735,22.53156,22.82306,23.16601,22.49726,22.87450,23.54325,24.57209,25.63522,26.68120,28.46452,29.99063,31.87684,33.64301,35.03194,36.35228,37.72407,38.39281,38.51284,38.32422,37.99842,38.06701,38.63287,39.07870,39.19873,38.83864,38.58143,38.20419,38.27278,38.16990,38.65002,38.44425,37.92983,38.25563,38.71861,38.58143,38.66717,38.44425,38.13560,37.89554,37.77551,37.44971,37.62118,37.34683,36.95244,36.91814,36.64379,37.24394,38.11845,38.25563,38.78720,39.13015,39.85033,40.46764,40.99920,42.52531,44.12001,44.54869,44.97738,45.20029,45.25173,44.65158,44.66872,44.49725,43.75992,43.09117,42.98829,43.41697,43.55415,42.35384,42.43957,42.25095,41.32500,39.73030,40.69055,41.10209,39.57598,37.91269,36.14651,34.79188,35.90645,35.35774
2012,Kogarah 132_11kV,07MAY2011,MW,35.90645,35.08338,33.98595,32.57988,31.63677,30.04207,28.37879,27.36710,26.32111,25.75525,25.00077,24.24629,23.92049,23.52610,22.96024,22.96024,22.77162,22.77162,22.85735,22.37723,22.72018,23.20030,23.68043,23.73187,24.88074,25.60092,26.35540,27.16133,28.24161,29.56195,30.74511,32.35696,33.84878,35.04909,35.92360,36.45517,37.36397,37.51830,37.80980,37.55259,37.72407,37.70692,37.58689,37.58689,37.58689,37.38112,37.27824,37.15821,37.46686,37.03817,36.69523,36.47231,36.00934,35.90645,35.70068,35.35774,35.06623,35.10053,35.03194,34.99765,34.94620,35.03194,35.25485,35.63210,35.88931,35.83786,36.84955,37.74121,38.59858,40.86202,43.14261,43.81136,44.17145,43.86280,43.45127,42.40528,41.27356,40.84488,40.36475,39.81604,40.77629,41.51362,41.27356,40.17613,40.26187,40.41619,39.55883,38.13560,39.01011,39.47309,38.28993,36.78096,35.37489,34.15743,35.68354,35.25485
2012,Kogarah 132_11kV,08MAY2011,MW,35.94075,35.10053,34.29461,32.93997,31.87684,30.53935,29.04753,27.93296,26.49258,25.61807,24.91503,24.00622,23.71472,23.42322,23.04598,22.63444,22.63444,22.85735,22.65159,22.48011,22.20576,22.56585,22.42867,22.92594,23.93763,24.58923,24.89788,25.68666,26.16678,27.55572,29.09897,30.12781,31.32812,32.42555,33.47154,34.39749,35.64924,36.45517,36.28369,36.26655,36.19796,36.55805,36.57520,36.57520,36.28369,36.14651,36.42087,36.24940,36.19796,35.99219,35.34059,35.03194,34.58611,34.39749,33.62586,33.18003,32.99141,32.75135,32.71705,33.00856,33.54012,33.04285,33.11144,33.47154,34.19172,34.60326,35.46062,36.98673,37.51830,39.07870,41.01635,42.02804,42.43957,42.57675,43.33123,42.88540,42.19951,42.01089,41.70224,40.72484,41.13638,42.26810,42.16522,41.25641,41.25641,41.27356,39.91892,38.32422,38.87294,38.65002,37.07247,35.32344,33.90022,32.37411,33.47154,32.83709
2012,Kogarah 132_11kV,09MAY2011,MW,33.60871,32.81994,32.28837,31.27668,30.29928,28.82462,27.48713,26.49258,25.70381,24.69212,23.85190,23.40607,23.30318,22.80591,22.68588,22.54870,22.90880,23.04598,22.68588,22.44582,23.20030,24.38346,25.39516,27.05844,28.84176,30.83085,32.45984,34.80903,35.95789,37.31253,38.73576,39.40450,39.91892,39.52453,39.25018,39.31877,39.69601,39.66171,39.73030,39.61027,39.73030,39.66171,39.57598,39.26732,39.30162,39.43880,39.54168,39.76460,40.05610,40.02181,39.78174,39.49024,39.74745,39.31877,38.90723,38.63287,38.85579,38.56428,38.49570,38.10131,38.46140,38.70146,40.19328,40.63911,41.41074,42.21666,43.07403,43.77706,44.77161,46.67496,48.80122,49.31564,49.57285,50.07012,50.20730,49.98439,49.52141,49.36709,48.62975,48.01245,48.45828,49.05843,48.45828,46.96646,46.60637,46.22913,44.80590,42.42243,42.62820,42.43957,40.29616,38.28993,36.14651,34.07169,35.22056,34.29461
2012,Kogarah 132_11kV,10MAY2011,MW,34.79188,33.96881,33.48868,32.44270,31.05377,29.20186,28.05299,27.16133,26.30396,25.41230,24.82929,24.53779,23.93763,23.54325,23.11456,23.25174,23.21745,23.42322,23.49181,23.32033,24.65782,25.65237,26.50973,27.69289,29.85345,31.91113,34.02025,35.83786,37.24394,39.16444,40.45049,40.93061,40.89632,40.81058,40.55337,40.17613,40.41619,40.31331,40.05610,39.95322,39.85033,40.03895,39.85033,39.62742,39.37021,39.37021,39.38735,38.97582,39.16444,38.77005,38.65002,38.20419,38.39281,38.42711,38.30707,38.51284,38.23849,37.70692,37.80980,37.65548,37.80980,38.13560,38.95867,39.79889,40.31331,40.63911,41.56506,42.91970,43.74277,45.98907,47.89242,48.78408,49.29850,49.84721,49.98439,49.57285,49.09273,48.78408,49.05843,48.66405,48.45828,48.80122,48.74978,47.53232,47.60091,47.22367,45.76615,43.69133,43.77706,43.46841,41.06779,38.94153,36.62664,34.82617,35.85501,34.98050
