year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Kotara 33_11kV,01MAY2011,MW,6.60954,5.94808,6.01351,6.59537,6.02560,5.57175,5.24931,5.04683,5.15884,4.93253,4.75293,4.65183,4.65528,4.59901,4.67877,4.63256,4.62730,4.59558,4.57199,4.68818,4.97218,4.89454,4.78812,4.82275,5.04274,5.03881,5.46223,5.69151,6.10127,6.61170,7.01266,7.31425,7.72091,7.80501,8.55999,8.80770,9.30871,9.72275,10.54814,11.48928,12.69377,13.41809,13.12923,12.88206,12.93465,12.91092,13.07097,13.14846,12.94213,12.84067,12.88715,12.89711,13.00715,12.90937,13.01577,13.03114,12.97027,12.87810,12.73123,12.67270,12.53792,12.40343,12.12387,11.71680,11.42344,10.93601,10.38362,10.23566,10.22560,10.24954,10.47879,10.28972,10.00447,9.69596,9.57071,9.32424,9.19182,9.26142,9.01058,8.75354,8.41830,7.87711,7.88976,7.61500,7.49827,7.20418,8.91073,8.34829,7.59347,7.04950,7.12379,6.61573,6.97167,6.83387,6.36556,6.50796
2012,Kotara 33_11kV,02MAY2011,MW,6.44706,5.99800,5.91890,6.47041,6.01770,5.48367,5.36364,5.42452,5.23222,5.03819,4.79301,4.65982,4.69911,4.66817,4.70382,4.74998,4.80164,4.70725,4.67022,4.90482,5.29470,5.31721,5.47171,5.76226,6.42037,6.72132,7.21509,7.40126,8.04918,8.53984,9.16405,9.76067,10.22421,10.33751,10.88999,11.25242,11.81952,12.37963,12.48466,12.69105,12.45714,12.60870,12.51619,12.58849,12.64953,12.67140,12.58350,12.59144,12.55316,12.45611,12.44561,12.31385,12.42171,12.48492,12.41329,12.42253,12.49128,12.48664,12.24207,12.14189,12.29267,12.41549,12.39764,12.63405,12.85277,12.81737,12.88675,13.07082,13.00670,13.03012,12.56714,11.68296,11.06172,10.60766,10.53486,10.33487,10.13532,10.19055,9.77771,9.39472,9.09832,8.83454,8.63582,8.40575,8.14207,8.15240,8.23791,7.90042,9.51310,8.93730,8.47746,7.96239,7.57106,6.89128,7.06993,7.39694
2012,Kotara 33_11kV,03MAY2011,MW,7.60694,7.27616,7.13134,7.25873,7.11581,6.81949,6.59682,6.81162,6.47299,6.07931,5.61834,5.39703,5.18742,5.08530,5.08418,4.98486,4.90771,4.92563,4.83874,5.15343,5.40272,5.56431,5.65480,5.89583,6.60616,6.89141,7.30618,7.53301,8.15094,8.86828,9.33456,9.68244,10.20496,10.26739,10.63853,10.99108,11.72203,12.35644,12.55777,12.42222,12.48103,12.35213,12.34311,12.45854,12.50754,12.27923,12.53414,12.69245,12.51946,12.34263,12.32735,12.56795,12.64681,12.61213,12.81076,12.66085,12.48455,12.42039,12.35960,12.35392,12.36829,12.52547,12.67417,12.69161,12.51011,12.63338,12.54232,12.74372,12.77773,13.03664,12.66233,11.98233,11.29432,10.92843,10.74380,10.59570,10.22789,10.42918,10.00918,9.74703,9.54406,9.15624,8.93231,8.73915,8.34013,8.19550,8.43989,8.27316,9.69796,9.19250,8.71881,7.96767,7.57558,7.13687,7.28284,7.51643
2012,Kotara 33_11kV,04MAY2011,MW,7.67633,7.17820,7.13111,7.33514,7.13725,6.77963,6.52058,6.81316,6.41641,5.98212,5.65204,5.57778,5.35635,5.19569,5.14434,4.98314,4.95561,4.83435,4.95768,5.07150,5.27486,5.36060,5.64930,5.87325,6.57999,6.89980,7.53962,7.88871,8.49615,9.09362,9.47269,9.83831,10.05735,10.16135,10.59515,11.01931,11.63165,11.96546,11.95554,11.73649,11.88179,11.86228,11.81045,11.83543,11.86085,12.04460,12.55204,12.49523,12.39347,12.21043,12.35574,12.37248,12.29721,12.28001,12.28144,12.29924,12.36982,12.25626,12.23939,12.10334,12.09221,12.27512,12.48995,12.56348,12.71428,12.69913,12.83572,12.95250,13.07160,13.20882,12.79924,11.90520,11.43441,11.23906,10.98183,10.77491,10.48986,10.43231,10.02691,9.78166,9.62399,9.39691,8.91316,8.73647,8.45090,8.48311,8.48517,8.28724,9.66408,9.15202,8.49940,7.84109,7.50599,7.10786,7.22589,7.67930
2012,Kotara 33_11kV,05MAY2011,MW,7.86816,7.31457,7.17357,7.45557,7.17555,6.83802,6.72281,7.00124,6.63686,6.19366,5.88012,5.57703,5.50603,5.30738,5.14550,5.03527,5.05576,5.08710,5.06182,5.26198,5.45616,5.57666,5.64201,5.96371,6.60354,6.87867,7.41140,7.93958,8.40507,9.02755,9.30906,9.64459,10.29938,10.23880,10.52753,10.92522,11.56996,12.13527,12.34789,12.12067,12.32466,12.24841,12.14624,11.92492,12.03751,12.10789,12.04788,12.05650,12.09740,11.90195,12.03468,12.29943,12.13211,12.14808,12.09838,12.06918,11.95093,11.93726,11.94212,11.95403,11.98549,12.03192,12.16332,12.19460,12.19624,12.32704,12.40797,12.74755,13.08717,13.75583,14.38147,14.40275,14.54748,14.55146,14.51760,14.40691,14.40814,14.50905,14.08962,13.76739,13.42962,13.14665,12.61256,11.89333,10.58377,9.63739,9.13935,8.74746,9.98845,9.23896,8.71743,8.12644,7.80603,7.20606,7.25468,7.51976
2012,Kotara 33_11kV,06MAY2011,MW,7.69971,7.23564,7.16077,7.33211,7.28322,6.87099,6.74351,6.94000,6.52522,5.97847,5.74290,5.53649,5.39303,5.18969,5.11866,5.01288,5.03475,4.98880,5.01470,5.10416,5.23348,5.27078,5.58997,5.93823,6.51419,6.86175,7.47246,7.63755,8.40160,9.23310,9.58932,9.83372,10.35409,10.59585,10.95006,11.19146,11.62538,11.52954,11.86660,11.87359,11.99260,11.89155,11.79792,11.73031,11.82685,11.80690,11.76440,11.80504,11.90926,11.82171,11.67286,11.73711,11.81106,11.69607,11.72654,11.65924,11.82454,11.77987,11.73057,11.65180,11.70674,11.85647,11.97353,12.10360,12.22139,12.45017,12.39483,12.56131,12.69387,12.81567,12.28018,11.46799,10.93986,10.58033,10.51552,10.05204,10.65247,10.16762,9.72373,9.53378,9.30856,9.11791,8.77841,8.64868,8.27148,8.13799,8.39211,8.14704,9.69136,9.29500,8.74162,8.17263,7.73874,7.20939,7.32149,7.77558
2012,Kotara 33_11kV,07MAY2011,MW,7.85167,7.47425,7.37163,7.39398,7.15234,6.92467,6.43501,6.06843,6.55886,6.34723,5.93607,5.60858,5.48965,5.31333,5.10011,4.96533,4.98648,4.87684,4.86198,4.98195,5.08547,5.22224,5.24035,5.24568,5.28794,5.39376,5.80820,6.49989,7.20989,7.75444,8.40056,8.93386,9.83799,10.22237,11.02826,11.60598,12.32866,12.66336,12.64174,12.56825,12.44255,12.42029,12.33013,12.52149,12.22780,12.31937,12.27875,12.41956,12.37294,12.40947,12.38166,12.23262,12.12647,12.05109,12.12788,12.10575,12.04632,12.18776,12.05779,12.13216,12.25694,12.42239,12.31079,12.27877,12.39492,12.45430,12.38095,12.00833,11.52171,11.08890,10.98345,10.57949,10.07191,9.72221,9.57254,9.58383,9.37627,9.37938,8.99351,8.47585,8.35042,8.28313,8.23928,7.86338,7.88537,7.81563,9.40986,8.88036,8.12818,7.55540,7.69011,7.23210,7.50998,7.12368,6.74565,6.80217
2012,Kotara 33_11kV,08MAY2011,MW,6.93703,6.20469,6.24836,6.63182,6.19053,5.72309,5.38104,5.16794,5.41022,5.32367,5.08822,4.97558,4.93554,4.78310,4.77542,4.58534,4.65578,4.57158,4.57157,4.57446,4.86674,4.85995,4.88164,4.85744,5.10489,5.16319,5.52342,5.89888,6.56327,7.13725,7.56015,7.99161,8.79358,8.94854,9.19175,9.50392,9.87851,10.37006,11.03629,11.64980,12.36247,12.67040,12.59258,12.54564,12.31951,12.32036,12.19217,12.46036,12.34658,12.06362,11.96011,11.86647,11.86323,11.90100,11.75796,11.68998,11.69430,11.61558,11.47170,11.54238,11.57696,11.65937,11.32097,10.95300,10.56461,10.20759,9.99529,9.77145,9.74764,9.95764,10.30685,10.24795,9.91387,9.58918,9.37409,9.19191,9.16250,9.37406,8.97351,8.81386,8.84563,8.61053,8.44888,8.11501,8.00390,7.78701,9.43177,8.78289,7.75364,7.22718,7.34309,6.84517,7.03607,6.68716,6.24702,6.39494
2012,Kotara 33_11kV,09MAY2011,MW,6.40071,6.02720,6.17083,6.60154,6.02351,5.51118,5.39720,5.36347,5.24713,5.02838,4.92734,4.75571,4.80170,4.81994,4.82400,4.71907,4.69082,4.67485,4.69751,4.77923,4.96180,5.20257,5.58419,6.06237,6.55098,6.82194,7.35744,7.70225,8.37931,9.03209,9.73703,9.84596,10.01177,10.11074,10.54254,10.95080,11.29584,11.61536,11.92381,12.05034,11.95478,12.10338,11.92673,11.95526,11.88640,11.89050,11.93949,12.07101,12.27382,12.22650,12.21488,12.24004,12.19691,12.21750,12.19640,12.23908,12.35777,12.16001,12.07509,12.13250,12.43683,12.55729,12.78921,13.01954,13.52270,13.76749,13.95924,14.12858,14.56982,15.29028,15.00575,14.13171,13.44808,13.15820,12.93855,12.66783,12.57202,12.64760,12.09271,11.79803,11.58935,11.23366,10.82831,10.64786,10.40456,10.03185,9.77254,9.34259,10.80202,10.20311,9.38874,8.67201,8.26928,7.86250,7.87768,8.28079
2012,Kotara 33_11kV,10MAY2011,MW,8.44126,7.94298,7.82791,8.15394,8.17223,7.83311,7.78991,7.97903,7.52886,6.78279,6.03702,5.89191,5.93839,6.34476,5.94623,5.81070,5.73851,5.55619,5.49148,5.77853,6.07041,6.08822,6.28476,6.62462,7.23656,7.67757,8.50991,8.95498,9.67435,10.37190,10.93288,10.94265,11.25071,11.43283,11.48358,11.73514,12.19417,12.21964,12.76397,12.91268,12.55304,12.57392,12.17950,12.19976,12.11879,12.06615,12.20404,12.15538,12.13021,12.11252,12.13075,12.00501,12.07389,12.01333,11.92928,12.06761,12.15125,11.86643,11.79681,12.03168,11.86578,11.94176,12.10000,12.15351,12.35110,12.63073,12.78849,13.10379,13.36322,13.98548,13.87186,13.25802,12.87617,12.71275,12.59138,12.43540,12.27965,12.34883,11.99774,11.61433,11.41471,11.24621,10.87295,10.56206,10.18277,9.95086,9.97833,9.42408,10.82434,10.34208,9.57136,8.86616,8.45794,7.81985,7.84077,8.08487
