year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Lake Munmorah 33_11kV,01MAY2011,MW,8.28241,10.21739,9.38553,7.93882,7.16121,9.06002,8.42709,7.68565,7.01654,6.32936,5.60600,5.29858,5.08157,4.86456,4.66564,4.52097,4.55714,4.46672,4.24971,4.66564,4.50288,4.64756,4.12312,4.34013,4.93690,5.08157,5.40708,4.88265,5.11774,5.29858,5.64217,5.94960,6.47403,6.25702,6.47403,6.54636,6.11235,6.29319,6.40169,6.43786,6.52828,6.27510,5.89534,5.94960,5.94960,5.87726,5.91343,5.85918,5.69642,5.69642,5.82301,5.62409,5.42516,5.42516,5.40708,5.53367,5.37091,5.53367,5.60600,5.58792,5.84109,5.80492,5.96768,6.25702,6.32936,6.61870,7.03463,7.41439,7.97499,8.69834,9.56637,9.43978,9.47595,9.24086,8.44517,8.30050,7.81223,7.63140,7.50481,7.41439,7.84840,7.23355,7.55906,7.14313,7.30589,6.99846,6.74529,6.18469,6.31127,7.59523,7.10696,6.54636,7.73990,7.43247,9.51212,8.93343
2012,Lake Munmorah 33_11kV,02MAY2011,MW,8.48134,9.56637,8.78876,7.81223,7.14313,8.93343,8.40900,7.59523,6.74529,6.09427,5.66025,4.82839,4.82839,4.88265,4.59330,4.73798,4.53905,4.46672,4.68372,4.84648,5.19007,5.24432,5.38899,5.56983,6.02193,6.83570,7.45056,6.43786,6.18469,6.47403,6.60061,6.52828,6.31127,6.36552,6.36552,6.25702,6.09427,5.73259,5.89534,5.89534,5.40708,5.24432,4.99115,4.95498,4.97307,5.08157,5.08157,4.99115,5.11774,5.24432,5.51558,4.88265,4.77414,4.77414,4.93690,4.93690,4.82839,4.90073,5.04540,5.08157,5.26241,5.80492,5.98576,6.00385,6.18469,6.31127,6.78145,6.98038,8.46325,9.25894,9.34936,9.56637,9.69296,9.42170,9.15044,8.80685,8.51751,8.42709,8.04732,7.52289,8.01116,7.66756,7.81223,7.59523,7.72181,6.99846,6.85379,6.52828,6.70912,7.50481,7.01654,6.76337,7.79415,7.41439,9.83763,8.64409
2012,Lake Munmorah 33_11kV,03MAY2011,MW,8.42709,10.36206,9.38553,8.04732,7.30589,9.18661,8.71643,7.79415,7.05271,6.14852,5.78684,5.42516,5.09965,4.82839,4.79223,4.12312,4.17738,4.03270,4.21354,4.52097,5.08157,5.15390,5.38899,5.58792,6.11235,6.76337,7.23355,6.51020,6.45594,6.51020,6.67295,6.51020,6.47403,6.11235,5.96768,5.71450,5.55175,5.35283,5.38899,5.04540,4.79223,5.00923,5.44325,5.29858,5.24432,4.81031,5.02732,5.19007,5.13582,5.46133,5.22624,5.42516,5.37091,5.09965,5.22624,5.15390,5.08157,4.68372,4.81031,4.97307,4.73798,5.11774,5.19007,5.46133,6.11235,6.25702,6.83570,7.08888,7.93882,8.55367,9.33128,9.18661,9.07811,8.58984,8.24625,8.40900,8.33667,8.19200,7.77607,7.77607,8.15583,7.83032,8.11966,7.52289,7.79415,6.94421,6.58253,6.16660,6.34744,7.66756,6.87187,6.47403,7.75798,7.46864,9.25894,8.31858
2012,Lake Munmorah 33_11kV,04MAY2011,MW,7.90265,9.76529,9.02385,7.95691,7.28780,9.49403,8.73451,7.46864,6.78145,5.82301,5.31666,5.11774,5.04540,4.95498,4.82839,4.68372,4.59330,4.53905,4.66564,4.93690,4.97307,5.20816,5.33474,5.51558,,6.94421,7.50481,6.65487,6.45594,6.72720,6.60061,6.49211,6.52828,6.13043,5.94960,5.91343,5.87726,5.75067,5.46133,5.56983,5.53367,5.44325,5.11774,5.17199,5.26241,5.40708,5.24432,5.64217,5.76876,5.96768,5.76876,5.24432,5.29858,5.31666,5.38899,5.51558,5.55175,5.49750,5.47941,5.55175,5.44325,5.62409,5.62409,5.69642,5.96768,6.27510,,6.92612,8.17391,8.80685,9.22278,9.22278,9.34936,9.06002,8.95152,8.64409,8.64409,8.39092,8.19200,8.01116,8.42709,7.84840,8.31858,7.73990,8.19200,7.32397,7.16121,6.70912,6.81762,8.06541,7.43247,6.52828,7.97499,7.30589,9.51212,8.62601
2012,Lake Munmorah 33_11kV,05MAY2011,MW,8.13774,10.16314,9.04194,8.11966,7.66756,9.38553,8.78876,7.70373,6.74529,6.20277,5.80492,5.51558,5.13582,4.41247,4.86456,4.77414,4.77414,4.68372,4.82839,5.02732,5.26241,5.22624,5.28049,5.66025,6.29319,6.90804,7.45056,6.69103,6.52828,6.72720,6.47403,6.54636,6.18469,6.47403,6.13043,5.87726,5.60600,5.42516,5.44325,5.35283,5.26241,4.75606,5.15390,4.99115,5.13582,5.02732,5.02732,5.11774,5.00923,4.61139,4.48480,4.39438,4.57522,4.90073,4.95498,4.93690,4.95498,5.00923,4.93690,5.00923,5.17199,5.24432,5.44325,5.69642,5.71450,6.29319,6.70912,6.99846,7.97499,8.86110,9.13236,9.11427,9.24086,8.98769,8.96960,8.73451,8.48134,7.88457,8.10158,7.83032,8.46325,8.04732,8.15583,7.84840,7.79415,7.05271,6.81762,6.56445,6.70912,8.08349,7.07080,6.85379,7.93882,7.61331,9.38553,8.30050
2012,Lake Munmorah 33_11kV,06MAY2011,MW,8.13774,9.81954,9.13236,7.75798,7.12505,9.60254,8.51751,7.37822,7.03463,6.41978,5.89534,5.13582,5.04540,4.91881,4.86456,4.61139,4.52097,4.55714,4.86456,5.06349,4.86456,5.08157,5.31666,5.56983,6.20277,7.14313,7.63140,6.76337,6.78145,6.88996,6.72720,6.60061,6.52828,5.85918,5.93151,5.56983,5.62409,5.78684,5.58792,5.38899,5.46133,5.11774,5.08157,5.19007,5.17199,5.04540,5.08157,4.64756,4.68372,4.64756,4.46672,4.43055,4.88265,4.81031,4.99115,4.88265,4.81031,5.13582,5.00923,5.15390,5.11774,5.28049,5.62409,5.22624,5.58792,6.23894,6.61870,7.01654,7.61331,8.35475,8.64409,8.84302,8.93343,9.00577,8.78876,8.68026,8.71643,8.28241,8.46325,8.15583,8.58984,8.21008,8.48134,8.21008,8.48134,7.88457,7.59523,7.21547,7.12505,8.30050,7.77607,7.08888,8.28241,7.86649,9.81954,8.91535
2012,Lake Munmorah 33_11kV,07MAY2011,MW,8.62601,10.14505,9.06002,7.90265,7.55906,9.65679,8.80685,8.04732,7.46864,6.16660,5.62409,5.53367,5.29858,5.11774,4.93690,4.70181,3.99654,4.12312,4.21354,4.37630,4.30396,4.17738,4.84648,4.99115,5.33474,5.56983,6.00385,5.71450,5.71450,6.09427,6.02193,6.54636,6.72720,6.90804,6.69103,6.45594,6.36552,6.36552,6.05810,6.02193,5.87726,5.75067,5.56983,5.51558,5.26241,5.26241,5.35283,5.26241,5.31666,5.17199,5.24432,4.64756,4.77414,5.22624,5.13582,5.04540,4.59330,4.79223,4.95498,4.97307,5.00923,5.13582,5.46133,5.76876,5.94960,6.40169,6.79954,7.16121,7.57714,8.49942,9.22278,8.69834,8.77068,8.87918,8.78876,8.62601,8.10158,7.66756,7.46864,7.68565,7.83032,7.66756,7.92074,7.46864,7.72181,7.39631,7.19738,7.01654,7.17930,8.13774,7.63140,6.96229,8.19200,7.90265,9.67487,8.82493
2012,Lake Munmorah 33_11kV,08MAY2011,MW,8.53559,10.45248,9.49403,8.24625,7.73990,9.47595,8.77068,7.93882,7.21547,6.67295,5.71450,5.13582,5.38899,4.93690,4.82839,4.75606,4.57522,4.55714,4.53905,4.70181,4.75606,4.81031,4.75606,4.73798,5.00923,5.08157,5.71450,5.35283,5.44325,5.85918,6.27510,6.36552,6.65487,6.74529,6.94421,6.74529,6.96229,6.67295,6.32936,6.36552,6.43786,6.27510,6.31127,5.60600,5.44325,5.78684,5.64217,5.60600,5.44325,5.37091,5.53367,5.24432,5.04540,5.06349,5.06349,4.93690,5.09965,5.17199,5.35283,5.20816,5.15390,5.47941,5.66025,5.71450,5.87726,6.34744,6.65487,6.81762,7.55906,8.39092,8.75260,9.02385,9.02385,8.89727,8.58984,8.44517,8.30050,8.19200,7.83032,7.97499,8.39092,7.97499,8.08349,7.72181,8.02924,7.41439,6.88996,6.47403,6.70912,7.61331,7.10696,6.67295,7.86649,7.36014,9.40362,8.44517
2012,Lake Munmorah 33_11kV,09MAY2011,MW,8.30050,9.96422,9.24086,8.37283,7.28780,9.51212,9.04194,7.77607,7.07080,6.52828,5.82301,5.55175,5.19007,5.00923,5.00923,4.79223,4.70181,4.73798,4.53905,4.93690,5.17199,4.81031,5.13582,5.80492,6.38361,7.19738,7.97499,6.79954,7.03463,6.90804,7.59523,7.43247,7.36014,7.07080,6.49211,6.23894,5.98576,5.66025,5.82301,5.76876,5.64217,5.42516,5.56983,5.40708,5.93151,5.91343,6.09427,6.16660,6.13043,6.20277,6.11235,6.16660,6.40169,6.40169,6.27510,6.29319,6.16660,6.41978,6.60061,6.87187,7.01654,7.57714,7.19738,7.26972,7.68565,8.02924,8.44517,9.06002,10.32589,11.44709,12.04386,11.93536,11.82685,11.79069,11.12158,10.90458,10.54290,10.14505,9.74721,9.81954,9.78338,9.25894,9.43978,8.89727,8.91535,8.26433,7.83032,7.30589,7.32397,8.69834,7.45056,7.01654,8.19200,7.88457,9.72912,9.02385
2012,Lake Munmorah 33_11kV,10MAY2011,MW,8.84302,10.66949,9.81954,8.77068,7.75798,10.36206,9.80146,8.51751,7.79415,7.01654,6.34744,5.76876,5.15390,4.86456,4.66564,4.41247,4.35821,4.35821,4.43055,4.86456,4.91881,5.06349,5.67834,5.94960,6.79954,7.46864,8.86110,9.13236,9.36745,9.31320,9.38553,9.33128,8.93343,8.51751,8.24625,7.84840,7.57714,7.26972,7.08888,7.08888,6.76337,6.31127,6.09427,6.27510,5.66025,6.02193,6.27510,5.76876,5.82301,5.76876,5.56983,5.58792,5.58792,5.64217,5.46133,5.47941,5.55175,5.66025,5.66025,5.71450,6.14852,6.27510,6.45594,6.72720,7.17930,7.68565,8.46325,8.31858,9.36745,10.72374,10.88649,11.60985,11.55560,10.97691,10.88649,11.10350,10.68757,10.25356,10.03655,9.69296,10.14505,9.63871,9.83763,9.42170,9.71104,8.69834,8.28241,7.83032,7.66756,9.15044,7.50481,6.67295,7.64948,6.94421,8.78876,7.77607
