year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Leichhardt 33_11kV,01MAY2011,MW,12.52700,12.22706,11.66246,11.22137,10.93907,10.65677,10.23332,10.14510,9.59815,9.22763,9.05120,8.96298,8.99827,8.87476,8.78654,8.64539,8.55718,8.59246,8.64539,8.80419,8.80419,8.76890,8.80419,8.87476,8.87476,9.05120,8.87476,9.22763,9.54522,9.91574,10.28625,10.93907,11.46838,12.01533,12.10355,12.63286,13.25039,13.56797,13.93849,14.27372,14.80303,14.90889,14.89125,14.64424,14.78539,14.69717,14.39723,14.55602,14.36194,14.37958,14.25608,14.32665,14.41487,14.07964,13.93849,13.92085,13.90320,13.65619,13.69148,13.67384,13.76205,13.86792,14.11493,14.50309,13.97378,14.18550,14.59131,15.05004,15.59700,16.23217,17.53780,18.64935,18.89636,18.68464,19.01987,18.86107,18.17297,18.06711,17.96125,17.92596,17.23786,16.93791,16.77912,16.47918,16.03809,15.45585,15.31470,14.87361,14.22079,13.74441,13.42683,12.77401,12.17413,12.01533,11.53895,11.25666
2012,Leichhardt 33_11kV,02MAY2011,MW,11.32723,10.88614,10.40976,10.00396,10.00396,9.77459,9.52758,9.36878,9.05120,8.99827,8.87476,8.94534,8.76890,8.73361,8.71597,8.64539,8.61011,8.73361,8.83947,9.05120,9.12177,9.24528,9.68637,10.56855,11.36252,12.01533,12.80930,13.88556,15.01475,16.00280,16.49682,16.81441,16.93791,17.14964,16.97320,16.90263,17.43194,17.83774,18.13768,17.78481,17.83774,17.67895,17.82010,18.31412,18.15533,18.10240,18.22590,18.73757,18.38469,18.20826,18.26119,18.34941,17.94360,18.26119,18.13768,18.01418,17.89067,18.13768,17.78481,17.71423,17.60837,17.29079,17.30843,17.59073,17.30843,17.89067,17.94360,18.22590,18.63170,19.21395,20.32550,20.57251,20.96067,21.27825,21.26061,21.71935,21.56055,21.03124,20.66073,20.25492,20.13142,19.81383,18.96693,18.59642,18.06711,17.29079,17.07906,16.63797,16.35567,15.72050,14.94418,14.15022,13.25039,12.75637,12.61522,11.94476
2012,Leichhardt 33_11kV,03MAY2011,MW,11.99769,11.73303,11.04493,10.88614,10.88614,10.39212,10.12746,9.84516,9.65108,9.33350,9.28057,9.36878,9.13942,9.03355,9.20999,9.01591,9.10413,9.22763,9.31585,9.49229,9.82752,9.80987,10.28625,10.69206,11.60953,12.57993,13.53269,14.78539,16.17924,17.00849,17.23786,17.46722,18.01418,17.89067,17.82010,17.73188,17.94360,18.08475,18.36705,18.36705,18.34941,18.41998,18.50820,18.50820,18.47291,18.57877,18.71992,18.80814,18.94929,18.75521,18.43762,18.84343,18.61406,18.24354,18.45527,18.89636,18.38469,18.47291,18.27883,18.10240,17.97889,18.15533,18.13768,18.56113,18.08475,18.36705,18.40234,18.63170,19.03751,20.02555,20.39607,21.10182,21.22532,21.38412,21.40176,21.13710,21.19004,21.24297,21.10182,20.55486,19.91969,19.61975,18.93165,18.80814,18.56113,18.01418,17.66130,16.88498,16.56740,16.03809,15.26177,14.52073,13.63855,13.09160,12.70344,12.12119
2012,Leichhardt 33_11kV,04MAY2011,MW,12.29763,12.05062,11.48602,11.09786,10.95671,10.58620,10.23332,10.00396,9.70401,9.58051,9.65108,9.43936,9.45700,9.26292,9.12177,9.13942,9.22763,9.29821,9.35114,9.49229,9.75694,9.95102,10.40976,11.08022,11.87418,12.79165,13.76205,15.03240,16.05573,17.09671,17.39665,17.67895,17.99653,18.10240,17.46722,17.36136,17.83774,17.59073,17.66130,17.64366,17.32607,17.66130,18.29648,18.08475,17.80245,17.78481,17.82010,17.78481,17.52015,17.57309,17.53780,17.53780,17.30843,17.37900,17.80245,17.48487,17.39665,17.62602,17.57309,17.11435,17.27314,17.09671,16.86734,16.95556,17.11435,17.23786,17.16728,17.44958,18.04946,18.66699,19.60211,20.34314,20.00791,19.58446,19.84912,20.27257,20.23728,20.16670,19.61975,19.33745,19.23159,18.86107,18.29648,18.31412,17.66130,17.18492,16.95556,16.21452,15.96751,15.06769,14.09728,13.85027,13.09160,12.27999,12.19177,11.83890
2012,Leichhardt 33_11kV,05MAY2011,MW,11.69775,11.50367,10.88614,10.72735,10.37447,10.18039,10.00396,9.80987,9.40407,9.12177,8.96298,8.85712,8.80419,8.91005,8.78654,8.91005,8.83947,8.82183,9.06884,9.22763,9.40407,9.49229,10.00396,10.39212,11.22137,12.19177,12.98573,14.11493,15.15590,15.82636,16.54975,16.44389,16.83205,16.81441,16.54975,16.28510,16.16159,16.37332,16.84970,16.83205,16.39096,16.37332,16.40860,16.40860,16.28510,16.32039,16.35567,16.23217,16.02044,16.21452,16.24981,16.19688,16.21452,16.24981,16.00280,16.09102,16.03809,16.26745,16.02044,16.00280,15.93222,16.05573,16.02044,16.02044,16.21452,16.32039,16.33803,16.90263,17.11435,18.45527,19.14337,19.65504,20.07848,19.95498,20.29021,20.69601,20.43136,20.43136,19.79619,19.63739,19.33745,19.23159,19.03751,18.47291,17.89067,17.04378,16.86734,16.65561,16.09102,15.10297,14.75010,14.45016,13.37389,13.03866,12.56229,12.03298
2012,Leichhardt 33_11kV,06MAY2011,MW,12.03298,11.53895,11.16844,10.85085,10.74499,10.23332,9.80987,9.72166,9.45700,9.40407,9.20999,9.19235,9.15706,9.12177,9.05120,9.13942,9.13942,8.92769,8.99827,9.22763,9.36878,9.75694,10.05689,10.58620,11.62717,12.59757,13.30332,14.16786,15.33234,16.17924,16.81441,16.97320,17.18492,17.09671,16.83205,16.72619,17.13199,16.74383,16.70855,16.60268,16.63797,16.72619,16.58504,16.58504,16.35567,16.33803,16.47918,16.23217,16.26745,16.42625,16.35567,16.53211,16.40860,16.42625,15.98516,15.94987,16.00280,16.09102,15.86165,15.64993,15.50878,15.50878,15.64993,15.87929,15.96751,15.70286,16.16159,16.65561,17.13199,18.01418,18.87872,19.24923,19.40803,19.67268,19.91969,20.14906,19.95498,19.70797,19.65504,18.79050,18.64935,18.41998,17.94360,17.59073,17.43194,17.30843,16.76148,16.28510,16.05573,15.38527,14.78539,14.36194,13.72677,13.19746,12.95045,12.79165
2012,Leichhardt 33_11kV,07MAY2011,MW,12.50935,12.10355,11.98005,11.27430,10.92143,11.00964,10.65677,10.09217,9.79223,9.43936,9.49229,9.24528,9.38643,9.38643,9.10413,9.22763,9.33350,9.33350,9.13942,9.05120,9.10413,9.22763,9.45700,9.79223,10.10982,10.49798,10.67441,10.99200,11.38016,11.96240,12.68579,13.19746,13.86792,14.39723,14.66188,14.83832,14.97947,15.19119,15.20883,15.40292,15.45585,15.36763,15.05004,15.15590,15.05004,14.87361,14.62659,14.89125,14.85596,14.85596,14.46780,14.25608,13.99142,13.99142,13.83263,13.74441,13.77970,13.69148,13.76205,14.11493,14.07964,13.76205,14.00907,14.11493,14.22079,14.55602,14.76774,15.29705,16.19688,17.67895,18.63170,19.53153,19.86676,19.47860,19.56682,19.24923,19.19630,18.57877,18.34941,18.12004,17.52015,17.36136,17.11435,16.65561,16.44389,16.10866,15.82636,15.47349,15.22648,14.83832,14.59131,14.34430,13.62091,12.91516,12.59757,12.24470
2012,Leichhardt 33_11kV,08MAY2011,MW,12.40349,12.03298,11.32723,11.41545,11.09786,10.72735,10.21568,10.10982,9.66873,9.33350,9.20999,9.05120,8.87476,8.76890,8.55718,8.55718,8.55718,8.55718,8.55718,8.55718,8.64539,8.75126,8.83947,8.94534,9.33350,9.61579,9.73930,10.05689,10.33918,10.92143,11.43309,12.17413,12.49171,12.79165,13.14453,13.58562,13.93849,14.09728,14.27372,14.57366,14.67953,14.55602,14.50309,14.39723,14.18550,13.97378,13.72677,13.69148,13.42683,13.39154,13.30332,13.09160,12.95045,12.73872,12.72108,12.47407,12.20941,12.19177,12.13884,12.31527,12.47407,12.68579,12.61522,13.09160,13.26803,13.40918,13.85027,14.71481,15.47349,16.62033,17.90831,18.70228,18.87872,19.42567,19.67268,19.58446,19.24923,18.91400,18.79050,18.59642,18.22590,17.90831,17.53780,17.32607,16.81441,16.46153,16.40860,15.79108,14.96182,14.11493,13.70912,13.14453,12.47407,11.96240,11.41545,11.46838
2012,Leichhardt 33_11kV,09MAY2011,MW,11.18608,10.97436,10.78028,10.56855,10.53326,10.28625,10.00396,9.61579,9.38643,9.29821,8.96298,8.96298,9.08648,8.96298,8.94534,8.94534,8.94534,8.91005,8.96298,8.96298,9.19235,9.38643,9.98631,11.04493,11.78596,12.75637,13.58562,14.71481,15.87929,16.93791,17.71423,17.90831,17.99653,17.66130,17.50251,17.27314,17.00849,17.00849,16.92027,17.04378,17.53780,17.37900,17.11435,17.00849,17.39665,17.32607,17.22021,17.16728,17.18492,17.39665,17.02613,16.99084,17.16728,17.02613,17.06142,16.93791,17.27314,17.06142,16.97320,16.77912,16.46153,16.62033,16.54975,16.79676,17.57309,17.78481,18.03182,18.33176,18.66699,19.76090,20.89009,21.73699,22.14279,22.30159,22.90147,23.02498,22.68975,22.65446,22.38980,22.17808,21.77228,20.85481,20.57251,19.99027,19.58446,19.01987,18.31412,17.89067,16.93791,16.07337,15.54406,14.75010,14.11493,13.26803,12.82694,12.54464
2012,Leichhardt 33_11kV,10MAY2011,MW,12.05062,11.83890,11.83890,11.27430,11.13315,10.74499,10.46269,10.10982,10.09217,9.68637,9.50993,9.50993,9.50993,9.33350,9.50993,9.45700,9.47465,9.52758,9.68637,9.75694,10.07453,10.23332,10.85085,11.30959,12.33292,13.60326,14.57366,15.96751,16.76148,17.59073,18.34941,18.80814,18.93165,18.56113,18.54349,17.85538,17.96125,17.82010,18.08475,17.76717,17.66130,17.69659,17.69659,17.52015,17.46722,17.37900,17.16728,17.06142,17.09671,16.97320,17.09671,17.18492,16.90263,16.83205,16.65561,16.76148,17.23786,17.20257,16.72619,16.97320,16.77912,16.69090,16.90263,17.34372,16.92027,17.39665,17.62602,17.90831,18.50820,19.77854,20.76659,21.45469,22.61917,22.60153,23.18377,23.25434,23.20141,22.65446,22.65446,22.68975,21.71935,21.78992,21.22532,20.50193,19.90205,19.67268,19.05515,18.20826,17.66130,16.58504,15.93222,15.12062,14.13257,13.69148,12.82694,12.52700
