year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Lidcombe 33_11kV,01MAY2011,MW,10.32491,10.02691,9.69385,9.60620,9.23808,8.99266,8.78231,8.65960,8.46678,8.25642,8.18630,8.02854,7.90583,7.80065,7.69548,7.53771,7.55524,7.45006,7.50265,7.45006,7.59030,7.66042,7.87077,8.01101,8.23889,7.87077,7.94089,7.90583,8.08113,8.27395,8.51936,8.79984,9.16796,9.69385,9.93926,10.30738,10.50020,10.86833,10.83327,10.99103,11.44680,11.60457,11.88504,12.11292,12.18304,12.06034,12.21810,11.92010,11.81492,12.02528,12.04281,11.92010,12.02528,11.95516,11.77986,11.86751,11.63963,11.67469,11.67469,11.58704,11.53445,11.62210,11.58704,11.39421,11.42927,11.55198,11.56951,11.77986,12.00775,12.56869,13.28740,13.44517,13.48023,13.49776,13.41011,13.21729,13.05952,13.12964,12.88422,12.81411,12.83164,12.62128,12.48104,12.39340,12.28822,12.28822,12.13045,11.93763,11.99022,11.76233,11.42927,11.06115,10.86833,10.64044,10.41256,10.06197
2012,Lidcombe 33_11kV,02MAY2011,MW,9.90420,9.57114,9.27314,9.09784,8.95760,8.72972,8.48431,8.29148,8.22136,8.13371,8.29148,8.50184,8.71219,8.50184,8.36160,8.29148,8.23889,8.25642,8.37913,8.37913,8.67713,9.08031,9.39584,9.69385,10.21973,10.18467,10.34244,10.95597,12.04281,12.53363,13.14717,13.35752,13.79576,14.00612,14.26906,14.46188,14.70730,15.02283,15.30330,15.18060,15.39095,15.56625,15.65389,15.82919,16.14472,16.16225,16.03955,16.16225,16.21484,16.33755,16.26743,15.95190,15.79413,15.68895,15.65389,15.54872,15.58378,15.61884,15.37342,15.14554,15.05789,15.26824,15.53119,15.47860,15.42601,15.60131,15.79413,15.49613,15.74154,16.47778,16.98614,16.84590,16.84590,16.95108,17.03873,16.91602,16.37261,16.02202,16.19731,16.17978,15.96943,15.67142,15.28577,15.09295,14.51447,14.26906,14.16388,14.16388,14.02365,13.72564,13.48023,13.26988,12.81411,12.37587,12.11292,11.83245
2012,Lidcombe 33_11kV,03MAY2011,MW,11.62210,11.30656,10.88586,10.64044,10.48268,10.37750,10.34244,9.90420,9.78149,9.86914,9.76396,9.58867,9.43090,9.37831,9.23808,9.01019,9.18549,9.36078,9.16796,9.27314,9.48349,9.83408,10.34244,10.79821,11.34162,11.62210,11.77986,12.21810,12.90175,13.46270,14.04118,14.21647,14.86506,14.68977,15.09295,14.97024,15.30330,15.32083,15.44354,15.44354,15.89931,16.07460,16.12719,16.16225,15.86425,16.00449,16.00449,16.02202,16.10966,16.28496,16.00449,15.82919,15.74154,15.70648,15.81166,15.79413,15.68895,15.72401,15.49613,15.33836,15.26824,15.49613,15.68895,15.47860,15.70648,15.65389,15.88178,15.88178,16.39014,16.82838,17.28414,16.86343,16.68814,16.79332,16.65308,16.82838,16.26743,15.91684,15.84672,15.67142,15.49613,15.60131,14.95271,14.81248,14.51447,14.07623,13.98859,14.09376,14.23400,13.76070,12.97187,12.62128,12.28822,12.13045,11.95516,11.49939
2012,Lidcombe 33_11kV,04MAY2011,MW,11.34162,11.21892,11.04362,10.81574,10.44762,10.21973,9.88667,9.79902,9.43090,9.30820,9.29067,9.25561,9.13290,8.88749,9.01019,9.18549,9.20302,8.94007,8.95760,9.18549,9.83408,10.09703,10.35997,10.55279,11.23645,11.30656,11.48186,11.81492,12.44599,13.07705,13.84835,14.16388,14.40930,14.63718,14.35671,14.37424,14.81248,14.93518,15.16307,15.23319,15.30330,15.53119,15.84672,15.75907,15.61884,15.54872,15.58378,15.54872,15.77660,15.82919,15.63637,15.56625,15.40848,15.60131,15.70648,15.63637,15.44354,15.11048,15.19813,14.88259,14.74236,14.90012,14.88259,15.18060,15.14554,15.37342,15.40848,15.65389,15.74154,16.14472,16.40767,16.72320,16.35508,16.28496,16.32002,16.21484,16.07460,15.81166,15.56625,15.28577,15.28577,15.33836,15.26824,14.93518,14.86506,14.54953,14.19894,13.88341,13.91847,13.62047,13.35752,12.91928,12.51610,12.30575,12.18304,11.81492
2012,Lidcombe 33_11kV,05MAY2011,MW,11.72727,11.42927,11.04362,10.90338,10.44762,10.30738,10.18467,10.21973,10.06197,9.97432,9.78149,9.72890,9.51855,9.41337,9.44843,9.41337,9.41337,9.55361,9.74643,9.78149,10.07950,10.43009,10.60538,11.14880,11.63963,11.58704,11.79739,12.16551,12.76152,13.16470,13.49776,13.77823,14.14635,14.21647,14.33918,14.53200,14.83001,14.88259,14.90012,14.81248,15.28577,15.39095,15.32083,15.35589,15.46107,15.49613,15.39095,15.46107,15.37342,15.39095,15.63637,15.25072,15.21566,15.25072,15.51366,15.25072,15.39095,15.19813,14.90012,14.51447,14.33918,14.42683,14.68977,14.70730,15.09295,15.21566,15.26824,15.40848,15.70648,16.19731,16.93355,17.40685,17.09132,16.89849,16.60049,16.33755,16.23237,16.03955,15.96943,15.82919,15.53119,15.53119,15.23319,14.91765,14.88259,14.74236,14.49694,14.26906,14.32165,13.81329,13.19976,12.91928,12.74399,12.34081,12.20057,12.00775
2012,Lidcombe 33_11kV,06MAY2011,MW,11.74480,11.44680,11.32409,11.25398,10.93844,10.51773,10.04444,9.83408,9.79902,9.85161,9.81655,9.62373,9.48349,9.37831,9.41337,9.25561,9.02772,9.11537,9.29067,9.51855,9.86914,10.20220,10.60538,11.04362,11.58704,11.65716,11.65716,12.30575,13.09458,13.48023,14.16388,14.14635,14.49694,14.83001,15.14554,15.04036,15.21566,15.19813,15.35589,15.44354,15.44354,15.65389,15.74154,16.02202,15.93437,15.88178,15.89931,15.84672,15.63637,15.79413,15.35589,15.44354,15.56625,15.32083,15.32083,15.42601,15.19813,15.00530,14.84754,14.58459,14.61965,15.07542,15.11048,15.16307,15.39095,15.40848,15.33836,15.74154,15.58378,16.10966,16.60049,16.44272,16.10966,16.33755,16.49531,16.51284,16.19731,15.98696,15.95190,15.51366,15.14554,14.70730,14.58459,14.74236,14.65471,14.60212,14.11129,13.84835,13.44517,13.51529,13.23482,13.04199,12.76152,12.46352,12.51610,12.04281
2012,Lidcombe 33_11kV,07MAY2011,MW,11.86751,11.56951,11.11374,10.81574,10.44762,10.30738,9.99185,9.78149,9.51855,9.36078,9.32572,9.09784,8.97513,8.97513,8.94007,8.78231,8.81737,8.78231,8.79984,8.83490,8.99266,9.39584,9.51855,9.55361,9.78149,9.67632,9.57114,9.71137,9.85161,10.11455,10.64044,11.06115,11.25398,11.69221,12.11292,12.62128,12.72646,12.79658,12.95434,13.12964,13.44517,13.42764,13.35752,13.41011,13.56788,13.62047,13.67305,13.62047,13.48023,13.30493,13.25235,13.19976,13.19976,12.95434,12.81411,12.81411,12.70893,12.72646,12.63881,12.53363,12.53363,12.51610,12.51610,12.65634,12.65634,12.67387,12.81411,13.07705,13.32246,14.00612,14.70730,14.88259,13.86588,14.02365,13.76070,13.63800,13.46270,13.44517,13.23482,13.05952,13.09458,12.90175,12.84917,12.88422,12.72646,12.32328,12.28822,12.14798,12.07787,11.99022,11.69221,11.60457,11.41174,11.46433,11.39421,11.06115
2012,Lidcombe 33_11kV,08MAY2011,MW,10.83327,10.43009,10.23726,9.99185,9.74643,9.43090,9.20302,8.86996,8.78231,8.46678,8.39666,8.25642,8.08113,8.01101,7.78312,7.78312,7.83571,7.71301,7.71301,7.76559,7.95842,8.08113,8.08113,8.32654,8.57195,8.27395,8.18630,8.16877,8.36160,8.60701,8.85243,9.11537,9.58867,9.95679,10.32491,10.78068,11.21892,11.30656,11.42927,11.69221,11.74480,11.93763,11.83245,11.70974,12.00775,11.81492,11.88504,12.00775,11.74480,11.77986,11.69221,11.70974,11.77986,11.63963,11.42927,11.27151,11.13127,11.00856,10.93844,10.92091,10.85080,10.92091,10.95597,11.11374,11.23645,11.46433,11.32409,11.56951,11.84998,12.42846,13.33999,13.42764,13.55035,13.51529,13.42764,13.33999,13.32246,13.11211,13.07705,13.04199,12.72646,12.79658,12.70893,12.72646,12.77905,12.69140,12.53363,12.35834,12.25316,11.90257,11.55198,11.18386,11.02609,10.74562,10.55279,10.20220
2012,Lidcombe 33_11kV,09MAY2011,MW,9.93926,9.67632,9.43090,9.13290,8.90502,8.79984,8.55442,8.44925,8.30901,8.09866,8.04607,7.95842,8.30901,8.23889,8.32654,8.16877,8.11619,8.18630,8.30901,8.37913,8.85243,9.30820,9.67632,9.97432,10.60538,10.85080,11.09621,11.46433,12.14798,12.74399,13.48023,14.00612,14.28659,14.33918,14.51447,14.53200,14.84754,14.83001,14.81248,14.83001,14.90012,15.00530,15.11048,15.26824,15.42601,15.32083,15.33836,15.54872,15.54872,15.46107,15.70648,15.72401,15.58378,15.56625,15.39095,15.11048,15.14554,15.09295,15.32083,14.93518,14.81248,14.56706,14.70730,14.98777,15.26824,15.40848,15.77660,16.10966,16.21484,17.02120,17.58215,17.61721,17.42438,17.09132,17.07379,16.84590,16.60049,16.40767,16.24990,15.93437,15.95190,15.84672,15.65389,15.12801,14.88259,14.75989,14.58459,14.32165,14.33918,13.77823,13.39258,13.05952,12.81411,12.42846,12.13045,11.83245
2012,Lidcombe 33_11kV,10MAY2011,MW,11.72727,11.41174,11.27151,11.00856,10.67550,10.34244,10.21973,9.95679,9.76396,9.65879,9.46596,9.39584,9.20302,9.06278,8.99266,8.94007,8.99266,9.11537,9.15043,9.29067,9.57114,10.00938,10.41256,10.86833,11.70974,11.95516,12.11292,12.35834,13.16470,14.02365,14.35671,14.70730,15.23319,15.54872,15.49613,15.47860,15.67142,15.77660,15.82919,15.88178,15.86425,15.98696,16.09213,16.23237,16.07460,15.96943,15.89931,15.96943,15.89931,16.03955,16.10966,16.12719,16.03955,16.03955,16.03955,15.88178,15.81166,15.44354,15.28577,15.28577,15.32083,15.21566,15.33836,15.47860,16.00449,16.19731,16.16225,16.49531,16.60049,17.23156,18.00286,17.93274,17.40685,17.40685,17.58215,17.35426,16.98614,16.88096,16.54790,16.39014,16.17978,16.03955,15.79413,15.81166,15.58378,15.37342,14.98777,14.70730,14.33918,14.05871,13.79576,13.65553,13.21729,12.86670,12.63881,12.25316
2012,Lidcombe 33_11kV,11MAY2011,MW,12.23563,11.92010,11.42927,11.02609,10.76315,10.44762,10.46515,10.27232,10.11455,9.83408,9.74643,9.64126,9.67632,9.55361,9.53608,9.30820,9.29067,9.34325,9.53608,9.57114,10.02691,10.41256,10.86833,11.53445,12.35834,12.39340,12.69140,13.05952,14.12882,14.88259,15.33836,15.35589,15.96943,16.33755,16.47778,16.56543,16.61802,16.51284,16.61802,16.79332,16.96861,16.82838,17.09132,17.21403,17.02120,16.91602,16.96861,16.82838,16.86343,16.58296,16.49531,16.32002,15.96943,15.95190,16.02202,15.89931,15.79413,15.67142,15.68895,15.93437,15.65389,15.75907,15.95190,16.05707,16.32002,16.89849,16.65308,16.86343,17.28414,17.96780,18.77416,18.82674,18.68651,19.00204,18.84427,18.56380,18.16062,18.40604,18.26580,18.00286,17.84509,17.95027,17.49450,17.31920,17.17897,16.75826,16.24990,16.12719,15.72401,15.54872,14.97024,14.54953,14.16388,13.97106,13.30493,12.81411
2012,Lidcombe 33_11kV,12MAY2011,MW,12.74399,12.32328,12.42846,12.32328,11.92010,11.53445,11.13127,10.93844,10.85080,10.64044,10.53526,10.50020,10.32491,10.30738,10.32491,10.16714,10.16714,10.23726,10.35997,10.53526,10.74562,11.16633,11.67469,12.32328,12.93681,13.00693,13.14717,13.67305,14.74236,15.30330,15.81166,16.05707,16.54790,16.51284,16.63555,16.58296,16.51284,16.46025,16.68814,16.67061,16.88096,16.81085,16.61802,16.74073,16.51284,16.17978,16.10966,16.26743,16.05707,16.05707,16.10966,15.96943,15.98696,15.93437,15.61884,15.54872,15.54872,15.44354,15.32083,15.19813,15.07542,15.30330,15.39095,15.56625,15.75907,16.02202,16.26743,16.70567,17.09132,18.07297,18.49368,18.61639,18.17815,18.23074,18.33592,18.03791,18.00286,17.88015,17.63473,17.81003,17.77497,17.51203,17.17897,17.10885,16.98614,16.75826,16.24990,15.95190,15.88178,15.53119,14.74236,14.49694,14.21647,13.97106,13.55035,13.30493
