year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Lindfield 33_11kV,01MAY2011,MW,14.84171,14.03550,13.11934,13.59574,13.10102,12.25816,11.43362,10.84728,10.16932,9.96777,9.52801,9.14323,8.75844,8.72180,8.52024,8.63018,8.33701,8.42863,8.48360,8.37366,8.28204,8.57521,8.96000,9.08826,9.28981,9.47305,9.98609,9.93112,10.33423,10.79231,11.30536,11.83673,12.45971,12.89947,13.32090,13.76065,13.68736,14.05382,13.94388,13.99885,13.66904,13.77897,13.83394,13.77897,13.81562,13.44916,13.17431,13.46748,13.11934,13.19264,13.10102,13.30257,13.04605,12.73456,12.51468,12.60630,12.44139,12.56965,12.33145,12.29480,12.55133,12.58797,13.10102,13.19264,13.33922,13.88891,14.82339,15.33644,16.71067,18.50634,19.82560,20.57685,20.70511,21.01660,20.46691,20.06380,19.82560,19.40417,19.11100,18.61627,18.15820,18.26814,17.92000,17.38863,16.82061,16.39918,15.90445,15.40973,15.86781,16.25259,15.88613,15.04327,14.45693,15.04327,14.87836,14.09047
2012,Lindfield 33_11kV,02MAY2011,MW,14.29202,13.37587,12.40474,12.99108,12.51468,11.61685,11.15877,10.59075,9.98609,9.56466,9.19820,9.06994,8.66683,8.55689,8.50192,8.52024,8.50192,8.50192,8.59354,8.72180,9.05161,9.16155,9.39975,10.35255,11.72679,12.97276,14.09047,14.32867,15.39141,15.99607,15.99607,16.25259,16.39918,16.16098,15.90445,15.59296,15.94110,15.86781,15.48302,15.68458,15.20818,15.40973,15.73955,15.51967,15.68458,15.28147,15.24482,15.40973,15.06159,15.28147,15.09824,15.02495,15.26315,15.04327,14.71345,14.65848,14.80507,14.62184,14.60351,14.54855,14.64016,14.91501,15.17153,15.57464,15.79452,16.54576,16.89390,17.66347,18.76286,20.02715,21.23648,21.76785,22.11599,22.44580,22.50077,22.57407,22.00605,21.67623,21.36474,20.85169,20.21038,20.13709,19.80728,19.11100,18.74454,18.15820,17.75509,17.04049,16.89390,17.60850,17.38863,16.39918,15.22650,15.88613,15.46470,14.21873
2012,Lindfield 33_11kV,03MAY2011,MW,14.54855,13.61407,12.69791,13.26593,12.89947,12.03828,11.36032,10.97554,10.62740,9.65628,9.45472,9.08826,8.88671,8.86838,8.59354,8.68515,8.52024,8.59354,9.03329,8.99664,9.16155,9.38143,9.69292,10.49914,11.87337,13.35754,14.86004,15.40973,16.30756,17.00384,17.35198,17.29701,17.00384,17.02216,16.65570,16.45415,16.50912,16.36253,16.27092,16.32589,16.01439,16.17930,16.19762,15.92278,16.03272,15.62961,15.68458,15.90445,15.75787,15.59296,15.33644,15.39141,15.29979,15.13488,15.24482,14.96998,15.18985,15.00662,14.65848,14.71345,14.76842,15.00662,15.72122,16.34421,16.76564,17.44360,17.90167,18.39640,19.42249,20.76008,21.69456,22.51910,22.62903,22.73897,22.75730,22.97717,22.06102,21.95108,21.52965,21.03492,20.46691,20.13709,20.41194,19.64237,18.98274,18.70789,17.99329,17.13210,17.22372,17.73677,17.75509,16.43582,15.20818,15.88613,15.55632,14.42028
2012,Lindfield 33_11kV,04MAY2011,MW,14.82339,13.65071,12.77120,13.37587,13.00940,12.12990,11.47026,10.97554,10.40752,10.11435,9.69292,9.30814,9.12491,8.88671,8.81341,8.81341,8.88671,8.97832,8.99664,8.94168,9.34478,9.61963,10.02274,10.73734,12.05660,13.65071,15.35476,15.24482,15.79452,16.52744,16.63738,16.87558,17.05881,16.78396,16.58241,16.23427,15.81284,15.62961,15.57464,15.37308,15.37308,14.82339,14.78675,14.56687,14.56687,14.36531,14.34699,14.14544,14.07214,13.87059,13.77897,13.70568,13.63239,13.83394,13.77897,13.41251,13.87059,13.65071,13.66904,13.55910,13.63239,13.94388,13.99885,14.07214,14.53022,15.07992,15.39141,15.99607,17.20540,18.89112,20.48523,20.97995,21.45636,21.69456,21.89611,21.82282,21.25480,20.85169,20.54020,20.43026,20.00883,19.75231,19.33088,18.96441,18.28646,18.01161,17.38863,16.76564,16.96719,17.22372,17.07713,16.23427,15.04327,15.37308,15.18985,14.25538
2012,Lindfield 33_11kV,05MAY2011,MW,14.64016,13.66904,12.84450,13.39419,12.99108,12.27648,11.47026,10.90225,10.35255,10.05938,9.80286,9.36311,9.30814,8.97832,8.88671,8.83174,8.94168,9.05161,9.01497,8.88671,9.27149,9.47305,10.04106,10.97554,12.18486,13.44916,15.40973,15.46470,16.06936,17.22372,17.46192,17.24204,17.07713,16.30756,15.84949,16.10601,15.70290,15.70290,15.35476,15.39141,15.20818,14.98830,14.91501,14.69513,14.76842,14.34699,14.20041,13.88891,13.99885,13.99885,14.10879,14.21873,13.94388,13.96221,13.94388,13.76065,14.12711,14.01718,13.70568,13.79730,13.55910,14.14544,14.58519,14.80507,15.09824,15.62961,16.30756,17.13210,18.28646,20.15542,21.21816,21.18151,21.73120,22.07934,22.18928,22.24425,22.02437,21.87779,21.34642,20.81505,20.70511,20.35697,20.08212,19.69734,19.20261,19.03771,18.12155,17.49857,17.60850,18.01161,17.81006,16.67403,15.53799,16.17930,15.77619,14.73178
2012,Lindfield 33_11kV,06MAY2011,MW,14.96998,14.09047,13.08270,13.66904,13.10102,12.27648,11.80008,11.12212,10.75566,10.35255,9.93112,9.63795,9.32646,9.10658,8.92335,8.90503,9.12491,9.03329,9.06994,9.30814,9.52801,9.87615,10.46249,11.12212,12.62462,14.21873,15.90445,16.23427,17.22372,17.99329,18.41472,18.15820,17.93832,17.88335,17.22372,17.27869,16.50912,16.63738,16.17930,15.83116,15.68458,15.42805,15.09824,14.75010,14.91501,14.43861,14.42028,14.40196,14.49358,14.36531,14.12711,13.87059,14.03550,14.20041,13.98053,13.85227,13.92556,13.81562,13.61407,13.59574,13.61407,13.83394,14.20041,14.69513,14.91501,15.44638,16.17930,17.13210,18.48801,20.35697,21.30977,21.96940,22.13431,22.53742,22.51910,22.61071,22.33586,22.18928,21.78617,21.21816,20.90666,20.77840,20.44858,20.11877,19.60572,19.05603,18.59795,18.15820,18.52466,18.79951,18.52466,17.46192,16.36253,17.27869,16.83893,15.57464
2012,Lindfield 33_11kV,07MAY2011,MW,15.72122,14.71345,13.88891,14.40196,13.85227,12.95444,12.49636,11.91002,11.10380,10.73734,10.31591,9.87615,9.67460,9.47305,9.30814,9.21652,9.19820,9.27149,9.41808,9.28981,9.34478,9.58298,9.76621,10.33423,10.86560,10.97554,12.22151,12.77120,13.13767,13.92556,14.49358,15.42805,16.14266,16.14266,16.28924,16.21595,16.28924,15.73955,15.75787,15.51967,15.02495,14.95165,14.87836,14.62184,14.25538,14.34699,14.10879,13.87059,13.65071,13.44916,13.26593,12.99108,12.86282,13.00940,12.58797,12.55133,12.55133,12.60630,12.73456,12.93611,13.22928,13.21096,13.41251,13.59574,14.36531,14.98830,15.59296,16.58241,18.10323,19.93554,21.32809,22.35419,22.13431,22.29922,22.06102,21.71288,21.23648,20.92499,20.50355,20.22871,19.71566,19.44081,19.18429,18.63460,18.50634,18.04826,17.70012,17.33366,17.79173,18.10323,18.23149,17.31533,16.63738,17.13210,16.91223,15.88613
2012,Lindfield 33_11kV,08MAY2011,MW,15.97775,15.20818,14.14544,14.53022,14.21873,13.32090,12.73456,12.05660,11.39697,10.84728,10.53579,10.16932,9.69292,9.83951,9.36311,9.60131,9.41808,9.27149,9.27149,9.36311,9.38143,9.34478,9.61963,10.09603,10.31591,10.90225,11.45194,11.69014,12.20319,13.21096,13.98053,14.78675,15.48302,15.79452,16.17930,16.19762,16.43582,16.58241,16.58241,16.08769,15.99607,15.75787,15.26315,14.91501,14.76842,14.16376,13.96221,13.87059,13.87059,13.21096,13.19264,13.17431,12.77120,12.86282,12.51468,12.67959,12.51468,12.33145,12.60630,12.77120,12.73456,12.99108,13.22928,13.65071,13.98053,15.02495,15.90445,16.82061,18.43304,20.13709,21.30977,22.37251,22.68400,22.95885,22.99550,22.50077,22.11599,22.11599,21.78617,21.47468,21.10822,20.77840,20.59517,19.86225,19.64237,19.05603,18.23149,17.46192,17.86503,18.17652,17.60850,16.50912,15.42805,16.38086,15.73955,14.64016
2012,Lindfield 33_11kV,09MAY2011,MW,15.07992,14.27370,13.57742,14.09047,13.83394,12.86282,12.27648,11.74511,11.28703,10.62740,10.37088,10.26094,9.91280,9.60131,9.52801,9.43640,9.34478,9.45472,9.30814,9.60131,9.69292,10.09603,10.73734,11.54356,13.46748,14.91501,16.50912,17.05881,18.34143,19.29423,19.31255,19.12932,19.20261,18.43304,17.79173,17.62683,17.29701,17.38863,17.31533,17.37030,17.09546,16.58241,16.30756,15.84949,15.62961,15.62961,15.68458,15.75787,15.97775,16.06936,16.36253,15.95942,15.99607,15.73955,15.46470,15.35476,15.18985,15.28147,15.15321,14.89668,15.13488,15.37308,15.84949,16.23427,17.38863,18.08490,19.22094,20.57685,22.04269,23.63681,24.91942,25.39582,26.11042,26.58682,26.45856,26.47689,25.74396,25.52408,25.04768,24.60793,24.11321,24.00327,23.50854,22.77562,21.84114,21.01660,20.32032,19.23926,19.47746,19.47746,18.79951,17.82838,16.71067,17.26036,16.78396,15.57464
2012,Lindfield 33_11kV,10MAY2011,MW,15.97775,15.13488,13.98053,14.65848,14.10879,13.33922,12.66127,12.16654,11.63517,10.97554,10.62740,10.31591,10.07771,9.91280,9.89448,9.69292,9.63795,9.71125,9.96777,10.02274,10.37088,10.64572,11.21374,12.14822,13.98053,15.48302,17.66347,18.15820,19.16597,19.56908,19.55075,19.71566,19.75231,18.94609,18.65292,17.97497,17.68180,17.05881,16.91223,16.50912,16.16098,16.23427,15.72122,15.97775,15.59296,15.48302,15.37308,15.29979,15.17153,14.82339,15.07992,14.93333,14.96998,14.91501,14.54855,14.32867,14.69513,14.38364,14.60351,14.69513,14.71345,15.04327,15.31812,15.84949,16.60073,17.00384,17.99329,18.70789,20.68679,22.99550,24.38805,25.08433,25.37750,26.12875,26.53186,26.38527,26.07378,26.03713,25.34085,24.77284,24.68122,24.53464,24.05824,23.52687,22.64736,22.06102,21.16319,20.00883,19.93554,19.93554,19.53243,18.21317,16.85726,17.38863,16.91223,16.01439
