year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Mitchells Flat 66_11kV,01MAY2011,MW,0.37707,0.36861,0.40364,0.42150,0.38190,0.37201,0.33936,0.32306,0.30183,0.30321,0.29555,0.28750,0.26537,0.26589,0.28256,0.27373,0.28773,0.30026,0.30047,0.27725,0.27497,0.29575,0.29501,0.28119,0.27436,0.27704,0.30356,0.30852,0.35821,0.40639,0.41686,0.44506,0.45098,0.47128,0.46384,0.46521,0.45179,0.43461,0.42672,0.39423,0.40127,0.40107,0.41174,0.36055,0.37043,0.36954,0.34883,0.35656,0.34432,0.37997,0.34271,0.34465,0.35452,0.33912,0.33232,0.32454,0.34337,0.34972,0.33489,0.34315,0.34124,0.35162,0.32973,0.35077,0.35258,0.37562,0.37858,0.41749,0.45590,0.50293,0.57377,0.62990,0.65041,0.68501,0.68142,0.65640,0.62294,0.58010,0.53924,0.52540,0.48285,0.48657,0.46636,0.45974,0.44989,0.46330,0.46484,0.43639,0.42534,0.42021,0.42119,0.43224,0.51338,0.49123,0.43975,0.42203
2012,Mitchells Flat 66_11kV,02MAY2011,MW,0.41090,0.38244,0.40456,0.40376,0.36644,0.33179,0.32452,0.31764,0.30324,0.30959,0.29342,0.30001,0.29383,0.27113,0.28276,0.29289,0.29129,0.30299,0.29024,0.30212,0.32079,0.31346,0.34961,0.35393,0.38397,0.42060,0.40837,0.43666,0.43957,0.46992,0.46263,0.42971,0.42242,0.41827,0.38503,0.37447,0.36953,0.36125,0.35781,0.35989,0.37255,0.34323,0.34054,0.33216,0.33627,0.31122,0.30197,0.31346,0.31375,0.29919,0.29251,0.32131,0.32813,0.31608,0.30796,0.32044,0.30997,0.31025,0.29978,0.31316,0.32579,0.32686,0.31084,0.33609,0.37427,0.37169,0.38879,0.38313,0.42909,0.47587,0.53314,0.60102,0.62797,0.65168,0.61113,0.58574,0.57412,0.60155,0.60139,0.58498,0.52574,0.52454,0.50927,0.50783,0.52728,0.52682,0.54520,0.54193,0.53063,0.53063,0.51625,0.50526,0.59041,0.59414,0.57076,0.56903
2012,Mitchells Flat 66_11kV,03MAY2011,MW,0.54213,0.49405,0.52437,0.49544,0.47798,0.43448,0.41898,0.36351,0.32175,0.31995,0.29919,0.29579,0.29893,0.28290,0.28920,0.29010,0.29599,0.29413,0.29326,0.28574,0.29249,0.30595,0.31549,0.34908,0.37045,0.44052,0.44684,0.43383,0.44550,0.45316,0.45855,0.42870,0.40153,0.36693,0.34642,0.35890,0.31142,0.32318,0.33491,0.32033,0.31148,0.30302,0.30302,0.30240,0.29891,0.30792,0.31733,0.29105,0.30619,0.30298,0.29803,0.30152,0.29163,0.30392,0.29368,0.25995,0.27010,0.26912,0.25881,0.29407,0.29924,0.29629,0.28122,0.29192,0.33270,0.34901,0.35160,0.37374,0.42771,0.47706,0.53207,0.55702,0.56734,0.60993,0.63491,0.61448,0.59061,0.58388,0.55953,0.54866,0.56594,0.54258,0.52133,0.50370,0.48270,0.48927,0.51576,0.50420,0.53568,0.52765,0.51457,0.49707,0.59450,0.57700,0.58345,0.53682
2012,Mitchells Flat 66_11kV,04MAY2011,MW,0.50189,0.47119,0.50622,0.49147,0.44857,0.39379,0.37895,0.36002,0.32093,0.30379,0.30956,0.29851,0.29144,0.28399,0.26586,0.26779,0.28660,0.28329,0.28648,0.30600,0.30461,0.30068,0.31322,0.34089,0.34062,0.41967,0.44093,0.43266,0.43820,0.47436,0.44022,0.40403,0.37728,0.36031,0.35679,0.35983,0.33308,0.33701,0.30852,0.28292,0.28964,0.26646,0.26278,0.26644,0.27659,0.27477,0.27292,0.29601,0.29337,0.29028,0.28670,0.30065,0.30765,0.28714,0.28499,0.28956,0.27719,0.27537,0.27253,0.26892,0.26298,0.26627,0.27454,0.27725,0.27596,0.28469,0.29922,0.30707,0.34623,0.41256,0.46469,0.50401,0.55599,0.59061,0.58059,0.60112,0.58537,0.57431,0.55619,0.53672,0.53844,0.50975,0.50771,0.50437,0.51590,0.49774,0.51560,0.52363,0.51366,0.50830,0.51285,0.51777,0.62424,0.59753,0.57752,0.53995
2012,Mitchells Flat 66_11kV,05MAY2011,MW,0.51315,0.47495,0.49814,0.50565,0.47609,0.44111,0.42184,0.37370,0.35279,0.34500,0.32606,0.28512,0.28890,0.29421,0.30587,0.30912,0.29930,0.29024,0.29415,0.31450,0.31161,0.33069,0.34345,0.37022,0.37325,0.44400,0.46964,0.46515,0.49769,0.52111,0.49923,0.48359,0.43539,0.41023,0.36266,0.34404,0.33542,0.30909,0.29424,0.28872,0.29251,0.28059,0.25562,0.27170,0.27247,0.27329,0.27096,0.25765,0.27969,0.26197,0.25470,0.25857,0.24986,0.25772,0.26267,0.27351,0.27373,0.26800,0.26208,0.27342,0.27730,0.27521,0.27650,0.28521,0.30172,0.30589,0.31669,0.34220,0.39259,0.44266,0.51302,0.54367,0.58079,0.59741,0.61172,0.64061,0.62781,0.62990,0.59061,0.57035,0.57633,0.55627,0.53953,0.51750,0.51563,0.51563,0.54306,0.54690,0.56386,0.58308,0.58481,0.52916,0.61434,0.59278,0.55717,0.53700
2012,Mitchells Flat 66_11kV,06MAY2011,MW,0.51498,0.49516,0.53033,0.52367,0.49539,0.45870,0.44270,0.38802,0.35334,0.33807,0.33169,0.32042,0.29854,0.29169,0.29680,0.28503,0.30017,0.30915,0.29746,0.30367,0.30397,0.34638,0.38126,0.38886,0.38768,0.42497,0.46976,0.49669,0.48899,0.50684,0.47787,0.45114,0.43446,0.40383,0.36972,0.36972,0.34455,0.32670,0.32930,0.31707,0.29223,0.28399,0.28756,0.27322,0.27297,0.27641,0.26318,0.25747,0.26310,0.25506,0.25441,0.24677,0.26166,0.24874,0.26060,0.27063,0.26497,0.26034,0.25016,0.25622,0.26302,0.25613,0.24856,0.25729,0.26195,0.28697,0.35169,0.34089,0.35494,0.40527,0.49734,0.49863,0.52479,0.52682,0.55691,0.55767,0.56495,0.57472,0.56744,0.53088,0.53963,0.51453,0.50759,0.51095,0.51834,0.53171,0.55930,0.56311,0.56375,0.57125,0.55764,0.57606,0.67022,0.63132,0.61622,0.59061
2012,Mitchells Flat 66_11kV,07MAY2011,MW,0.57412,0.53227,0.53147,0.52852,0.48974,0.46977,0.39436,0.37436,0.36049,0.36594,0.34565,0.32379,0.29715,0.29593,0.28756,0.29377,0.29372,0.29528,0.29024,0.31013,0.30484,0.29827,0.33136,0.31346,0.31599,0.35713,0.38775,0.39920,0.47151,0.53614,0.54359,0.56574,0.55299,0.53434,0.53195,0.50520,0.53865,0.50783,0.44965,0.45383,0.44497,0.38984,0.39278,0.38031,0.36713,0.37278,0.34480,0.35586,0.35466,0.31291,0.33308,0.34054,0.34313,0.35278,0.33308,0.33894,0.32398,0.31876,0.30717,0.33912,0.37396,0.34501,0.33866,0.36246,0.37588,0.40265,0.42004,0.46842,0.49853,0.55325,0.56906,0.57975,0.59694,0.59464,0.58149,0.59345,0.62062,0.62815,0.59652,0.56694,0.55701,0.54120,0.53418,0.55268,0.52862,0.47659,0.49840,0.50927,0.49550,0.49922,0.46398,0.45262,0.56992,0.55088,0.49641,0.45019
2012,Mitchells Flat 66_11kV,08MAY2011,MW,0.44532,0.41445,0.42940,0.43578,0.40309,0.37900,0.35195,0.35195,0.33197,0.31079,0.31915,0.29262,0.29144,0.30965,0.28505,0.30084,0.30887,0.28370,0.27487,0.29418,0.29625,0.29988,0.29357,0.32472,0.33363,0.32242,0.32775,0.37695,0.38998,0.44901,0.46440,0.48876,0.51544,0.55048,0.55714,0.56467,0.54690,0.53259,0.48468,0.48045,0.46449,0.42871,0.43364,0.44906,0.43666,0.42004,0.41035,0.42613,0.42691,0.41767,0.36321,0.33677,0.32997,0.30132,0.33609,0.34289,0.34220,0.33114,0.31700,0.33516,0.33022,0.33243,0.32293,0.33042,0.38414,0.38414,0.39456,0.40857,0.43123,0.47826,0.53923,0.62174,0.66943,0.63491,0.65328,0.64068,0.64198,0.59354,0.59235,0.58917,0.55977,0.54963,0.53268,0.52323,0.52638,0.51368,0.51695,0.52411,0.50027,0.48045,0.45991,0.44628,0.55042,0.52535,0.48000,0.42645
2012,Mitchells Flat 66_11kV,09MAY2011,MW,0.39738,0.38579,0.42576,0.41378,0.39217,0.37632,0.34988,0.34570,0.32067,0.31551,0.31356,0.30685,0.29547,0.30000,0.29434,0.29705,0.30083,0.30054,0.30377,0.30658,0.31731,0.34058,0.35245,0.35600,0.40433,0.43539,0.47644,0.48807,0.48825,0.51453,0.51619,0.50198,0.45947,0.40819,0.37490,0.35067,0.32855,0.31890,0.34180,0.31520,0.29459,0.28648,0.27867,0.29169,0.26631,0.28350,0.27217,0.28612,0.29196,0.28557,0.28234,0.30626,0.32293,0.31291,0.29126,0.29262,0.27588,0.27855,0.27528,0.29629,0.29522,0.29126,0.31753,0.32749,0.34972,0.38457,0.38435,0.43921,0.47720,0.51141,0.60587,0.68322,0.71073,0.70586,0.66412,0.64630,0.64174,0.66079,0.63928,0.61652,0.59938,0.56523,0.56268,0.57026,0.55821,0.55169,0.54452,0.54942,0.53687,0.51268,0.52408,0.49360,0.63466,0.65451,0.61948,0.55954
2012,Mitchells Flat 66_11kV,10MAY2011,MW,0.53048,0.52635,0.52693,0.52143,0.49544,0.46997,0.44926,0.40766,0.39090,0.33300,0.33441,0.32917,0.31423,0.29317,0.30646,0.31003,0.29242,0.31272,0.30974,0.31079,0.34121,0.33501,0.37284,0.37799,0.37749,0.43501,0.46529,0.47335,0.47139,0.50370,0.51457,0.48746,0.47111,0.44107,0.42260,0.40048,0.35631,0.32047,0.32539,0.30912,0.30280,0.30396,0.28172,0.28959,0.29143,0.27461,0.29367,0.29227,0.32831,0.31492,0.29049,0.28697,0.29686,0.29599,0.29135,0.30880,0.31054,0.30155,0.28696,0.27210,0.26574,0.27138,0.27333,0.28084,0.29638,0.30967,0.33621,0.36211,0.41194,0.49219,0.56973,0.62900,0.65879,0.67022,0.67363,0.63885,0.62331,0.65781,0.63166,0.63153,0.64096,0.63609,0.61954,0.61372,0.58511,0.61372,0.62724,0.60580,0.58342,0.55790,0.54272,0.52816,0.64463,0.62916,0.61742,0.59185
