year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Morisset 132_11kV,01MAY2011,MW,8.41506,7.72222,7.24714,8.06971,8.02667,6.98005,6.33612,5.96002,5.85697,5.97309,5.67192,5.44246,5.36832,5.30504,5.25020,5.19512,5.30530,5.32782,5.38635,5.44995,5.50399,5.52053,5.51764,5.76136,5.98923,6.03979,6.32021,6.50213,6.70596,7.06506,7.43313,7.92911,8.29920,8.65404,8.84341,9.11758,9.10892,9.26922,9.40927,9.41505,9.27472,9.24185,9.06322,8.89858,8.77250,8.57110,8.48789,8.40697,8.44838,8.31154,8.27796,8.25543,8.08260,8.11872,8.01702,7.93068,7.88246,7.81443,7.68985,7.73841,7.72742,7.78096,7.76068,8.07617,8.01057,8.28794,8.75502,8.73171,8.94397,9.67518,10.34430,10.39063,10.42476,10.18979,10.03988,9.81380,9.56116,9.58001,9.45802,9.20236,8.95422,8.75945,8.55527,8.23625,8.03456,7.75009,8.72951,8.69865,8.10793,7.60053,7.38524,7.35601,8.11877,8.12722,7.40812,6.78835
2012,Morisset 132_11kV,02MAY2011,MW,8.23266,7.54894,7.14194,7.73219,8.00864,6.86824,6.32666,6.23815,6.06849,5.67762,5.46198,5.39020,5.40345,5.31268,5.36299,5.34143,5.34099,5.36053,5.47145,5.68550,5.74354,5.97135,6.22425,6.66406,7.32541,7.74321,8.37051,8.38490,8.04399,8.41730,8.67853,8.82902,8.93949,8.85438,8.69665,8.71917,8.74350,8.71191,8.63470,8.58340,8.49488,8.39499,8.49414,8.31925,8.29391,8.44915,8.59794,8.52959,8.57046,8.61102,8.55846,8.48568,8.44791,8.31685,8.27365,8.15141,8.01267,8.12693,8.09314,8.14942,8.08630,8.21063,8.22379,8.30481,8.30654,8.73188,9.05595,9.39488,9.96824,10.83340,11.45536,11.44924,11.49111,11.38923,11.14936,10.97563,10.66450,10.77189,10.49094,10.25827,9.98297,9.81680,9.64890,9.44295,9.15101,8.53724,8.57923,8.36278,9.04706,9.56541,8.95975,8.26301,9.03809,8.55843,8.33039,8.61628
2012,Morisset 132_11kV,03MAY2011,MW,10.18516,9.95798,9.49122,9.55127,9.92148,9.32230,8.48354,8.68486,8.47652,7.68066,7.05217,6.65697,6.34630,6.10579,5.97107,5.91580,5.81728,5.91055,5.95642,6.02389,6.23403,6.49038,6.65764,7.11699,7.72903,8.21733,8.78103,8.99101,8.60830,8.87932,9.22777,9.19804,9.19985,9.07587,9.01405,8.79917,8.51463,8.39331,8.46582,8.58220,8.51264,8.38506,8.41655,8.77203,8.61739,8.53040,8.31694,8.46979,8.38101,8.35380,8.30501,8.37932,8.44562,8.32691,8.21066,8.24662,8.20535,8.11110,8.14397,8.07362,7.94955,8.11713,8.17283,8.39704,8.60349,8.81481,9.10896,9.28956,9.71410,10.32777,10.92524,10.98121,11.05517,11.02304,10.79863,10.59495,10.39977,10.34277,10.22850,10.12830,10.00063,9.75384,9.65755,9.53865,9.11759,8.68461,8.68202,8.38964,8.94899,9.49801,8.96757,8.36571,8.98352,8.49123,8.33936,8.74366
2012,Morisset 132_11kV,04MAY2011,MW,10.23508,9.95203,9.49579,9.69301,10.06862,9.34640,8.59965,8.76907,8.59668,7.80708,7.18590,6.77866,6.51154,6.26657,6.00528,5.88152,5.93540,5.93926,5.99048,6.01118,6.22614,6.43318,6.80853,7.22993,7.78603,8.28291,8.69057,8.85278,8.43573,8.77005,9.10193,9.12753,9.18794,9.00054,8.95097,8.85463,8.76044,8.75466,8.62029,8.51029,8.47104,8.36904,8.46994,8.47840,8.49656,8.56638,8.55248,8.40723,8.46865,8.60914,8.89499,8.89386,8.61910,8.31303,8.29908,8.27315,8.20143,8.31634,8.40734,8.39476,8.30717,8.24475,8.30496,8.35214,8.55391,8.63523,8.96312,9.32326,9.83485,10.53737,11.15862,11.20647,11.38687,11.49583,11.27828,11.00069,10.76009,10.86164,10.58519,10.37312,10.10173,9.83352,9.68289,9.75488,9.46398,8.82026,8.89739,8.65099,9.34077,9.68624,8.99681,8.35937,9.02795,8.66131,8.44611,8.82817
2012,Morisset 132_11kV,05MAY2011,MW,10.23149,10.01422,9.77960,9.83765,10.15279,9.35641,8.69425,8.99119,8.63561,7.84382,7.30639,6.89768,6.58947,6.25332,5.93082,5.81114,5.90733,5.98112,5.95124,6.00782,6.21267,6.51050,6.88726,7.26079,7.70069,8.16862,9.02725,9.31905,8.77186,8.94200,9.06168,9.09634,9.15394,9.04905,8.99446,9.00746,8.82958,8.66040,8.40247,8.35006,8.50228,8.25332,8.24275,8.19061,8.15791,8.08628,7.91869,7.79967,7.73299,7.70679,7.64352,7.64471,7.64583,7.60184,7.47620,7.52622,7.55466,7.58852,7.52172,7.60081,7.66837,7.74159,7.66601,7.89720,8.04781,8.21725,8.56380,8.83694,9.24931,10.03265,10.88412,11.10504,11.19130,11.14876,11.08608,10.92433,10.67854,10.78515,10.62389,10.33748,10.09015,9.98369,9.83564,9.63361,9.37258,8.84066,8.91832,8.48106,9.05294,9.57839,9.06041,8.43920,9.04122,8.55129,8.47663,8.87524
2012,Morisset 132_11kV,06MAY2011,MW,10.27118,9.89662,9.47709,9.68927,9.85777,9.17085,8.48202,8.70719,8.35004,7.74276,7.25060,6.64262,6.40580,6.03936,5.96885,5.86376,5.92388,5.86742,6.00244,6.01818,6.28725,6.47215,6.81932,7.11089,7.61467,8.00787,8.61216,8.91449,8.37888,8.66597,9.03657,9.03056,8.83533,8.72084,8.70094,8.64871,8.42826,8.23481,8.19655,8.09663,7.98574,7.82895,7.81271,7.86287,7.94545,7.83572,7.74500,7.87615,7.97048,7.77374,7.63324,7.53734,7.53921,7.42127,7.43093,7.65123,7.50618,7.58574,7.64953,7.68251,7.49888,7.49144,7.62443,7.80411,7.91302,8.10841,8.19597,8.55998,9.11981,9.77295,10.36001,10.40434,10.50531,10.39950,10.33004,10.14886,10.01977,10.04751,10.03726,9.64030,9.48646,9.34505,9.24761,9.12905,8.93693,8.64906,8.82775,8.59550,9.22109,9.66907,9.07286,8.51346,9.10770,8.65187,8.50624,8.82289
2012,Morisset 132_11kV,07MAY2011,MW,10.08369,9.80400,9.60583,9.74639,9.89608,9.15951,8.60458,7.90618,7.71966,8.11117,7.42349,6.92600,6.46217,6.26340,6.02529,5.95775,5.70915,5.66557,5.63955,5.82041,5.89208,5.80654,5.91725,6.22390,6.40228,6.57050,7.05528,7.55305,7.93537,8.62189,8.92271,9.23542,9.42026,9.55429,9.69693,9.75355,9.55934,9.59952,9.41655,9.10267,8.93241,8.76823,8.52306,8.45733,8.25011,8.01660,7.89082,7.82117,7.96180,7.75046,7.68889,7.57240,7.57736,7.50334,7.46619,7.42997,7.56564,7.48955,7.30223,7.38083,7.55348,7.56736,7.50762,7.62381,7.67765,7.98529,8.44777,8.63811,8.86106,9.33256,9.78321,9.83205,9.88043,10.03322,9.92450,9.74387,9.48861,9.49096,9.32871,9.10543,8.84519,8.76834,8.59203,8.39095,8.31641,8.00694,8.85833,8.81597,8.30084,8.01804,7.84488,7.80289,8.61111,8.49013,7.72697,7.31600
2012,Morisset 132_11kV,08MAY2011,MW,8.56679,7.75888,7.40442,8.05449,8.45687,7.21281,6.52323,6.21857,6.13045,6.28383,5.95805,5.65474,5.54264,5.56041,5.39912,5.49025,5.41234,5.35712,5.42745,5.53828,5.77595,5.76860,5.85728,6.01984,6.19801,6.42136,6.75418,7.07450,7.56420,7.91288,8.42454,8.94789,9.20022,9.54446,9.55469,9.73620,9.77235,9.84158,9.73745,9.50318,9.54880,9.37492,9.05807,9.05926,8.92493,8.54417,8.52167,8.24341,7.91548,7.68660,7.70728,7.70477,7.53432,7.33447,7.34879,7.32403,7.40704,7.28263,7.28112,7.30213,7.30282,7.34072,7.36313,7.53976,7.67454,7.86623,8.23528,8.45530,8.80308,9.62180,10.19998,10.17066,10.15184,10.27422,10.22873,9.98692,9.79360,9.81050,9.74974,9.59131,9.30944,9.11654,8.91870,8.76787,8.46941,8.19819,9.04312,8.94717,8.40265,7.80203,7.47293,7.32744,8.13926,8.18791,7.41290,6.91594
2012,Morisset 132_11kV,09MAY2011,MW,8.14610,7.36671,7.02925,7.99894,8.17769,6.97061,6.35473,6.33218,6.17621,5.78519,5.51331,5.41377,5.42571,5.31741,5.29031,5.30078,5.38043,5.37621,5.56579,5.73324,6.04120,6.20922,6.56177,6.94077,7.53754,8.12454,8.73176,9.05057,8.77339,9.18602,9.28895,9.67957,9.41010,9.35997,9.30028,9.10958,8.96229,8.68567,8.53541,8.37181,8.26345,8.16485,8.20043,8.39237,8.48578,8.41631,8.58553,8.83319,9.02921,8.96600,9.17495,9.05696,9.07574,9.04693,8.98404,8.91861,8.96506,8.83591,8.83033,8.82626,9.09018,9.02507,9.14183,9.26185,9.54933,9.72890,10.14279,10.65951,11.44225,12.27697,12.93958,12.99163,12.99650,12.89988,12.65314,12.71543,12.27088,12.33156,12.26232,11.97403,11.66268,11.41561,11.09385,10.76080,10.41513,9.80699,9.73916,9.16865,9.72786,10.14816,9.53623,8.93321,9.48352,9.01168,8.78914,9.23608
2012,Morisset 132_11kV,10MAY2011,MW,10.65070,10.44106,10.20107,10.23336,10.47804,9.79074,9.04138,9.30481,9.15092,8.40245,7.77200,7.28575,6.91050,6.62272,6.39672,6.29199,6.27673,6.21726,6.23983,6.29470,6.70279,6.84337,7.28574,7.68055,8.21895,8.86620,9.72665,10.33739,9.97963,10.53247,10.58477,10.61978,10.51287,10.24278,10.11529,10.05950,9.72332,9.40345,9.49564,9.32875,9.09079,8.95380,8.77901,8.59302,8.65634,8.55367,8.42285,8.52924,8.45963,8.26692,8.18308,8.19630,8.11428,8.00704,8.12907,8.08665,7.93586,7.90843,8.03150,8.24618,8.21326,8.20666,8.28551,8.38420,8.65841,9.07254,9.40453,9.97163,10.58644,11.70776,12.47429,12.46136,12.58882,12.79027,12.78672,12.71289,12.38900,12.51286,12.41783,12.11109,11.89379,11.68423,11.38488,11.31502,10.83235,10.21472,10.14711,9.71738,10.18865,10.38268,9.66896,8.82654,9.45905,9.01878,8.86628,9.18634
