year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Nelson Bay 33_11kV,01MAY2011,MW,16.72703,14.71063,15.45058,18.17376,15.17201,13.56122,12.57834,11.86858,12.66522,12.03740,11.39115,10.99057,10.83343,10.79330,10.76599,10.79467,10.82675,10.86710,10.82762,10.86237,11.05387,11.19021,11.52888,11.63810,12.05824,12.33869,12.94117,13.83380,14.62373,15.48877,16.46466,17.34025,18.20925,18.87484,19.85353,20.43271,21.10872,21.93491,22.31057,22.28143,21.85080,21.25421,21.09144,21.30768,21.17981,20.81722,20.85704,20.61176,20.08041,19.84922,20.00291,19.74157,19.12691,18.69461,18.53240,17.89598,17.72299,17.47273,17.53355,17.58940,17.56043,17.69928,17.58304,17.93091,18.05346,18.11814,18.35629,18.47181,19.66363,20.93685,22.51651,22.68168,22.85317,22.61639,22.11291,21.30693,20.67797,20.77803,19.99326,19.45492,18.86369,18.42810,17.96540,17.22251,16.68076,16.16804,20.01717,18.29559,16.84803,15.53547,15.91330,15.01617,18.00167,16.71905,14.56420,15.94413
2012,Nelson Bay 33_11kV,02MAY2011,MW,15.91932,14.47062,15.26158,18.00881,14.93629,13.14794,12.60494,12.95157,12.06287,11.51105,11.13366,11.07583,10.94877,10.98102,10.85481,10.73686,10.66005,10.87671,10.89843,11.17254,11.72140,12.12112,12.39999,13.25916,14.52768,15.60347,16.49428,15.53784,15.24580,15.98128,17.18923,17.77171,18.41759,18.42970,18.29799,18.27893,18.43747,18.63261,18.53076,18.58823,18.21234,17.63557,17.48243,17.71634,17.72842,17.56120,17.77371,17.90025,18.04610,17.60613,17.45139,17.52602,17.34821,17.23869,17.26453,17.05719,16.92925,16.98972,16.89168,16.59710,16.05322,16.64409,17.08532,17.19186,17.46689,18.09353,18.68649,19.83088,21.02328,22.72510,23.82098,23.59916,23.62089,23.21968,22.19937,21.82374,21.51592,21.85254,20.78233,20.24846,19.47455,18.90984,18.42157,18.05798,17.35874,16.82855,16.83064,16.24006,21.46283,20.04430,17.87716,16.61338,17.82964,16.69309,17.35173,19.82426
2012,Nelson Bay 33_11kV,03MAY2011,MW,21.22064,19.22950,19.19551,21.25438,19.97715,18.09322,17.06190,17.93119,16.41100,14.96483,13.75584,12.95016,12.47359,11.96376,11.48129,11.27262,10.99258,10.98273,11.03505,11.13578,11.82008,12.15362,12.35193,13.24259,14.60637,15.47925,16.54826,15.93585,16.29323,17.09141,17.44835,17.32552,17.56001,17.39122,17.07763,17.24356,17.16044,17.17591,17.03192,17.05081,17.28762,17.18300,17.11447,17.17690,17.35618,17.52427,17.42478,17.40538,17.55514,17.66835,17.66764,17.60474,17.42747,17.59308,17.63970,17.07366,16.88609,16.73411,16.67121,16.10139,16.41846,17.03232,17.26047,17.56082,17.93410,18.24418,18.75335,19.55799,20.39885,22.25735,23.12502,23.28598,23.38916,23.23916,22.45496,21.82974,21.48032,21.89655,20.75268,20.28589,19.78605,19.25475,18.69416,17.99368,17.30903,16.77400,16.78105,16.30555,21.35904,19.85185,17.62917,16.66961,17.69691,16.87954,17.60496,19.85822
2012,Nelson Bay 33_11kV,04MAY2011,MW,21.05691,19.69629,19.60636,21.30439,19.94957,18.20978,17.41092,18.44691,16.82162,15.37477,14.09070,13.22116,12.41668,11.83635,11.44026,11.24814,11.09277,11.20363,11.36927,11.53116,11.81775,12.12772,12.71662,13.42870,14.62593,15.41626,16.68136,15.98325,16.45891,17.49192,18.24815,18.49003,18.94089,19.16937,19.08078,18.54251,18.98884,19.25654,19.12008,18.85979,18.75056,18.59813,18.41819,18.52767,18.28636,18.10973,17.99812,17.88079,17.78373,17.91091,18.13295,17.85662,17.55891,17.69502,17.70471,17.35495,17.35767,17.73616,17.96890,17.79504,17.77314,17.70223,17.88211,18.25726,18.60508,18.93402,19.53449,20.26686,21.37316,23.05625,23.81952,23.88047,24.12001,23.72657,23.11280,22.60845,21.92574,22.34199,21.40596,20.79433,20.18247,19.55438,18.96264,18.62740,18.10054,17.52877,17.66314,17.08441,21.57497,20.32643,17.89283,17.09325,18.16417,17.27413,18.14258,20.48078
2012,Nelson Bay 33_11kV,05MAY2011,MW,21.60061,20.02922,19.69228,21.52806,20.17390,18.28937,17.69826,18.69179,17.00730,15.59646,14.34348,13.62553,13.25399,12.52697,11.70358,11.64429,11.43222,11.36403,11.47432,11.46673,11.50384,11.93053,12.42816,13.53658,14.69279,15.66997,16.70591,16.08731,16.57069,17.57119,17.96492,18.23566,18.44991,18.64414,18.39443,17.98062,18.05519,18.09651,17.96381,18.35868,18.50282,18.90329,18.99713,18.56473,17.82057,17.60896,17.45826,17.26172,17.10795,16.91842,16.82246,16.78155,16.85848,16.67284,16.69270,16.55007,16.71006,16.79165,16.61181,16.43527,16.50722,16.67140,16.92802,17.37504,18.05136,18.48374,19.36301,20.31135,21.11198,23.13409,24.29833,23.90638,24.00631,23.91975,23.52838,23.11877,22.96340,23.05302,21.90691,21.61502,20.70652,20.35413,19.77377,19.35753,18.70615,18.14081,18.13084,17.42076,22.36125,20.85292,18.59061,17.43182,18.67245,17.55127,18.16295,20.50984
2012,Nelson Bay 33_11kV,06MAY2011,MW,21.82130,20.27655,19.99402,21.62532,20.37234,18.65108,17.85250,18.77086,17.30615,15.75632,14.64105,13.79542,12.88651,12.40900,11.93618,11.56675,11.35224,11.53080,11.57947,11.64026,12.01403,12.37661,12.72943,13.52646,14.98022,15.75335,16.75751,15.93944,16.46230,17.38633,18.38530,18.95669,19.49906,19.76284,20.09498,20.00750,20.04879,19.77143,19.40371,18.91934,18.30697,18.40273,18.23136,18.16364,18.11778,17.67188,17.91661,17.92223,18.06850,18.14454,18.00947,17.73764,17.17714,17.18381,16.89765,16.66029,16.68842,16.66054,16.75967,16.77900,16.83168,16.75171,17.06158,17.29195,17.73485,18.09985,18.78968,19.62825,21.03499,22.98466,24.07170,24.05297,24.22383,24.04221,23.59087,23.28476,23.01538,23.44253,22.41581,21.78291,21.37136,20.79877,20.18926,19.95354,19.45892,19.12841,19.15874,18.57872,23.52114,21.97139,19.51649,18.50305,19.23237,18.26754,18.90115,21.30596
2012,Nelson Bay 33_11kV,07MAY2011,MW,21.95832,20.89294,20.89371,22.52591,21.15622,19.29648,17.67941,16.24633,18.09346,17.01681,15.77886,14.80041,14.06068,13.17034,12.49154,12.09610,11.83931,11.70351,11.66012,11.64823,11.79264,11.90378,12.18024,12.33576,12.91523,13.57526,14.39586,15.35774,16.68733,18.28933,19.63781,20.34391,21.48064,22.51146,23.39624,23.49087,23.63072,23.55244,23.16064,22.43142,21.88550,21.19980,20.92187,20.37581,20.06124,19.62068,19.33633,19.05113,18.59552,18.18818,18.02916,17.92423,17.55061,17.41178,17.11067,16.98509,16.87716,16.84382,16.95007,16.87990,16.84229,16.98124,17.01777,17.33934,17.89405,18.62939,19.69162,20.18814,21.12798,22.56508,23.46992,23.56279,23.99571,23.57204,22.89571,22.31602,21.87862,22.46595,21.68134,20.98164,20.34734,20.19186,19.79384,19.41232,18.92246,18.72172,22.39947,20.42202,18.62026,17.15030,17.92504,16.78524,19.41793,18.11577,16.02743,17.18568
2012,Nelson Bay 33_11kV,08MAY2011,MW,17.62104,15.38378,16.34632,19.24615,16.03273,14.14384,13.20460,12.67389,13.45959,12.59658,12.09632,11.80404,11.45424,11.30320,11.34180,11.14936,11.25371,11.25710,11.20687,11.23809,11.62236,11.60737,11.71696,12.23156,12.77963,12.94993,13.57368,14.73459,15.86263,16.87510,17.80382,18.72044,19.75041,21.06897,21.45971,21.99116,22.54341,22.57961,22.08470,21.74213,21.66702,21.63271,20.90211,20.58409,20.36146,19.77204,19.64038,19.46206,18.85897,18.44626,18.29424,17.52305,17.02060,17.29402,16.79384,16.97665,16.88474,16.49574,16.60744,16.77583,16.56801,16.72868,16.74669,17.04943,17.46178,17.85962,18.51206,18.60131,20.08751,21.63381,22.88307,22.72947,23.08614,22.99274,22.71965,21.96550,21.62057,21.92794,21.14001,20.63669,20.11642,19.78910,19.21332,18.58332,18.01028,17.50794,21.19058,19.42512,17.56878,16.13768,16.54747,15.43616,18.21548,16.66464,14.55383,15.93299
2012,Nelson Bay 33_11kV,09MAY2011,MW,15.97081,14.47962,15.22400,18.04237,15.01294,13.12443,12.66808,12.97402,12.19356,11.54412,11.23511,11.06836,10.88910,10.85090,10.84387,10.65245,10.79461,10.78262,11.12619,11.28034,11.58364,12.24402,12.83644,13.58196,14.67215,15.78299,17.08648,16.70838,17.05949,17.90698,18.41808,18.79258,19.23544,19.60195,19.32693,19.04367,18.88703,18.68085,18.53225,18.18237,17.98930,17.70423,17.52098,17.42209,17.80243,17.63010,17.72267,17.46465,17.39224,17.47462,17.34436,17.26845,17.27755,17.41026,17.84000,18.05637,18.25620,18.32178,18.39136,18.66051,18.93639,19.13634,19.41424,20.09253,20.53833,21.36206,22.72804,24.26042,25.75617,27.49821,28.03735,27.49340,27.38917,26.96867,26.03438,25.35942,25.10119,25.17827,23.81657,23.24199,22.65306,22.07129,21.42832,20.81581,20.25227,19.61340,19.25991,18.39311,23.58466,21.84083,19.27162,17.58461,18.72877,17.96970,18.55327,21.24823
2012,Nelson Bay 33_11kV,10MAY2011,MW,22.37325,20.60793,20.53974,22.53735,21.28784,19.48809,18.66869,19.94304,18.42744,17.03575,15.31531,14.62547,14.00030,13.60021,12.99930,12.29047,11.93116,12.12148,12.46785,12.41621,12.60864,12.77471,13.43132,14.11722,15.66047,16.75999,18.48958,17.64855,18.45176,19.66767,20.25761,21.12062,21.63965,22.44141,22.51891,22.55996,22.38581,21.72196,21.75755,21.28467,20.68897,20.73186,20.86283,20.42523,20.38743,19.56843,19.19563,19.29250,19.17757,18.65659,18.46517,18.23618,17.99521,18.36496,19.43499,19.20800,18.62127,18.22094,17.80328,17.92674,17.63315,17.65850,18.23344,18.59129,18.89858,19.36753,20.24817,21.56950,23.37252,25.69234,27.10012,27.23472,27.67738,27.46702,27.18363,26.40446,26.08651,26.47541,25.40994,24.74432,24.02552,23.55805,22.76396,22.16206,21.57624,20.73292,20.23307,19.49278,24.68864,22.46174,19.80400,18.40651,19.58159,18.20137,18.90906,21.33051
