year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Newcastle CBD 33_11kV,01MAY2011,MW,14.65568,14.28492,14.14695,13.66380,13.45720,13.49895,13.34494,12.96838,14.97568,13.98966,13.03196,12.68194,12.43546,12.33596,12.01541,12.06042,12.11200,12.02240,12.00596,11.98260,12.15697,12.18469,12.27775,12.59945,13.01788,12.87055,13.19605,13.39455,13.82969,13.98148,14.59088,15.08342,15.74348,16.15842,16.75059,17.19827,17.62396,17.95880,18.30541,18.69630,19.06258,19.42581,19.31880,19.27650,19.28269,19.39635,19.28557,19.41881,19.31357,18.67368,18.64676,18.63990,18.76559,18.66233,18.50346,18.71375,18.51673,18.45366,18.35506,18.40787,18.31215,18.05875,18.04627,17.88934,17.52920,17.82066,18.02565,18.39955,18.32494,18.89877,19.56327,19.87439,19.94858,20.01779,19.75289,19.54101,19.63044,19.65690,19.12520,18.57088,18.49397,17.87061,17.71874,17.34627,17.00032,16.68263,16.44336,16.09499,17.37406,16.50803,16.12983,15.28161,14.81559,14.20233,14.34765,13.66072
2012,Newcastle CBD 33_11kV,02MAY2011,MW,13.19965,12.83242,12.63974,12.32044,12.19898,12.03828,11.89810,11.81760,13.81605,12.94060,12.26073,11.99071,12.01704,11.76966,11.69727,11.80472,12.00260,12.16057,12.19109,12.38266,12.81632,13.14856,13.75709,14.78465,16.66292,17.08730,17.72065,18.57125,19.79594,20.42745,21.58076,22.10859,23.04216,23.24455,23.55036,24.25814,24.55117,25.05224,25.12595,25.29757,25.43470,25.36676,25.64997,25.92944,26.15107,26.19353,26.19235,26.17640,26.22151,26.62248,26.45422,26.54469,26.58169,26.36867,26.72760,26.99491,26.88619,26.56637,26.15316,26.26605,25.98587,26.15708,25.92452,25.87309,25.49578,25.51698,25.25821,25.18498,24.82730,24.89911,24.42276,24.02818,23.31881,23.03424,22.49023,21.86135,21.67262,21.59613,20.78773,20.33852,19.54961,18.95065,18.68658,18.46805,18.33724,18.07193,17.71082,17.28873,18.22626,17.26245,16.99404,16.11636,15.36069,14.67168,14.54543,14.28955
2012,Newcastle CBD 33_11kV,03MAY2011,MW,13.63675,13.29379,13.12986,12.78553,12.56834,12.53045,12.33128,12.16540,14.32503,14.19151,13.42902,12.97065,12.72375,12.47109,12.23238,12.28995,12.26557,12.34212,12.33334,12.71696,13.08799,13.42651,13.89913,15.06676,16.56294,16.98844,17.95750,18.80359,20.05736,20.86546,21.80826,22.15944,23.15876,23.37179,24.03474,24.61173,25.12776,25.30159,25.76272,26.05564,26.30050,26.65650,27.05456,26.74305,26.91394,26.92142,27.02582,26.69363,26.90560,26.72513,26.85646,26.77043,26.80895,26.54199,26.78091,26.75509,26.63864,26.22033,26.29976,26.04312,25.98056,26.01595,25.93033,25.86326,25.68813,25.34552,25.32501,25.23326,24.98334,25.01147,24.74465,24.35433,23.79387,23.29192,22.42862,22.17975,21.88247,21.89530,20.96845,20.70171,19.93252,19.78102,19.60073,19.38778,18.72891,18.51157,18.01428,17.54066,18.47667,17.50338,17.18715,16.55743,15.79280,14.96321,14.97384,14.55407
2012,Newcastle CBD 33_11kV,04MAY2011,MW,14.01023,13.63719,13.32512,13.04132,12.65935,12.60743,12.40727,12.17442,14.47721,14.19553,13.70892,13.28804,12.88033,12.62878,12.43550,12.48927,12.56675,12.62263,12.55549,12.74841,13.15083,13.55532,14.20408,14.92627,16.42088,17.10878,17.86889,19.30040,20.33674,21.10291,21.95238,22.64348,23.04365,23.55237,23.99588,24.61658,25.30457,25.09904,25.26782,25.41970,26.06268,26.20913,26.39870,26.58802,26.83963,26.81756,26.67230,26.44039,26.74825,26.68380,26.74532,26.56407,26.65442,26.36063,26.27342,26.04820,26.00525,25.85498,25.69968,25.76446,26.00147,25.89378,25.72135,25.76347,25.78096,25.74182,25.49209,25.40402,24.93034,24.72058,24.54087,24.48375,23.83793,23.23474,22.77266,22.55546,22.29021,22.25238,21.70524,20.88874,20.35182,19.88654,19.40366,19.42038,18.95998,18.63414,18.29510,17.71170,18.64206,17.59909,16.90683,16.48610,15.85488,15.34259,15.43465,15.07430
2012,Newcastle CBD 33_11kV,05MAY2011,MW,14.48392,13.98691,13.57714,13.28097,12.99269,12.81134,12.65922,12.53350,14.74814,14.46369,13.82477,13.53129,13.17831,12.94746,12.70432,12.56818,12.64173,12.62746,12.71914,12.91561,13.28730,13.67410,13.95662,14.95322,16.14806,16.80116,17.87480,19.27078,20.19929,21.00305,21.91248,22.78702,23.30485,23.68523,24.18064,24.45589,24.99578,25.50474,25.93705,26.28900,26.29494,26.54571,26.74890,26.65368,26.50870,26.73786,26.92712,27.29903,27.33474,26.99177,26.81566,26.79391,26.90892,26.92709,26.83194,26.85890,26.93639,26.53115,26.42242,25.98302,25.94816,25.81102,25.57991,25.36196,25.40402,25.30923,25.22089,25.17266,24.92399,25.13185,25.04249,24.67443,24.09357,23.56331,23.21943,22.78364,22.66802,22.66572,22.33818,21.79373,21.14437,20.58888,19.96505,19.60014,18.91375,18.77782,18.56041,18.12411,18.87991,18.05590,17.73830,17.07843,16.38295,15.57653,15.59979,15.04351
2012,Newcastle CBD 33_11kV,06MAY2011,MW,14.59344,14.03780,13.77387,13.49834,13.33329,13.18677,12.74235,12.60536,14.36733,14.33911,13.82204,13.46022,13.13570,12.72231,12.56777,12.43620,12.60125,12.57804,12.61045,12.76062,13.10153,13.59853,14.36507,14.85413,16.39101,16.94565,18.04786,19.15653,20.23742,20.72996,21.66844,22.63132,23.44131,23.84936,24.49010,24.78773,24.99627,25.07917,25.05641,25.44352,25.46208,25.54131,25.87732,26.00974,25.86627,26.08768,26.30361,26.31966,26.29718,26.28214,26.09034,26.09001,25.96000,25.79702,25.83607,26.05684,25.91425,25.76124,25.59670,25.33948,25.57099,25.32317,24.91551,25.24292,25.15916,25.04819,24.82812,24.75608,24.51620,24.35279,23.88951,23.71979,22.57420,22.14238,21.54480,21.19715,21.24861,21.30792,20.95553,20.42696,19.80305,19.41744,19.36663,19.11769,18.81523,18.69959,18.36939,18.11460,19.06797,18.26873,17.78522,17.43204,16.90833,16.33492,16.10574,15.73766
2012,Newcastle CBD 33_11kV,07MAY2011,MW,15.00354,14.64551,14.34981,13.95310,13.51308,13.21392,13.02558,12.88262,14.95075,14.62794,14.05819,13.70319,13.27260,12.97268,12.69630,12.20380,12.10556,12.05433,12.04311,12.07102,12.27369,12.45649,12.69909,12.87296,13.44319,13.54917,13.92092,14.46878,15.09571,15.73350,16.43119,16.82279,17.71654,18.00612,18.53684,18.94848,19.38346,19.58851,19.81856,19.89778,20.14865,20.03479,19.61710,19.55379,19.60466,19.70508,19.79965,19.98994,19.88711,19.93593,19.71325,19.58532,19.53705,19.43720,19.13103,18.98498,18.85444,18.66627,18.64805,18.37801,18.28815,18.38796,18.22987,18.22608,17.85388,18.08588,18.63925,19.11058,19.40789,19.61469,19.86406,20.01251,20.07539,20.33166,20.12789,19.85797,20.00022,19.93796,19.73811,19.10082,18.79335,18.54038,18.31615,18.02950,17.72307,17.58047,17.58077,17.43777,18.75663,17.68446,17.35961,16.60946,16.13385,15.56770,15.56597,15.08792
2012,Newcastle CBD 33_11kV,08MAY2011,MW,14.51691,14.14609,13.91268,13.46536,13.15956,13.14450,12.92290,12.75724,14.73728,13.80020,12.97436,12.61971,12.45392,12.23326,12.03369,11.98070,11.92383,11.96542,11.98137,11.99646,12.29001,12.39202,12.43172,12.45189,12.88447,12.92566,13.15088,13.55446,14.10634,14.50586,14.75338,15.23760,15.95743,16.30215,16.79896,16.98804,17.53362,17.71530,17.87122,18.53330,18.60315,18.59196,18.51163,18.38833,18.44929,18.27549,18.36092,18.27520,18.21316,18.14822,18.15601,18.07591,18.12991,17.92660,17.72581,17.61281,17.65307,17.79424,17.57738,17.53778,17.46573,17.58263,17.52055,17.66941,17.48987,17.52799,17.60729,18.13693,18.32899,18.75678,19.49365,19.91971,19.88565,19.95025,19.81299,19.55666,19.55289,19.66044,19.27503,18.84420,18.53505,18.24164,17.99387,17.70248,17.30841,16.93877,16.59437,16.42605,17.78712,16.54114,16.33396,15.48792,14.68178,14.31674,14.35591,13.78080
2012,Newcastle CBD 33_11kV,09MAY2011,MW,13.16043,12.81530,12.57479,12.23893,12.18356,11.97573,11.96353,11.89871,14.00482,13.09941,12.50857,12.30455,12.07561,11.91201,12.00340,12.00683,12.23407,12.29271,12.34124,12.56668,13.01462,13.62301,14.14422,14.85226,16.64599,17.06352,18.03552,19.30995,20.53123,21.28596,21.97191,22.61927,23.43097,23.72813,24.09981,24.72485,25.07186,25.25095,25.27030,25.47465,25.77709,25.87635,25.70863,25.95108,25.78083,26.02684,26.09808,26.41862,26.31086,26.20009,26.24631,25.96860,26.09128,26.18284,25.97152,25.83081,25.78291,25.52801,25.48021,25.55980,25.75123,26.38508,26.32359,26.21175,26.41889,26.40772,26.86943,27.22254,26.66106,26.71852,26.05394,25.85510,25.33413,24.97462,24.33788,23.78354,23.50903,23.33096,22.70631,22.24229,21.37313,20.78835,20.49914,20.13046,19.97061,19.49694,19.08412,18.39417,19.49510,18.43610,17.72968,17.15424,16.55800,15.87684,15.87383,15.44749
2012,Newcastle CBD 33_11kV,10MAY2011,MW,14.86641,14.33105,13.83224,13.57417,13.33820,13.17764,13.03446,12.98151,15.00980,14.84715,14.27845,14.00817,13.59142,13.32585,13.15728,13.11344,13.10116,13.04711,13.11071,13.45541,13.79357,14.22689,14.78078,15.55362,17.35263,18.03603,19.20909,20.97009,21.67150,22.70980,23.73505,24.58848,25.12893,25.16462,25.39822,25.65739,25.98275,26.30743,26.30638,26.29409,26.08494,25.99808,25.93013,25.97144,26.01305,26.03254,26.06645,26.25714,26.45890,26.38300,26.47716,26.09694,26.38597,26.36828,26.39071,26.12355,26.03658,25.78779,25.89133,25.74710,25.63456,25.41781,25.85893,25.83183,25.63272,25.41692,25.56436,25.64458,25.73087,25.59935,25.65349,25.34438,24.73951,24.66218,24.19621,23.83128,24.02643,23.91570,23.35030,22.83567,22.04961,21.69204,21.33264,20.74041,20.13053,19.78194,19.33345,18.88245,20.02989,18.74843,18.49245,17.56579,16.84291,16.04436,16.00021,15.68657
