year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Newport 33_11kV,01MAY2011,MW,5.59288,5.06798,4.79648,6.15398,5.88248,5.50238,5.24898,4.94128,4.70598,4.43448,4.16298,3.90959,3.80099,3.69239,3.74669,3.71049,3.71049,3.61999,3.71049,3.60189,3.71049,3.67429,3.67429,3.81909,4.07248,4.43448,4.41638,4.59738,4.79648,5.24898,5.50238,5.79198,6.22638,6.60647,6.82367,7.16757,7.23997,7.23997,7.05897,6.89607,6.98657,6.91417,6.87797,6.73317,6.69697,6.69697,6.51598,6.51598,6.19018,6.33498,6.33498,6.33498,6.15398,6.15398,6.15398,6.24448,5.93678,6.06348,6.09968,6.15398,5.99108,6.06348,6.06348,6.51598,6.55217,6.71507,6.93227,7.42097,8.14497,9.01377,9.59296,10.13596,10.13596,10.13596,9.86446,9.46626,9.39386,9.14047,8.76037,8.63367,8.56127,9.41196,8.81467,8.32597,7.63817,7.74677,7.23997,6.76937,7.40287,6.87797,6.22638,6.49788,5.88248,5.62908,5.79198,5.14038
2012,Newport 33_11kV,02MAY2011,MW,4.86888,4.72408,4.50688,5.79198,5.59288,5.35758,5.06798,4.77838,4.68788,4.23538,4.05438,3.76479,3.85529,3.69239,3.81909,3.56569,3.63809,3.60189,3.51139,3.96388,3.87339,4.18108,4.47068,4.68788,5.71958,6.20828,6.38928,6.22638,6.49788,6.73317,7.04087,7.23997,7.00467,6.67887,6.49788,6.49788,6.57027,6.40738,6.20828,6.24448,6.31688,6.09968,6.00918,5.95488,5.88248,5.93678,5.95488,5.97298,6.00918,5.79198,5.93678,5.91868,5.90058,5.86438,6.24448,5.93678,6.00918,5.90058,5.79198,6.11778,5.95488,5.97298,6.13588,6.31688,6.67887,7.02277,7.42097,7.69247,8.36217,9.12237,9.86446,10.15406,10.66086,10.64276,10.47986,10.58846,10.29886,10.08166,9.68346,9.57486,9.03187,10.06356,9.48436,8.94137,8.68797,8.19927,7.83727,7.38477,8.34407,8.01827,7.27617,7.58387,6.64267,6.40738,5.95488,5.50238
2012,Newport 33_11kV,03MAY2011,MW,5.23088,4.88698,4.48878,5.90058,5.79198,5.26708,4.99558,4.77838,4.50688,4.23538,4.23538,4.14488,3.90959,3.72859,3.74669,3.54759,3.78289,3.56569,3.67429,3.76479,3.96388,4.19918,4.50688,4.99558,5.68338,6.22638,6.67887,6.75127,6.84177,7.22187,7.58387,7.43907,7.38477,7.22187,6.96847,6.87797,6.66077,6.33498,6.38928,6.31688,6.33498,5.93678,6.04538,5.88248,5.91868,5.95488,5.93678,5.88248,5.84628,5.79198,5.86438,5.84628,5.52048,5.66528,5.77388,5.71958,5.79198,5.66528,5.61098,5.68338,5.68338,5.77388,5.82818,6.13588,6.60647,7.07707,7.29427,7.76487,8.19927,9.03187,9.66536,10.04546,10.11786,10.37126,10.47986,10.51606,10.13596,10.19026,9.75586,9.55676,9.28526,10.33506,9.64726,9.30336,8.56127,8.34407,8.01827,7.40287,8.32597,7.94587,7.33047,7.51147,6.69697,6.33498,6.06348,5.61098
2012,Newport 33_11kV,04MAY2011,MW,5.24898,4.86888,4.68788,6.00918,5.81008,5.35758,5.08608,4.88698,4.61548,4.21728,4.10868,3.96388,3.87339,3.76479,3.81909,3.72859,3.71049,3.60189,3.80099,3.80099,3.96388,4.30778,4.57928,5.04988,5.86438,6.53408,7.02277,6.58837,6.95037,7.38477,7.38477,7.31237,7.29427,7.29427,6.82367,6.38928,6.38928,6.38928,6.20828,6.22638,5.91868,5.70148,5.68338,5.79198,5.90058,5.97298,5.88248,5.66528,5.53858,5.57478,5.39378,5.42998,5.15848,5.35758,5.14038,5.32138,5.33948,5.24898,5.35758,5.44808,5.39378,5.50238,5.66528,5.64718,5.84628,6.11778,6.62457,6.75127,7.47527,8.21737,9.15857,9.52056,9.86446,10.13596,10.19026,10.22646,9.91876,9.66536,9.24906,9.15857,8.86897,9.79206,9.19476,8.68797,8.43457,8.38027,7.83727,7.29427,8.10877,7.78297,7.20377,7.36667,6.60647,6.09968,6.09968,5.66528
2012,Newport 33_11kV,05MAY2011,MW,5.32138,4.97748,4.70598,6.02728,5.77388,5.26708,4.99558,4.76028,4.48878,4.23538,4.03628,3.98198,3.90959,3.80099,3.71049,3.67429,3.54759,3.90959,3.76479,3.89149,4.00008,4.27158,4.61548,5.15848,5.86438,6.15398,6.69697,6.38928,6.84177,6.98657,7.16757,7.07707,7.07707,6.82367,6.55217,6.26258,6.08158,5.97298,5.97298,5.86438,5.93678,5.62908,5.66528,5.57478,5.59288,5.46618,5.46618,5.37568,5.44808,5.42998,5.39378,5.32138,5.24898,5.23088,5.33948,5.41188,5.39378,5.21278,5.08608,5.33948,5.39378,5.33948,5.68338,5.84628,6.24448,6.47978,6.91417,7.22187,7.92777,8.86897,9.55676,10.06356,10.33506,10.37126,10.20836,10.13596,10.08166,9.75586,9.70156,9.55676,9.19476,10.24456,9.43006,9.06807,8.50697,8.65177,8.12687,7.56577,8.54317,8.09067,7.56577,7.76487,6.93227,6.60647,6.22638,5.79198
2012,Newport 33_11kV,06MAY2011,MW,5.48428,5.14038,4.90508,6.08158,5.79198,5.48428,5.14038,4.90508,4.63358,4.38018,4.23538,4.27158,4.12678,3.94578,3.87339,3.78289,3.61999,3.67429,3.87339,3.94578,3.94578,4.43448,4.86888,5.19468,5.88248,6.55217,7.25807,6.76937,7.13137,7.43907,7.49337,7.65627,7.58387,7.42097,7.07707,6.87797,6.67887,6.40738,6.29878,5.95488,5.84628,5.86438,5.59288,5.62908,5.71958,5.66528,5.62908,5.53858,5.55668,5.64718,5.64718,5.33948,5.57478,5.71958,5.57478,5.73768,5.53858,5.71958,5.62908,5.55668,5.71958,5.62908,5.70148,6.11778,6.51598,6.76937,6.89607,7.56577,8.43457,9.39386,9.91876,10.38936,10.57036,10.33506,10.35316,10.19026,10.15406,9.88256,9.90066,9.62916,9.44816,10.19026,9.57486,9.23096,8.74227,8.57937,8.10877,8.00017,8.68797,8.48887,7.71057,8.10877,7.22187,6.89607,6.67887,6.17208
2012,Newport 33_11kV,07MAY2011,MW,5.71958,5.46618,5.21278,6.46168,6.17208,5.68338,5.35758,5.04988,4.76028,4.54308,4.32588,4.45258,4.12678,4.05438,3.92769,3.96388,3.96388,4.00008,3.92769,3.96388,4.07248,4.03628,4.19918,4.48878,4.95938,5.28518,5.66528,5.71958,6.22638,6.46168,6.98657,7.09517,7.38477,7.71057,7.74677,7.85537,7.94587,7.54767,7.74677,7.40287,7.40287,7.38477,7.09517,6.95037,6.62457,6.66077,6.62457,6.29878,6.44358,6.20828,6.20828,6.00918,5.93678,6.15398,6.04538,6.11778,5.95488,5.97298,6.26258,6.06348,6.22638,6.20828,6.44358,6.46168,6.82367,6.89607,7.43907,7.85537,8.68797,9.30336,10.09976,10.29886,10.53416,10.38936,10.38936,10.06356,9.61106,9.30336,8.97757,9.24906,8.76037,9.82826,9.21286,8.70607,8.18117,8.14497,7.83727,7.36667,8.30787,7.62007,6.95037,7.40287,6.64267,6.44358,6.31688,5.99108
2012,Newport 33_11kV,08MAY2011,MW,5.64718,5.53858,4.90508,6.49788,6.13588,5.79198,5.55668,5.14038,4.92318,4.66978,4.47068,4.30778,4.27158,4.14488,4.00008,3.96388,3.76479,3.85529,3.87339,3.87339,3.89149,4.10868,4.03628,4.16298,4.38018,4.81458,4.86888,5.19468,5.50238,6.08158,6.29878,6.82367,7.33047,7.80107,7.67437,8.10877,7.89157,7.89157,7.94587,7.71057,7.60197,7.54767,7.38477,6.91417,6.93227,6.76937,6.75127,6.71507,6.58837,6.37118,6.31688,6.20828,6.13588,6.13588,6.04538,5.84628,5.91868,5.81008,5.90058,5.86438,6.17208,6.31688,6.28068,6.51598,6.71507,7.09517,7.43907,7.74677,8.32597,9.28526,9.71966,10.08166,10.11786,10.37126,10.09976,10.37126,9.93686,9.73776,9.44816,9.30336,8.97757,10.11786,9.39386,8.57937,8.16307,8.05447,7.71057,7.25807,7.71057,7.13137,6.53408,6.71507,6.09968,5.79198,5.81008,5.21278
2012,Newport 33_11kV,09MAY2011,MW,5.12228,4.86888,4.59738,5.91868,5.84628,5.57478,5.21278,4.88698,4.76028,4.59738,4.36208,4.23538,4.05438,4.12678,4.09058,3.78289,3.85529,3.90959,3.85529,4.09058,4.05438,4.45258,4.86888,5.26708,6.31688,6.60647,6.95037,6.98657,7.52957,7.90967,8.03637,8.09067,8.10877,7.85537,7.78297,7.49337,7.33047,7.27617,7.25807,6.96847,6.85987,7.05897,6.85987,6.69697,6.58837,6.40738,6.38928,6.47978,6.13588,6.22638,6.13588,6.22638,6.13588,6.20828,6.13588,6.00918,6.00918,6.02728,6.04538,5.93678,6.00918,6.02728,6.15398,6.40738,6.80557,7.43907,8.12687,8.85087,9.88256,10.66086,11.29436,11.78306,11.89165,12.14505,12.09075,11.96405,11.69256,11.20386,11.24006,10.93236,10.51606,11.49346,10.84186,10.29886,9.55676,9.26716,8.88707,8.14497,8.94137,8.45267,7.80107,8.23547,7.22187,6.80557,6.62457,5.99108
2012,Newport 33_11kV,10MAY2011,MW,5.75578,5.44808,5.08608,6.49788,6.13588,6.02728,5.59288,5.30328,5.04988,4.76028,4.47068,4.36208,4.16298,4.27158,4.12678,4.16298,4.14488,3.96388,4.05438,4.23538,4.48878,4.77838,5.14038,5.70148,6.85987,7.47527,7.96397,7.76487,8.03637,8.30787,8.45267,8.68797,8.48887,8.09067,7.76487,7.38477,7.49337,7.07707,7.04087,6.73317,6.47978,6.40738,6.04538,6.13588,5.95488,6.13588,5.75578,5.73768,5.79198,5.81008,5.93678,5.62908,5.68338,5.59288,5.55668,5.82818,5.57478,5.71958,5.68338,5.81008,5.64718,5.95488,6.11778,6.46168,6.58837,7.04087,7.49337,7.98207,9.03187,10.08166,11.00476,11.56586,11.83735,12.01835,11.96405,12.01835,11.78306,11.51156,11.49346,11.40296,10.71516,11.80115,11.07716,10.82376,10.04546,9.57486,9.03187,8.39837,9.17666,8.79657,7.98207,8.34407,7.52957,6.93227,6.66077,6.28068
