year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Paddington 33_11kV,01MAY2011,MW,16.27415,15.92437,15.59300,14.94866,14.76456,14.52523,14.28591,13.88090,13.75203,13.42065,13.12610,12.81313,12.79473,12.66586,12.84995,12.75791,12.55540,12.64745,12.66586,12.46335,12.64745,12.79473,12.79473,12.90518,13.18133,12.92359,13.38383,13.69680,13.88090,13.93612,14.34114,14.76456,15.09593,15.61141,16.32938,16.40302,17.02895,17.48919,17.82057,18.15194,18.44650,18.86992,18.81469,19.12765,19.18288,19.53267,19.56949,19.53267,19.44062,18.99879,18.96197,18.70423,18.63059,18.57536,18.39127,18.63059,18.48331,17.94943,18.13353,18.20717,18.09671,18.40968,18.59377,18.17035,18.59377,19.01720,19.05401,19.56949,20.17701,20.76611,21.35522,22.05479,22.31253,22.40458,21.88911,22.14684,21.92592,21.72342,21.22636,21.11590,20.78452,20.34269,20.02973,19.69835,19.09083,18.88833,18.70423,18.29922,17.82057,17.28669,16.71599,15.97960,15.51936,15.04071,14.96707,14.23068
2012,Paddington 33_11kV,02MAY2011,MW,14.28591,13.64157,13.47588,13.12610,13.16292,12.75791,12.57381,12.27925,12.37130,12.03993,12.09516,12.24243,12.11357,11.85583,11.89265,11.81901,11.89265,11.92947,12.03993,12.03993,12.53699,12.50017,13.25497,13.75203,14.61728,14.91184,16.05324,17.36032,18.20717,19.03561,19.55108,19.55108,19.58790,19.38539,19.05401,18.99879,19.40380,19.75358,19.44062,19.66153,19.53267,19.80881,19.47744,19.84563,20.30587,20.23223,20.26905,20.23223,20.32428,20.48997,20.47156,20.56361,20.60043,20.39792,20.19541,20.01132,20.26905,20.10337,19.44062,19.66153,19.42221,19.56949,19.93768,19.84563,20.47156,20.08496,20.17701,20.47156,21.00544,21.55773,21.72342,22.40458,22.11002,22.95687,22.73595,23.17778,23.08573,23.25142,22.95687,22.62549,22.05479,21.92592,21.72342,20.95021,20.67407,20.26905,19.90086,19.82722,18.99879,18.35445,17.50760,16.86326,16.42143,15.64822,15.26162,14.93025
2012,Paddington 33_11kV,03MAY2011,MW,14.54364,13.86249,13.75203,13.71521,13.38383,13.16292,12.99723,12.73950,12.48176,12.42653,12.26084,12.03993,12.33448,12.15039,12.22403,11.87424,11.89265,11.78219,12.05834,12.18721,12.20562,12.44494,12.96041,13.10769,14.87502,15.46413,16.29256,17.67329,19.18288,20.02973,20.48997,19.86404,20.17701,20.06655,19.93768,19.79040,20.41633,20.17701,20.28746,19.90086,20.43474,20.08496,20.37951,20.58202,20.58202,20.52679,20.32428,20.30587,20.34269,20.39792,20.12178,20.36110,20.23223,20.04814,20.45315,19.91927,19.82722,20.34269,19.86404,19.71676,20.39792,19.67994,20.19541,20.37951,20.43474,20.34269,20.67407,21.07908,21.44727,22.34935,22.64390,22.66231,22.47821,22.86482,22.73595,23.14096,23.21460,23.01210,22.62549,22.69913,21.98115,21.96274,21.79706,21.41045,20.91339,20.76611,20.52679,20.04814,19.47744,18.59377,17.82057,17.21305,16.43984,16.05324,15.48254,15.07752
2012,Paddington 33_11kV,04MAY2011,MW,14.83820,14.34114,13.91772,13.62316,13.38383,13.29179,12.72109,12.62904,12.55540,12.53699,12.42653,12.18721,12.18721,12.16880,12.16880,11.78219,11.94788,12.03993,12.02152,12.24243,12.38971,12.61063,13.16292,13.45747,14.65410,15.28003,16.55030,17.69170,18.53854,19.62471,20.36110,19.97450,20.23223,19.93768,19.60631,19.67994,19.58790,19.66153,19.44062,19.53267,19.97450,19.84563,19.97450,19.91927,20.02973,20.02973,19.99291,19.60631,19.79040,20.06655,19.80881,20.26905,19.84563,19.53267,20.01132,19.66153,19.27493,19.40380,19.16447,19.36698,19.18288,19.90086,19.42221,19.55108,19.47744,19.67994,19.93768,20.25064,20.93180,21.50250,22.47821,22.69913,22.20207,22.36776,22.60708,22.80959,22.73595,22.66231,22.47821,22.33094,22.20207,21.90751,21.79706,21.46568,20.91339,20.10337,20.41633,19.67994,19.18288,18.28081,17.59965,16.60553,16.12688,15.74027,15.24321,14.52523
2012,Paddington 33_11kV,05MAY2011,MW,14.30432,13.91772,13.45747,13.29179,13.19974,12.75791,12.64745,12.31607,12.20562,11.89265,12.02152,12.02152,12.07675,11.83742,11.63492,11.74537,11.70855,11.78219,12.05834,12.24243,12.35289,12.55540,12.90518,13.73362,14.54364,15.28003,16.60553,17.76534,18.52013,19.47744,19.97450,20.14019,20.30587,20.01132,19.66153,19.88245,19.79040,19.73517,19.58790,20.23223,19.91927,20.08496,20.10337,19.80881,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358
2012,Paddington 33_11kV,06MAY2011,MW,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358
2012,Paddington 33_11kV,07MAY2011,MW,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358
2012,Paddington 33_11kV,08MAY2011,MW,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358
2012,Paddington 33_11kV,09MAY2011,MW,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358
2012,Paddington 33_11kV,10MAY2011,MW,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358,19.75358
