year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Pennant Hills 132_11kV,01MAY2011,MW,35.92390,36.29463,33.97756,35.38634,35.90536,33.71804,31.58634,29.38048,27.45268,25.63609,24.06048,22.57756,21.72488,21.02048,20.46439,20.01951,20.01951,19.46341,19.11122,19.00000,19.00000,19.00000,19.00000,19.50049,20.29756,20.39024,20.70536,21.00195,21.37268,22.59609,23.68975,24.72780,26.04390,27.17463,28.21268,29.45463,29.69561,29.91804,30.21463,30.34439,30.64097,30.30731,30.06634,29.89951,29.71414,29.28780,29.76975,30.28878,29.99219,29.88097,29.39902,29.45463,29.47317,29.30634,29.41756,29.19512,29.00975,28.56487,28.37951,28.34244,28.50926,28.76878,29.10243,29.62146,30.28878,30.97463,31.75317,33.40292,34.79317,37.81463,40.59512,42.15219,42.74536,42.89365,42.43024,41.61463,40.91024,40.02048,39.40877,39.03804,38.74146,38.09268,37.48097,36.79512,35.62731,34.96000,34.07024,32.77268,34.21853,35.47902,35.57170,33.58829,31.23414,32.55024,34.47804,33.16195
2012,Pennant Hills 132_11kV,02MAY2011,MW,34.73756,35.16390,33.14341,34.07024,35.07121,32.99512,31.45658,29.28780,27.26731,25.56195,24.13463,23.07805,21.96585,21.15024,20.66829,20.05658,20.39024,20.05658,20.07512,20.53853,20.72390,21.52097,22.70731,24.57951,27.67512,30.65951,33.27317,33.88487,34.07024,35.16390,35.86829,36.03512,36.70243,36.27609,36.55414,36.77658,36.85073,36.99902,36.20195,35.96097,35.44195,35.18243,35.16390,35.23804,35.18243,34.83024,34.31121,34.27414,33.88487,34.16292,33.99609,33.75512,33.51414,33.49561,33.66243,33.47707,33.40292,33.49561,32.82829,33.12487,33.05073,33.51414,34.49658,35.27512,36.01658,36.64682,37.70341,38.53756,39.81658,43.35707,45.98926,47.58341,48.25072,49.02926,49.08487,48.30633,47.47219,46.60097,46.00780,45.28487,44.85853,44.06146,43.26438,42.67121,41.18829,39.98341,38.88975,37.75902,38.72292,39.74243,39.77951,37.53658,35.07121,35.77560,36.72097,34.97853
2012,Pennant Hills 132_11kV,03MAY2011,MW,35.73853,35.70146,33.36585,34.49658,35.40487,33.18048,31.43804,29.19512,27.06341,25.39512,23.78244,22.67024,21.85463,21.05756,20.37170,20.11219,20.07512,20.03805,20.44585,20.44585,21.09463,22.07707,22.91122,25.17268,28.06439,31.38243,34.49658,34.97853,34.97853,36.14634,37.22146,37.85170,37.81463,37.12878,36.64682,36.18341,36.73951,36.40585,36.27609,35.86829,35.73853,35.72000,35.27512,35.05268,34.92292,34.71902,34.75609,34.53365,34.51512,34.58926,34.49658,40.92877,53.51511,47.63902,43.31999,39.94634,38.01853,36.68390,35.57170,35.08975,34.96000,35.07121,35.66439,35.55317,35.72000,37.64780,39.11219,40.15024,41.26243,43.83902,46.19316,47.28682,48.23219,48.89951,48.38048,47.97268,47.60194,46.74926,46.15609,45.54438,44.48780,43.96877,43.46829,42.76390,41.65170,40.40975,39.63121,37.90731,38.61170,39.22341,39.09365,36.38731,33.62536,34.40390,35.07121,32.16097
2012,Pennant Hills 132_11kV,04MAY2011,MW,32.99512,32.86536,29.43609,30.54829,31.30829,28.52780,26.45170,24.93170,23.52292,22.16975,21.33561,20.96488,20.55707,20.55707,19.92683,19.74146,20.07512,19.94536,20.16780,20.05658,20.96488,22.20683,23.41170,25.56195,29.19512,32.16097,35.73853,36.46146,35.97951,36.90634,37.64780,37.59219,37.36975,37.07317,36.38731,35.72000,35.12682,34.31121,33.86634,33.31024,33.01365,32.55024,32.12390,31.75317,31.34536,31.60487,31.41951,31.45658,31.36390,31.34536,30.86341,31.10439,30.49268,30.80780,30.64097,30.27024,30.54829,31.16000,31.19707,30.93756,30.65951,30.65951,30.99317,31.77170,32.19804,33.03219,33.66243,34.97853,36.62829,39.50146,42.37463,44.52487,45.13658,46.11902,46.30438,46.34146,46.23024,45.47024,44.54341,43.95024,43.72780,42.80097,41.85560,41.55902,41.05853,39.92780,39.00097,37.14731,37.85170,38.90829,38.70438,36.36878,34.21853,35.18243,36.29463,34.51512
2012,Pennant Hills 132_11kV,05MAY2011,MW,35.83121,35.86829,33.47707,34.55219,35.42341,33.25463,31.45658,29.51024,27.60097,25.80292,24.09756,22.85561,22.13268,21.31707,20.74244,20.52000,20.42731,20.31609,20.53853,20.26048,20.81658,21.83609,23.39317,25.56195,28.54634,31.97561,35.46048,36.10926,35.75707,36.88780,37.38829,37.53658,37.36975,36.35024,35.64585,35.03414,35.12682,34.49658,33.77365,33.08780,32.43902,31.56780,29.69561,29.67707,29.58439,29.12097,29.28780,30.15902,31.80878,31.41951,31.28975,31.69756,31.80878,31.79024,31.45658,31.21561,31.04878,31.08585,31.21561,31.23414,31.40097,31.38243,31.73463,32.29073,32.84682,33.81073,34.83024,36.35024,38.18536,41.42926,45.00682,46.93463,47.56487,48.23219,48.86243,48.60292,48.60292,48.39902,47.45365,47.06438,46.60097,45.97073,45.13658,44.89560,44.13560,42.80097,41.55902,39.74243,40.52097,41.55902,41.20682,38.51902,36.05365,36.85073,37.77756,35.96097
2012,Pennant Hills 132_11kV,06MAY2011,MW,37.38829,37.09170,34.86731,35.75707,36.53560,34.58926,32.47609,30.25170,28.24975,26.34048,24.82048,23.59707,22.59609,22.00292,21.20585,20.94634,20.90927,20.90927,20.90927,20.92780,21.74341,22.70731,24.32000,26.78536,29.76975,33.10634,37.18439,37.98146,37.75902,39.48292,40.70634,40.74341,40.24292,39.27902,38.33365,37.59219,37.14731,36.27609,35.99804,34.84878,33.75512,33.18048,32.68000,32.25365,31.77170,31.40097,31.40097,31.36390,31.30829,31.51219,31.12292,30.93756,30.97463,30.64097,30.54829,30.91902,30.52975,30.34439,30.40000,30.41853,30.15902,30.30731,30.88195,31.62341,32.90243,34.20000,35.66439,37.12878,39.40877,42.59707,45.24780,46.82341,47.54633,48.30633,48.38048,47.91707,47.67609,47.21268,46.52682,46.21170,45.63707,44.89560,44.56194,43.72780,42.59707,41.55902,41.02146,39.87219,40.65073,41.63316,41.41073,39.22341,36.83219,38.14829,39.20487,37.29560
2012,Pennant Hills 132_11kV,07MAY2011,MW,38.27804,38.22243,35.75707,36.68390,36.99902,34.73756,32.92097,30.43707,28.43512,26.39609,25.04292,23.78244,22.68878,22.02146,21.24292,20.79805,20.77951,20.33463,20.13073,20.03805,20.52000,21.02048,21.44683,22.05853,23.22634,24.06048,26.37756,27.58244,28.69463,30.82634,32.79121,34.07024,35.47902,35.96097,36.51707,36.49853,36.25756,35.79414,35.46048,34.86731,34.34829,33.36585,32.60585,32.38341,31.73463,30.91902,30.41853,29.64000,29.56585,29.32487,29.06536,29.06536,28.99122,28.47219,28.36097,28.19414,27.86048,28.00878,27.69365,28.04585,28.17561,28.58341,28.99122,29.52878,30.43707,31.47512,33.40292,35.16390,37.44390,40.87317,43.33853,45.17365,45.98926,45.97073,46.08194,45.39609,44.67316,44.11707,43.39414,42.91219,41.61463,41.28097,40.42829,39.70536,39.01951,38.12975,37.79609,36.64682,37.92585,39.53853,39.48292,37.92585,36.23902,37.48097,38.90829,37.51804
2012,Pennant Hills 132_11kV,08MAY2011,MW,38.68585,38.79707,36.42439,37.51804,38.12975,35.88682,33.69951,31.54926,29.41756,27.48975,25.80292,24.67219,23.59707,22.68878,21.76195,21.46536,20.83512,20.79805,20.79805,20.13073,20.50146,20.35317,20.76097,21.11317,21.83609,22.72585,23.59707,24.61658,25.46926,27.48975,29.26926,31.01170,33.29170,34.70048,35.31219,35.70146,35.81268,35.51609,35.03414,34.58926,34.38536,33.55121,32.69853,31.99414,31.64195,30.95609,30.51122,30.19609,29.65853,28.95414,28.86146,28.45365,28.10146,27.24878,26.95219,27.36000,27.69365,27.76780,28.15707,27.89756,28.41658,28.67609,29.19512,29.93658,30.41853,31.75317,33.47707,35.44195,36.85073,39.89073,43.22731,45.17365,46.48975,46.91609,46.67512,46.08194,45.58146,45.09951,44.54341,44.00585,43.43121,42.94926,42.35609,41.65170,40.59512,39.46438,38.35219,37.09170,37.36975,38.27804,38.92682,36.46146,33.68097,34.84878,36.49853,35.03414
2012,Pennant Hills 132_11kV,09MAY2011,MW,36.33170,36.81365,34.47804,35.57170,36.96195,34.96000,33.29170,31.67902,29.38048,27.61951,25.80292,24.54244,23.44878,22.46634,21.96585,21.44683,21.00195,21.00195,21.00195,21.22439,21.89170,23.00390,24.82048,27.17463,30.65951,34.58926,38.38926,39.42731,39.90926,41.61463,42.54146,43.31999,43.07902,41.52195,40.16877,39.76097,39.39024,39.09365,38.40780,37.81463,37.68487,36.85073,36.18341,35.49756,34.86731,34.14439,33.97756,34.03317,34.18146,34.05170,33.81073,34.94146,35.40487,34.38536,33.84780,33.73658,33.66243,33.69951,33.16195,32.99512,32.68000,33.01365,34.25560,35.99804,37.27707,39.01951,41.29951,43.13463,45.91512,49.69658,52.62536,54.68292,55.36877,56.20292,56.20292,55.94341,55.77658,55.07219,54.27511,53.55219,51.95804,50.91999,50.32682,49.10341,47.49073,45.87804,44.35804,42.26341,42.61560,43.15316,42.52292,39.61268,36.51707,37.33268,38.53756,36.68390
2012,Pennant Hills 132_11kV,10MAY2011,MW,37.94438,37.42536,35.03414,36.27609,37.27707,34.99707,33.05073,30.91902,28.95414,27.11902,25.56195,24.33853,23.46731,22.76292,21.94731,21.81756,21.57658,21.39122,21.63219,21.83609,22.46634,23.54146,25.50634,28.17561,32.04975,35.73853,39.55707,40.74341,40.98438,42.28195,43.46829,43.31999,42.46731,41.16975,40.35414,40.18731,39.53853,38.61170,37.74048,36.73951,35.77560,35.27512,34.51512,33.77365,33.40292,32.80975,32.45756,32.69853,32.56878,32.62439,32.56878,32.36487,32.34634,32.08682,32.17951,32.14243,31.92000,32.08682,31.60487,31.80878,31.80878,32.38341,33.18048,34.47804,35.42341,36.86926,38.35219,40.53951,43.37560,47.52780,50.99414,53.27414,54.40487,55.47999,55.57268,55.59121,55.33170,54.60877,54.16389,53.44097,52.82926,52.29170,51.84682,50.95707,49.51121,47.89853,46.52682,44.63609,44.82146,45.28487,44.39512,41.44780,38.20390,38.64878,39.50146,37.18439
