year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Pymble 33_11kV,01MAY2011,MW,14.91307,14.30473,13.27924,13.76591,13.34876,12.42756,11.92350,11.57588,10.96754,10.49824,10.15062,9.90728,9.61180,9.42061,9.12513,9.19465,9.14251,9.31632,9.10775,9.07299,9.14251,9.07299,9.24680,9.68133,9.71609,10.09848,10.16800,10.22015,10.67206,11.03706,11.61064,11.95827,12.70566,13.07066,13.55734,13.69639,14.26997,14.20044,14.06139,14.11353,14.23520,14.09615,13.80067,13.73115,13.90496,13.64424,13.64424,13.88758,13.76591,13.64424,13.48781,13.62686,13.40091,13.29662,13.17495,13.22709,13.15757,13.27924,13.19233,13.24447,13.34876,13.45305,13.41829,13.64424,13.95710,14.61759,14.96521,15.59094,16.49476,17.83311,18.68479,19.06718,19.20623,19.20623,19.31051,18.70217,18.14597,18.04169,17.86787,17.71144,17.34644,16.77286,16.46000,16.23404,15.83427,15.60832,15.13903,14.73926,15.05212,15.83427,15.78213,15.27808,14.72188,14.79140,14.73926,13.90496
2012,Pymble 33_11kV,02MAY2011,MW,14.42640,13.64424,12.84471,13.64424,13.17495,12.44494,11.88874,11.28040,10.91539,10.61991,10.34181,9.94205,9.68133,9.52490,9.40323,9.29894,9.31632,9.17727,9.43799,9.50752,9.80300,10.25491,10.56777,11.85398,13.52257,14.82616,16.32095,16.85976,17.81573,18.19812,18.96289,19.15408,19.58861,19.57123,19.72766,19.93624,19.60599,20.05791,19.74504,19.64076,19.46694,19.24099,19.06718,18.92813,19.01503,18.96289,18.85860,18.94551,18.49360,18.49360,18.59788,18.44145,18.18074,18.33717,18.70217,18.59788,18.51098,18.54574,18.59788,17.97216,18.02430,18.49360,18.66741,19.10194,18.75432,19.64076,19.90147,20.26648,21.04863,22.19579,22.87366,22.61294,22.40437,22.35222,22.03936,21.86555,21.03125,20.87482,20.38815,19.91886,19.36266,18.99765,18.75432,18.38931,17.81573,17.32906,16.82500,16.26880,16.54690,17.15524,16.98143,16.16452,15.08688,15.71261,15.26069,14.42640
2012,Pymble 33_11kV,03MAY2011,MW,14.82616,13.88758,13.01852,13.73115,13.29662,12.80994,12.02779,11.47159,11.21087,10.88063,10.32443,10.09848,9.80300,9.57704,9.57704,9.45537,9.36847,9.31632,9.31632,9.57704,9.99419,10.25491,10.91539,12.04517,13.67900,15.27808,16.77286,17.03358,18.33717,18.71955,19.22361,19.57123,20.05791,19.74504,19.69290,19.86671,20.00576,19.79719,19.65814,19.93624,19.65814,19.64076,19.22361,19.11932,19.11932,18.59788,18.94551,18.94551,18.70217,18.82384,19.01503,18.96289,19.17146,18.99765,19.13670,19.04980,18.85860,18.52836,18.52836,18.37193,18.31979,18.40669,18.82384,19.67552,19.86671,20.07529,20.57934,20.96173,21.51793,22.45651,22.97795,22.82152,22.87366,22.63032,22.33484,22.28270,21.44840,21.37888,20.78792,20.12743,19.79719,19.43218,19.04980,18.59788,17.92002,17.60716,17.10310,16.47738,16.66857,17.24215,17.15524,16.59905,15.43451,15.71261,15.05212,14.23520
2012,Pymble 33_11kV,04MAY2011,MW,15.06950,14.16568,13.36614,13.85282,13.53996,13.00114,12.32327,11.83660,11.28040,10.77634,10.60253,10.35920,9.90728,9.73347,9.75085,9.75085,9.45537,9.42061,9.52490,9.76823,10.09848,10.70682,11.03706,12.21898,13.80067,15.24331,16.72071,17.62454,18.47622,19.03241,19.31051,19.38004,19.93624,20.11005,19.67552,19.29313,19.17146,19.22361,18.94551,18.63265,18.85860,18.70217,18.40669,18.35455,17.76359,18.02430,17.81573,18.26764,18.14597,17.98954,18.14597,17.95478,17.98954,17.60716,17.76359,17.60716,17.90264,17.65930,17.85049,17.50287,17.38120,17.86787,17.86787,18.28502,18.37193,18.71955,19.08456,19.43218,20.14481,21.27459,22.09151,22.12627,22.03936,21.72650,21.27459,21.53531,20.80530,20.35339,19.83195,19.43218,19.01503,18.73693,18.42407,17.86787,17.50287,17.05096,16.77286,16.07761,16.46000,16.92929,16.98143,16.11237,15.27808,15.81689,15.48665,14.51330
2012,Pymble 33_11kV,05MAY2011,MW,15.01736,14.13092,13.15757,13.66162,13.22709,12.68828,12.16684,11.71493,11.26302,10.88063,10.58515,10.56777,9.99419,9.78562,9.83776,9.62918,9.73347,9.78562,9.78562,10.22015,10.30705,10.81111,11.45421,12.25375,13.80067,15.26069,16.79024,17.65930,18.38931,19.06718,19.32789,19.81457,20.14481,19.95362,19.88409,20.11005,19.60599,19.57123,19.15408,19.10194,18.89336,18.70217,18.54574,18.85860,18.25026,18.25026,18.18074,18.33717,18.12859,18.47622,18.12859,18.18074,18.31979,18.25026,18.33717,18.23288,18.07645,18.07645,18.00692,17.97216,18.21550,18.12859,18.18074,18.52836,18.78908,19.08456,19.31051,20.05791,20.78792,22.07412,23.09962,22.85628,22.76937,22.64770,22.45651,22.17841,21.81341,21.20506,20.73577,20.12743,19.86671,19.74504,19.32789,19.10194,18.45883,18.33717,17.32906,16.96405,17.08572,17.76359,17.52025,16.49476,15.88642,16.25142,15.71261,14.86093
2012,Pymble 33_11kV,06MAY2011,MW,15.36498,14.58283,13.69639,14.28735,13.93972,13.14019,12.70566,12.13208,11.61064,11.29778,10.84587,10.75896,10.46348,10.15062,10.06371,9.99419,9.88990,10.23753,10.13324,10.65468,10.74158,11.26302,11.66279,12.67089,14.46116,15.72999,17.74621,18.49360,19.58861,20.16219,20.97911,20.78792,21.27459,21.22245,21.08340,20.42291,20.38815,19.84933,19.88409,19.76242,19.58861,19.43218,19.62338,19.38004,18.75432,18.71955,18.66741,18.61527,18.33717,18.33717,18.16335,18.19812,18.23288,17.78097,18.12859,17.71144,17.97216,17.92002,17.76359,17.85049,18.18074,18.18074,18.28502,18.51098,18.91075,19.24099,19.72766,20.02314,21.36150,22.56080,23.11700,23.18652,23.03009,22.66509,22.56080,22.19579,21.93507,21.36150,20.85744,20.44029,20.02314,19.79719,19.67552,19.04980,18.38931,18.19812,17.78097,17.22477,17.45073,18.19812,18.04169,17.20739,16.58167,16.92929,16.46000,15.26069
2012,Pymble 33_11kV,07MAY2011,MW,15.99070,14.86093,14.11353,14.72188,14.11353,13.71377,13.05328,12.44494,11.94088,11.50635,11.26302,10.82849,10.67206,10.35920,10.22015,10.08110,10.04633,9.88990,10.04633,10.04633,10.18538,10.41134,10.56777,10.77634,11.31516,11.78445,12.70566,12.67089,13.74853,14.32211,15.06950,15.31284,16.11237,16.46000,16.25142,16.58167,16.39047,16.30357,16.12975,15.92118,15.52141,15.46927,15.06950,14.98259,14.47854,14.42640,14.25258,14.49592,14.37425,14.00925,13.83544,14.06139,13.93972,13.92234,14.11353,13.88758,13.55734,13.71377,13.47043,13.90496,14.07877,14.26997,14.09615,14.40902,14.91307,15.53879,16.49476,17.05096,18.04169,19.34528,19.98838,20.38815,20.66625,20.97911,20.68363,20.05791,19.50171,19.20623,19.11932,18.73693,18.73693,18.44145,18.12859,17.74621,17.46811,16.92929,16.80762,16.51214,16.75548,17.65930,17.45073,16.98143,16.39047,16.82500,16.58167,15.81689
2012,Pymble 33_11kV,08MAY2011,MW,16.18190,15.29546,14.30473,15.10426,14.42640,13.81805,13.17495,12.75780,11.92350,11.31516,11.12397,10.72420,10.46348,10.30705,10.25491,9.97681,9.95943,9.85514,9.97681,9.95943,10.09848,9.95943,10.30705,10.56777,11.08921,11.36730,11.74969,11.99303,12.67089,13.60948,14.37425,15.20855,15.67784,16.18190,16.56428,16.79024,16.91191,17.08572,17.01620,16.47738,16.25142,16.04285,15.79951,15.20855,15.01736,14.79140,14.56545,14.30473,14.30473,13.97449,14.06139,13.62686,13.73115,13.47043,13.33138,13.62686,13.73115,13.80067,13.87020,13.81805,13.92234,14.02663,14.37425,14.84355,15.15641,15.62570,15.81689,16.84238,17.92002,19.46694,20.23172,20.70101,21.10078,21.18768,21.08340,21.17030,20.68363,20.68363,20.37077,20.40553,20.02314,19.72766,19.38004,19.03241,18.54574,17.98954,17.67668,16.77286,16.72071,17.22477,17.24215,16.66857,15.74737,16.09499,15.53879,14.75664
2012,Pymble 33_11kV,09MAY2011,MW,15.57356,14.53068,13.83544,14.42640,14.11353,13.52257,13.07066,12.42756,11.95827,11.43683,11.08921,10.72420,10.67206,10.30705,10.15062,10.15062,10.28967,10.41134,10.16800,10.65468,10.82849,11.29778,11.92350,13.22709,14.87831,16.82500,18.75432,19.76242,20.89220,21.69174,22.09151,22.33484,22.45651,22.45651,21.98722,21.79603,21.51793,21.58745,21.20506,21.04863,20.84006,20.42291,20.26648,20.00576,19.74504,19.31051,19.27575,19.32789,19.38004,19.77981,20.21434,19.98838,19.76242,20.00576,19.65814,19.67552,19.18885,19.27575,19.01503,18.99765,18.98027,19.01503,19.18885,19.91886,20.52720,21.22245,21.88293,22.61294,23.55153,25.18536,25.55036,26.03704,25.84584,26.00228,25.37655,25.23750,24.85512,24.05558,23.60367,23.08223,22.36960,21.93507,21.62221,20.97911,20.52720,19.74504,18.82384,18.18074,18.33717,18.70217,18.35455,17.39858,16.40785,16.63381,15.99070,15.05212
2012,Pymble 33_11kV,10MAY2011,MW,15.48665,14.80878,14.00925,14.82616,14.68711,13.78329,13.20971,12.75780,12.13208,11.81922,11.28040,10.93277,10.70682,10.61991,10.39396,10.28967,10.20276,10.35920,10.35920,10.61991,11.14135,11.76707,12.37541,13.69639,15.69522,17.08572,19.29313,20.26648,21.50054,22.03936,22.64770,22.66509,22.97795,22.71723,22.50865,22.19579,21.77864,21.25721,21.06601,20.75315,20.28386,20.35339,20.21434,19.88409,19.67552,19.60599,19.36266,19.32789,19.31051,19.22361,19.27575,18.96289,19.22361,19.11932,19.24099,18.94551,19.11932,18.92813,19.22361,19.11932,19.08456,19.11932,19.20623,19.58861,20.28386,20.77053,21.53531,21.96984,23.13438,24.19463,25.27227,25.39393,25.88061,25.86323,25.79370,25.42870,25.01155,24.69869,24.47273,23.96868,23.48200,23.03009,22.66509,21.83079,21.20506,20.71839,20.28386,19.27575,19.10194,19.48433,19.01503,18.09383,17.08572,17.29429,16.52952,15.53879
