year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Rathmines 132_11kV Temp,01MAY2011,MW,3.46464,3.05545,2.89636,2.65958,2.62209,2.34363,2.14222,2.04182,3.80705,3.47556,2.64971,2.24040,2.08155,1.96152,1.90719,1.86497,1.83565,1.83989,1.77578,1.85331,1.76573,1.89771,1.98090,2.05539,2.10929,2.15937,2.28999,2.42841,2.60251,2.81883,2.95461,3.24725,3.58061,3.95598,4.16019,4.37108,4.34650,4.45840,4.44405,4.36984,4.30183,4.19505,4.05442,3.94940,3.77843,3.80014,3.79272,3.72325,3.55236,3.34417,3.46971,3.50865,3.38452,3.43806,3.29513,3.24185,3.23782,3.18606,3.04688,2.96942,3.32604,3.28139,3.36084,3.48944,3.64217,3.78207,4.17820,4.58105,4.85878,4.71434,5.13260,5.32786,5.34968,5.30982,5.14225,4.89776,4.68056,4.53562,4.42382,4.42341,4.33184,4.11641,3.96135,3.83913,3.70207,3.47988,3.65929,3.39652,3.28474,3.01646,2.87854,2.66297,3.02194,2.84752,2.63716,2.45092
2012,Rathmines 132_11kV Temp,02MAY2011,MW,2.43361,2.26179,2.37418,2.17254,2.01166,1.84923,1.78438,1.68063,1.64124,1.64277,1.60578,1.59446,1.48934,1.41819,1.44709,1.48601,1.51972,1.54305,1.56001,1.64202,1.67217,1.75487,1.91612,2.08208,2.36010,2.58721,2.86166,3.09020,3.02591,3.26207,3.40556,3.42859,3.39732,3.23864,3.19461,3.14710,3.08000,3.06930,3.01929,3.08178,2.98933,2.92816,2.85391,2.83684,2.94650,2.93169,2.76857,2.81321,2.78991,2.81961,2.85012,2.72362,2.64920,2.73082,2.67975,3.71676,6.83107,10.33898,10.28025,9.31411,8.25592,7.14768,6.28386,5.52652,5.07579,4.88642,4.87494,5.07784,5.20251,4.98236,5.52660,5.76386,5.84514,5.82348,5.72352,5.52574,5.39510,5.40826,5.09730,4.93825,4.69583,4.49948,4.42567,4.28587,4.04127,3.96112,4.23346,4.00976,5.48619,5.08398,5.61443,4.99205,4.96040,4.29378,5.14060,4.67588
2012,Rathmines 132_11kV Temp,03MAY2011,MW,4.15034,3.61712,3.47742,3.20541,3.12949,2.92952,2.61703,2.38843,4.14721,4.01827,3.17681,2.80923,2.42544,2.20671,2.09464,1.98172,2.02388,1.96782,2.00536,2.10157,2.18853,2.27355,2.42633,2.78649,3.07179,3.57177,4.01499,4.41928,3.75280,3.94976,3.94236,3.97412,3.83805,3.63096,3.47425,3.35022,3.12133,3.01339,2.94716,2.84752,2.90012,2.80405,2.78522,2.91996,2.89258,2.89391,2.79307,2.84790,2.81177,2.89824,3.06514,3.04879,3.14346,3.25753,3.13585,3.06628,3.07311,3.02328,2.97540,2.86204,2.91720,2.95823,2.87418,3.04872,3.25201,3.43266,3.66749,4.04933,4.48733,4.91242,5.52071,5.79284,5.87110,5.84993,5.71643,5.57735,5.42664,5.44200,5.24628,5.10190,4.98783,4.78746,4.65849,4.46937,4.23901,4.06831,4.34595,4.17103,5.44984,5.04861,5.59502,5.29316,5.32698,4.79856,5.58836,5.30792
2012,Rathmines 132_11kV Temp,04MAY2011,MW,5.06632,4.54183,4.35879,3.80384,3.65694,3.31402,3.02587,2.84151,4.51118,4.68397,4.23039,3.84105,3.41792,2.99126,2.74700,2.50216,2.46768,2.41894,2.34608,2.45268,2.40561,2.50235,2.59579,2.95258,3.18482,3.63329,4.15330,4.61117,3.84565,3.94389,3.94511,3.87079,3.72611,3.71038,3.64347,3.39987,3.15123,2.97568,2.85744,2.82009,2.78125,2.78493,2.85263,2.74994,2.78379,2.87255,2.84174,2.89560,2.95467,3.01078,3.21407,3.19018,3.14542,2.99388,2.74023,2.65867,2.81268,2.77355,2.86709,2.92300,2.95410,2.69902,2.91156,3.11777,3.29670,3.44213,3.53973,3.84448,4.28326,4.74268,5.22876,5.57508,5.72558,5.72348,5.62392,5.46726,5.43189,5.36304,5.14987,4.91739,4.80265,4.65630,4.51827,4.50720,4.39579,4.22254,4.34593,4.12136,5.41375,5.07168,5.63272,5.41441,5.44366,4.92702,5.79519,5.54205
2012,Rathmines 132_11kV Temp,05MAY2011,MW,5.27497,4.66840,4.32064,3.89737,3.56668,3.21590,2.98068,2.71594,4.46040,4.52978,4.16415,3.68343,3.23289,2.92118,2.61701,2.37911,2.24612,2.26958,2.19411,2.20287,2.31188,2.45232,2.58302,2.78520,3.26213,3.65522,3.97857,4.47864,3.75843,3.95502,3.92741,3.90621,3.74134,3.61888,4.04618,4.22896,4.05851,3.96549,3.85623,3.83041,3.75803,3.65483,3.60921,3.55692,3.51240,3.54044,3.46144,3.42703,3.43564,3.39780,3.48138,3.45230,3.42445,3.36737,3.32499,3.49205,3.44195,3.42908,2.97115,2.50970,2.67683,3.32671,2.88673,3.03914,3.18488,3.31399,3.47435,3.82008,4.28973,4.85371,5.23427,5.47741,5.63838,5.76833,5.63532,5.50593,5.35730,5.34711,5.15275,5.03051,4.88601,4.67288,4.53206,4.42297,4.19083,4.06007,4.37983,4.21222,5.48849,5.06176,5.62949,5.29932,5.40801,4.85022,5.81490,5.38979
2012,Rathmines 132_11kV Temp,06MAY2011,MW,5.09241,4.45549,4.20926,3.73975,3.62074,3.29992,3.02021,2.76113,4.46133,4.57806,4.20158,3.75477,3.27190,2.94174,2.61703,2.43844,2.31569,2.20051,2.15360,2.12351,2.34226,2.52849,2.63483,2.85431,3.12357,3.63713,4.07520,4.47544,3.81313,4.03153,4.03973,4.02038,3.84329,3.79166,3.66727,3.42879,3.33299,3.22122,3.15736,2.94426,2.80250,2.81580,2.86647,2.82524,2.75619,2.80954,2.76728,2.71945,2.70824,2.71582,2.57769,2.47791,2.45987,2.50927,2.45720,2.44751,2.55041,2.54582,2.59086,2.59243,2.61358,2.70326,2.80128,2.92845,3.15986,3.38306,3.57558,3.95881,4.38910,4.73029,5.19057,5.41581,5.44812,5.44184,5.41063,5.32105,5.29694,5.27470,5.11824,5.02029,4.89784,4.80128,4.69153,4.60619,4.45401,4.34759,4.55556,4.35644,5.67701,5.29294,5.84223,5.63336,5.76506,5.14344,5.96390,5.67205
2012,Rathmines 132_11kV Temp,07MAY2011,MW,5.29330,4.60801,4.32333,3.86355,3.66917,3.28893,2.91506,2.74515,4.52031,4.57752,4.10614,3.69925,3.37820,3.03928,2.73561,2.54213,2.41672,2.25183,2.28318,2.14697,2.17320,2.20477,2.24267,2.32130,2.48569,2.66758,2.90116,3.13387,3.48891,3.86123,4.16421,4.50126,4.71828,4.66527,4.73522,4.70388,4.68976,4.61262,4.44073,4.29915,4.27532,3.99170,3.84403,3.70212,3.55595,3.50965,3.52750,3.30852,3.17942,3.14515,3.14893,3.04610,2.89115,3.02779,3.02688,2.92898,2.92803,2.89595,2.96479,3.00743,3.06417,3.06014,3.12293,3.27266,3.54342,3.67797,3.98970,4.58437,4.88274,4.67008,4.95198,5.30238,5.36242,5.36608,5.25113,5.13680,5.12143,5.10824,4.90291,4.67278,4.48976,4.44918,4.30975,4.16673,4.12434,4.02101,4.14480,4.02467,5.33517,4.78161,5.34488,4.75380,4.60937,4.04977,4.83717,4.25383
2012,Rathmines 132_11kV Temp,08MAY2011,MW,3.81277,3.26747,3.26632,2.86675,2.72280,2.61296,2.37847,2.21774,4.02443,3.65200,2.96503,2.56410,2.28407,2.19043,1.99591,1.96632,2.00201,1.94447,1.92296,1.87951,1.83884,1.93886,1.87562,1.91049,2.17353,2.29520,2.53320,2.81690,3.14305,3.42320,3.72678,3.91659,4.17566,4.54705,4.69415,4.78767,4.69355,4.58338,4.63848,4.56067,4.43512,4.30461,4.16899,4.11427,4.06859,3.70154,3.64476,3.58490,3.43966,3.24729,2.99108,2.92876,2.82106,2.91348,2.78754,2.66545,2.62801,2.62341,2.65977,2.85556,2.82250,3.08063,3.28762,3.38699,3.41147,3.63436,3.94942,4.31626,4.67000,4.63559,5.08256,5.29965,5.37372,5.36892,5.22021,5.15171,5.09248,5.17177,4.94205,4.79506,4.61835,4.51721,4.37930,4.24342,4.10067,3.91613,4.09110,3.88322,5.20385,4.65093,5.16514,4.29884,4.12680,3.61987,4.49063,3.79005
2012,Rathmines 132_11kV Temp,09MAY2011,MW,3.40645,3.01869,2.89433,2.54009,2.52089,2.32611,2.16738,2.08843,3.84427,3.42137,2.72546,2.37051,2.12845,2.02277,1.91857,1.88803,1.84245,1.90628,1.93919,2.10423,2.27374,2.52496,2.62886,2.86915,3.35031,3.82851,4.28086,4.76698,4.15991,4.34421,4.27917,4.22626,4.04071,3.83899,3.74076,3.55727,3.32357,3.20380,3.15548,3.09396,3.00623,3.07065,3.08777,2.95713,2.97161,2.96243,3.03726,3.31333,3.46602,3.33242,3.22894,3.21425,3.26751,3.37187,3.38740,3.43069,3.47040,3.51285,3.47443,3.51940,3.74065,3.94087,4.06130,4.02215,4.22300,4.58160,4.89719,5.59008,6.09383,6.67796,7.06967,7.52349,7.51982,7.42911,7.11743,6.87396,6.79373,6.80742,6.47202,6.21909,5.92589,5.70005,5.55235,5.32841,5.11475,4.88833,5.03982,4.73310,5.95300,5.50096,5.94824,5.68356,5.75385,5.27670,6.09101,5.86428
2012,Rathmines 132_11kV Temp,10MAY2011,MW,5.63119,5.10615,4.66039,4.16266,3.91626,3.43894,3.17787,2.86319,4.73703,4.71372,4.35234,3.85963,3.46252,3.07859,2.74534,2.59986,2.44470,2.44792,2.39336,2.44021,2.51539,2.76660,2.85268,3.14789,3.51509,4.16365,4.65781,5.36461,4.78565,5.13478,5.30733,5.25483,5.04444,4.83751,4.38793,4.01931,3.76439,3.58057,3.51813,3.35259,3.31229,3.27370,3.11046,3.01450,3.06792,3.16933,3.05249,2.97706,2.89299,2.85429,2.86682,2.83951,2.81680,2.80432,2.84970,2.87443,2.85683,2.92581,2.76474,2.81798,2.98070,2.97367,3.04155,3.28316,3.53561,3.75516,4.09480,4.51467,5.24524,5.98846,6.57161,7.03494,7.25807,7.31961,7.24072,7.04653,7.01703,6.99742,6.75599,6.53860,6.24375,6.13875,6.01890,5.82838,5.46727,5.33122,5.39542,4.95719,6.26941,5.78937,6.29911,5.93670,5.88174,5.40487,6.21668,5.94178
