year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Rothbury 132_11kV,01MAY2011,MW,3.24511,3.00720,3.01662,3.15154,2.98342,2.88192,2.88023,2.87978,2.85630,2.84236,2.76012,2.75948,2.74299,2.76988,2.64847,2.56065,2.60238,2.69593,2.63213,2.60968,2.82615,2.69586,2.68561,2.77124,2.68750,2.86192,2.90137,3.04841,3.21221,3.13486,3.15117,3.44382,3.59580,3.72022,3.63429,3.77656,4.20009,4.17114,4.10402,4.04593,4.24356,4.23312,4.19135,4.27060,4.08653,4.15914,4.32838,4.12716,4.08726,4.25040,4.44869,4.31037,4.28084,4.28241,4.36751,4.44446,4.22867,4.26962,4.26794,4.39434,4.24689,4.23782,4.22649,4.18985,4.21329,4.08624,3.81853,3.84252,3.84889,3.94089,3.95560,3.96487,4.23920,4.08995,3.86645,3.78909,3.82715,3.87923,3.72976,3.66830,3.83581,3.72960,3.54766,3.48839,3.46820,3.45117,3.32654,3.36543,3.18815,3.18334,3.13164,3.01084,3.00038,3.04178,2.91537,2.89817
2012,Rothbury 132_11kV,02MAY2011,MW,2.77969,2.79774,2.79262,2.63481,2.73125,2.67082,2.50091,2.59325,2.50371,2.58446,2.74516,2.52068,2.47957,2.57184,2.55671,2.54574,2.66965,2.57484,2.69448,2.78155,2.65146,2.69210,2.75318,2.77557,3.03674,2.97751,3.11691,3.32346,3.50032,3.60856,3.62359,3.61885,3.83594,3.95146,4.17244,4.23548,4.22020,4.36293,4.32627,4.38967,4.30529,4.46607,4.41678,4.54539,4.61580,4.45597,4.43541,4.34819,4.36699,4.38798,4.41755,4.34238,4.33866,4.46359,4.29786,4.33095,4.32157,4.36643,4.40132,4.30165,4.50599,4.21562,4.36138,4.15432,4.15766,4.09489,4.26434,4.09177,4.02147,4.02801,4.06820,4.08261,4.14551,4.13308,4.26147,4.16643,4.09943,3.99303,4.03501,3.82213,3.69146,3.73868,3.76632,3.61713,3.53608,3.59213,3.59747,3.42084,3.36798,3.33424,3.26220,3.31867,3.53577,3.30573,3.27771,3.20434
2012,Rothbury 132_11kV,03MAY2011,MW,3.33096,3.36315,3.20082,2.97821,3.11492,2.96900,2.82412,2.79646,2.81140,2.76940,2.67901,2.69832,2.69349,2.64723,2.68132,2.65050,2.71018,2.67643,2.62681,2.64946,2.73748,2.77766,2.89416,3.02752,3.00929,3.14371,3.16291,3.24792,3.38205,3.52060,3.62533,3.78923,3.99079,3.87218,4.00067,4.19145,4.20173,4.08206,4.42198,4.50754,4.29742,4.23842,4.38986,4.38971,4.39423,4.43163,4.48847,4.26384,4.25639,4.25661,4.25953,4.34485,4.16884,4.36168,4.36856,4.17052,4.21757,4.22447,4.22538,4.13703,4.41367,4.24964,3.97825,4.07062,3.98541,3.95101,3.89256,4.08059,3.95727,3.91076,3.93413,4.07936,4.08404,4.03265,4.05979,4.11401,3.88667,3.82671,3.76769,3.69797,3.67123,3.78860,3.68384,3.63226,3.60780,3.60117,3.59012,3.46340,3.42466,3.31162,3.23327,3.19991,3.41932,3.48094,3.43820,3.12580
2012,Rothbury 132_11kV,04MAY2011,MW,3.29227,3.23967,3.22146,3.13107,3.05157,2.98023,2.87525,2.76703,2.77995,2.78077,2.83414,2.81477,2.65878,2.67794,2.56894,2.58255,2.70241,2.66288,2.76013,2.80353,2.77122,2.71859,2.79759,2.90555,3.01103,3.13347,3.15524,3.20686,3.28309,3.64440,3.58286,3.71920,3.81140,3.70676,3.75493,4.05426,4.26073,4.31079,4.12142,3.94144,3.97085,3.95634,3.93431,4.15174,4.29596,4.20822,4.37469,4.37419,4.35108,4.53313,4.36215,4.20307,4.23200,4.16060,4.23873,4.35003,4.22057,4.28094,4.33135,4.23486,4.19857,4.49702,4.32385,4.17754,4.14986,3.98234,3.99247,4.04604,4.13837,3.87139,3.96888,4.03197,4.14103,4.18753,4.23497,4.13193,3.96499,4.01703,4.00340,3.99843,3.85224,3.88645,3.92050,3.87659,3.74176,3.73994,3.62358,3.51477,3.50786,3.51435,3.30308,3.23305,3.49898,3.43879,3.21630,3.10860
2012,Rothbury 132_11kV,05MAY2011,MW,3.27490,3.31094,3.27497,3.16592,2.96566,2.88799,2.85984,2.85064,2.69829,2.72953,2.70016,2.76792,2.71367,2.74323,2.70873,2.69753,2.63037,2.75422,2.74819,2.80749,2.82604,2.87481,2.99300,2.95024,3.00950,3.19385,3.25771,3.53374,3.49720,3.57673,3.85305,3.84205,3.96566,4.06867,4.07645,4.11457,4.10943,4.31416,4.44366,4.34866,4.27035,4.21659,4.09814,4.25343,4.25696,4.24183,4.35614,4.30162,4.21184,4.23900,4.49990,4.46642,4.38441,4.42352,4.40246,4.47328,4.25831,4.39252,4.26989,4.23413,4.17434,4.12530,4.11712,3.94851,3.96900,4.10570,3.95715,3.90863,3.93061,3.88746,3.87964,3.96782,4.02210,4.20791,4.32092,4.12057,3.97503,4.08797,4.09497,4.00369,4.03795,4.02017,3.90058,3.71494,3.73639,3.71666,3.65123,3.68760,3.56088,3.47312,3.43262,3.58148,3.70866,3.48139,3.40975,3.28412
2012,Rothbury 132_11kV,06MAY2011,MW,3.38526,3.29675,3.30068,3.19802,3.50438,3.12749,2.90479,2.87379,2.77122,2.77507,2.77268,2.77461,2.67568,2.69623,2.82910,2.63370,2.72921,2.69567,2.64684,2.65759,2.82126,2.82143,3.02468,3.03334,2.96546,3.20566,3.16269,3.25950,3.51715,3.56744,3.88090,3.88850,3.90963,4.05237,4.17971,4.26329,4.26930,4.37704,4.43439,4.28178,4.31394,4.29357,4.22433,4.34691,4.29165,4.24919,4.53989,4.41028,4.38386,4.26419,4.28036,4.46199,4.50931,4.43879,4.33832,4.31972,4.41415,4.30643,4.38579,4.44464,4.29755,4.34215,4.08968,4.01137,4.00902,3.97896,4.20448,4.22308,4.17447,4.13909,4.22077,4.29910,4.46599,4.70146,4.51083,4.56770,4.43583,4.37076,4.24253,4.34894,4.32042,4.38936,4.05337,4.04752,4.04490,4.14313,4.12274,4.02128,4.04705,4.01617,3.69469,3.58426,3.93990,3.86611,3.66845,3.54919
2012,Rothbury 132_11kV,07MAY2011,MW,3.65594,3.59545,3.51178,3.20029,3.25050,3.18636,3.04658,2.98087,2.93756,2.90221,2.94059,3.02373,2.85156,2.79623,2.76701,2.77552,2.80114,2.77749,2.80442,2.80002,2.85489,2.91081,2.93521,3.05815,2.95000,3.04355,3.16286,3.24339,3.34109,3.48804,3.72237,3.67317,3.76443,3.94984,3.86918,4.02465,4.07217,4.11114,4.12746,4.05831,4.08026,4.11632,4.05602,4.09359,4.07699,4.05009,4.06542,4.19324,4.13272,4.14781,4.05037,3.99521,4.08085,3.89204,3.94219,4.22989,4.14093,4.06763,3.95907,3.95839,3.97054,3.97651,4.02467,4.18087,4.01083,3.96895,3.98485,4.01796,4.21645,4.24907,4.46966,4.78070,4.62924,4.66118,4.64267,4.61232,4.51536,4.51580,4.37532,4.32489,4.37255,4.42999,4.40131,4.27927,4.10444,4.00549,3.91359,3.88027,3.86530,3.75260,3.60269,3.39169,3.37311,3.28785,3.27696,3.23925
2012,Rothbury 132_11kV,08MAY2011,MW,3.14237,3.30441,3.02423,3.01524,2.97883,2.86957,2.88919,2.71367,2.78081,2.73493,2.77356,2.70151,2.68216,2.67392,2.69654,2.64890,2.69061,2.69938,2.63547,2.66678,2.79380,2.79715,2.73558,2.75302,2.91820,2.88639,3.01391,3.12205,3.13023,3.32337,3.49180,3.55810,3.82107,3.88600,3.83990,3.94315,4.06874,4.29191,4.32017,4.23767,4.18919,4.09138,3.99079,4.16296,3.99095,4.03748,4.14668,4.01865,3.83458,3.94912,3.88294,3.92771,3.96858,4.05148,3.82625,3.77900,3.84624,3.73844,3.81574,3.89694,3.86989,3.72003,3.63712,3.76627,3.68700,3.67080,3.75350,3.67544,3.73406,3.71344,3.78637,3.83220,3.99032,3.93199,4.02411,3.99081,4.08810,3.91327,3.83740,3.79964,3.75945,3.75473,3.69866,3.52680,3.41595,3.43268,3.48834,3.35992,3.32106,3.17117,3.07286,3.15328,3.06407,2.92733,2.87603,2.91532
2012,Rothbury 132_11kV,09MAY2011,MW,2.82106,2.67183,2.72772,2.71830,2.72442,2.71209,2.67002,2.52804,2.51292,2.63187,2.57288,2.64842,2.78945,2.62091,2.63094,2.54395,2.58861,2.70121,2.61652,2.61388,2.72351,2.78671,2.77721,2.76396,2.99241,3.04214,3.12627,3.31366,3.27408,3.30403,3.54439,3.59073,3.60245,3.58404,3.71436,3.79088,3.83155,3.88176,3.99448,4.01514,3.96123,3.87893,3.98743,3.95331,3.93882,3.92502,3.95597,4.03726,4.15992,4.09720,4.07938,3.93650,4.11894,4.04604,4.15037,3.96948,4.14144,4.09944,3.94298,3.88482,3.92081,3.97511,3.87585,3.93282,3.82856,3.83359,3.79712,3.92732,4.02987,4.01979,3.91775,3.97233,4.02419,3.95938,3.90990,3.97326,4.08485,4.07213,3.92243,3.83554,3.78554,3.69091,3.64484,3.54947,3.66253,3.69310,3.50028,3.48347,3.40296,3.28943,3.20953,3.09748,3.52366,3.51141,3.27872,3.13060
2012,Rothbury 132_11kV,10MAY2011,MW,3.28155,3.23292,3.21567,3.16889,2.95130,3.03083,2.82120,2.81167,2.77839,2.64188,2.79575,2.67844,2.69193,2.69355,2.67167,2.63683,2.59843,2.70048,2.72032,2.67893,2.77587,2.83307,2.95692,2.95482,2.97677,3.06909,3.25125,3.29301,3.45100,3.66071,3.82393,3.87401,3.80746,3.92120,3.89971,3.91029,4.04328,4.11045,4.30957,4.11706,4.02576,4.04232,3.99587,3.92211,3.95481,3.95234,3.99881,3.93738,4.00475,3.91150,3.87700,3.91640,3.91496,4.17767,4.18776,3.94993,3.89866,3.89143,4.05450,3.81749,3.94376,3.90531,3.77035,3.77096,3.69993,3.63970,3.63697,3.72841,3.79908,3.71974,3.89781,3.83516,3.75411,3.93402,3.94017,4.02202,3.96549,3.87718,3.83131,3.86555,3.78913,3.66306,3.71213,3.75936,3.66137,3.65108,3.68784,3.71062,3.53529,3.43823,3.30784,3.17777,3.41573,3.48053,3.27408,3.11990
