year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Shortland 33_11kV,01MAY2011,MW,9.85584,9.22122,9.27320,10.11747,9.17036,8.54788,8.18883,7.88928,8.44557,8.24221,7.90665,7.66103,7.51465,7.32720,7.35186,7.31579,7.48603,7.58521,7.42454,7.38447,7.40790,7.55721,7.53836,7.88920,8.08099,8.09591,7.86137,8.01490,8.36388,8.51973,9.04564,9.06592,9.41648,9.69421,10.19210,10.60514,10.65777,10.83001,10.98982,10.93658,11.04962,11.18712,10.96045,11.02750,11.00114,10.91501,11.12510,11.13405,11.00005,10.77533,10.81011,10.70108,10.62538,10.59834,10.49928,10.40427,10.48731,10.62856,10.48704,10.18033,10.30373,10.31329,10.53724,10.62556,10.87063,11.11405,11.36277,11.23161,11.49039,11.95106,12.79233,12.59090,12.88264,12.91995,12.55404,12.03796,11.90993,12.21855,11.88907,11.57963,11.33231,11.20343,11.00711,10.66167,10.78754,10.38098,12.50512,11.96710,11.19812,10.55813,10.66614,10.00422,10.62035,10.24307,9.57202,9.67688
2012,Shortland 33_11kV,02MAY2011,MW,9.77906,9.37838,9.31415,9.95552,9.24933,8.54320,8.23243,8.40025,8.13092,7.96605,7.69185,7.75464,7.71102,7.54608,7.64249,7.57758,7.56206,7.77296,7.79513,7.97024,8.30967,8.60689,8.76259,8.93852,9.97258,10.24872,10.48787,10.44628,10.76367,11.52376,11.81843,12.00567,12.14759,12.21285,12.60429,12.63009,12.71978,12.80865,12.89219,13.00166,12.95359,12.76289,12.79998,12.68884,12.90440,12.84495,12.86361,12.85185,12.98241,13.02098,12.92599,12.96117,12.70094,12.57840,12.81277,12.79766,12.94421,12.94650,12.83346,12.72907,12.57123,12.51020,12.60425,12.62384,12.92474,13.09737,13.34079,13.53248,14.02438,14.58329,15.01218,14.59210,14.68758,14.73590,14.47897,14.22360,13.83593,14.17761,13.60541,13.18466,12.76003,12.40696,12.13873,11.98871,11.66209,11.50801,11.37745,11.21808,13.35201,13.13142,12.48327,11.56425,11.37095,10.77386,11.17522,11.53737
2012,Shortland 33_11kV,03MAY2011,MW,11.66921,11.16934,10.93285,11.00322,10.64212,10.10584,9.84713,10.30263,9.83269,9.38654,8.91558,8.51573,8.37872,8.18348,7.99207,7.86942,7.88001,7.95706,8.08800,8.11790,8.43401,8.70440,8.83881,9.13395,9.73793,10.30543,10.52797,10.36082,10.83975,11.64104,12.88905,13.05362,13.10583,13.09670,13.04953,12.84200,12.94006,13.03542,12.96693,13.12289,13.41855,13.40270,13.35391,13.20635,13.28771,13.43436,13.64889,13.83648,13.85451,13.79063,13.53219,13.38165,13.67463,13.60577,13.56312,13.60237,13.61116,13.69552,13.52739,13.55360,13.37033,13.29389,13.33284,13.62228,13.07439,13.16323,13.63363,13.81323,13.99142,14.55937,15.01961,14.54979,14.61425,14.67108,14.16137,14.16100,13.91583,14.13588,13.52183,13.08966,12.63687,12.38836,12.27207,11.99334,12.00370,11.86871,11.78885,11.66426,13.75290,13.44799,12.77814,11.78747,11.46208,10.82861,11.24620,11.61563
2012,Shortland 33_11kV,04MAY2011,MW,11.80478,11.29505,10.93757,11.02074,10.67599,10.16870,9.91301,10.25649,9.85508,9.60956,9.24442,8.88444,8.58110,8.52206,8.09413,7.95280,7.95723,7.99010,8.01364,8.03846,8.22654,8.60074,8.97828,9.30754,10.10910,10.60622,10.90825,10.53080,10.91972,11.52422,12.02336,12.24929,12.52038,12.52820,12.73358,12.56548,12.61602,12.51816,12.36385,12.45608,12.69486,12.77256,12.90282,12.75868,12.81197,12.80199,12.97148,13.07809,13.12199,13.19446,13.03475,13.15719,13.10186,12.97352,12.84114,12.72555,12.67906,12.88005,12.91981,12.74376,12.55076,12.74874,12.86041,12.96453,12.92044,12.88111,12.95410,13.22443,13.86307,14.53643,15.09364,14.74664,14.71414,14.87809,14.82371,14.46047,14.16431,14.57045,13.94365,13.60423,13.16711,12.79175,12.54459,12.33926,12.05159,12.00939,12.02748,11.81654,14.10732,13.73255,12.95909,12.04667,11.50882,10.93092,11.17361,11.53954
2012,Shortland 33_11kV,05MAY2011,MW,11.73675,11.27439,10.94655,11.16689,10.96822,10.51434,10.18746,10.56202,9.91850,9.55603,9.17420,8.87012,8.73276,8.51640,8.35489,8.26844,8.37411,8.23225,8.29017,8.39268,8.54883,8.87451,9.04388,9.20240,10.03970,10.67408,10.94384,10.66505,11.16840,11.84282,12.00990,12.01441,12.22837,12.34215,12.47286,12.45616,12.23011,12.32381,12.31408,12.30419,12.41801,12.54058,12.65920,12.69867,12.61595,12.55997,12.49144,12.45127,12.72652,12.70490,12.51958,12.36669,12.43451,12.38901,12.27098,12.29714,12.46575,12.37860,12.43071,11.99602,11.93917,11.85733,12.06319,12.11917,12.19962,12.37254,12.53291,12.58568,13.35034,14.13968,14.55443,14.21903,14.40737,14.20385,14.13726,13.79070,13.73797,14.23002,13.54528,13.14526,12.92011,12.73118,12.33904,12.07641,11.86660,11.65427,11.66824,11.47936,13.72639,13.42218,12.84212,12.09745,11.76385,11.00775,11.31630,11.78802
2012,Shortland 33_11kV,06MAY2011,MW,11.86194,11.41921,11.04137,11.34080,11.02061,10.51983,10.26426,10.40563,10.02568,9.60684,9.06157,8.75207,8.38725,8.32989,8.21943,8.11433,8.12369,8.18593,8.26278,8.25378,8.38979,8.57002,8.99315,9.22480,10.02813,10.50906,10.61518,10.35145,11.25672,11.91393,12.27060,12.25834,12.37494,12.60760,12.82752,12.67294,12.43190,12.29196,12.42587,12.59979,12.61909,12.55878,12.44279,12.50985,12.37285,12.39690,12.32988,12.35962,12.43948,12.29819,12.35468,12.19133,12.30423,12.14417,12.30750,12.25004,12.32049,12.46776,12.45685,12.21320,11.98941,11.73053,12.02404,11.96794,12.16784,12.38208,12.55368,12.61289,13.21705,13.99588,14.34034,13.98487,14.17164,14.18170,13.97702,13.73350,13.37118,13.35596,12.84034,12.26935,12.09413,12.07981,11.87852,11.72410,11.76145,11.41838,11.45221,11.43844,13.65666,13.40136,12.77954,11.96078,11.74627,11.12268,11.33923,11.66960
2012,Shortland 33_11kV,07MAY2011,MW,11.77644,11.55329,11.44229,11.60817,11.20361,10.59545,9.82181,9.25954,10.07734,9.81696,9.36348,8.80358,8.56699,8.19528,8.02918,7.86988,7.86068,7.92542,7.81122,7.77626,7.94460,8.00423,8.07118,8.12263,8.40367,8.63887,8.64416,8.99302,9.52005,9.88709,10.43217,10.66896,11.22162,11.57383,11.68323,11.88608,11.72431,11.57779,11.38958,11.41302,11.42392,11.46683,11.36609,11.05229,10.83636,10.83282,10.88510,10.90388,10.83056,10.84413,10.84914,10.69290,10.71479,10.59839,10.43585,10.13476,10.23828,10.35845,10.29126,10.10436,10.29628,10.56595,10.52640,10.43257,10.59597,10.91640,11.33189,11.47469,11.87341,12.62470,13.24101,12.88924,12.92540,13.02926,12.76877,12.42111,12.38462,12.64646,12.22713,11.96439,11.62506,11.57128,11.52420,11.20328,11.16381,10.75961,12.55928,12.12728,11.54757,10.93432,11.28424,10.68875,11.31317,10.98414,10.37694,10.41310
2012,Shortland 33_11kV,08MAY2011,MW,10.56636,9.99604,9.94767,10.53109,9.81691,9.26100,8.83945,8.43883,8.91699,8.58820,8.06877,7.86081,7.78178,7.74399,7.72399,7.77901,7.56758,7.63966,7.72503,7.61387,7.60192,7.80197,7.95232,8.01760,8.26717,8.54441,8.56458,8.66527,9.09976,9.39637,10.02843,10.13681,10.38702,10.66249,10.97984,11.20395,11.46728,11.44560,11.44868,11.41361,11.46280,11.44122,11.14400,11.13905,11.00590,10.84678,10.62561,10.48128,10.30423,10.30153,10.37210,10.34834,10.12897,10.10304,10.03847,9.89783,9.83505,10.02803,9.98854,9.76654,9.80072,9.87496,10.24804,10.47322,10.79693,11.00438,11.28049,11.13649,11.72855,12.54114,13.01548,12.85236,12.80933,12.90801,12.74095,12.53895,12.43696,12.82885,12.20275,11.85432,11.88844,11.89334,11.71797,11.39295,11.26695,11.01399,12.87040,12.37929,11.62153,11.11387,11.18473,10.68233,11.19195,10.79134,9.85344,9.84539
2012,Shortland 33_11kV,09MAY2011,MW,9.96857,9.54258,9.43184,10.13473,9.51975,9.09392,8.71883,8.65981,8.46073,8.22872,7.98073,7.94015,8.01227,7.92176,7.80286,7.69333,7.82967,8.06083,8.06572,8.25162,8.68465,8.93459,9.21309,9.42919,10.24841,10.80124,11.13567,10.82820,11.56956,12.07802,12.37291,12.58273,13.00503,13.32521,13.22766,12.90223,12.95246,12.83090,12.98988,12.96047,12.94765,12.96931,12.82206,12.68126,12.93050,12.93341,12.81048,12.97337,13.14716,13.15425,13.14213,13.28022,13.40292,13.45524,13.30797,13.19536,13.49439,13.64272,13.36491,13.19315,13.50255,13.81221,14.12431,14.33832,14.61180,14.92990,15.50271,16.25561,16.60647,17.42259,17.86012,17.06352,17.17199,17.13182,17.04417,16.46013,16.03120,16.33529,15.82518,15.27903,14.90798,14.43032,14.05890,13.78712,13.41382,13.04731,13.02175,12.64179,14.85749,14.38544,13.64445,12.85190,12.63113,11.88670,11.91798,12.22575
2012,Shortland 33_11kV,10MAY2011,MW,12.43218,11.93817,11.73137,11.85003,11.62068,11.12257,10.56987,10.98831,10.61057,10.17385,9.74123,9.45286,9.16086,9.15781,8.77852,8.45736,8.50534,8.59508,8.72082,8.72078,9.05134,9.42531,9.74686,9.97210,10.77185,11.47490,11.81421,11.67588,12.44230,13.10753,13.68796,13.97284,14.04190,14.04974,13.96664,13.80317,13.99753,14.26500,14.48941,14.49723,14.45758,14.49719,14.23757,13.91632,13.79106,13.75251,13.99693,13.85480,13.87304,13.78406,13.72245,13.61738,13.31827,13.01754,12.98383,12.95020,12.99007,13.09244,13.15914,12.98587,12.80231,12.93786,13.14826,13.17951,13.06974,13.20614,13.65579,14.19023,14.95824,16.10695,16.62552,16.18145,16.21740,16.42287,16.12696,16.01156,15.70985,16.12159,15.46154,15.06863,14.81508,14.72033,14.47842,14.20989,13.92979,13.41466,13.22138,13.01639,15.25177,14.72634,14.02018,13.11017,12.72438,12.23990,12.36540,12.56580
