year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Balgowlah North 132_11kV,01MAY2012,MW,10.63815,10.05248,9.47667,9.59385,11.06269,10.63215,10.13162,9.64344,9.29106,8.91427,8.69691,8.41849,8.28144,8.04815,7.81362,7.88759,7.75569,7.75569,7.75569,7.83377,8.26226,8.83693,9.30073,10.03886,11.28617,12.68505,14.10626,15.20733,15.38458,16.11626,16.36002,16.06232,16.05048,15.83759,15.77267,15.31983,15.13701,14.81244,14.66381,14.74519,14.31522,14.10578,14.14652,13.98724,13.98724,13.95865,14.16188,13.95760,13.99287,13.94299,13.69771,13.68771,13.61926,13.43045,13.43045,13.43045,13.48878,13.61909,13.42550,13.54067,13.41920,13.32546,13.40796,13.54953,13.95279,14.26069,14.68850,15.10077,16.06551,17.40580,19.03654,20.22778,20.71554,21.14370,21.31850,21.30425,20.79137,20.41564,19.97550,19.41668,19.14491,19.28678,19.80202,18.58707,17.70391,16.91985,16.53467,15.57072,15.86030,16.14150,14.90693,13.80234,13.52591,12.31208,11.94128,11.03664
2013,Balgowlah North 132_11kV,02MAY2012,MW,10.48796,9.92730,9.48630,9.32264,10.60713,10.34257,9.86887,9.57583,9.24211,8.68446,8.55995,8.46266,8.24499,8.07959,7.95529,7.67133,7.67133,7.67133,7.67133,7.67133,8.03193,8.50229,9.03119,9.57178,10.92649,12.39525,13.81958,14.95418,15.03456,15.60731,15.80635,15.76451,15.88480,15.70823,15.30271,14.77923,14.65658,14.41848,14.20201,14.16598,14.06847,13.83034,13.64257,13.68795,13.78110,13.63292,13.63292,13.63292,13.50677,13.60711,13.49207,13.49367,13.40293,13.47074,13.41890,13.48272,13.61605,13.62516,13.58793,13.58793,13.46751,13.62167,13.89825,14.22908,14.33659,14.44774,15.16934,15.89953,16.88199,18.34063,19.21527,19.98440,20.46740,20.90818,20.81225,20.61746,20.25887,19.87686,19.28244,19.01039,18.80342,18.76796,19.15079,18.03693,17.24025,16.52909,16.06178,15.05539,15.27960,15.20150,14.23899,13.18305,13.10285,11.86100,11.48540,10.81636
2013,Balgowlah North 132_11kV,03MAY2012,MW,10.22012,9.58354,9.02079,9.17165,10.49465,10.24003,9.75380,9.35894,8.83162,8.58329,8.30966,8.07064,7.99371,7.76694,7.57342,7.45199,7.59304,7.69799,7.46886,7.65116,7.99263,8.30457,8.81141,9.38881,10.36535,11.86572,13.31719,14.31762,14.46901,15.23828,15.35212,15.22864,15.16863,15.46472,15.18215,14.81762,14.58285,14.55081,14.57798,14.26049,14.24652,14.05318,14.04044,13.91078,14.00974,13.82308,13.80161,13.60043,13.49026,13.51459,13.73978,13.74401,13.80052,13.69479,13.69479,13.69479,13.54322,13.68354,13.41965,13.44620,13.38298,13.61590,13.66744,13.77053,14.12140,14.46258,14.70464,15.22812,15.87817,17.28902,19.03931,20.04758,20.56209,20.94678,21.10741,21.18381,20.47631,20.18765,19.70233,19.19374,18.93495,18.98789,19.52634,18.61386,17.46583,16.54958,16.25011,15.46620,15.66944,15.76423,14.83333,13.80123,13.55850,12.35263,11.91002,11.14594
2013,Balgowlah North 132_11kV,04MAY2012,MW,10.64725,9.93392,9.50481,9.32772,10.78711,10.33403,9.83783,9.35952,8.85892,8.46006,8.31093,8.11564,8.07396,7.79506,7.79506,7.79506,7.79506,7.79506,7.64598,7.80069,8.07147,8.47383,8.97902,9.49209,10.96595,12.38741,13.79003,15.13557,15.37163,16.01336,16.32689,16.40346,16.38067,16.13600,15.94209,15.62345,15.59199,15.71650,15.62534,15.38747,15.15993,14.89816,15.17922,14.90960,14.74101,14.38980,14.21156,14.09739,13.99565,13.76790,13.74538,13.74973,13.57610,13.52606,13.59073,13.48287,13.43821,13.46580,13.36734,13.35331,13.21297,13.46420,13.55200,13.66869,14.07988,14.46008,14.90520,15.45922,16.27957,17.82298,19.33167,20.19874,20.78011,20.92185,20.84307,20.76645,20.44518,20.14998,19.76352,19.31222,19.04671,19.03837,19.73383,18.45994,17.71147,16.77621,16.59510,15.80145,16.01767,16.23487,15.33514,14.39915,14.27819,13.05300,12.65866,11.79520
2013,Balgowlah North 132_11kV,05MAY2012,MW,11.29072,10.55106,9.99883,10.10575,11.43696,10.98631,10.50136,9.86909,9.46611,9.12215,8.67167,8.47558,8.47558,8.19493,8.08099,7.85693,8.06858,7.87020,8.16626,8.16626,8.28354,8.45309,8.61914,8.84880,9.47849,10.10293,10.80186,11.44198,12.28460,13.25149,14.11097,14.88833,15.56774,16.05481,16.11879,16.28601,16.14691,16.07584,15.86008,15.79936,15.57888,15.57888,15.57888,15.47593,15.12629,15.00521,14.91009,14.67339,14.86881,14.56794,14.86317,15.03798,15.02804,15.02265,14.86331,14.71838,14.71838,14.45740,14.42030,14.42030,14.48307,14.41468,14.41468,14.41468,15.03062,15.41701,15.89207,16.72989,17.69681,19.42493,20.90469,21.49580,21.24285,21.34764,20.87815,20.22117,19.71613,19.25437,18.93374,18.50668,18.08531,18.11343,18.78814,17.69886,17.03428,16.13692,15.95307,15.31983,15.61043,15.48962,14.27565,13.41245,13.65007,12.55064,12.40086,11.72914
2013,Balgowlah North 132_11kV,06MAY2012,MW,11.27779,10.77912,10.24471,10.15305,11.82143,11.32959,10.86403,10.44685,9.96028,9.48793,9.28841,9.06454,8.88587,8.55995,8.28088,8.25624,8.25624,8.18450,7.97378,8.23375,8.23375,8.35268,8.52620,8.58681,8.93834,9.29221,9.79798,10.44919,11.05236,11.95449,12.79262,13.40076,14.15936,15.11275,15.67318,15.84000,15.79145,16.23635,16.23930,15.99396,15.73598,15.57325,15.38543,15.34862,15.18375,14.95597,14.95861,14.75340,14.47192,14.32762,14.06036,13.74539,13.76754,13.81434,13.78356,13.69479,13.59400,13.67692,13.67805,13.81881,13.82732,13.93769,14.04842,14.32852,14.69299,14.84176,15.52563,16.44269,17.42895,19.36124,21.14150,22.11449,22.47217,22.62095,22.55944,22.40471,21.72285,21.34327,20.87852,20.51192,20.08277,19.91353,20.72527,19.73326,18.49173,17.38754,16.76675,15.68383,15.56335,15.22910,13.87910,12.80218,12.83413,11.89963,11.59803,10.93682
2013,Balgowlah North 132_11kV,07MAY2012,MW,10.67200,10.05640,9.69405,9.76148,11.16955,10.90179,10.48703,10.00925,9.55954,9.24256,8.96476,8.77366,8.52221,8.48683,8.24876,8.20000,8.20000,8.20000,8.20000,8.23613,8.60429,8.99225,9.33774,10.25442,11.54438,13.05883,14.84848,16.17575,16.71164,17.77858,18.16347,18.28374,18.21632,18.18175,17.86439,17.50976,17.06519,16.85044,16.92481,16.74754,16.47684,16.19927,16.14691,15.88247,15.82634,15.82634,15.64859,15.54003,15.53878,15.29272,15.17227,14.98418,14.78533,14.68907,14.25964,14.34292,14.20079,14.28830,14.21578,14.14007,14.40905,14.20972,14.49904,14.89689,15.38237,15.92008,16.84888,17.61333,18.63595,20.14947,21.90486,23.10821,23.76280,24.46798,24.56063,24.47065,24.13549,23.92287,23.48754,23.13310,22.41247,22.55521,22.99800,21.62768,20.50423,19.57275,18.88939,17.99445,18.06918,17.69968,16.42698,15.22293,14.71376,13.21765,12.92546,12.07061
2013,Balgowlah North 132_11kV,08MAY2012,MW,11.51757,10.79401,10.16937,10.23993,11.67291,11.25134,10.74411,10.31818,9.92129,9.41650,9.25067,9.01550,8.82800,8.72305,8.60584,8.41372,8.41372,8.41372,8.41372,8.49917,8.89247,9.20215,10.00716,10.90151,12.06113,13.89573,15.61551,17.00522,17.31054,17.88898,18.08162,17.95896,17.57185,17.42971,16.94542,16.54716,16.28102,15.84105,15.45687,15.09376,14.79665,14.67483,14.36477,14.31907,14.03677,13.78459,13.82194,13.63907,13.40291,13.36186,13.44251,13.21167,13.45295,13.52554,13.46420,13.46420,13.46420,13.59513,13.44170,13.69316,13.55260,13.35733,13.55998,13.97423,14.41581,14.70826,15.23160,15.98729,16.98268,18.86674,20.46661,21.59642,22.26871,22.77520,22.86686,22.64726,22.48200,22.31210,21.95707,21.56142,21.06196,21.13860,21.64972,20.30389,19.44254,18.45616,17.84539,16.79035,17.11539,17.00011,15.81987,14.52400,14.36327,13.05437,12.56242,11.74496
2013,Balgowlah North 132_11kV,09MAY2012,MW,11.14788,10.55284,9.88471,9.82309,11.15268,10.96655,10.64163,10.17187,9.55229,9.19397,8.90511,8.81303,8.68969,8.52620,8.29865,8.23937,8.23937,8.23937,8.23937,8.47073,8.56627,8.92242,9.44732,10.42056,11.92988,13.46974,15.10202,16.37701,16.54308,16.87507,17.35248,17.43382,17.16062,16.79369,16.25341,15.66886,15.31054,15.17992,14.97380,14.88724,14.58480,14.29657,14.15336,14.00172,13.85356,13.73456,13.72522,13.63108,13.68354,13.68354,13.45087,13.39108,13.39108,13.26338,13.39108,13.39108,13.39108,13.56152,13.40076,13.67228,13.39473,13.58417,13.70041,13.84713,14.15801,14.36906,14.89323,15.41725,16.42088,18.12722,19.57600,20.35095,20.91639,21.29840,21.16606,21.31865,21.12997,20.72734,20.19819,19.82177,19.41834,19.46341,20.20980,18.71733,18.08534,17.17270,16.80011,15.73161,15.79146,15.74834,14.63904,13.68763,13.48662,12.33666,11.85846,10.95686
2013,Balgowlah North 132_11kV,10MAY2012,MW,10.49470,9.91876,9.28394,9.42181,10.93350,10.51377,10.40258,9.84287,9.31358,8.92422,8.72867,8.48438,8.33522,8.11564,7.96594,7.81756,7.81756,7.81756,7.81756,7.89022,8.32601,8.66420,9.13658,9.76061,11.07232,12.56439,14.17807,15.11295,15.19670,16.01868,16.06255,16.03093,15.77261,15.44872,15.40269,14.90640,14.80274,14.77658,14.50466,14.50466,14.41383,14.25095,14.39949,14.12785,14.08725,14.08124,14.09973,13.87532,13.87583,13.77353,13.77353,13.77353,13.77353,13.85186,13.95462,14.03797,13.94965,14.08902,14.04348,13.88183,13.59143,13.57859,13.88092,13.82414,14.06646,14.51754,14.95960,15.52658,16.23453,17.77856,19.17865,20.02027,20.38254,20.85805,20.89212,20.64735,20.28011,19.65972,19.13330,18.63830,18.40107,18.59370,19.01478,17.98076,17.12131,16.17758,15.80573,15.13193,15.20445,15.56204,14.79448,13.83206,13.56010,12.24573,12.01269,11.14033
