year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Bankstown 132_11kV,01MAY2012,MW,7.49443,7.38845,6.97967,7.22191,6.94939,6.63144,6.48004,6.38920,6.07125,5.87443,5.91985,5.55648,5.55648,5.55648,5.84415,5.61704,5.58676,5.88957,6.02583,6.02583,6.16209,6.43462,6.90396,7.57014,8.38771,9.02360,9.79576,10.56791,11.82455,12.36960,13.21746,13.55054,13.86849,14.08045,14.09559,14.35298,14.23186,14.11073,14.09559,14.38326,14.27728,14.39840,14.41354,14.56494,14.56494,14.67092,14.70120,14.29242,13.80793,13.59596,13.45970,14.29242,14.32270,13.88363,14.59522,14.65578,14.65578,14.65578,14.62550,14.45896,14.23186,13.91391,13.09634,12.88437,12.64213,12.41502,11.67315,11.99110,11.70343,11.96082,12.02138,11.99110,11.58231,11.58231,11.17352,10.55277,10.84044,10.77987,10.17426,10.18940,9.97744,9.75034,9.84118,9.64435,9.44753,9.12958,8.94790,8.87220,8.69052,8.69052,8.82678,8.93276,8.73594,8.31201,8.23631,7.90322
2013,Bankstown 132_11kV,02MAY2012,MW,7.72154,7.08565,7.05537,7.05537,7.05537,6.70714,6.61630,6.41948,6.26807,6.08639,5.93499,5.93499,5.78358,5.45050,5.45050,5.45050,5.48078,5.48078,5.63218,5.96527,6.10153,6.37405,6.96453,7.38845,8.26659,8.88734,9.52323,10.49221,11.61259,12.38474,13.06606,13.29316,13.39914,13.39914,14.53466,14.33784,14.03503,14.00475,14.00475,14.00475,13.89877,14.00475,14.18644,14.26214,14.27728,14.24700,14.41354,13.89877,13.62625,13.44456,13.65653,13.98961,14.01989,14.23186,14.08045,14.20158,14.23186,14.14101,14.39840,14.21672,14.00475,13.91391,13.70195,13.30830,12.47558,12.17278,12.32418,12.23334,11.85483,11.85483,11.49147,11.49147,11.08268,11.00698,11.00698,10.82529,10.49221,10.49221,10.29539,10.05314,9.68977,9.38697,9.34155,9.34155,8.88734,9.12958,8.79650,8.72080,8.62996,8.50883,8.43313,8.59967,8.32715,7.85780,8.00920,7.53986
2013,Bankstown 132_11kV,03MAY2012,MW,7.44901,7.04023,6.64658,7.13107,6.88882,6.64658,6.60116,6.05611,5.75330,5.69274,5.69274,5.69274,5.69274,5.69274,5.69274,5.69274,5.78358,5.79872,5.88957,6.23779,6.23779,6.31349,6.87368,7.31275,8.13033,8.84192,9.52323,10.09856,11.23408,12.17278,12.94493,13.14176,13.44456,13.71709,13.70195,14.17130,14.14101,14.11073,14.06531,14.24700,14.27728,14.35298,14.39840,14.35298,14.21672,14.41354,14.47410,14.54980,13.97447,13.91391,13.70195,14.05017,14.20158,14.27728,14.47410,14.20158,14.30756,14.47410,14.73149,14.33784,14.29242,13.97447,13.38400,13.12662,12.52101,12.38474,11.96082,11.96082,11.64287,11.55203,11.55203,11.55203,11.55203,11.34006,11.37034,11.03726,10.97670,10.91614,10.70417,10.62847,10.32567,10.21968,9.81090,9.81090,9.40211,9.26585,8.79650,8.79650,8.79650,8.79650,8.56939,8.78136,8.41799,8.13033,8.05463,7.72154
2013,Bankstown 132_11kV,04MAY2012,MW,7.57014,7.16135,6.94939,7.19163,7.07051,6.75256,6.69200,6.20751,6.01069,5.76844,6.16209,5.70788,5.66246,5.66246,5.66246,5.66246,5.69274,5.69274,5.91985,6.07125,6.55574,6.84340,7.16135,7.73668,8.84192,9.28099,9.90174,10.55277,11.68829,12.47558,13.24774,13.61111,13.70195,14.14101,14.20158,14.09559,14.03503,14.08045,14.14101,14.14101,13.58082,14.15615,14.23186,14.36812,14.21672,13.86849,14.11073,13.86849,13.44456,13.12662,12.86923,12.91465,12.52101,12.89951,12.64213,12.39988,12.39988,12.38474,11.88511,11.88511,11.86997,11.61259,11.44605,11.44605,11.44605,11.34006,11.24922,11.02212,10.62847,10.43165,10.47707,10.52249,10.35595,10.05314,9.65949,9.55351,9.20529,9.20529,8.81164,8.56939,8.31201,8.31201,8.31201,8.31201,7.99406,7.84266,7.49443,7.49443,7.53986,7.63070,7.66098,7.97892,7.49443,6.99481,7.19163,7.02509
2013,Bankstown 132_11kV,05MAY2012,MW,7.02509,6.49518,6.22265,6.48004,6.31349,6.23779,5.82900,5.61704,5.51106,5.14769,5.14769,5.14769,5.14769,5.14769,4.95087,4.63292,4.82975,4.90545,5.04171,5.04171,5.04171,5.22339,5.48078,5.55648,5.76844,6.28321,6.41948,6.43462,6.70714,7.05537,7.13107,7.35817,7.76696,8.00920,8.20603,8.20603,8.20603,8.20603,8.20603,8.20603,8.29687,8.55425,8.38771,8.20603,8.20603,8.17575,8.47855,8.99332,7.73668,7.37331,7.32789,7.31275,7.25219,7.25219,7.87294,6.78284,6.78284,6.78284,6.78284,6.78284,6.78284,6.67686,6.26807,6.26807,6.26807,6.26807,6.14695,6.29835,6.29835,6.32863,6.84340,6.84340,6.84340,6.84340,6.84340,6.84340,6.60116,6.40434,6.40434,6.40434,6.40434,6.40434,6.40434,6.40434,6.40434,5.93499,5.88957,5.88957,5.88957,5.88957,6.08639,6.57088,6.57088,6.35891,6.40434,6.40434
2013,Bankstown 132_11kV,06MAY2012,MW,6.37405,5.88957,5.88957,5.88957,5.88957,5.43536,5.34452,5.34452,4.87517,4.84489,4.55722,4.33012,4.33012,4.33012,3.87591,4.05759,3.95161,4.05759,4.05759,4.05759,4.05759,3.93647,4.05759,4.05759,4.05759,4.05759,4.05759,4.05759,4.05759,4.05759,4.51180,4.60264,4.60264,4.60264,4.96601,5.14769,5.14769,5.14769,5.63218,5.51106,5.75330,5.75330,5.75330,5.75330,5.75330,5.75330,5.75330,5.75330,5.75330,5.75330,5.75330,5.54134,5.28396,5.28396,5.16283,5.17797,5.17797,5.17797,5.17797,5.17797,5.17797,5.17797,5.17797,5.17797,5.31424,5.58676,5.58676,5.75330,5.99555,6.10153,6.41948,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.57088,6.11667,6.13181,6.61630,6.72228,6.54060,6.75256,6.40434,6.76770,6.69200
2013,Bankstown 132_11kV,07MAY2012,MW,6.29835,6.29835,5.85929,5.93499,6.17723,5.72302,5.72302,5.43536,5.20825,5.02657,4.76919,4.76919,4.76919,4.76919,4.76919,4.63292,4.36040,4.40582,4.87517,5.42022,5.85929,6.43462,6.94939,7.25219,8.08491,8.73594,9.17501,10.44679,11.55203,12.52101,13.44456,13.97447,14.36812,14.50438,14.89803,15.26139,14.98887,14.98887,15.14027,15.27654,15.27654,15.42794,15.33710,15.60962,15.23111,15.48850,15.10999,15.00401,14.50438,14.08045,14.09559,14.23186,14.35298,14.44382,14.50438,14.06531,14.06531,14.06531,13.97447,13.79279,13.79279,13.67167,13.27802,12.62699,12.64213,12.44530,12.17278,11.88511,11.56717,11.74885,11.46119,11.71857,11.46119,11.49147,11.47633,11.46119,11.11296,10.68903,10.62847,10.55277,10.20454,10.02286,9.81090,9.70491,9.34155,9.34155,9.34155,9.06902,8.88734,9.08416,9.11444,9.23557,8.76622,8.53911,8.59967,8.11519
2013,Bankstown 132_11kV,08MAY2012,MW,7.79724,7.69126,7.35817,7.35817,7.35817,6.93424,6.70714,6.37405,6.35891,5.88957,6.25293,5.90471,5.88957,5.79872,5.48078,5.60190,5.67760,5.73816,5.99555,5.99555,6.04097,6.66172,7.34303,7.70640,8.58453,9.47781,10.17426,10.61333,12.05166,12.64213,13.41428,13.89877,14.08045,14.38326,14.58008,14.58008,14.47410,14.44382,14.58008,14.74663,14.62550,14.77691,14.61036,14.59522,14.77691,14.71635,14.58008,14.65578,14.20158,13.97447,13.94419,14.01989,14.11073,14.09559,14.11073,14.06531,14.08045,14.14101,14.03503,14.03503,13.83821,13.26288,13.35372,12.92979,12.43016,12.39988,11.82455,12.09708,11.79427,11.79427,11.79427,11.80941,11.56717,11.37034,11.11296,10.84044,10.84044,10.68903,10.08342,9.94716,9.88660,9.64435,9.61407,9.61407,9.17501,9.06902,9.06902,8.94790,8.87220,8.88734,8.87220,8.90248,8.58453,8.25145,8.40285,7.91836
2013,Bankstown 132_11kV,09MAY2012,MW,7.72154,7.31275,6.88882,7.07051,7.02509,6.96453,6.61630,6.40434,6.20751,5.84415,5.96527,5.75330,5.75330,5.66246,5.55648,5.75330,5.52620,5.52620,5.57162,6.29835,6.29835,6.75256,7.32789,7.76696,8.82678,9.62921,10.23482,11.12810,12.39988,13.15690,13.82307,13.97447,14.20158,14.20158,14.56494,14.54980,14.42868,14.39840,14.27728,14.54980,14.54980,14.65578,14.53466,14.65578,14.35298,14.32270,14.64064,14.47410,13.79279,13.50512,13.73223,13.89877,13.95933,14.26214,14.36812,14.39840,14.47410,14.36812,14.30756,14.12587,13.94419,13.80793,13.45970,13.38400,12.74811,12.47558,12.29390,12.14250,11.70343,11.61259,11.61259,11.55203,11.20380,11.15838,10.79501,10.74959,10.35595,10.28025,9.91688,9.91688,9.75034,9.47781,9.47781,9.41725,9.06902,9.06902,9.00846,8.66024,8.66024,8.66024,8.59967,8.75108,8.46341,7.94864,8.02434,7.70640
2013,Bankstown 132_11kV,10MAY2012,MW,7.32789,6.96453,6.91910,6.91910,6.91910,6.66172,6.58602,6.04097,5.99555,5.99555,5.99555,5.79872,5.52620,5.52620,5.52620,5.52620,5.52620,5.52620,5.84415,6.14695,6.49518,6.44976,6.81312,7.63070,8.62996,9.08416,9.58379,10.34081,11.38549,12.65727,13.36886,13.52026,13.79279,13.86849,14.11073,14.21672,14.21672,14.01989,14.27728,14.20158,14.38326,14.51952,14.48924,14.42868,14.77691,14.71635,14.53466,14.68606,14.03503,14.11073,14.32270,14.61036,14.61036,14.70120,14.51952,14.98887,14.77691,14.91317,14.80719,14.73149,14.39840,14.21672,13.56568,13.33858,13.00549,12.80867,12.36960,12.35446,11.91539,11.96082,11.99110,11.96082,11.59745,11.44605,11.40063,10.99184,10.64361,10.49221,10.49221,10.20454,10.08342,10.08342,9.68977,9.34155,9.17501,9.25071,8.99332,8.96304,8.73594,9.09930,8.43313,8.88734,8.40285,7.85780,7.75182,7.38845
