year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Beacon Hill 33_11kV,01MAY2012,MW,8.75313,8.27472,7.90262,8.94803,8.85944,8.38103,8.25700,7.84946,7.56596,7.47737,7.26474,7.05211,6.91036,6.96352,6.87493,6.78633,6.99896,7.05211,7.01668,7.10527,7.56596,7.74315,8.34559,9.39101,10.52501,11.60587,12.20831,12.20831,13.21828,13.80301,14.05107,14.40545,14.56492,14.38773,14.22826,14.24598,14.06879,14.15738,14.08651,14.01563,14.29914,14.28142,14.01563,14.12195,14.05107,14.21054,13.90932,14.12195,14.17510,13.92704,14.15738,14.17510,14.06879,14.13967,14.01563,14.15738,14.37001,14.12195,14.12195,14.15738,14.28142,14.28142,14.22826,14.13967,13.98020,13.99792,14.03335,14.10423,14.22826,14.56492,15.34455,15.18508,14.33457,14.31685,13.53722,13.34232,12.95250,12.63356,12.47409,12.10199,11.72990,12.52725,12.08428,11.58815,11.18061,10.66677,10.38326,10.20607,11.42868,10.96799,10.34783,10.50730,9.67451,9.16066,9.03663,8.54050
2013,Beacon Hill 33_11kV,02MAY2012,MW,8.36331,8.11525,7.77859,8.69997,8.55822,8.29244,7.88490,7.54824,7.26474,6.99896,7.03440,6.73317,6.83949,6.94580,6.71546,6.78633,6.78633,6.94580,6.94580,7.08755,7.58368,7.88490,8.22156,9.17838,10.24151,11.14518,12.17287,12.50953,13.11197,13.87388,14.01563,14.29914,14.45861,14.22826,14.44089,14.37001,14.54720,14.61808,14.45861,14.51176,14.51176,14.63579,14.60036,14.44089,14.51176,14.67123,14.54720,14.70667,14.84842,14.86614,14.68895,14.51176,14.58264,14.84842,14.97245,14.93702,14.35229,14.54720,14.49404,14.49404,14.54720,14.12195,14.44089,14.35229,14.24598,14.31685,14.44089,14.44089,14.75983,15.23824,15.50402,15.29139,14.56492,14.44089,13.80301,13.43091,13.14741,12.66900,12.27918,12.35006,11.78306,12.68672,12.03112,11.67674,10.77308,10.57817,10.24151,10.11748,10.96799,10.57817,10.02889,10.13520,9.42644,9.08979,8.85944,8.59366
2013,Beacon Hill 33_11kV,03MAY2012,MW,8.13297,8.06209,7.65456,8.57594,8.59366,8.15068,8.04437,7.56596,7.31790,7.21158,6.89264,6.75089,6.83949,6.62686,6.57370,6.52055,6.73317,6.82177,7.03440,6.96352,7.37105,7.92034,8.22156,8.91260,10.01117,10.48958,11.83621,12.03112,12.31462,13.85616,13.94476,14.33457,14.52948,14.60036,14.70667,14.70667,14.81298,14.86614,14.67123,14.88386,14.65351,14.45861,14.81298,14.65351,14.52948,14.90158,14.58264,14.81298,15.23824,15.13192,14.91930,14.72439,14.72439,14.63579,14.51176,14.01563,14.12195,14.35229,14.31685,14.17510,14.58264,14.49404,14.65351,14.65351,14.49404,14.35229,13.43091,13.94476,14.19282,14.33457,14.99017,14.44089,13.94476,14.13967,13.44863,13.32460,12.79303,12.49181,12.26146,12.10199,11.76534,12.89934,12.06656,11.67674,10.93255,10.47186,10.13520,10.01117,10.87939,10.75536,10.27695,10.33011,9.70995,9.21382,9.14294,8.62909
2013,Beacon Hill 33_11kV,04MAY2012,MW,8.32787,8.16840,7.84946,8.87716,8.85944,8.27472,7.84946,7.74315,7.22930,7.10527,6.87493,6.71546,6.82177,6.85721,6.62686,6.66230,7.05211,6.73317,6.99896,7.01668,7.53052,7.84946,8.06209,9.23154,10.50730,11.12746,12.26146,12.84619,13.89160,14.26370,14.38773,14.90158,14.83070,14.56492,14.54720,14.91930,14.28142,14.01563,14.22826,14.01563,14.08651,13.92704,13.89160,14.19282,13.83845,13.82073,13.64354,13.96248,13.87388,13.67898,13.53722,13.66126,13.80301,13.69669,13.66126,13.71441,13.90932,13.82073,13.71441,13.57266,13.87388,13.62582,13.64354,13.82073,13.69669,13.37775,13.71441,13.53722,13.80301,13.98020,14.35229,14.33457,13.92704,13.74985,13.32460,13.16513,12.81075,12.36778,11.90709,12.03112,11.60587,12.56269,12.10199,11.62359,11.07430,10.68448,10.43642,9.90485,11.25149,11.14518,10.54273,10.56045,10.02889,9.46188,9.39101,8.96575
2013,Beacon Hill 33_11kV,05MAY2012,MW,8.59366,8.27472,7.86718,8.91260,8.84172,8.54050,8.07981,7.83174,7.22930,7.12299,6.94580,6.82177,6.78633,6.68002,6.53827,6.57370,6.62686,6.68002,6.60914,6.68002,6.68002,6.69774,6.85721,7.05211,7.63684,8.04437,8.16840,8.91260,9.42644,9.60363,9.88713,10.22379,10.18836,10.57817,10.40098,10.45414,10.29467,10.27695,10.29467,10.24151,10.13520,9.94029,9.86942,9.86942,9.62135,9.70995,9.60363,9.74538,9.63907,9.60363,9.49732,9.92257,9.92257,9.85170,9.47960,9.46188,9.42644,9.33785,9.60363,9.55048,9.44416,9.46188,9.49732,9.55048,9.58591,9.60363,9.92257,10.17064,10.68448,11.60587,12.20831,12.17287,12.04884,11.88937,11.67674,11.55271,11.19833,10.96799,10.79080,10.66677,10.27695,11.41096,10.82624,10.57817,9.94029,9.76310,9.47960,9.16066,10.50730,9.79854,9.23154,9.62135,8.85944,8.69997,8.61138,8.27472
2013,Beacon Hill 33_11kV,06MAY2012,MW,8.11525,7.79631,7.53052,8.64681,8.45191,8.43419,8.11525,7.74315,7.60140,7.03440,7.10527,6.71546,6.68002,6.50283,6.41423,6.52055,6.34336,6.36108,6.37880,6.52055,6.44967,6.50283,6.64458,6.75089,6.92808,7.08755,7.37105,7.61912,8.18612,8.69997,8.98347,9.17838,9.55048,9.70995,9.97573,9.97573,9.92257,10.25923,9.97573,9.72766,9.62135,9.72766,9.46188,9.33785,9.14294,9.39101,9.21382,9.16066,9.44416,9.21382,9.08979,9.12522,8.96575,9.16066,9.03663,8.98347,9.01891,8.85944,8.89488,8.94803,8.94803,9.17838,9.32013,9.56820,9.72766,9.76310,10.34783,10.45414,11.12746,12.17287,12.84619,12.77531,13.05881,12.79303,12.38550,12.10199,11.80077,11.62359,11.35780,11.26921,11.00342,12.10199,11.28693,10.87939,10.40098,10.13520,9.97573,9.37329,10.70220,9.97573,9.33785,9.60363,8.91260,8.50506,8.38103,8.22156
2013,Beacon Hill 33_11kV,07MAY2012,MW,8.00893,7.76087,7.63684,8.69997,8.64681,8.31015,7.93806,7.77859,7.63684,7.37105,7.26474,6.96352,7.01668,7.12299,6.99896,6.91036,7.06983,7.14071,7.26474,7.35334,8.06209,8.15068,8.59366,9.85170,11.14518,12.01340,13.05881,13.69669,14.29914,15.18508,15.41543,15.98243,15.98243,15.69893,15.78752,15.71665,15.13192,15.29139,15.39771,15.46858,14.70667,14.42317,14.37001,14.26370,14.31685,14.06879,14.05107,14.29914,14.12195,13.74985,14.17510,13.96248,13.87388,13.83845,13.87388,13.94476,13.82073,13.67898,13.64354,13.59038,13.53722,13.66126,13.71441,13.80301,13.78529,14.17510,14.38773,14.67123,14.99017,15.53946,15.94699,15.92927,15.66349,15.39771,14.90158,14.56492,14.17510,14.03335,13.74985,13.21828,13.07653,14.08651,13.23600,12.86391,12.04884,11.67674,11.37552,11.03886,12.15515,11.71218,10.95027,10.98571,10.20607,9.70995,9.55048,9.39101
2013,Beacon Hill 33_11kV,08MAY2012,MW,8.91260,8.62909,8.29244,9.08979,9.17838,8.69997,8.48734,8.22156,7.88490,7.54824,7.60140,7.47737,7.30018,7.21158,7.21158,7.10527,7.26474,7.19387,7.38877,7.44193,7.95578,8.23928,8.77085,9.99345,11.35780,12.27918,13.16513,13.55494,14.51176,14.81298,15.16736,15.23824,15.32683,14.75983,14.88386,14.60036,14.19282,14.13967,14.22826,14.28142,14.45861,14.17510,14.22826,14.28142,14.03335,14.21054,14.17510,14.12195,14.35229,13.98020,14.44089,14.24598,13.85616,13.74985,13.69669,13.50179,13.59038,13.67898,13.64354,14.05107,14.29914,14.06879,14.15738,14.01563,14.05107,13.98020,14.26370,14.17510,14.31685,14.88386,15.61033,15.34455,14.58264,14.49404,14.05107,13.87388,13.44863,13.27144,12.84619,12.65128,12.52725,13.46635,12.58040,12.20831,11.55271,11.21605,11.00342,10.47186,11.85393,11.41096,10.48958,10.66677,9.95801,9.44416,9.32013,8.89488
2013,Beacon Hill 33_11kV,09MAY2012,MW,8.78856,8.27472,7.97350,9.17838,9.00119,8.61138,8.22156,7.84946,7.67227,7.42421,7.40649,7.42421,7.30018,7.10527,6.91036,6.96352,6.99896,6.99896,7.15843,7.33562,7.83174,7.84946,8.48734,9.62135,10.96799,11.71218,12.61584,13.05881,13.73213,13.83845,14.19282,14.40545,14.49404,14.40545,14.61808,14.60036,14.24598,14.44089,14.24598,14.28142,14.45861,14.60036,14.67123,14.56492,14.44089,14.44089,14.22826,14.37001,14.72439,14.61808,14.51176,14.81298,14.63579,14.70667,14.49404,14.70667,14.74211,14.65351,14.68895,14.60036,14.47632,14.70667,14.54720,14.40545,14.19282,14.31685,14.17510,14.17510,14.17510,15.00789,15.07877,14.75983,14.10423,14.24598,13.69669,13.48407,13.11197,12.89934,12.47409,12.15515,11.96024,12.63356,12.19059,11.60587,10.93255,10.59589,10.45414,9.90485,11.03886,10.80852,10.17064,10.41870,9.63907,9.17838,8.93032,8.68225
2013,Beacon Hill 33_11kV,10MAY2012,MW,8.46962,7.93806,7.72543,8.59366,8.80628,8.39875,7.84946,7.76087,7.53052,7.10527,7.12299,6.92808,6.92808,7.01668,6.92808,6.68002,6.94580,6.94580,7.10527,7.10527,7.56596,7.68999,8.22156,9.17838,10.34783,10.80852,11.67674,12.89934,14.15738,14.33457,14.99017,14.91930,15.11420,15.29139,15.22052,15.07877,15.02561,15.27367,15.23824,15.41543,15.55718,15.39771,15.80524,15.98243,15.71665,15.94699,16.05331,16.03559,16.30137,16.30137,16.28365,16.03559,16.12418,16.14190,16.40768,15.89384,16.15962,16.05331,15.96471,15.73437,15.84068,15.73437,15.84068,15.91155,15.64577,15.62805,15.45086,15.50402,15.76980,16.14190,14.15738,14.97245,14.24598,13.98020,13.37775,13.14741,13.21828,12.63356,12.20831,12.10199,11.65902,12.50953,11.83621,11.57043,10.61361,10.71992,10.61361,10.17064,11.02114,10.87939,10.08204,10.66677,9.60363,9.17838,9.14294,8.62909
