year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Blakehurst 33_11kV,01MAY2012,MW,8.94403,8.59651,8.39532,7.99293,7.81002,7.33447,6.91379,6.45653,6.03585,5.70662,5.45056,5.34081,5.13962,5.13962,5.13962,4.84697,4.93842,4.93842,5.15791,5.15791,5.17620,5.43227,5.85295,6.14559,6.74918,7.15157,7.71857,8.61481,8.94403,9.52933,9.69394,9.73052,9.60249,9.38300,9.43788,9.25497,8.85258,8.83429,8.68797,8.61481,8.55993,8.48677,8.52335,8.35874,8.28558,8.35874,8.54164,8.59651,8.46848,8.46848,8.39532,8.37703,8.32216,8.39532,8.24900,8.23071,8.24900,8.46848,8.32216,8.23071,8.23071,8.39532,8.23071,8.46848,8.76113,9.07207,9.25497,9.47446,9.54762,10.24266,11.12060,11.66931,11.81563,11.83393,11.79734,11.96196,11.77905,11.24863,11.15718,10.95598,11.10231,11.15718,11.15718,10.77308,11.01085,11.21205,10.80966,10.26095,11.13889,10.97427,10.44385,9.80368,9.29155,8.70626,8.98061,8.63310
2013,Blakehurst 33_11kV,02MAY2012,MW,9.10865,8.74284,8.39532,7.88319,7.55396,7.16986,6.62115,6.38337,6.01756,5.70662,5.52372,5.28594,5.13962,4.93842,4.93842,4.93842,4.86526,4.86526,4.86526,4.86526,5.13962,5.45056,5.77978,6.23705,6.60285,7.04183,7.71857,8.65139,8.92574,9.40129,9.73052,9.73052,9.74881,9.49275,9.30984,9.05378,8.79771,8.72455,8.72455,8.72455,8.61481,8.46848,8.52335,8.37703,8.39532,8.35874,8.37703,8.52335,8.45019,8.34045,8.28558,8.28558,8.35874,8.35874,8.50506,8.28558,8.24900,8.34045,8.43190,8.46848,8.24900,8.39532,8.61481,8.85258,9.05378,9.14523,9.56591,9.96830,10.07804,10.59017,11.23034,11.50470,11.72418,11.65102,11.72418,11.66931,11.30350,10.86453,10.80966,10.77308,10.60846,10.95598,10.93769,10.33411,10.75479,10.91940,10.51701,9.85856,10.84624,10.82795,10.26095,9.60249,9.03549,8.61481,8.96232,8.46848
2013,Blakehurst 33_11kV,03MAY2012,MW,9.01720,8.52335,8.08438,7.62712,7.35276,6.96866,6.54798,6.23705,5.92611,5.72491,5.35910,5.30423,5.19449,5.01159,5.01159,5.01159,4.84697,4.84697,4.84697,4.84697,5.10304,5.52372,5.77978,6.09072,6.41995,6.76747,7.42593,8.55993,8.74284,9.20010,9.40129,9.49275,9.32813,9.34642,9.32813,9.07207,8.88916,8.94403,8.88916,8.74284,8.54164,8.43190,8.41361,8.45019,8.35874,8.26729,8.23071,8.39532,8.26729,8.19412,8.35874,8.15754,8.26729,8.24900,8.10267,8.13925,8.21241,8.08438,8.24900,8.17583,8.19412,8.41361,8.41361,8.52335,8.70626,8.98061,9.05378,9.29155,9.32813,9.93172,10.80966,11.06573,11.23034,11.37666,11.21205,11.10231,10.79137,10.57188,10.33411,10.31582,10.66334,10.95598,11.04744,10.59017,10.88282,10.97427,10.35240,9.89514,10.88282,10.69992,10.26095,9.58420,8.99890,8.55993,9.05378,8.48677
2013,Blakehurst 33_11kV,04MAY2012,MW,8.90745,8.52335,8.24900,7.79173,7.35276,7.00524,6.65773,6.31021,5.99927,5.50543,5.37739,5.28594,5.08475,5.08475,5.08475,5.08475,4.88355,4.86526,4.86526,4.86526,5.13962,5.41398,5.68833,6.05414,6.47482,7.04183,7.49909,8.66968,8.96232,9.47446,9.73052,9.65736,9.69394,9.51104,9.40129,9.01720,8.88916,8.70626,8.79771,8.61481,8.61481,8.45019,8.26729,8.34045,8.50506,8.24900,8.32216,8.37703,8.41361,8.41361,8.15754,8.08438,8.08438,8.08438,8.13925,8.04780,8.04780,8.23071,8.06609,8.04780,7.75515,8.02951,8.10267,8.32216,8.54164,8.79771,9.09036,9.34642,9.41959,10.11462,10.62676,11.19376,11.52299,11.54128,11.50470,11.50470,11.04744,10.77308,10.82795,10.55359,10.60846,10.93769,11.06573,10.55359,10.75479,11.01085,10.69992,10.15120,10.93769,10.91940,10.57188,9.95001,9.47446,9.12694,9.65736,9.18181
2013,Blakehurst 33_11kV,05MAY2012,MW,9.62078,9.16352,8.79771,8.39532,7.97464,7.44422,7.06012,6.69431,6.36508,5.99927,5.72491,5.48714,5.41398,5.41398,5.39568,5.10304,5.10304,5.10304,5.10304,5.10304,5.10304,5.10304,5.32252,5.34081,5.61517,5.98098,6.23705,6.36508,6.82234,7.06012,7.66370,7.93806,8.23071,8.59651,8.96232,8.88916,8.88916,9.05378,9.07207,8.87087,8.83429,8.74284,8.63310,8.83429,8.72455,8.39532,8.39532,8.46848,8.41361,8.32216,8.37703,8.61481,8.34045,8.26729,8.12096,8.17583,8.08438,7.88319,7.75515,7.91977,7.64541,7.84661,8.10267,7.95635,8.08438,8.28558,8.61481,8.98061,9.21839,9.91343,10.49872,11.02915,11.34008,11.41324,11.19376,10.95598,10.77308,10.44385,10.22437,10.13291,10.38898,10.60846,10.59017,10.18778,10.35240,10.80966,10.53530,9.84027,10.86453,10.97427,10.57188,10.09633,9.76710,9.27326,9.78539,9.38300
2013,Blakehurst 33_11kV,06MAY2012,MW,9.73052,9.43788,9.16352,8.77942,8.26729,7.86490,7.33447,6.87721,6.58456,6.25534,5.92611,5.57859,5.41398,5.41398,5.34081,5.12133,5.32252,5.32252,5.32252,5.32252,5.32252,5.32252,5.32252,5.35910,5.45056,5.67004,5.74320,6.03585,6.07243,6.45653,6.67602,7.15157,7.33447,7.93806,8.08438,8.37703,8.57822,8.83429,8.90745,8.57822,8.46848,8.46848,8.46848,8.46848,8.21241,8.23071,8.12096,8.06609,7.93806,7.81002,7.93806,7.73686,7.60883,7.44422,7.37105,7.37105,7.13328,7.09670,7.09670,7.18815,7.02354,7.35276,7.62712,7.42593,7.73686,7.97464,8.34045,8.90745,9.09036,10.02317,10.97427,11.37666,11.66931,11.66931,11.66931,11.54128,11.39495,11.15718,10.88282,10.82795,11.10231,11.52299,11.35837,11.01085,11.13889,11.54128,10.95598,10.55359,11.23034,11.13889,10.57188,9.71223,9.30984,8.88916,9.32813,8.92574
2013,Blakehurst 33_11kV,07MAY2012,MW,9.23668,8.79771,8.54164,8.01122,7.73686,7.33447,6.89550,6.47482,6.05414,5.90782,5.70662,5.41398,5.21278,5.10304,5.10304,5.10304,5.10304,5.10304,5.10304,5.10304,5.41398,5.61517,5.99927,6.25534,6.89550,7.55396,7.88319,9.07207,9.43788,10.20607,10.24266,10.22437,10.33411,10.37069,10.31582,10.05975,9.95001,9.71223,9.74881,9.67565,9.63907,9.45617,9.41959,9.34642,9.38300,9.38300,9.25497,9.49275,9.25497,9.27326,8.98061,8.83429,8.72455,8.74284,8.70626,8.66968,8.66968,8.61481,8.63310,8.61481,8.52335,8.92574,9.09036,9.41959,9.62078,9.87685,9.95001,10.18778,10.40727,11.43154,12.45580,12.93135,12.96793,13.07768,13.20571,13.20571,12.98622,12.60212,12.40093,12.43751,12.45580,12.62042,12.73016,12.23632,12.45580,12.71187,12.03512,11.50470,12.41922,12.21802,11.52299,10.62676,10.04146,9.25497,9.60249,9.07207
2013,Blakehurst 33_11kV,08MAY2012,MW,9.43788,9.12694,8.66968,8.28558,7.95635,7.59054,7.07841,6.71260,6.47482,5.99927,5.79807,5.54201,5.48714,5.48714,5.17620,5.17620,5.17620,5.17620,5.17620,5.28594,5.52372,5.81637,6.03585,6.45653,6.93208,7.51738,8.19412,9.29155,9.78539,10.22437,10.60846,10.71821,10.44385,10.27924,10.24266,9.84027,9.52933,9.36471,9.18181,9.01720,8.99890,8.85258,8.79771,8.66968,8.63310,8.59651,8.46848,8.57822,8.52335,8.43190,8.30387,8.39532,8.28558,8.19412,8.26729,8.26729,8.28558,8.10267,8.10267,8.17583,8.19412,8.41361,8.28558,8.57822,8.87087,9.10865,9.52933,9.76710,9.95001,10.82795,11.68760,11.92538,12.23632,12.27290,12.41922,12.08999,12.12657,11.81563,11.52299,11.44983,11.74247,12.07170,11.98025,11.55957,11.85222,11.83393,11.37666,10.86453,11.65102,11.46812,10.86453,10.00488,9.58420,8.98061,9.29155,8.85258
2013,Blakehurst 33_11kV,09MAY2012,MW,9.16352,8.83429,8.48677,8.12096,7.60883,7.31618,6.93208,6.56627,6.21876,6.03585,5.74320,5.56030,5.26765,5.24936,5.24936,5.04817,4.97500,4.97500,5.15791,5.21278,5.37739,5.57859,5.90782,6.21876,6.82234,7.46251,8.12096,9.12694,9.38300,10.02317,10.07804,10.22437,10.27924,10.11462,9.80368,9.60249,9.25497,9.14523,9.07207,8.87087,8.85258,8.65139,8.59651,8.48677,8.45019,8.50506,8.52335,8.59651,8.55993,8.37703,8.43190,8.35874,8.17583,8.26729,8.34045,8.34045,8.28558,8.30387,8.37703,8.43190,8.32216,8.37703,8.48677,8.70626,8.96232,9.23668,9.60249,9.63907,9.78539,10.64505,11.37666,11.76076,11.92538,12.07170,11.96196,11.76076,11.50470,11.23034,10.82795,10.64505,10.71821,11.12060,11.23034,10.82795,11.06573,11.34008,11.01085,10.40727,11.04744,11.04744,10.53530,9.89514,9.25497,8.83429,9.20010,8.77942
2013,Blakehurst 33_11kV,10MAY2012,MW,9.12694,8.88916,8.39532,7.99293,7.68199,7.26131,6.76747,6.41995,6.01756,5.67004,5.56030,5.34081,5.34081,5.15791,5.02988,5.02988,5.02988,5.02988,5.02988,5.02988,5.30423,5.61517,5.77978,6.31021,6.62115,7.24302,7.97464,8.85258,9.12694,9.69394,9.91343,9.84027,9.87685,9.85856,9.82198,9.60249,9.10865,8.96232,8.87087,8.87087,8.79771,8.92574,8.72455,8.72455,8.59651,8.46848,8.55993,8.45019,8.45019,8.50506,8.50506,8.41361,8.48677,8.41361,8.24900,8.24900,8.50506,8.28558,8.23071,8.43190,8.15754,8.61481,8.46848,8.57822,8.74284,9.12694,9.34642,9.51104,9.62078,10.27924,11.08402,11.30350,11.23034,11.34008,11.21205,11.19376,10.88282,10.57188,10.44385,10.37069,10.27924,10.66334,10.84624,10.38898,10.62676,11.12060,10.80966,10.38898,11.10231,10.95598,10.42556,9.87685,9.29155,8.65139,9.07207,8.66968
