year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Cessnock 33_11kV,01MAY2012,MW,9.71633,9.58511,9.23362,8.58694,7.97408,7.33217,6.95661,6.45256,6.10825,5.83752,5.66115,5.44473,5.34910,5.26710,5.24697,5.18945,5.26160,5.45033,5.45293,5.51958,5.85819,6.09274,6.27112,6.67368,7.19076,7.57381,7.85298,8.54309,8.39552,8.55176,8.73941,8.54109,8.72212,8.53744,8.44696,8.33593,8.16008,8.00592,7.91487,7.78015,7.46511,7.55495,7.76187,7.73706,7.48343,7.32413,7.42052,7.62617,7.46071,7.37319,7.35923,7.19900,7.31986,7.24117,7.20622,7.04440,7.13107,7.20119,7.28295,7.21921,7.33846,7.30715,7.38031,7.61499,7.79173,8.00951,8.20493,8.54475,8.94466,9.39058,9.90420,10.29483,10.15369,10.20656,10.18713,10.08108,9.91225,9.78152,9.61407,9.35444,9.24858,8.98589,8.80376,8.58108,8.46487,8.56124,8.60723,8.39227,8.19863,7.89139,7.65034,7.26003,9.58621,9.70280,9.09677,8.47350
2013,Cessnock 33_11kV,02MAY2012,MW,9.72405,9.56612,9.15042,8.52962,7.80518,7.24491,6.83071,6.44088,6.02435,5.79360,5.59976,5.51056,5.39140,5.37378,5.36648,5.41613,5.47959,5.55116,5.64594,5.72192,5.91156,6.21613,6.48354,6.73822,7.10028,7.38370,7.79933,8.42857,8.56066,8.68402,8.77068,8.91221,8.91352,8.79565,8.88939,8.84231,8.81249,8.53036,8.30296,8.12466,7.77807,7.65129,7.61081,7.50151,7.10817,7.10205,7.14566,7.27862,7.21303,7.25782,7.22746,7.18076,7.19117,7.18473,7.23150,7.16038,7.21668,7.16564,7.22712,7.31403,7.48825,7.58562,7.56170,7.63630,7.65176,7.92771,8.13487,8.46928,8.94873,9.29489,9.79118,9.79689,9.83020,9.79504,9.74118,9.54521,9.42960,9.28067,9.20641,9.04405,8.79737,8.43275,8.20768,8.02670,7.93137,7.94604,8.00883,7.82874,7.77453,7.34421,6.96863,6.68744,8.76143,9.04637,8.51963,8.17552
2013,Cessnock 33_11kV,03MAY2012,MW,9.19928,8.97299,8.50028,7.82757,7.21942,6.76484,6.46932,6.08884,5.86323,5.63604,5.29489,5.11406,5.08427,5.01204,4.97110,5.09875,5.24919,5.38532,5.47737,5.65127,5.90380,6.11898,6.20037,6.21676,6.64263,6.86507,7.05768,7.46767,7.44624,7.74354,8.29435,8.44666,8.71389,8.72315,8.62330,8.52148,8.61638,8.45748,8.50210,8.59125,8.53416,8.50713,8.42513,8.42023,8.42925,8.39621,8.16878,8.07432,7.79648,7.75934,7.54493,7.52194,7.64512,7.49347,7.47143,7.47417,7.28140,7.37352,7.39311,7.45096,7.47269,7.55085,7.66995,7.80723,7.92171,8.12060,8.41478,8.60088,8.86754,9.38846,10.07467,10.37422,10.39037,10.33593,10.17189,10.09116,9.83593,9.50247,9.10103,9.11104,8.88845,8.68504,8.54500,8.33266,8.16391,8.19446,8.35556,8.13531,7.87766,7.80332,7.55807,7.15827,9.37377,9.47345,9.11557,8.54893
2013,Cessnock 33_11kV,04MAY2012,MW,9.50161,9.28619,8.97951,8.33897,7.72246,7.21113,6.76819,6.36431,5.89423,5.66360,5.47105,5.39901,5.21506,5.20250,5.17250,5.15498,5.17206,5.30667,5.33644,5.52265,5.69427,6.01427,6.17643,6.30759,6.84753,7.23936,7.60119,7.90619,7.82320,8.13884,8.18763,8.15072,8.38833,8.31510,8.36590,8.13665,8.05528,7.92788,7.80120,7.83833,7.74103,7.72332,7.73257,7.64599,7.66848,7.57262,7.37001,7.45801,7.46420,7.41930,7.38503,7.37077,7.31393,7.22013,7.27266,7.37832,7.29946,7.23882,7.32084,7.24097,7.35724,7.31852,7.41776,7.58961,7.64771,7.82839,8.12972,8.38945,8.81475,9.20253,9.63938,9.91717,9.92498,9.78835,9.75364,9.58975,9.62048,9.40519,9.23062,9.16454,9.10181,8.94243,8.81570,8.57950,8.48881,8.45727,8.65312,8.52162,8.68596,8.29850,7.89607,7.65872,9.99737,10.21049,9.66854,9.16135
2013,Cessnock 33_11kV,05MAY2012,MW,10.14541,9.94646,9.56368,8.90017,8.18546,7.40606,6.87770,6.50158,6.28961,5.93498,5.83137,5.74660,5.61862,5.43686,5.35983,5.39609,5.39157,5.29704,5.44147,5.50611,5.41812,5.50661,5.65397,5.74670,6.04076,6.32119,6.66819,6.83984,7.22291,7.54620,8.07259,8.53715,8.77175,8.97740,8.90443,8.98007,9.14818,9.18330,9.05570,8.72981,8.70325,8.57681,8.61594,8.58864,8.35941,8.22934,8.35815,8.12511,7.98229,7.83390,7.61297,7.45778,7.47120,7.37629,7.26030,7.34987,7.29975,7.31414,7.28432,7.39405,7.24782,7.37820,7.34728,7.33192,7.51369,7.68537,8.04830,8.47374,9.17367,10.09776,10.77926,10.98466,10.91335,10.65801,10.54309,10.33762,10.21681,10.13680,9.88842,9.67535,9.51415,9.25550,9.23115,8.96324,8.72237,8.63672,8.59342,8.33962,8.29910,8.11783,7.91318,7.49921,7.83470,7.44672,7.25945,6.88035
2013,Cessnock 33_11kV,06MAY2012,MW,6.64565,6.34686,6.28299,5.99948,5.88383,5.79059,5.61876,5.47299,5.33198,5.25964,5.19342,5.17746,5.16017,5.12619,5.02807,5.09666,5.03434,5.10369,5.14166,5.19392,5.29329,5.34592,5.44576,5.63404,5.73198,5.83609,5.97760,6.32609,6.91963,7.52281,7.80150,7.99857,8.40498,8.66996,8.80578,8.89076,8.97991,8.87087,8.55215,8.42616,8.40916,8.22669,8.12256,7.92209,7.90262,7.78405,7.68900,7.58576,7.59303,7.59230,7.53454,7.44922,7.31367,7.01682,6.91600,6.86654,6.78036,6.90492,7.05688,7.09214,7.18116,7.28383,7.26240,7.47438,7.65551,7.91878,8.25037,8.78307,9.59792,10.55812,11.57998,12.09641,12.16689,12.07012,11.81248,11.67198,11.45261,11.18716,11.10140,11.05455,10.93021,10.69260,10.41574,10.01052,9.69514,9.29377,8.91335,8.51429,8.34247,7.86819,7.57762,7.31069,7.53542,7.17704,7.00153,6.73204
2013,Cessnock 33_11kV,07MAY2012,MW,6.50304,6.13178,6.22670,5.86069,5.73616,5.61480,5.49794,5.41514,5.34088,5.25302,5.16476,5.02569,5.08155,5.11341,5.04481,5.08440,5.18587,5.36390,5.54158,5.71676,5.91164,6.21133,6.64235,6.82366,7.22226,7.76675,8.14196,8.70922,8.74430,9.27752,9.68144,9.87605,9.98577,10.08034,10.17019,10.15218,9.94941,9.89034,9.79258,9.73085,9.75524,9.68408,9.61176,9.53224,9.19305,9.03205,9.03067,8.92238,8.79043,8.61111,8.55527,8.50616,8.47525,8.46592,8.45117,8.30744,8.22432,8.25472,8.28042,8.29069,8.31673,8.53190,8.74813,8.85651,8.88824,9.13719,9.33502,9.70682,10.29173,11.14987,11.93044,12.08057,12.09296,12.02430,11.99115,11.79652,11.58187,11.46722,11.18431,10.82589,10.71415,10.53572,10.34115,10.01901,9.73674,9.65085,9.81502,9.58723,9.24699,8.75550,8.20878,7.85096,9.79324,9.93739,9.57508,9.06845
2013,Cessnock 33_11kV,08MAY2012,MW,10.14940,10.05107,9.71867,9.05390,8.51843,7.96543,7.39831,7.00950,6.54050,6.32194,6.13319,5.84581,5.85734,5.79745,5.65848,5.70489,5.73603,5.88881,6.02831,6.25712,6.53733,6.78704,7.25748,7.70027,8.32870,8.67940,9.05014,9.58734,9.65259,10.03760,10.34765,10.39415,10.30875,10.36856,10.43290,10.20981,10.07595,9.63766,9.03225,8.84911,8.78614,8.55918,8.39530,8.27233,8.21694,8.05578,8.06493,8.06452,8.04993,7.89840,7.95894,7.77522,7.41063,7.41123,7.52257,7.43730,7.27762,7.28559,7.27921,7.33806,7.30167,7.35149,7.40425,7.61374,7.89892,8.08706,8.24753,8.81695,9.43401,10.15548,10.61280,11.02913,10.94555,10.94702,10.88759,10.86514,10.71845,10.49415,10.35079,10.28202,10.01948,9.79786,9.60888,9.30465,9.16872,9.21626,9.38036,8.97093,8.99119,8.52728,8.02663,7.61124,9.90422,10.01578,9.44041,8.93881
2013,Cessnock 33_11kV,09MAY2012,MW,10.10650,9.87062,9.42783,8.91825,8.24882,7.78247,7.22150,6.89073,6.47117,6.21010,5.98671,5.73857,5.61240,5.62892,5.67016,5.69458,5.61718,5.66551,5.75938,6.03344,6.51769,6.94376,7.20493,7.56250,8.06371,8.43387,9.09140,9.64389,9.79847,10.35654,10.48036,10.42526,10.37985,10.16430,10.01852,9.82748,9.75952,9.44213,9.20006,9.07229,8.79918,8.46815,8.40307,8.20069,8.09076,8.03174,7.98216,8.04804,7.92062,7.91445,7.87272,7.85745,7.60852,7.45371,7.48508,7.45167,7.56196,7.59926,7.54235,7.53439,7.54038,7.47192,7.54698,7.85151,8.00478,8.25823,8.45981,8.78696,9.28556,9.75892,10.25988,10.50110,10.63835,10.49207,10.41113,10.32521,10.21490,10.06640,9.79572,9.63710,9.56457,9.41052,9.20460,8.88638,8.57194,8.65057,8.83120,8.91756,8.73616,8.30713,7.86848,7.64692,9.60219,9.65409,9.28730,8.94141
2013,Cessnock 33_11kV,10MAY2012,MW,9.89626,9.71549,9.38099,8.77003,8.28952,7.82031,7.34412,6.82898,6.55881,6.26530,6.05515,5.96401,5.84959,5.71741,5.73728,5.68918,5.75960,5.85132,6.07976,6.17832,6.48430,6.75977,6.98654,7.32984,7.86679,8.32274,8.75337,9.33195,9.26390,9.60083,9.65214,9.65398,9.72804,9.52946,9.43152,9.09030,8.93752,8.59680,8.49433,8.43560,8.33740,8.12299,7.99261,8.02208,7.55266,7.43220,7.38323,7.38479,7.39629,7.45493,7.46787,7.51635,7.62439,7.64598,7.62498,7.69086,7.71783,7.78022,7.78420,7.80536,7.77501,7.87480,7.88748,7.90040,8.04125,8.20788,8.39491,8.57943,8.98611,9.41978,10.10032,10.19863,10.23787,10.21326,10.14332,9.98786,9.78676,9.59284,9.72412,9.62557,9.31526,8.99591,8.78406,8.64313,8.50797,8.58348,8.63209,8.78649,8.51959,8.21843,7.90857,7.62096,9.70228,9.79630,9.26577,8.80711
